,key,press_time,release_time
0,'s',1650874298.6525583,1650874298.740574
1,'o',1650874298.7165987,1650874298.8216841
2,'r',1650874298.8452888,1650874298.9087172
3,'e',1650874298.9965644,1650874299.076892
4,key.space,1650874299.0448873,1650874299.1566083
5,'p',1650874299.244922,1650874299.340913
6,'y',1650874299.4857924,1650874299.5807896
7,'r',1650874299.6527936,1650874299.7486126
8,'e',1650874300.0207908,1650874300.1327941
9,'s',1650874300.1887937,1650874300.2927969
,key,press_time,release_time
0,'c',1650874303.1332548,1650874303.246258
1,'o',1650874303.2212572,1650874303.28526
2,'l',1650874303.365261,1650874303.4452622
3,'a',1650874303.468266,1650874303.5802639
4,'s',1650874303.509269,1650874303.6282687
5,key.space,1650874303.8448555,1650874303.9408298
6,'a',1650874303.9567122,1650874304.0690935
7,'d',1650874304.0443878,1650874304.1411293
8,'i',1650874304.1729357,1650874304.2446523
9,'t',1650874304.3971477,1650874304.4611259
,key,press_time,release_time
0,'s',1650874306.5173502,1650874306.6528416
1,'a',1650874306.6046004,1650874306.7430701
2,'g',1650874306.7250786,1650874306.820752
3,key.space,1650874306.8527534,1650874306.9090662
4,'r',1650874307.0612838,1650874307.164979
5,'h',1650874307.1889818,1650874307.2769747
6,'o',1650874307.67703,1650874307.7811894
7,'m',1650874307.8773146,1650874307.9733
8,'b',1650874307.949297,1650874308.0203974
9,'s',1650874308.1171696,1650874308.221161
,key,press_time,release_time
0,'t',1650874315.7015374,1650874315.8775437
1,'a',1650874315.8295405,1650874315.9575446
2,'t',1650874316.0055442,1650874316.0935667
3,'t',1650874316.14955,1650874316.2375538
4,'l',1650874316.2695549,1650874316.3415554
5,'e',1650874316.365558,1650874316.477562
6,key.space,1650874316.493561,1650874316.6125774
7,'b',1650874316.6612515,1650874316.7729049
8,'o',1650874316.7569609,1650874316.8614697
9,'x',1650874316.9095688,1650874317.0290363
,key,press_time,release_time
0,'i',1650874322.294315,1650874322.390367
1,'r',1650874322.4217722,1650874322.5249321
2,'k',1650874322.5499141,1650874322.7089152
3,key.space,1650874322.9738803,1650874323.1096742
4,'q',1650874323.1741388,1650874323.2691765
5,'u',1650874323.2938993,1650874323.365821
6,'i',1650874323.4704895,1650874323.5574825
7,'r',1650874323.5815332,1650874323.6613467
8,'e',1650874323.7651713,1650874323.845149
9,'s',1650874323.9096682,1650874324.029677
,key,press_time,release_time
0,'e',1650874326.110449,1650874326.213444
1,'n',1650874326.2294416,1650874326.3654528
2,'d',1650874326.3414488,1650874326.470455
3,key.space,1650874326.4454515,1650874326.5654552
4,'c',1650874326.6294563,1650874326.7254565
5,'u',1650874326.742269,1650874326.8215604
6,'t',1650874326.8376591,1650874326.9264507
7,'e',1650874327.0214577,1650874327.125946
8,'s',1650874327.1745665,1650874327.2855606
