,Results,Prediction,Accuracy,20/80
0,andy,andy,0.99995613,Match
1,andy,andy,0.99938774,Match
2,andy,andy,0.99995387,Match
3,andy,andy,0.99927205,Match
4,andy,andy,0.9999473,Match
5,andy,andy,0.91770124,Match
6,andy,andy,0.9999143,Match
7,andy,andy,0.99941397,Match
8,azfar,azfar,0.9976726,Match
9,azfar,andy,0.772386,Nope
10,azfar,azfar,0.9953549,Match
11,azfar,azfar,0.99804497,Match
12,azfar,azfar,0.999561,Match
13,azfar,azfar,0.999501,Match
14,azfar,azfar,0.8098305,Match
15,azfar,ch,0.9610518,Nope
16,ch,ch,0.97730494,Match
17,ch,ch,0.998995,Match
18,ch,ch,0.8702473,Match
19,ch,ch,0.99944407,Match
20,ch,azfar,0.99932754,Nope
21,ch,ch,0.71270853,Match
22,ch,andy,0.6327306,Nope
23,ch,ch,0.99716103,Match
24,cy,azfar,0.9837975,Nope
25,cy,ch,0.9625454,Nope
26,cy,azfar,0.91946465,Nope
27,cy,azfar,0.9507832,Nope
28,cy,andy,0.67366207,Nope
29,cy,azfar,0.99972266,Nope
30,cy,ch,0.99866164,Nope
31,cy,ch,0.7898351,Nope
32,gerald,andy,0.9662544,Nope
33,gerald,ch,0.99732155,Nope
34,gerald,andy,0.99959296,Nope
35,gerald,ch,0.9987748,Nope
36,gerald,azfar,0.69290423,Nope
37,gerald,andy,0.9998481,Nope
38,gerald,andy,0.99960095,Nope
39,gerald,azfar,0.99942493,Nope
40,jc,ch,0.81297994,Nope
41,jc,ch,0.9721414,Nope
42,jc,azfar,0.9993186,Nope
43,jc,azfar,0.88292176,Nope
44,jc,azfar,0.9955167,Nope
45,jc,azfar,0.87450093,Nope
46,jc,andy,0.985756,Nope
47,jc,ch,0.99931145,Nope
48,jonah,ch,0.9498626,Nope
49,jonah,azfar,0.9991486,Nope
50,jonah,azfar,0.60976475,Nope
51,jonah,andy,0.9562009,Nope
52,jonah,andy,0.99913883,Nope
53,jonah,ch,0.8544646,Nope
54,jonah,ch,0.986821,Nope
55,jonah,ch,0.900381,Nope
56,qikai,andy,0.990013,Nope
57,qikai,ch,0.9990571,Nope
58,qikai,ch,0.99877447,Nope
59,qikai,ch,0.99913824,Nope
60,qikai,andy,0.99986625,Nope
61,qikai,ch,0.9989371,Nope
62,qikai,ch,0.9863616,Nope
63,qikai,andy,0.999961,Nope
64,ys,andy,0.9672591,Nope
65,ys,azfar,0.997758,Nope
66,ys,azfar,0.941719,Nope
67,ys,ch,0.94908065,Nope
68,ys,azfar,0.986672,Nope
69,ys,azfar,0.512803,Nope
70,ys,ch,0.99631655,Nope
71,ys,ch,0.9970393,Nope
72,zen,azfar,0.99945384,Nope
73,zen,azfar,0.9992712,Nope
74,zen,azfar,0.8781674,Nope
75,zen,ch,0.56373024,Nope
76,zen,andy,0.99983144,Nope
77,zen,ch,0.99713814,Nope
78,zen,azfar,0.99955815,Nope
79,zen,azfar,0.99914265,Nope
