,Actual,Prediction,Accuracy,287/480 (59.791666666666664%)
0,andy,andy,0.9998335838317871,match
1,andy,andy,0.9999921321868896,match
2,andy,andy,0.9999936819076538,match
3,andy,andy,0.9999974966049194,match
4,andy,andy,0.9999936819076538,match
5,andy,andy,0.9999926090240479,match
6,andy,andy,0.9774627685546875,match
7,andy,andy,0.999914288520813,match
8,andy,andy,0.9997721314430237,match
9,andy,andy,0.9999963045120239,match
10,andy,andy,0.9999890327453613,match
11,andy,andy,0.9999605417251587,match
12,andy,andy,0.9997417330741882,match
13,andy,andy,0.9804791212081909,match
14,andy,andy,0.9998993873596191,match
15,andy,andy,0.9999886751174927,match
16,andy,andy,0.9999873638153076,match
17,andy,andy,0.9999581575393677,match
18,andy,andy,0.9999924898147583,match
19,andy,andy,0.9998900890350342,match
20,andy,andy,0.9999934434890747,match
21,andy,andy,0.9999973773956299,match
22,andy,andy,0.9999938011169434,match
23,andy,andy,0.9999978542327881,match
24,andy,andy,0.9999939203262329,match
25,andy,andy,0.9912497997283936,match
26,andy,andy,0.9986396431922913,match
27,andy,andy,0.9999933242797852,match
28,andy,andy,0.9999939203262329,match
29,andy,andy,0.9999933242797852,match
30,andy,andy,0.999997615814209,match
31,andy,andy,0.9999955892562866,match
32,andy,andy,0.9999879598617554,match
33,andy,andy,0.9999974966049194,match
34,andy,andy,0.9999949932098389,match
35,andy,andy,0.9999974966049194,match
36,andy,andy,0.9999938011169434,match
37,andy,andy,0.9999864101409912,match
38,andy,andy,0.9999845027923584,match
39,andy,andy,0.9999939203262329,match
40,andy,andy,0.9999940395355225,match
41,andy,andy,0.9999959468841553,match
42,andy,andy,0.999992847442627,match
43,andy,andy,0.9999481439590454,match
44,andy,andy,0.9999089241027832,match
45,andy,andy,0.9999983310699463,match
46,andy,andy,0.9999936819076538,match
47,andy,andy,0.999997615814209,match
48,azfar,azfar,0.8925663232803345,match
49,azfar,azfar,0.9981510043144226,match
50,azfar,azfar,0.9769023656845093,match
51,azfar,azfar,0.6466253995895386,match
52,azfar,azfar,0.9992867112159729,match
53,azfar,azfar,0.9999034404754639,match
54,azfar,azfar,0.9999386072158813,match
55,azfar,azfar,0.9999679327011108,match
56,azfar,azfar,0.999887228012085,match
57,azfar,azfar,0.6616454720497131,match
58,azfar,azfar,0.9999719858169556,match
59,azfar,azfar,0.9999673366546631,match
60,azfar,azfar,0.6951065063476562,match
61,azfar,azfar,0.999935507774353,match
62,azfar,azfar,0.9993232488632202,match
63,azfar,azfar,0.6587566137313843,match
64,azfar,azfar,0.999953031539917,match
65,azfar,azfar,0.9999781847000122,match
66,azfar,azfar,0.9109897017478943,match
67,azfar,azfar,0.9999549388885498,match
68,azfar,azfar,0.9993318915367126,match
69,azfar,azfar,0.6313905119895935,match
70,azfar,azfar,0.999981164932251,match
71,azfar,azfar,0.999925971031189,match
72,azfar,azfar,0.9981507658958435,match
73,azfar,azfar,0.9999328851699829,match
74,azfar,azfar,0.9996402263641357,match
75,azfar,azfar,0.9997616410255432,match
