,Results,Prediction,Accuracy,
0,andy,andy,0.99997735,Match
1,andy,andy,0.9999794,Match
2,andy,andy,0.99997914,Match
3,andy,andy,0.9999794,Match
4,andy,andy,0.99997926,Match
5,andy,andy,0.99997926,Match
6,andy,andy,0.9988674,Match
7,andy,andy,0.9993311,Match
8,andy,andy,0.99902034,Match
9,andy,andy,0.9999336,Match
10,andy,andy,0.998831,Match
11,andy,andy,0.9987362,Match
12,andy,andy,0.99997365,Match
13,andy,andy,0.99885786,Match
14,andy,andy,0.9992448,Match
15,andy,andy,0.9999709,Match
16,andy,andy,0.99900156,Match
17,andy,andy,0.9990398,Match
18,andy,andy,0.9999794,Match
19,andy,andy,0.99996126,Match
20,andy,andy,0.9999788,Match
21,andy,andy,0.9999794,Match
22,andy,andy,0.99997914,Match
23,andy,andy,0.999979,Match
24,andy,andy,0.99997926,Match
25,andy,andy,0.9999436,Match
26,andy,andy,0.9999709,Match
27,andy,andy,0.99997914,Match
28,andy,andy,0.9999782,Match
29,andy,andy,0.99997807,Match
30,andy,andy,0.99997914,Match
31,andy,andy,0.9999418,Match
32,andy,andy,0.9999715,Match
33,andy,andy,0.999979,Match
34,andy,andy,0.9999782,Match
35,andy,andy,0.9999778,Match
36,andy,andy,0.999979,Match
37,andy,andy,0.9991074,Match
38,andy,andy,0.9992011,Match
39,andy,andy,0.99997854,Match
40,andy,andy,0.999959,Match
41,andy,andy,0.9999788,Match
42,andy,andy,0.999979,Match
43,andy,andy,0.99906117,Match
44,andy,andy,0.999271,Match
45,andy,andy,0.99997854,Match
46,andy,andy,0.99997103,Match
47,andy,andy,0.999979,Match
48,azfar,azfar,0.9981469,Match
49,azfar,azfar,0.998139,Match
50,azfar,azfar,0.99205846,Match
51,azfar,azfar,0.9981573,Match
52,azfar,azfar,0.99814403,Match
53,azfar,azfar,0.9979232,Match
54,azfar,azfar,0.9981511,Match
55,azfar,azfar,0.99815035,Match
56,azfar,azfar,0.99814916,Match
57,azfar,azfar,0.9981573,Match
58,azfar,azfar,0.99815077,Match
59,azfar,azfar,0.99814844,Match
60,azfar,azfar,0.9981462,Match
61,azfar,azfar,0.99815077,Match
62,azfar,azfar,0.99814355,Match
63,azfar,azfar,0.9981573,Match
64,azfar,azfar,0.99814916,Match
65,azfar,azfar,0.998114,Match
66,azfar,azfar,0.9981036,Match
67,azfar,azfar,0.9981495,Match
68,azfar,azfar,0.99803287,Match
69,azfar,azfar,0.9981578,Match
70,azfar,azfar,0.99813867,Match
71,azfar,azfar,0.9907969,Match
72,azfar,azfar,0.9802178,Match
73,azfar,azfar,0.99814796,Match
74,azfar,azfar,0.9981238,Match
75,azfar,azfar,0.9876702,Match
76,azfar,azfar,0.9947161,Match
77,azfar,azfar,0.5727848,Match
78,azfar,azfar,0.9981627,Match
79,azfar,azfar,0.9981627,Match
80,azfar,azfar,0.9981627,Match
81,azfar,azfar,0.9981627,Match
82,azfar,azfar,0.9981627,Match
83,azfar,azfar,0.9981627,Match
84,azfar,azfar,0.99813557,Match
85,azfar,azfar,0.99815035,Match
86,azfar,azfar,0.9981493,Match
87,azfar,azfar,0.99814045,Match
88,azfar,azfar,0.998139,Match
89,azfar,azfar,0.99815756,Match
90,azfar,azfar,0.99015397,Match
91,azfar,azfar,0.99814963,Match
92,azfar,azfar,0.9981377,Match
93,azfar,azfar,0.9933616,Match
94,azfar,azfar,0.9910691,Match
95,azfar,azfar,0.99815744,Match
96,ch,ch,0.9204222,Match
97,ch,azfar,0.68291086,Nope
98,ch,ch,0.59543526,Match
99,ch,ch,0.53118616,Match
100,ch,ch,0.88686484,Match
101,ch,ch,0.9964651,Match
102,ch,ch,0.9972255,Match
103,ch,ch,0.886974,Match
104,ch,ch,0.9955362,Match
105,ch,ch,0.94546455,Match
106,ch,ch,0.9968696,Match
107,ch,ch,0.9997142,Match
108,ch,azfar,0.5152166,Nope
109,ch,ch,0.9968777,Match
110,ch,ch,0.99972206,Match
111,ch,ch,0.9997118,Match
112,ch,ch,0.9978338,Match
113,ch,andy,0.8930353,Nope
114,ch,azfar,0.62664706,Nope
115,ch,ch,0.99694675,Match
116,ch,ch,0.99969184,Match
117,ch,ch,0.9993771,Match
118,ch,ch,0.99967957,Match
119,ch,ch,0.9997292,Match
120,ch,azfar,0.5480963,Nope
121,ch,ch,0.9976724,Match
122,ch,ch,0.9997223,Match
123,ch,ch,0.99969804,Match
124,ch,ch,0.9997142,Match
125,ch,ch,0.9997303,Match
126,ch,azfar,0.9875458,Nope
127,ch,ch,0.9772106,Match
128,ch,ch,0.99951124,Match
129,ch,ch,0.99724114,Match
130,ch,ch,0.99948823,Match
131,ch,ch,0.99973005,Match
132,ch,azfar,0.58225006,Nope
133,ch,ch,0.99679923,Match
134,ch,ch,0.99926466,Match
135,ch,ch,0.99961936,Match
136,ch,ch,0.9997204,Match
137,ch,ch,0.99971586,Match
138,ch,ch,0.99474466,Match
139,ch,ch,0.9996673,Match
140,ch,andy,0.5135841,Nope
141,ch,ch,0.9997272,Match
142,ch,ch,0.9997285,Match
143,ch,ch,0.999728,Match
144,cy,ch,0.99687433,Nope
145,cy,ch,0.9997278,Nope
146,cy,ch,0.99972504,Nope
147,cy,ch,0.99972767,Nope
148,cy,ch,0.99972934,Nope
149,cy,ch,0.9997292,Nope
150,cy,ch,0.71714175,Nope
151,cy,ch,0.9996834,Nope
152,cy,ch,0.9989479,Nope
153,cy,ch,0.9997236,Nope
154,cy,ch,0.9993051,Nope
155,cy,ch,0.54252124,Nope
156,cy,ch,0.9871607,Nope
157,cy,ch,0.8824195,Nope
158,cy,ch,0.96974677,Nope
159,cy,ch,0.99970144,Nope
160,cy,ch,0.8878231,Nope
161,cy,ch,0.88165045,Nope
162,cy,ch,0.9997205,Nope
163,cy,ch,0.9996767,Nope
164,cy,ch,0.9997116,Nope
165,cy,ch,0.9997271,Nope
166,cy,ch,0.999723,Nope
167,cy,ch,0.99972457,Nope
168,cy,ch,0.99972266,Nope
169,cy,ch,0.99969196,Nope
170,cy,ch,0.99381447,Nope
171,cy,ch,0.99972373,Nope
172,cy,ch,0.9997222,Nope
173,cy,ch,0.9997209,Nope
174,cy,ch,0.999726,Nope
175,cy,ch,0.99971944,Nope
176,cy,ch,0.9995572,Nope
177,cy,ch,0.9997272,Nope
178,cy,ch,0.9997272,Nope
179,cy,ch,0.99972755,Nope
180,cy,ch,0.9996964,Nope
181,cy,ch,0.99908864,Nope
182,cy,ch,0.98733485,Nope
183,cy,ch,0.9997124,Nope
184,cy,ch,0.9996754,Nope
185,cy,ch,0.9997248,Nope
186,cy,ch,0.9997198,Nope
187,cy,ch,0.9937505,Nope
188,cy,ch,0.9961236,Nope
189,cy,ch,0.9997259,Nope
190,cy,ch,0.9997181,Nope
191,cy,ch,0.99972683,Nope
192,gerald,ch,0.99696463,Nope
193,gerald,ch,0.9985607,Nope
194,gerald,andy,0.9984291,Nope
195,gerald,ch,0.9978104,Nope
196,gerald,ch,0.9997284,Nope
197,gerald,ch,0.9806779,Nope
198,gerald,ch,0.9933808,Nope
199,gerald,andy,0.89943874,Nope
200,gerald,andy,0.9995389,Nope
201,gerald,andy,0.7996064,Nope
202,gerald,ch,0.99972814,Nope
203,gerald,andy,0.9154489,Nope
204,gerald,ch,0.98266304,Nope
205,gerald,ch,0.9798875,Nope
206,gerald,ch,0.9962436,Nope
207,gerald,ch,0.930717,Nope
208,gerald,ch,0.99972945,Nope
209,gerald,ch,0.9411694,Nope
210,gerald,ch,0.99484915,Nope
211,gerald,andy,0.89892,Nope
212,gerald,andy,0.9879412,Nope
213,gerald,ch,0.999706,Nope
214,gerald,ch,0.99972814,Nope
215,gerald,ch,0.9991443,Nope
216,gerald,andy,0.9984591,Nope
217,gerald,andy,0.9995074,Nope
218,gerald,ch,0.99239975,Nope
219,gerald,andy,0.98987806,Nope
220,gerald,ch,0.999728,Nope
221,gerald,andy,0.9896695,Nope
222,gerald,ch,0.99877065,Nope
223,gerald,andy,0.56023616,Nope
224,gerald,ch,0.96992177,Nope
225,gerald,ch,0.99972564,Nope
226,gerald,ch,0.9997286,Nope
227,gerald,ch,0.9987925,Nope
228,gerald,ch,0.99973124,Nope
229,gerald,ch,0.99973077,Nope
230,gerald,ch,0.99972934,Nope
231,gerald,ch,0.9997311,Nope
232,gerald,ch,0.9997303,Nope
233,gerald,ch,0.99973077,Nope
234,gerald,ch,0.94480234,Nope
235,gerald,andy,0.94541556,Nope
236,gerald,ch,0.64226466,Nope
237,gerald,ch,0.9992052,Nope
238,gerald,andy,0.98969907,Nope
239,gerald,ch,0.99925774,Nope
240,jc,ch,0.6166096,Nope
241,jc,ch,0.87429255,Nope
242,jc,azfar,0.57184017,Nope
243,jc,ch,0.9960173,Nope
244,jc,ch,0.8828218,Nope
245,jc,ch,0.99691594,Nope
246,jc,ch,0.882259,Nope
247,jc,ch,0.92285866,Nope
248,jc,azfar,0.50780386,Nope
249,jc,ch,0.99820435,Nope
250,jc,ch,0.9143609,Nope
251,jc,ch,0.99835074,Nope
252,jc,azfar,0.5688523,Nope
253,jc,ch,0.70700496,Nope
254,jc,ch,0.58240336,Nope
255,jc,ch,0.999451,Nope
256,jc,ch,0.9561213,Nope
257,jc,ch,0.9996896,Nope
258,jc,ch,0.9484746,Nope
259,jc,ch,0.9941506,Nope
260,jc,ch,0.95566756,Nope
261,jc,ch,0.9986594,Nope
