,key,press_time,release_time
0,'o',1652951746.7814133,1652951746.8763266
1,'h',1652951746.9892836,1652951747.0682888
2,'m',1652951747.2447412,1652951747.3965323
3,key.space,1652951747.772634,1652951747.8844252
4,'f',1652951748.4770281,1652951748.5484686
5,'i',1652951748.7479646,1652951748.8768275
6,'l',1652951749.2774894,1652951749.4047382
7,'m',1652951749.9894574,1652951750.0927389
8,'e',1652951750.4685173,1652951750.5887392
9,'d',1652951750.9647381,1652951751.0772412
0,'h',1652951754.9888494,1652951755.0843422
1,'e',1652951755.116226,1652951755.3880975
2,'a',1652951755.253177,1652951755.4128184
3,'t',1652951755.5247614,1652951755.6287725
4,key.space,1652951755.7969549,1652951755.9010427
5,'a',1652951756.0128698,1652951756.1165898
6,'t',1652951756.1325476,1652951756.2442493
7,'o',1652951756.3160565,1652951756.5564468
8,'m',1652951756.460703,1652951756.6122649
9,'s',1652951756.6761267,1652951756.7967715
0,'c',1652951759.5013053,1652951759.5727458
1,'h',1652951759.5965238,1652951759.6846573
2,'a',1652951759.7487497,1652951759.8206332
3,'n',1652951759.8685865,1652951759.9814572
4,'t',1652951760.0448203,1652951760.1327653
5,key.space,1652951760.2685003,1652951760.3649354
6,'a',1652951760.405484,1652951760.5086565
7,'x',1652951760.5730224,1652951760.6694086
8,'i',1652951760.717483,1652951760.860161
9,'s',1652951760.90127,1652951761.0287235
0,'o',1652951764.028526,1652951764.1165187
1,'l',1652951764.2361417,1652951764.3492742
2,'d',1652951764.4365742,1652951764.5166209
3,'i',1652951764.5566316,1652951764.6688337
4,'e',1652951764.7085578,1652951764.7807724
5,'s',1652951764.9328077,1652951765.0210376
6,key.space,1652951765.076324,1652951765.1650531
7,'b',1652951765.261529,1652951765.364771
8,'a',1652951765.468221,1652951765.5485785
9,'y',1652951766.0926034,1652951766.1888816
0,'g',1652951769.5247524,1652951769.6128318
1,'y',1652951769.660778,1652951769.7572267
2,'m',1652951770.0134006,1652951770.1330826
3,key.space,1652951770.3405087,1652951770.444827
4,'z',1652951770.7893076,1652951770.901619
5,'y',1652951770.9973297,1652951771.1014912
6,'g',1652951771.2295494,1652951771.341575
7,'o',1652951771.7810373,1652951771.9095602
8,'t',1652951771.940653,1652951772.0531962
9,'e',1652951772.1326394,1652951772.2450023
0,'a',1652951775.6295044,1652951775.7409582
1,'m',1652951775.876964,1652951776.084698
2,'i',1652951775.9887652,1652951776.14113
3,'d',1652951776.2686634,1652951776.3407853
4,key.space,1652951776.4207335,1652951776.516796
5,'e',1652951776.5487955,1652951776.6127205
6,'x',1652951776.748501,1652951776.8289225
7,'i',1652951776.8927584,1652951777.044757
8,'l',1652951776.9815176,1652951777.1251154
9,'e',1652951777.2054608,1652951777.2926683
0,'k',1652951779.828877,1652951779.9248407
1,'i',1652951780.0609605,1652951780.284838
2,'n',1652951780.236613,1652951780.3568912
3,'d',1652951780.4202926,1652951780.581328
4,'a',1652951780.5087268,1652951780.6526043
5,key.space,1652951780.6044142,1652951780.7086208
6,'m',1652951780.796555,1652951780.8850334
7,'u',1652951780.9894183,1652951781.108767
8,'t',1652951781.1168017,1652951781.2768552
9,'e',1652951781.2206976,1652951781.333
0,'r',1652951785.8529253,1652951786.0047617
1,'a',1652951785.9494984,1652951786.1013606
2,'f',1652951786.1414063,1652951786.197486
3,'t',1652951786.316574,1652951786.3888965
4,'e',1652951786.4767337,1652951786.6360698
5,'r',1652951786.596849,1652951786.6846278
6,key.space,1652951786.804553,1652951786.908557
7,'v',1652951786.9326222,1652951787.0129182
8,'e',1652951787.1413262,1652951787.2374327
9,'x',1652951787.3884852,1652951787.492765
0,'e',1652951790.7729285,1652951790.9165125
1,'l',1652951790.9564064,1652951791.0923007
2,'f',1652951791.1724398,1652951791.2602432
3,key.space,1652951791.3402658,1652951791.4448178
4,'j',1652951791.5405667,1652951791.6208386
5,'u',1652951791.7166774,1652951791.804803
6,'i',1652951791.893095,1652951792.0213327
7,'c',1652951792.0685852,1652951792.1167965
8,'e',1652951792.228766,1652951792.3082278
9,'y',1652951792.3566358,1652951792.4612422
0,'l',1652951814.212755,1652951814.3807502
1,'i',1652951814.316657,1652951814.412964
2,'m',1652951814.5492573,1652951814.645375
3,'b',1652951814.7486298,1652951814.9172282
4,key.space,1652951814.8610096,1652951815.0043488
5,'y',1652951815.1329122,1652951815.2686977
6,'o',1652951815.3808687,1652951815.5405064
7,'u',1652951815.4845335,1652951815.5964973
8,'n',1652951815.6843772,1652951815.7725716
9,'g',1652951815.7884932,1652951815.8692641
0,'e',1652951856.125867,1652951856.2054133
1,'i',1652951856.2362826,1652951856.3329067
2,'g',1652951856.3410442,1652951856.3890774
3,'h',1652951856.4132133,1652951856.5004175
4,'t',1652951856.50936,1652951856.5648115
5,key.space,1652951856.596535,1652951856.6928804
6,'k',1652951856.7885973,1652951856.9408128
7,'n',1652951856.8847978,1652951856.989636
8,'o',1652951857.0528493,1652951857.1489546
9,'w',1652951857.19759,1652951857.2608137
0,'w',1652951859.5095186,1652951859.6048703
1,'r',1652951859.6449852,1652951859.7893574
2,'e',1652951859.7247024,1652951859.8363934
3,'n',1652951859.8288376,1652951859.9168344
4,'c',1652951859.9569151,1652951860.0294626
5,'h',1652951860.0367904,1652951860.1569183
6,key.space,1652951860.116658,1652951860.2448208
7,'f',1652951860.2937622,1652951860.340846
8,'o',1652951860.3889472,1652951860.4924643
9,'x',1652951860.5168488,1652951860.60484
0,'b',1652951863.2606134,1652951863.3570406
1,'e',1652951863.3975284,1652951863.5166705
2,'d',1652951863.485202,1652951863.5735762
3,key.space,1652951863.5889058,1652951863.6930163
4,'a',1652951863.780852,1652951863.8929152
5,'b',1652951863.9971757,1652951864.0604062
6,'j',1652951864.180846,1652951864.260611
7,'u',1652951864.3328483,1652951864.4207454
8,'r',1652951864.4288387,1652951864.5728297
9,'e',1652951864.5171974,1652951864.6050308
0,'p',1652951866.9176369,1652951867.1008015
1,'o',1652951867.0370095,1652951867.1572905
2,'r',1652951867.2288258,1652951867.3087993
3,'k',1652951867.3408704,1652951867.5166998
4,key.space,1652951867.444786,1652951867.5804617
5,'d',1652951867.6208563,1652951867.6846514
6,'o',1652951867.7015457,1652951867.804856
7,'r',1652951867.788788,1652951867.8685563
8,'k',1652951867.9173312,1652951868.0128424
9,'y',1652951868.1171682,1652951868.1965563
0,'q',1652951871.8853776,1652951871.9650996
1,'u',1652951871.9569848,1652951872.1170962
2,'i',1652951872.036645,1652951872.1567686
3,'e',1652951872.141123,1652951872.2773166
4,'t',1652951872.2371738,1652951872.332818
5,key.space,1652951872.3565938,1652951872.4606524
6,'g',1652951872.532853,1652951872.612536
7,'y',1652951872.6688514,1652951872.7813926
8,'r',1652951872.8695445,1652951872.9566867
9,'o',1652951873.012829,1652951873.1248994
0,'q',1652951875.9248343,1652951876.0450034
1,'u',1652951876.1096048,1652951876.2288253
2,'e',1652951876.2849262,1652951876.3808281
3,'n',1652951876.453594,1652951876.5571127
4,'c',1652951876.6287045,1652951876.7088728
5,'h',1652951876.7721984,1652951876.909032
6,key.space,1652951877.6608295,1652951877.7805927
7,'h',1652951878.7015002,1652951878.9007542
8,'u',1652951878.8128488,1652951878.9650521
9,'g',1652951879.044834,1652951879.1252482
0,'i',1652951881.4695985,1652951881.597136
1,'r',1652951881.7886744,1652951881.8608594
2,'k',1652951881.9975984,1652951882.1567533
3,key.space,1652951882.132614,1652951882.2762983
4,'o',1652951882.3243222,1652951882.508847
5,'b',1652951882.4774027,1652951882.5890567
6,'j',1652951882.6928308,1652951882.788557
7,'e',1652951882.8209248,1652951882.900948
8,'c',1652951883.0046265,1652951883.0765784
9,'t',1652951883.180307,1652951883.2692268
0,'k',1652951886.149297,1652951886.3003478
1,'n',1652951886.2448606,1652951886.3327394
