,key,press_time,release_time
0,'o',1652952593.2136314,1652952593.3091218
1,'h',1652952593.294198,1652952593.4028714
2,'m',1652952593.3958933,1652952593.5111797
3,key.space,1652952593.5181577,1652952593.5923438
4,'f',1652952593.6734629,1652952593.788212
5,'i',1652952593.726403,1652952593.8051662
6,'l',1652952593.9229138,1652952594.0267887
7,'m',1652952593.9968338,1652952594.115551
8,'e',1652952594.064687,1652952594.1394882
9,'d',1652952594.2003243,1652952594.2711768
0,'h',1652952596.2871451,1652952596.4288015
1,'e',1652952596.3549635,1652952596.553078
2,'a',1652952596.4477506,1652952596.564326
3,'t',1652952596.50959,1652952596.6284025
4,key.space,1652952596.645383,1652952596.7366862
5,'a',1652952596.7606483,1652952596.8668685
6,'t',1652952596.8245106,1652952596.9376833
7,'o',1652952596.869865,1652952596.9810734
8,'m',1652952596.927708,1652952597.0409148
9,'s',1652952597.0708363,1652952597.1851008
0,'c',1652952599.7847717,1652952599.8865047
1,'h',1652952599.8366325,1652952599.954322
2,'a',1652952599.9613037,1652952600.0662925
3,'n',1652952600.0450788,1652952600.1580477
4,'t',1652952600.127157,1652952600.2274597
5,key.space,1652952600.2583542,1652952600.3396919
6,'a',1652952600.4585843,1652952600.5375137
7,'x',1652952600.723027,1652952600.8159535
8,'i',1652952600.8199437,1652952600.9087138
9,'s',1652952600.9891973,1652952601.063003
0,'o',1652952605.981751,1652952606.069043
1,'l',1652952606.1747596,1652952606.2804773
2,'d',1652952606.282472,1652952606.3981626
3,'i',1652952606.4951558,1652952606.6089973
4,'e',1652952606.6439083,1652952606.742637
5,'s',1652952606.8373837,1652952606.9570925
6,key.space,1652952606.9790652,1652952607.0737786
7,'b',1652952607.114675,1652952607.2434354
8,'a',1652952607.2484221,1652952607.3491528
9,'y',1652952607.4000177,1652952607.566286
0,'g',1652952609.4894884,1652952609.5944602
1,'y',1652952609.9044757,1652952610.05489
2,'m',1652952610.0518963,1652952610.1741402
3,key.space,1652952610.187101,1652952610.2815332
4,'z',1652952610.5164542,1652952610.6449056
5,'y',1652952610.7675786,1652952610.879297
6,'g',1652952611.02196,1652952611.1396437
7,'o',1652952611.126678,1652952611.219431
8,'t',1652952611.2483525,1652952611.3401353
9,'e',1652952611.3550675,1652952611.455837
0,'a',1652952613.1705441,1652952613.2952864
1,'m',1652952613.247342,1652952613.431912
2,'i',1652952613.3441408,1652952613.4748292
3,'d',1652952613.4119632,1652952613.498765
4,key.space,1652952613.5343654,1652952613.6245542
5,'e',1652952613.6355243,1652952613.7208586
6,'x',1652952613.84466,1652952613.921126
7,'i',1652952613.91115,1652952613.9879456
8,'l',1652952614.0887308,1652952614.173539
9,'e',1652952614.204455,1652952614.2930038
0,'k',1652952616.4107497,1652952616.5351799
1,'i',1652952616.571836,1652952616.718444
2,'n',1652952616.6705723,1652952616.801227
3,'d',1652952616.685533,1652952616.8191762
4,'a',1652952616.7982314,1652952616.9278839
5,key.space,1652952616.9464674,1652952617.0362227
6,'m',1652952617.0082974,1652952617.1419406
7,'u',1652952617.1439354,1652952617.2466607
8,'t',1652952617.2177377,1652952617.346421
9,'e',1652952617.3444264,1652952617.4381485
0,'r',1652952619.3699653,1652952619.5122647
1,'a',1652952619.5102656,1652952619.638769
2,'f',1652952619.6317852,1652952619.7075827
3,'t',1652952619.8497896,1652952619.960048
4,'e',1652952620.002336,1652952620.1327116
5,'r',1652952620.0798523,1652952620.1845717
6,key.space,1652952620.2105029,1652952620.303256
7,'v',1652952620.6636405,1652952620.8072958
8,'e',1652952620.7773807,1652952620.8890774
9,'x',1652952621.0210757,1652952621.097871
0,'e',1652952622.9214556,1652952623.0488212
1,'l',1652952623.0497909,1652952623.1510422
2,'f',1652952623.1410687,1652952623.2487807
3,key.space,1652952623.2667325,1652952623.3714554
4,'j',1652952623.2886753,1652952623.4143662
5,'u',1652952623.4921587,1652952623.5828345
6,'i',1652952623.6875553,1652952623.800011
7,'c',1652952624.1397386,1652952624.2454536
8,'e',1652952624.343193,1652952624.4379396
9,'y',1652952624.4967823,1652952624.607034
0,'l',1652952626.4319813,1652952626.5293417
1,'i',1652952626.6555054,1652952626.7689483
2,'m',1652952626.7240696,1652952626.8563313
3,'b',1652952626.7759302,1652952626.8782716
4,key.space,1652952626.905237,1652952626.9740534
5,'y',1652952627.0546837,1652952627.1699646
6,'o',1652952627.0786185,1652952627.1909094
7,'u',1652952627.146028,1652952627.2285147
8,'n',1652952627.3183966,1652952627.3991625
9,'g',1652952627.3871906,1652952627.4760218
0,'e',1652952629.2748086,1652952629.420455
1,'i',1652952629.3885393,1652952629.4812915
2,'g',1652952629.525509,1652952629.629859
3,'h',1652952629.5939476,1652952629.702705
4,'t',1652952629.7296593,1652952629.8303626
5,key.space,1652952629.8662663,1652952629.9540334
6,'k',1652952630.2323592,1652952630.3330903
7,'n',1652952630.4328601,1652952630.5665538
8,'o',1652952630.5143952,1652952630.6191819
9,'w',1652952630.576231,1652952630.6659572
0,'w',1652952632.450723,1652952632.654707
1,'r',1652952632.6477218,1652952632.7744129
2,'e',1652952632.8063004,1652952632.944707
3,'n',1652952632.9347334,1652952633.0351036
4,'c',1652952633.056021,1652952633.1712818
5,'h',1652952633.1633291,1652952633.279
6,key.space,1652952633.2859735,1652952633.3737411
7,'f',1652952633.413633,1652952633.5034347
8,'o',1652952633.4635048,1652952633.562682
9,'x',1652952633.6363554,1652952633.7311
0,'b',1652952635.6257644,1652952635.7255387
1,'e',1652952635.8192763,1652952635.9210432
2,'d',1652952636.0059462,1652952636.1156528
3,key.space,1652952636.158227,1652952636.243997
4,'a',1652952636.3616824,1652952636.4609294
5,'b',1652952636.616148,1652952636.7260232
6,'j',1652952636.7190464,1652952636.8058424
7,'u',1652952636.8991146,1652952636.9838881
8,'r',1652952636.9609969,1652952637.0747004
9,'e',1652952637.058743,1652952637.1471143
0,'p',1652952638.890024,1652952639.0126956
1,'o',1652952638.9867666,1652952639.1260455
2,'r',1652952639.1060948,1652952639.2202563
3,'k',1652952639.4198034,1652952639.5340626
4,key.space,1652952639.5920045,1652952639.6917915
