,key,press_time,release_time
0,'o',1653028049.5976553,1653028049.7252727
1,'h',1653028049.7993083,1653028049.9263082
2,'m',1653028049.9123096,1653028050.0103564
3,key.space,1653028050.1243877,1653028050.2304237
4,'f',1653028050.475467,1653028050.6104674
5,'i',1653028050.7164667,1653028050.8925145
6,'l',1653028050.8235147,1653028050.93652
7,'m',1653028051.0535183,1653028051.166126
8,'e',1653028051.1751242,1653028051.3971794
9,'d',1653028051.3051648,1653028051.4511805
0,'h',1653028055.061265,1653028055.134265
1,'e',1653028055.168273,1653028055.4097893
2,'a',1653028055.3312821,1653028055.5507917
3,'t',1653028055.4277909,1653028055.5818112
4,key.space,1653028055.533789,1653028055.6468084
5,'a',1653028055.6948078,1653028055.8817916
6,'t',1653028055.8158247,1653028055.9508276
7,'o',1653028055.9938495,1653028056.1258614
8,'m',1653028056.0528576,1653028056.1818583
9,'s',1653028056.2068825,1653028056.3372295
0,'c',1653028059.0182843,1653028059.1972866
1,'h',1653028059.1502848,1653028059.227308
2,'a',1653028059.2879424,1653028059.6300068
3,'n',1653028059.4039629,1653028059.4619625
4,'t',1653028059.534962,1653028059.6713052
5,key.space,1653028059.6200023,1653028059.7723055
6,'a',1653028059.773306,1653028059.8940084
7,'x',1653028060.2871273,1653028060.3941667
8,'i',1653028060.3531694,1653028060.4821663
9,'s',1653028060.5111685,1653028060.6271677
0,'o',1653028063.056177,1653028063.129177
1,'l',1653028063.2171788,1653028063.3162234
2,'d',1653028063.3122146,1653028063.4462345
3,'i',1653028063.4222376,1653028063.5132363
4,'e',1653028063.5902524,1653028063.8502529
5,'s',1653028063.6672537,1653028063.8652523
6,key.space,1653028063.8092504,1653028063.9528937
7,'b',1653028064.1979704,1653028064.2849925
8,'a',1653028064.2999947,1653028064.4641232
9,'y',1653028064.4711268,1653028064.534201
0,'g',1653028067.0175052,1653028067.1045077
1,'y',1653028067.0505078,1653028067.1275053
2,'m',1653028067.3128073,1653028067.415857
3,key.space,1653028067.4898946,1653028067.5779614
4,'z',1653028067.8850381,1653028068.0417247
5,'y',1653028068.0562484,1653028068.1182735
6,'g',1653028068.274354,1653028068.4433503
7,'o',1653028068.3883514,1653028068.5373893
8,'t',1653028069.0795152,1653028069.230531
9,'e',1653028069.189511,1653028069.3075507
0,'a',1653028075.9557624,1653028076.127682
1,'m',1653028076.0646422,1653028076.2221801
2,'i',1653028076.166525,1653028076.31518
3,'d',1653028076.9429705,1653028077.133818
4,key.space,1653028077.0486066,1653028077.1808178
5,'e',1653028078.1926017,1653028078.2696028
6,'x',1653028078.368212,1653028078.489428
7,'i',1653028078.5444276,1653028078.6797385
8,'l',1653028078.6204338,1653028078.7457407
9,'e',1653028078.7467425,1653028078.8477373
0,'k',1653028081.4878523,1653028081.6019065
1,'i',1653028081.577887,1653028081.7589488
2,'n',1653028081.732928,1653028081.8759906
3,'d',1653028081.857987,1653028081.9850075
4,'a',1653028081.995009,1653028082.2130435
5,key.space,1653028082.1050467,1653028082.2510436
6,'m',1653028082.2380457,1653028082.358083
7,'u',1653028082.4051027,1653028082.490101
8,'t',1653028082.5161197,1653028082.6717215
9,'e',1653028082.6177216,1653028082.757721
0,'r',1653028084.9734986,1653028085.1304977
1,'a',1653028085.093501,1653028085.3021274
2,'f',1653028085.6472502,1653028085.7442844
3,'t',1653028085.8837936,1653028085.9647934
4,'e',1653028086.1208568,1653028086.2977815
5,'r',1653028086.2354028,1653028086.3887825
6,key.space,1653028086.3337817,1653028086.461785
7,'v',1653028086.6780179,1653028086.7520185
8,'e',1653028086.8680491,1653028086.9450681
9,'x',1653028087.0900762,1653028087.193099
0,'e',1653028089.420931,1653028089.592986
1,'l',1653028089.5519876,1653028089.673986
2,'f',1653028089.7099874,1653028089.8780036
3,key.space,1653028089.8039875,1653028089.9180036
4,'j',1653028090.7448006,1653028090.8068368
5,'u',1653028090.9678583,1653028091.1289122
6,'i',1653028091.0698788,1653028091.1809306
7,'c',1653028091.569039,1653028091.6650379
8,'e',1653028091.7330377,1653028091.8780565
9,'y',1653028091.8350399,1653028091.9200814
0,'l',1653028094.101147,1653028094.1711512
1,'i',1653028094.2751694,1653028094.3501692
2,'m',1653028094.4561667,1653028094.54419
3,'b',1653028094.6831877,1653028094.7488074
4,key.space,1653028094.9218452,1653028095.0308979
5,'y',1653028095.3719518,1653028095.4809506
6,'o',1653028095.5179522,1653028095.6859713
7,'u',1653028095.5899508,1653028095.7269742
8,'n',1653028095.6679728,1653028095.8000145
9,'g',1653028095.802014,1653028095.9130359
0,'e',1653028098.070432,1653028098.2264311
1,'i',1653028098.1764297,1653028098.2934291
2,'g',1653028098.2894292,1653028098.3804293
3,'h',1653028098.377429,1653028098.48443
4,'t',1653028098.520853,1653028098.6898706
5,key.space,1653028098.69587,1653028098.8155234
6,'k',1653028099.0575337,1653028099.122545
7,'n',1653028099.2187808,1653028099.3728004
8,'o',1653028099.3068004,1653028099.427832
9,'w',1653028099.4288337,1653028099.5698228
0,'w',1653028101.760323,1653028101.8483398
1,'r',1653028101.9813583,1653028102.1333585
2,'e',1653028102.0853586,1653028102.1953585
3,'n',1653028102.2353601,1653028102.334358
4,'c',1653028102.4153972,1653028102.5324385
5,'h',1653028102.495396,1653028102.5704532
6,key.space,1653028102.6824687,1653028102.781099
7,'f',1653028103.585841,1653028103.6818419
8,'o',1653028103.7108428,1653028103.8178408
9,'x',1653028103.8638406,1653028103.9768414
0,'b',1653028106.193511,1653028106.2565112
1,'e',1653028106.5135517,1653028106.592552
2,'d',1653028106.7625692,1653028106.935572
3,key.space,1653028106.869573,1653028106.9982653
4,'a',1653028107.4393766,1653028107.5683827
5,'b',1653028107.642028,1653028107.7080395
6,'j',1653028107.8370526,1653028108.0150716
7,'u',1653028107.9810598,1653028108.1111135
8,'r',1653028108.0620914,1653028108.2301111
9,'e',1653028108.1831117,1653028108.2961133
0,'p',1653028116.946089,1653028117.136139
1,'o',1653028117.0341077,1653028117.1511738
2,'r',1653028117.12814,1653028117.3378735
3,'k',1653028117.322855,1653028117.4068718
4,key.space,1653028117.538933,1653028117.640223
5,'d',1653028118.0393152,1653028118.1313121
6,'o',1653028118.5013344,1653028118.635375
7,'r',1653028118.9173858,1653028119.0633843
8,'k',1653028119.0443842,1653028119.161381
9,'y',1653028119.3150477,1653028119.3750644
0,'q',1653028121.9551241,1653028122.0623617
1,'u',1653028122.2273962,1653028122.4314582
2,'i',1653028122.3334317,1653028122.4694607
3,'e',1653028122.5074592,1653028122.720565
4,'t',1653028122.651564,1653028122.813629
5,key.space,1653028122.760566,1653028122.8896477
6,'g',1653028123.6468039,1653028123.763804
7,'y',1653028123.704805,1653028123.7848039
8,'r',1653028123.876804,1653028123.9868252
9,'o',1653028123.9938254,1653028124.074861
0,'q',1653028126.5800157,1653028126.678014
1,'u',1653028126.6720145,1653028126.7630143
2,'e',1653028126.8670142,1653028126.9860158
3,'n',1653028127.0340142,1653028127.143014
4,'c',1653028127.2180142,1653028127.5860176
5,'h',1653028127.3390138,1653028127.4100196
6,key.space,1653028127.5370169,1653028127.629211
7,'h',1653028128.2542934,1653028128.3767893
8,'u',1653028128.3167868,1653028128.4224205
9,'g',1653028128.5064402,1653028128.624299
0,'i',1653028130.6712701,1653028130.7352693
1,'r',1653028130.8112838,1653028130.9363563
2,'k',1653028130.9393554,1653028131.0563545
3,key.space,1653028131.1693952,1653028131.2644134
4,'o',1653028131.8030784,1653028131.8750925
5,'b',1653028132.4382324,1653028132.503235
6,'j',1653028132.62425,1653028132.708894
7,'e',1653028132.7508948,1653028132.884895
8,'c',1653028132.8308952,1653028132.9658954
9,'t',1653028133.1159165,1653028133.236453
0,'k',1653028135.347818,1653028135.5328178
1,'n',1653028135.5158179,1653028135.6908746
2,'o',1653028135.606856,1653028135.7578747
3,'t',1653028135.7198749,1653028135.8958907
4,key.space,1653028135.8778906,1653028135.9718895
5,'v',1653028136.5683947,1653028136.663423
6,'i',1653028136.664423,1653028136.7544205
7,'t',1653028136.8614357,1653028136.9770708
8,'a',1653028136.9564538,1653028137.139086
9,'l',1653028137.0510693,1653028137.1330855
0,'g',1653028139.826627,1653028139.9252186
1,'a',1653028139.9402194,1653028140.130378
2,'t',1653028140.061263,1653028140.174378
3,'e',1653028140.219407,1653028140.4740791
4,'d',1653028140.39443,1653028140.5551553
5,key.space,1653028140.4750795,1653028140.609151
6,'h',1653028140.7371988,1653028140.8291957
7,'i',1653028140.784197,1653028140.9282353
8,'n',1653028140.9612596,1653028141.0963266
9,'d',1653028141.110328,1653028141.2823544
0,'p',1653028143.1475885,1653028143.2205877
1,'i',1653028143.3046281,1653028143.3852324
2,'e',1653028143.4512336,1653028143.5422351
3,'c',1653028143.6742322,1653028143.8169312
4,'e',1653028143.7772698,1653028143.9119313
5,'s',1653028143.9999695,1653028144.1649911
6,key.space,1653028144.1099927,1653028144.241995
7,'l',1653028144.3810089,1653028144.4580293
8,'y',1653028144.6476777,1653028144.7236934
9,'e',1653028144.7426949,1653028144.8667202
0,'k',1653028146.7798476,1653028146.8538485
