Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Class,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
adhy,o_h,15_8,15,8,3,0.154125452,0.093798399,0.247923851,0.232284307,0.38640976,0.138485909
adhy,h_m,8_13,8,13,3,0.138485909,0.300716877,0.439202785,0.485730886,0.624216795,0.185014009
adhy,m_~,13_0,13,0,3,0.185014009,-0.03773427,0.147279739,0.115650177,0.300664186,0.153384447
adhy,~_f,0_6,0,6,3,0.153384447,0.046875,0.200259447,0.247606754,0.400991201,0.200731754
adhy,f_i,6_9,6,9,3,0.200731754,-0.115927696,0.084804058,0.021763802,0.222495556,0.137691498
adhy,i_l,9_12,9,12,3,0.137691498,0.062543392,0.20023489,0.193851233,0.33154273,0.13130784
adhy,l_m,12_13,12,13,3,0.13130784,0.121734142,0.253041983,0.237703085,0.369010925,0.115968943
adhy,m_e,13_5,13,5,3,0.115968943,-0.015514612,0.10045433,0.100631237,0.21660018,0.116145849
adhy,e_d,5_4,5,4,3,0.116145849,0.169545889,0.285691738,0.301470757,0.417616606,0.131924868
adhy,h_e,8_5,8,5,4,0.18518281,0.253541708,0.438724518,0.3853302,0.57051301,0.131788492
adhy,e_a,5_1,5,1,4,0.131788492,0.285710096,0.417498589,0.455239773,0.587028265,0.169529676
adhy,a_t,1_20,1,20,4,0.169529676,-0.069105387,0.10042429,0.062639713,0.23216939,0.1317451
adhy,t_~,20_0,20,0,4,0.1317451,-0.046875238,0.084869862,0.116149664,0.247894764,0.163024902
adhy,~_a,0_1,0,1,4,0.163024902,-0.04698658,0.116038322,0.100534678,0.26355958,0.147521257
adhy,a_t,1_20,1,20,4,0.147521257,-0.031252384,0.116268873,0.122220278,0.269741535,0.153472662
adhy,t_o,20_15,20,15,4,0.153472662,-0.069156647,0.084316015,0.131813765,0.285286427,0.200970411
adhy,o_m,15_13,15,13,4,0.200970411,-0.10051465,0.100455761,0.084832668,0.28580308,0.185347319
adhy,m_s,13_19,13,19,4,0.185347319,-0.06917429,0.116173029,0.046874285,0.232221603,0.116048574
adhy,c_h,3_8,3,8,5,0.147403002,-0.06914258,0.078260422,0.068697214,0.216100216,0.137839794
adhy,h_a,8_1,8,1,5,0.137839794,0.015532255,0.153372049,0.178458929,0.316298723,0.162926674
adhy,a_n,1_14,1,14,5,0.162926674,-0.046873331,0.116053343,0.106494427,0.269421101,0.153367758
adhy,n_t,14_20,14,20,5,0.153367758,0.046960115,0.200327873,0.163096905,0.316464663,0.116136789
adhy,t_~,20_0,20,0,5,0.116136789,-0.015623331,0.100513458,0.116072655,0.232209444,0.131695986
adhy,~_a,0_1,0,1,5,0.131695986,0.069051981,0.200747967,0.206735373,0.338431358,0.137683392
adhy,a_x,1_24,1,24,5,0.137683392,0.147502422,0.285185814,0.279093981,0.416777372,0.131591558
adhy,x_i,24_9,24,9,5,0.131591558,-0.062530041,0.069061518,0.084742308,0.216333866,0.147272348
adhy,i_s,9_19,9,19,5,0.147272348,0.053091049,0.200363398,0.16927433,0.316546679,0.116183281
adhy,o_l,15_12,15,12,6,0.116146326,0.185094357,0.301240683,0.347630024,0.46377635,0.162535667
adhy,l_d,12_4,12,4,6,0.162535667,0.037920713,0.200456381,0.153902769,0.316438437,0.115982056
adhy,d_i,4_9,4,9,6,0.115982056,0.015625477,0.131607533,0.153767824,0.26974988,0.138142347
adhy,i_e,9_5,9,5,6,0.138142347,-0.022068739,0.116073608,0.116244793,0.25438714,0.138313532
adhy,e_s,5_19,5,19,6,0.138313532,0.078035355,0.216348886,0.262876749,0.401190281,0.184841394
adhy,s_~,19_0,19,0,6,0.184841394,0.015625238,0.200466633,0.169224501,0.354065895,0.153599262
adhy,~_b,0_2,0,2,6,0.153599262,0.015535593,0.169134855,0.200418234,0.354017496,0.184882641
adhy,b_a,2_1,2,1,6,0.184882641,-0.084387064,0.100495577,0.100020647,0.284903288,0.184407711
adhy,a_y,1_25,1,25,6,0.184407711,-0.015714884,0.168692827,0.100524426,0.284932137,0.116239309
adhy,g_y,7_25,7,25,3,0.137315035,-0.084265947,0.053049088,0.015728474,0.153043509,0.099994421
adhy,y_m,25_13,25,13,3,0.099994421,0.169675827,0.269670248,0.354693174,0.454687595,0.185017347
adhy,m_~,13_0,13,0,3,0.185017347,-0.022076607,0.162940741,0.131801128,0.316818476,0.153877735
adhy,~_z,0_26,0,26,3,0.153877735,-0.031344891,0.122532845,0.169591665,0.3234694,0.200936556
adhy,z_y,26_25,26,25,3,0.200936556,-0.100411654,0.100524902,0.047016144,0.2479527,0.147427797
adhy,y_g,25_7,25,7,3,0.147427797,0.05344224,0.200870037,0.184702396,0.332130194,0.131260157
adhy,g_o,7_15,7,15,3,0.131260157,-0.068611622,0.062648535,0.100129366,0.231389523,0.168740988
adhy,o_t,15_20,15,20,3,0.168740988,0.10041666,0.269157648,0.232216358,0.400957346,0.131799698
adhy,t_e,20_5,20,5,3,0.131799698,-0.04691124,0.084888458,0.084900618,0.216700315,0.131811857
adhy,a_m,1_13,1,13,4,0.153733492,0.116185904,0.269919395,0.231902122,0.385635614,0.115716219
adhy,m_i,13_9,13,9,4,0.115716219,0.169611692,0.285327911,0.332665205,0.448381424,0.163053513
adhy,i_d,9_4,9,4,4,0.163053513,-0.031359196,0.131694317,0.131556988,0.2946105,0.162916183
adhy,d_~,4_0,4,0,4,0.162916183,0.021832943,0.184749126,0.153203487,0.316119671,0.131370544
adhy,~_e,0_5,0,5,4,0.131370544,0.015625477,0.146996021,0.142602921,0.273973465,0.126977444
