Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Class,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
alan,o_h,15_8,15,8,3,0.054853201,0.04488039,0.099733591,0.100730896,0.155584097,0.055850506
alan,h_m,8_13,8,13,3,0.055850506,0.069813251,0.125663757,0.129653215,0.185503721,0.059839964
alan,m_~,13_0,13,0,3,0.059839964,0.124666691,0.184506655,0.180516958,0.240356922,0.055850267
alan,~_f,0_6,0,6,3,0.055850267,0.080784321,0.136634588,0.13563776,0.191488028,0.054853439
alan,f_i,6_9,6,9,3,0.054853439,0.0249331,0.079786539,0.084773064,0.139626503,0.059839964
alan,i_l,9_12,9,12,3,0.059839964,0.130651951,0.190491915,0.200463772,0.260303736,0.069811821
alan,l_m,12_13,12,13,3,0.069811821,0.04488039,0.114692211,0.125663996,0.195475817,0.080783606
alan,m_e,13_5,13,5,3,0.080783606,0.024933815,0.105717421,0.079786777,0.160570383,0.054852962
alan,e_d,5_4,5,4,3,0.054852962,0.100730658,0.15558362,0.175530672,0.230383635,0.074800014
alan,h_e,8_5,8,5,4,0.060346603,0.044880629,0.105227232,0.110211849,0.170558453,0.065331221
alan,e_a,5_1,5,1,4,0.065331221,-0.009974003,0.055357218,0.05983901,0.125170231,0.069813013
alan,a_t,1_20,1,20,4,0.069813013,0.064826488,0.134639502,0.135637283,0.205450296,0.070810795
alan,t_~,20_0,20,0,4,0.070810795,0.064826488,0.135637283,0.134639978,0.205450773,0.06981349
alan,~_a,0_1,0,1,4,0.06981349,0.145610571,0.215424061,0.210437298,0.280250788,0.064826727
alan,a_t,1_20,1,20,4,0.064826727,0.09574461,0.160571337,0.120677233,0.18550396,0.024932623
alan,t_o,20_15,20,15,4,0.024932623,0.486205578,0.511138201,0.566990852,0.591923475,0.080785275
alan,o_m,15_13,15,13,4,0.080785275,-0.025930882,0.054854393,0.054852247,0.135637522,0.080783129
alan,m_s,13_19,13,19,4,0.080783129,-0.019945145,0.060837984,0.049866199,0.130649328,0.069811344
alan,c_h,3_8,3,8,5,0.069323778,0.060345173,0.129668951,0.130158663,0.199482441,0.06981349
alan,h_a,8_1,8,1,5,0.06981349,-0.009973526,0.059839964,0.07031703,0.14013052,0.080290556
alan,a_n,1_14,1,14,5,0.080290556,0.040891171,0.121181726,0.11070466,0.190995216,0.06981349
alan,n_t,14_20,14,20,5,0.06981349,0.004986048,0.074799538,0.079786301,0.149599791,0.074800253
alan,t_~,20_0,20,0,5,0.074800253,0.079786301,0.154586554,0.130650282,0.205450535,0.050863981
alan,~_a,0_1,0,1,5,0.050863981,0.235370636,0.286234617,0.395941734,0.446805716,0.160571098
alan,a_x,1_24,1,24,5,0.160571098,0.029920101,0.190491199,0.094746828,0.255317926,0.064826727
alan,x_i,24_9,24,9,5,0.064826727,0.024932861,0.089759588,0.111208916,0.176035643,0.086276054
