Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Class,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
bryce,o_h,15_8,15,8,3,0.094913244,0.112957001,0.207870245,0.191962242,0.286875486,0.079005241
bryce,h_m,8_13,8,13,3,0.079005241,0.176452398,0.25545764,0.328243494,0.407248735,0.151791096
bryce,m_~,13_0,13,0,3,0.151791096,0.376101732,0.527892828,0.487892866,0.639683962,0.111791134
bryce,~_f,0_6,0,6,3,0.111791134,0.592602968,0.704394102,0.664043427,0.77583456,0.071440458
bryce,f_i,6_9,6,9,3,0.071440458,0.199496031,0.270936489,0.328358889,0.399799347,0.128862858
bryce,i_l,9_12,9,12,3,0.128862858,0.400661945,0.529524803,0.527910709,0.656773567,0.127248764
bryce,l_m,12_13,12,13,3,0.127248764,0.584719181,0.711967945,0.688000679,0.815249443,0.103281498
bryce,m_e,13_5,13,5,3,0.103281498,0.375778437,0.479059935,0.49600029,0.599281788,0.120221853
bryce,e_d,5_4,5,4,3,0.120221853,0.375998974,0.496220827,0.488502026,0.608723879,0.112503052
bryce,h_e,8_5,8,5,4,0.09549284,0.031883717,0.127376556,0.303755283,0.399248123,0.271871567
bryce,e_a,5_1,5,1,4,0.271871567,-0.134920597,0.13695097,0.024720907,0.296592474,0.159641504
bryce,a_t,1_20,1,20,4,0.159641504,0.111943007,0.271584511,0.215954065,0.37559557,0.104011059
bryce,t_~,20_0,20,0,4,0.104011059,0.168182373,0.272193432,0.272270203,0.376281261,0.10408783
bryce,~_a,0_1,0,1,4,0.10408783,0.111827135,0.215914965,0.215547085,0.319634914,0.10371995
bryce,a_t,1_20,1,20,4,0.10371995,0.015957832,0.119677782,0.127659559,0.231379509,0.111701727
bryce,t_o,20_15,20,15,4,0.111701727,0.071807146,0.183508873,0.312197447,0.423899174,0.240390301
bryce,o_m,15_13,15,13,4,0.240390301,-0.095743895,0.144646406,0.055818081,0.296208382,0.151561975
bryce,m_s,13_19,13,19,4,0.151561975,0.063861847,0.215423822,0.184506655,0.33606863,0.120644808
bryce,c_h,3_8,3,8,5,0.071440458,0.023777962,0.09521842,0.111911535,0.183351994,0.088133574
bryce,h_a,8_1,8,1,5,0.088133574,0.064092398,0.152225971,0.135975838,0.224109411,0.07188344
bryce,a_n,1_14,1,14,5,0.07188344,0.047953367,0.119836807,0.16082406,0.2327075,0.112870693
bryce,n_t,14_20,14,20,5,0.112870693,0.063363075,0.176233768,0.15130806,0.264178753,0.087944984
bryce,t_~,20_0,20,0,5,0.087944984,0.135735035,0.223680019,0.232170105,0.320115089,0.09643507
bryce,~_a,0_1,0,1,5,0.09643507,0.040548563,0.136983633,0.143721104,0.240156174,0.103172541
bryce,a_x,1_24,1,24,5,0.103172541,0.064365864,0.167538404,0.160752058,0.263924599,0.096386194
bryce,x_i,24_9,24,9,5,0.096386194,0.048074484,0.144460678,0.190752506,0.2871387,0.142678022
bryce,i_s,9_19,9,19,5,0.142678022,0.041108847,0.183786869,0.168562412,0.311240435,0.127453566
bryce,o_l,15_12,15,12,6,0.087992668,0.119622946,0.207615614,0.232755423,0.320748091,0.113132477
bryce,l_d,12_4,12,4,6,0.113132477,0.087300062,0.200432539,0.167346716,0.280479193,0.080046654
bryce,d_i,4_9,4,9,6,0.080046654,0.040010691,0.120057344,0.152212858,0.232259512,0.112202168
bryce,i_e,9_5,9,5,6,0.112202168,0.039724112,0.151926279,0.111938715,0.224140882,0.072214603
bryce,e_s,5_19,5,19,6,0.072214603,0.152035236,0.22424984,0.240265131,0.312479734,0.088229895
bryce,s_~,19_0,19,0,6,0.088229895,0.055286407,0.143516302,0.144015551,0.232245445,0.088729143
bryce,~_b,0_2,0,2,6,0.088729143,0.09647584,0.185204983,0.19971776,0.288446903,0.10324192
bryce,b_a,2_1,2,1,6,0.10324192,0.10345006,0.20669198,0.183807611,0.287049532,0.080357552
bryce,a_y,1_25,1,25,6,0.080357552,0.544024944,0.624382496,0.640303135,0.720660686,0.096278191
bryce,g_y,7_25,7,25,3,0.088079453,0.047946215,0.136025667,0.144394875,0.232474327,0.09644866
bryce,y_m,25_13,25,13,3,0.09644866,0.256173849,0.352622509,0.375855923,0.472304583,0.119682074
bryce,m_~,13_0,13,0,3,0.119682074,0.207426071,0.327108145,0.311744452,0.431426525,0.10431838
bryce,~_z,0_26,0,26,3,0.10431838,0.344480515,0.448798895,0.456791878,0.561110258,0.112311363
bryce,z_y,26_25,26,25,3,0.112311363,0.095710754,0.208022118,0.199872255,0.312183619,0.104161501
bryce,y_g,25_7,25,7,3,0.104161501,0.128058195,0.232219696,0.240083694,0.344245195,0.112025499
bryce,g_o,7_15,7,15,3,0.112025499,0.439462423,0.551487923,0.567985296,0.680010796,0.128522873
bryce,o_t,15_20,15,20,3,0.128522873,0.031092882,0.159615755,0.143635988,0.272158861,0.112543106
bryce,t_e,20_5,20,5,3,0.112543106,0.079443216,0.191986322,0.191806078,0.304349184,0.112362862
bryce,a_m,1_13,1,13,4,0.111453772,0.136005878,0.24745965,0.343739748,0.45519352,0.20773387
bryce,m_i,13_9,13,9,4,0.20773387,-0.095932722,0.111801147,0.056432009,0.264165878,0.152364731
bryce,i_d,9_4,9,4,4,0.152364731,0.127533436,0.279898167,0.199655294,0.352020025,0.072121859
bryce,d_~,4_0,4,0,4,0.072121859,0.079948187,0.152070045,0.176010847,0.248132706,0.09606266
bryce,~_e,0_5,0,5,4,0.09606266,0.03199935,0.12806201,0.095924377,0.191987038,0.063925028
bryce,e_x,5_24,5,24,4,0.063925028,0.135780573,0.199705601,0.216202021,0.280127048,0.080421448
bryce,x_i,24_9,24,9,4,0.080421448,0.063835859,0.144257307,0.215834379,0.296255827,0.15199852
bryce,i_l,9_12,9,12,4,0.15199852,-0.063239336,0.088759184,0.080358505,0.232357025,0.143597841
bryce,l_e,12_5,12,5,4,0.143597841,0.080345392,0.223943233,0.167552948,0.311150789,0.087207556
bryce,k_i,11_9,11,9,5,0.095963717,0.136119843,0.232083559,0.359997272,0.455960989,0.22387743
bryce,i_n,9_14,9,14,5,0.22387743,-0.048224926,0.175652504,0.072053194,0.295930624,0.12027812
bryce,n_d,14_4,14,4,5,0.12027812,0.063401461,0.183679581,0.22443676,0.34471488,0.161035299
bryce,d_a,4_1,4,1,5,0.161035299,-0.07260108,0.088434219,0.071276426,0.232311726,0.143877506
bryce,a_~,1_0,1,0,5,0.143877506,-0.048190117,0.095687389,0.056016445,0.199893951,0.104206562
bryce,~_m,0_13,0,13,5,0.104206562,0.087934256,0.192140818,0.176412582,0.280619144,0.088478327
bryce,m_u,13_21,13,21,5,0.088478327,0.104384899,0.192863226,0.223733664,0.31221199,0.119348764
bryce,u_t,21_20,21,20,5,0.119348764,0.008034706,0.127383471,0.168088198,0.287436962,0.160053492
bryce,t_e,20_5,20,5,5,0.160053492,-0.056157589,0.103895903,0.056144714,0.216198206,0.112302303
bryce,r_a,18_1,18,1,6,0.151836395,-0.055263281,0.096573114,0.096598864,0.248435259,0.151862144
bryce,a_f,1_6,1,6,6,0.151862144,0.040045738,0.191907883,0.096125364,0.247987509,0.056079626
bryce,f_t,6_20,6,20,6,0.056079626,0.119088173,0.175167799,0.191410542,0.247490168,0.072322369
bryce,t_e,20_5,20,5,6,0.072322369,0.087837219,0.160159588,0.247173309,0.319495678,0.15933609
bryce,e_r,5_18,5,18,6,0.15933609,-0.03922081,0.12011528,0.048557997,0.207894087,0.087778807
bryce,r_~,18_0,18,0,6,0.087778807,0.119925261,0.207704067,0.223929167,0.311707973,0.104003906
bryce,~_v,0_22,0,22,6,0.104003906,0.024065256,0.128069162,0.104361296,0.208365202,0.08029604
bryce,v_e,22_5,22,5,6,0.08029604,0.128407955,0.208703995,0.224514484,0.304810524,0.096106529
bryce,e_x,5_24,5,24,6,0.096106529,0.151052475,0.247159004,0.255332232,0.351438761,0.104279757
bryce,e_l,5_12,5,12,3,0.143584013,0.039893866,0.183477879,0.175788164,0.319372177,0.135894299
bryce,l_f,12_6,12,6,3,0.135894299,0.08013916,0.216033459,0.167942524,0.303836823,0.087803364
bryce,f_~,6_0,6,0,3,0.087803364,0.080022573,0.167825937,0.184574604,0.272377968,0.104552031
bryce,~_j,0_10,0,10,3,0.104552031,0.095748901,0.200300932,0.176020861,0.280572891,0.080271959
bryce,j_u,10_21,10,21,3,0.080271959,0.095838785,0.176110744,0.183964252,0.264236212,0.088125467
bryce,u_i,21_9,21,9,3,0.088125467,0.088292122,0.176417589,0.216529846,0.304655313,0.128237724
bryce,i_c,9_3,9,3,3,0.128237724,0.047252417,0.175490141,0.095463753,0.223701477,0.048211336
