Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Class,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
chris,o_h,15_8,15,8,3,0.095490456,-0.014923811,0.080566645,0.093749523,0.189239979,0.108673334
chris,h_m,8_13,8,13,3,0.108673334,-0.006978035,0.101695299,0.108308315,0.216981649,0.11528635
chris,m_~,13_0,13,0,3,0.11528635,0.006978035,0.122264385,0.081164122,0.196450472,0.074186087
chris,~_f,0_6,0,6,3,0.074186087,0.081119061,0.155305147,0.195868254,0.27005434,0.114749193
chris,f_i,6_9,6,9,3,0.114749193,-0.061809063,0.05294013,0.016954184,0.131703377,0.078763247
chris,i_l,9_12,9,12,3,0.078763247,0.117747545,0.196510792,0.221622467,0.300385714,0.103874922
chris,l_m,12_13,12,13,3,0.103874922,-0.02995491,0.073920012,0.088762283,0.192637205,0.118717194
chris,m_e,13_5,13,5,3,0.118717194,-0.050863981,0.067853212,0.023937225,0.142654419,0.074801207
chris,e_d,5_4,5,4,3,0.074801207,0.060836077,0.135637283,0.131688595,0.206489801,0.070852518
chris,h_e,8_5,8,5,4,0.141656399,-0.073837996,0.067818403,0.1242764,0.265932798,0.198114395
chris,e_a,5_1,5,1,4,0.198114395,-0.105327368,0.092787027,0.011248112,0.209362507,0.11657548
chris,a_t,1_20,1,20,4,0.11657548,-0.054736137,0.061839342,0.064076424,0.180651903,0.118812561
chris,t_~,20_0,20,0,4,0.118812561,0.01698041,0.135792971,0.108283758,0.227096319,0.091303349
chris,~_a,0_1,0,1,4,0.091303349,0.023962021,0.115265369,0.130182266,0.221485615,0.106220245
chris,a_t,1_20,1,20,4,0.106220245,-0.042357922,0.063862324,0.070814848,0.177035093,0.11317277
chris,t_o,20_15,20,15,4,0.11317277,-0.067818403,0.045354366,0.043390036,0.156562805,0.111208439
chris,o_m,15_13,15,13,4,0.111208439,-0.053365469,0.05784297,0.059841394,0.171049833,0.113206863
chris,m_s,13_19,13,19,4,0.113206863,0.029921532,0.143128395,0.14418602,0.257392883,0.114264488
chris,c_h,3_8,3,8,5,0.101732969,-0.04987216,0.051860809,0.06781745,0.169550419,0.11768961
chris,h_a,8_1,8,1,5,0.11768961,0.006981611,0.124671221,0.111970425,0.229660034,0.104988813
chris,a_n,1_14,1,14,5,0.104988813,-0.02121377,0.083775043,0.091755152,0.196743965,0.112968922
chris,n_t,14_20,14,20,5,0.112968922,-0.030890703,0.082078218,0.069411993,0.182380915,0.100302696
chris,t_~,20_0,20,0,5,0.100302696,0.030894518,0.131197214,0.112232208,0.212534904,0.08133769
chris,~_a,0_1,0,1,5,0.08133769,0.118892431,0.200230122,0.197821856,0.279159546,0.078929424
chris,a_x,1_24,1,24,5,0.078929424,0.185513258,0.264442682,0.27843976,0.357369184,0.092926502
chris,x_i,24_9,24,9,5,0.092926502,0.003990173,0.096916676,0.092760324,0.185686827,0.088770151
chris,i_s,9_19,9,19,5,0.088770151,0.080483437,0.169253588,0.154289246,0.243059397,0.073805809
chris,o_l,15_12,15,12,6,0.087291956,0.105716705,0.193008661,0.211434364,0.29872632,0.105717659
chris,l_d,12_4,12,4,6,0.105717659,0.00199461,0.107712269,0.117685318,0.223402977,0.115690708
chris,d_i,4_9,4,9,6,0.115690708,0.096993208,0.212683916,0.210834742,0.32652545,0.113841534
chris,i_e,9_5,9,5,6,0.113841534,0.034910917,0.148752451,0.133639574,0.247481108,0.098728657
chris,e_s,5_19,5,19,6,0.098728657,0.094746828,0.193475485,0.214455605,0.313184261,0.119708776
chris,s_~,19_0,19,0,6,0.119708776,0.021972656,0.141681433,0.116686106,0.236394882,0.094713449
chris,~_b,0_2,0,2,6,0.094713449,0.040896416,0.135609865,0.169656754,0.264370203,0.128760338
chris,b_a,2_1,2,1,6,0.128760338,0.004986763,0.133747101,0.105717421,0.234477758,0.100730658
chris,a_y,1_25,1,25,6,0.100730658,0.050864935,0.151595592,0.217133284,0.317863941,0.166268349
chris,g_y,7_25,7,25,3,0.104971886,0.31001544,0.414987326,0.460429668,0.565401554,0.150414228
chris,y_m,25_13,25,13,3,0.150414228,-0.002993584,0.147420645,0.119250298,0.269664526,0.122243881
chris,m_~,13_0,13,0,3,0.122243881,0.012960672,0.135204554,0.107393026,0.229636908,0.094432354
chris,~_z,0_26,0,26,3,0.094432354,0.234920979,0.329353333,0.363372326,0.45780468,0.128451347
chris,z_y,26_25,26,25,3,0.128451347,0.122673035,0.251124382,0.234391451,0.362842798,0.111718416
chris,y_g,25_7,25,7,3,0.111718416,0.142663002,0.254381418,0.260346651,0.372065067,0.117683649
chris,g_o,7_15,7,15,3,0.117683649,-0.012965679,0.10471797,0.079787254,0.197470903,0.092752934
chris,o_t,15_20,15,20,3,0.092752934,0.028921604,0.121674538,0.120704412,0.213457346,0.091782808
chris,t_e,20_5,20,5,3,0.091782808,0.014932156,0.106714964,0.115701675,0.207484484,0.10076952
chris,a_m,1_13,1,13,4,0.12474227,-0.047944307,0.076797962,0.136625528,0.261367798,0.184569836
chris,m_i,13_9,13,9,4,0.184569836,-0.087771177,0.096798658,0.042917252,0.227487087,0.130688429
chris,i_d,9_4,9,4,4,0.130688429,-0.062865973,0.067822456,0.023935795,0.154624224,0.086801767
chris,d_~,4_0,4,0,4,0.086801767,0.035600424,0.122402191,0.125789165,0.212590933,0.090188742
