Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Class,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
jc,o_h,15_8,15,8,3,0.084154129,0.06264782,0.146801949,0.146950722,0.231104851,0.084302902
jc,h_m,8_13,8,13,3,0.084302902,0.084186554,0.168489456,0.184184074,0.268486977,0.09999752
jc,m_~,13_0,13,0,3,0.09999752,0.516172409,0.61616993,0.600494623,0.700492144,0.084322214
jc,~_f,0_6,0,6,3,0.084322214,0.416218758,0.500540972,0.500526905,0.584849119,0.084308147
jc,f_i,6_9,6,9,3,0.084308147,0.031165361,0.115473509,0.13136816,0.215676308,0.100202799
jc,i_l,9_12,9,12,3,0.100202799,0.131481409,0.231684208,0.237432718,0.337635517,0.105951309
jc,l_m,12_13,12,13,3,0.105951309,1.986294508,2.092245817,2.073025703,2.178977013,0.086731195
jc,m_e,13_5,13,5,3,0.086731195,0.035770893,0.122502089,0.136090755,0.222821951,0.100319862
jc,e_d,5_4,5,4,3,0.100319862,0.099921942,0.200241804,0.231588125,0.331907988,0.131666183
jc,h_e,8_5,8,5,4,0.093868971,0.106008291,0.199877262,0.168539762,0.262408733,0.062531471
jc,e_a,5_1,5,1,4,0.062531471,0.115651608,0.178183079,0.232172251,0.294703722,0.116520643
jc,a_t,1_20,1,20,4,0.116520643,0.052550554,0.169071198,0.168032408,0.284553051,0.115481853
jc,t_~,20_0,20,0,4,0.115481853,-0.015516758,0.099965096,0.084337711,0.199819565,0.099854469
jc,~_a,0_1,0,1,4,0.099854469,0.068748951,0.16860342,0.146874905,0.246729374,0.078125954
jc,a_t,1_20,1,20,4,0.078125954,0.168551683,0.246677637,0.252986193,0.331112146,0.084434509
jc,t_o,20_15,20,15,4,0.084434509,0.015518665,0.099953175,0.184171915,0.268606424,0.16865325
jc,o_m,15_13,15,13,4,0.16865325,-0.084251881,0.084401369,0.046982527,0.215635777,0.131234407
jc,m_s,13_19,13,19,4,0.131234407,0.053092718,0.184327126,0.18419075,0.315425158,0.131098032
jc,c_h,3_8,3,8,5,0.069224596,0.031249285,0.100473881,0.131803274,0.20102787,0.100553989
jc,h_a,8_1,8,1,5,0.100553989,0.031248093,0.131802082,0.115965366,0.216519356,0.084717274
jc,a_n,1_14,1,14,5,0.084717274,0.037884712,0.122601986,0.116150141,0.200867414,0.078265429
jc,n_t,14_20,14,20,5,0.078265429,0.053478479,0.131743908,0.154010773,0.232276201,0.100532293
jc,t_~,20_0,20,0,5,0.100532293,0.084513903,0.185046196,0.169229507,0.269761801,0.084715605
jc,~_a,0_1,0,1,5,0.084715605,0.062639475,0.14735508,0.131247997,0.215963602,0.068608522
jc,a_x,1_24,1,24,5,0.068608522,0.162660122,0.231268644,0.231873274,0.300481796,0.069213152
jc,x_i,24_9,24,9,5,0.069213152,0.11544776,0.184660912,0.199838161,0.269051313,0.084390402
jc,i_s,9_19,9,19,5,0.084390402,0.053099394,0.137489796,0.137581348,0.22197175,0.084481955
jc,o_l,15_12,15,12,6,0.069090605,0.131828547,0.200919151,0.232277155,0.30136776,0.100448608
jc,l_d,12_4,12,4,6,0.100448608,0.069046497,0.169495106,0.131594896,0.232043505,0.062548399
jc,d_i,4_9,4,9,6,0.062548399,1.003538609,1.066087008,1.104058504,1.166606903,0.100519896
jc,i_e,9_5,9,5,6,0.100519896,0.053647518,0.154167414,0.116055012,0.216574907,0.062407494
jc,e_s,5_19,5,19,6,0.062407494,0.116129875,0.178537369,0.200872898,0.263280392,0.084743023
jc,s_~,19_0,19,0,6,0.084743023,0.022301435,0.107044458,0.12282443,0.207567453,0.100522995
jc,~_b,0_2,0,2,6,0.100522995,0.100521088,0.201044083,0.194410801,0.294933796,0.093889713
jc,b_a,2_1,2,1,6,0.093889713,0.037920237,0.13180995,0.137943268,0.231832981,0.100023031
jc,a_y,1_25,1,25,6,0.100023031,0.147332907,0.247355938,0.232260466,0.332283497,0.084927559
jc,g_y,7_25,7,25,3,0.091830254,0.100552797,0.192383051,0.197398663,0.289228916,0.096845865
jc,y_m,25_13,25,13,3,0.096845865,0.060750008,0.157595873,0.123359203,0.220205069,0.062609196
jc,m_~,13_0,13,0,3,0.062609196,0.018254042,0.080863237,0.118697405,0.181306601,0.100443363
jc,~_z,0_26,0,26,3,0.100443363,0.332671881,0.433115244,0.379639149,0.480082512,0.046967268
jc,z_y,26_25,26,25,3,0.046967268,0.223114729,0.270081997,0.301392794,0.348360062,0.078278065
jc,y_g,25_7,25,7,3,0.078278065,0.200867891,0.279145956,0.285741806,0.364019871,0.084873915
jc,g_o,7_15,7,15,3,0.084873915,0.015634537,0.100508451,0.11594677,0.200820684,0.100312233
