Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Class,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
qk,o_h,15_8,15,8,3,0.109369993,0.140630007,0.25,0.265637875,0.375007868,0.125007868
qk,h_m,8_13,8,13,3,0.125007868,0.203136206,0.328144073,0.312499762,0.437507629,0.109363556
qk,m_~,13_0,13,0,3,0.109363556,0.171878338,0.281241894,0.281231403,0.390594959,0.109353065
qk,~_f,0_6,0,6,3,0.109353065,0.078153372,0.187506437,0.218760967,0.328114033,0.140607595
qk,f_i,6_9,6,9,3,0.140607595,0.03123045,0.171838045,0.140645027,0.281252623,0.109414577
qk,i_l,9_12,9,12,3,0.109414577,0.218721151,0.328135729,0.343738556,0.453153133,0.125017405
qk,l_m,12_13,12,13,3,0.125017405,0.125008345,0.250025749,0.218753338,0.343770742,0.093744993
qk,m_e,13_5,13,5,3,0.093744993,0.218752146,0.312497139,0.406255007,0.5,0.187502861
qk,e_d,5_4,5,4,3,0.187502861,0,0.187502861,0.125051737,0.312554598,0.125051737
qk,h_e,8_5,8,5,4,0.093765736,0.062474966,0.156240702,0.203132153,0.296897888,0.140657187
qk,e_a,5_1,5,1,4,0.140657187,-0.046873569,0.093783617,0.156253099,0.296910286,0.203126669
qk,a_t,1_20,1,20,4,0.203126669,0.06249094,0.265617609,0.187500954,0.390627623,0.125010014
qk,t_~,20_0,20,0,4,0.125010014,-0.062504768,0.062505245,0.10936904,0.234379053,0.171873808
qk,~_a,0_1,0,1,4,0.171873808,0.078123331,0.249997139,0.187492371,0.359366179,0.10936904
qk,a_t,1_20,1,20,4,0.10936904,0.046888351,0.156257391,0.187460423,0.296829462,0.140572071
qk,t_o,20_15,20,15,4,0.140572071,0.328160286,0.468732357,0.43755579,0.578127861,0.109395504
qk,o_m,15_13,15,13,4,0.109395504,0.156233311,0.265628815,0.203173637,0.312569141,0.046940327
qk,m_s,13_19,13,19,4,0.046940327,0.140576601,0.187516928,0.265576839,0.312517166,0.125000238
qk,c_h,3_8,3,8,5,0.12501812,0.066925764,0.191943884,0.157178164,0.282196283,0.090252399
qk,h_a,8_1,8,1,5,0.090252399,0.030309677,0.120562077,0.140313148,0.230565548,0.110003471
qk,a_n,1_14,1,14,5,0.110003471,0.249393702,0.359397173,0.405629158,0.515632629,0.156235456
qk,n_t,14_20,14,20,5,0.156235456,0.015623093,0.171858549,0.140629292,0.296864748,0.125006199
qk,t_~,20_0,20,0,5,0.125006199,0.171867609,0.296873808,0.281254768,0.406260967,0.109387159
qk,~_a,0_1,0,1,5,0.109387159,0.124990702,0.234377861,0.218740463,0.328127623,0.093749762
qk,a_x,1_24,1,24,5,0.093749762,0.156254292,0.250004053,0.265604258,0.359354019,0.109349966
qk,x_i,24_9,24,9,5,0.109349966,0.031265259,0.140615225,0.156258345,0.265608311,0.124993086
qk,i_s,9_19,9,19,5,0.124993086,0.015643358,0.140636444,0.125012875,0.25000596,0.109369516
qk,o_l,15_12,15,12,6,0.125026226,0.187475443,0.312501669,0.359380245,0.484406471,0.171904802
qk,l_d,12_4,12,4,6,0.171904802,0.125012636,0.296917439,0.250006914,0.421911716,0.124994278
qk,d_i,4_9,4,9,6,0.124994278,0.062500715,0.187494993,0.203103542,0.32809782,0.140602827
qk,i_e,9_5,9,5,6,0.140602827,0.015645981,0.156248808,0.156254292,0.296857119,0.140608311
qk,e_s,5_19,5,19,6,0.140608311,0.093778372,0.234386683,0.156266689,0.296875,0.062488317
qk,s_~,19_0,19,0,6,0.062488317,0.171886206,0.234374523,0.296860218,0.359348536,0.124974012
qk,~_b,0_2,0,2,6,0.124974012,0.15626359,0.281237602,0.296891451,0.421865463,0.140627861
qk,b_a,2_1,2,1,6,0.140627861,0.015628815,0.156256676,0.093751669,0.23437953,0.078122854
qk,a_y,1_25,1,25,6,0.078122854,0.21875596,0.296878815,0.359384537,0.437507391,0.140628576
qk,g_y,7_25,7,25,3,0.125025034,0.140620232,0.265645266,0.265631676,0.39065671,0.125011444
qk,y_m,25_13,25,13,3,0.125011444,0.04692173,0.171933174,0.109389067,0.234400511,0.062467337
qk,m_~,13_0,13,0,3,0.062467337,0.156208515,0.218675852,0.249990702,0.312458038,0.093782187
qk,~_z,0_26,0,26,3,0.093782187,0.031250715,0.125032902,0.171863556,0.265645742,0.140612841
qk,z_y,26_25,26,25,3,0.140612841,0.156234026,0.296846867,0.296876907,0.437489748,0.140642881
qk,y_g,25_7,25,7,3,0.140642881,0.06251049,0.203153372,0.171886444,0.312529325,0.109375954
