,Actual,Prediction,Accuracy,29/80 (36.25%)
0,adhy,jonah,0.2642841041088104,nope
1,adhy,adhy,0.30353036522865295,match
2,adhy,chris,0.24720147252082825,nope
3,adhy,qk,0.2671999931335449,nope
4,adhy,qk,0.27474936842918396,nope
5,adhy,jonah,0.20941261947155,nope
6,adhy,jonah,0.26247143745422363,nope
7,adhy,chris,0.30712956190109253,nope
8,alan,alan,0.5232110619544983,match
9,alan,jc,0.8336459398269653,nope
10,alan,qk,0.30901527404785156,nope
11,alan,qk,0.4410627782344818,nope
12,alan,jc,0.7626181244850159,nope
13,alan,gerald,0.610251784324646,nope
14,alan,gerald,0.6097393035888672,nope
15,alan,gerald,0.5356684327125549,nope
16,andy,andy,0.8761934638023376,match
17,andy,chris,0.30872344970703125,nope
18,andy,andy,0.9470843076705933,match
19,andy,andy,0.9463297724723816,match
20,andy,andy,0.4047546088695526,match
21,andy,andy,0.4171048402786255,match
22,andy,andy,0.947087287902832,match
23,andy,chris,0.27654948830604553,nope
24,bryce,cy,0.4792264699935913,nope
25,bryce,cy,0.33052441477775574,nope
26,bryce,jonah,0.20785748958587646,nope
27,bryce,cy,0.31884557008743286,nope
28,bryce,adhy,0.27411389350891113,nope
29,bryce,jonah,0.26664599776268005,nope
30,bryce,bryce,0.23404504358768463,match
31,bryce,cy,0.4643808901309967,nope
32,chris,chris,0.33151015639305115,match
33,chris,chris,0.26655757427215576,match
34,chris,chris,0.3426494002342224,match
35,chris,bryce,0.23936517536640167,nope
36,chris,jonah,0.26633965969085693,nope
37,chris,qk,0.2723771035671234,nope
38,chris,jonah,0.2555679380893707,nope
39,chris,jonah,0.26609912514686584,nope
40,cy,cy,0.4300476610660553,match
41,cy,cy,0.391973614692688,match
42,cy,cy,0.23684610426425934,match
43,cy,cy,0.24716965854167938,match
44,cy,cy,0.6898759603500366,match
45,cy,cy,0.3688535988330841,match
46,cy,cy,0.22069309651851654,match
47,cy,cy,0.4381282329559326,match
48,gerald,jc,0.6720958948135376,nope
49,gerald,jc,0.750239908695221,nope
50,gerald,jc,0.7105777859687805,nope
51,gerald,jc,0.5394487977027893,nope
52,gerald,alan,0.41303300857543945,nope
53,gerald,jc,0.646095871925354,nope
54,gerald,jc,0.7365872263908386,nope
55,gerald,gerald,0.5399514436721802,match
56,jc,jonah,0.2665630877017975,nope
57,jc,jonah,0.2637932300567627,nope
58,jc,jonah,0.26654869318008423,nope
59,jc,qk,0.26534995436668396,nope
60,jc,qk,0.2752515375614166,nope
61,jc,jc,0.7789814472198486,match
62,jc,qk,0.2807474434375763,nope
63,jc,jc,0.34125062823295593,match
64,jonah,jonah,0.266329288482666,match
65,jonah,qk,0.23517844080924988,nope
66,jonah,cy,0.22044637799263,nope
67,jonah,jonah,0.2652047276496887,match
68,jonah,jonah,0.2646298408508301,match
69,jonah,jonah,0.22532156109809875,match
70,jonah,jonah,0.2531723082065582,match
71,jonah,chris,0.23843376338481903,nope
72,qk,qk,0.27281132340431213,match
73,qk,adhy,0.2412661612033844,nope
74,qk,chris,0.2682480216026306,nope
75,qk,chris,0.32280266284942627,nope
76,qk,jonah,0.2660495340824127,nope
77,qk,adhy,0.3515561521053314,nope
78,qk,jonah,0.2611219584941864,nope
79,qk,jonah,0.2621256113052368,nope
