,Actual,Prediction,Accuracy,28/80 (35.0%)
0,adhy,cy,0.5413175225257874,nope
1,adhy,andy,0.7265899181365967,nope
2,adhy,andy,0.5024593472480774,nope
3,adhy,andy,0.24710604548454285,nope
4,adhy,adhy,0.2806665897369385,match
5,adhy,cy,0.4034915268421173,nope
6,adhy,chris,0.23127397894859314,nope
7,adhy,andy,0.6170473694801331,nope
8,alan,alan,0.6066349148750305,match
9,alan,gerald,0.5621340274810791,nope
10,alan,alan,0.6383929252624512,match
11,alan,alan,0.6076863408088684,match
12,alan,gerald,0.559952437877655,nope
13,alan,alan,0.5483257174491882,match
14,alan,gerald,0.5625404119491577,nope
15,alan,jc,0.6843238472938538,nope
16,andy,andy,0.6705302596092224,match
17,andy,andy,0.941290557384491,match
18,andy,andy,0.4930509328842163,match
19,andy,andy,0.9423338770866394,match
20,andy,chris,0.22142644226551056,nope
21,andy,andy,0.9404165744781494,match
22,andy,andy,0.9228567481040955,match
23,andy,andy,0.6846191883087158,match
24,bryce,jc,0.34562739729881287,nope
25,bryce,jonah,0.23033243417739868,nope
26,bryce,jonah,0.2584110498428345,nope
27,bryce,bryce,0.23884235322475433,match
28,bryce,bryce,0.23873202502727509,match
29,bryce,cy,0.41857820749282837,nope
30,bryce,adhy,0.5245108008384705,nope
31,bryce,adhy,0.37624451518058777,nope
32,chris,jonah,0.2788254916667938,nope
33,chris,adhy,0.3450557589530945,nope
34,chris,chris,0.2987816333770752,match
35,chris,bryce,0.22998139262199402,nope
36,chris,bryce,0.23994550108909607,nope
37,chris,chris,0.33027559518814087,match
38,chris,chris,0.3224141597747803,match
39,chris,adhy,0.2365623563528061,nope
40,cy,jonah,0.2807777225971222,nope
41,cy,cy,0.5567241311073303,match
42,cy,cy,0.5443817973136902,match
43,cy,adhy,0.2765201926231384,nope
44,cy,cy,0.5594205856323242,match
45,cy,cy,0.5591983795166016,match
46,cy,adhy,0.34812936186790466,nope
47,cy,adhy,0.31699758768081665,nope
48,gerald,jc,0.6562643051147461,nope
49,gerald,jc,0.7060729265213013,nope
50,gerald,gerald,0.5539706349372864,match
51,gerald,qk,0.2683619260787964,nope
52,gerald,jc,0.6753477454185486,nope
53,gerald,jc,0.6959232687950134,nope
54,gerald,jc,0.47011178731918335,nope
55,gerald,jc,0.6877570152282715,nope
56,jc,jc,0.6185429096221924,match
57,jc,jonah,0.27521705627441406,nope
58,jc,cy,0.5642942190170288,nope
59,jc,bryce,0.23322637379169464,nope
60,jc,qk,0.25947698950767517,nope
61,jc,qk,0.2625081539154053,nope
62,jc,jc,0.3517136871814728,match
63,jc,jonah,0.28092139959335327,nope
64,jonah,jonah,0.2660353183746338,match
65,jonah,bryce,0.24310456216335297,nope
66,jonah,jonah,0.22315222024917603,match
67,jonah,jonah,0.2806949019432068,match
68,jonah,bryce,0.24285490810871124,nope
69,jonah,bryce,0.23374226689338684,nope
70,jonah,cy,0.347936749458313,nope
71,jonah,jonah,0.2675999701023102,match
72,qk,chris,0.3105047643184662,nope
73,qk,jonah,0.26134002208709717,nope
74,qk,chris,0.3381897211074829,nope
75,qk,jonah,0.2712022662162781,nope
76,qk,jonah,0.2786772549152374,nope
77,qk,jonah,0.27828457951545715,nope
78,qk,chris,0.347368985414505,nope
79,qk,chris,0.3003838062286377,nope
