,Results,Prediction,Accuracy,24/80
0,adhy,adhy,0.978378,Match
1,adhy,adhy,0.9927362,Match
2,adhy,bryce,0.9755839,Nope
3,adhy,cy,0.9987935,Nope
4,adhy,chris,0.5793332,Nope
5,adhy,adhy,0.99838114,Match
6,adhy,bryce,0.9535465,Nope
7,adhy,andy,0.8397391,Nope
8,alan,alan,0.9999193,Match
9,alan,alan,0.98341227,Match
10,alan,alan,0.9997545,Match
11,alan,alan,0.9998312,Match
12,alan,alan,0.99989474,Match
13,alan,alan,0.99986494,Match
14,alan,alan,0.99991035,Match
15,alan,alan,0.9999201,Match
16,andy,andy,0.9992111,Match
17,andy,adhy,0.56839335,Nope
18,andy,andy,0.9982836,Match
19,andy,andy,0.99773455,Match
20,andy,andy,0.9985238,Match
21,andy,adhy,0.58041096,Nope
22,andy,andy,0.9994966,Match
23,andy,adhy,0.9164297,Nope
24,bryce,cy,0.99823195,Nope
25,bryce,cy,0.41534594,Nope
26,bryce,cy,0.94303185,Nope
27,bryce,adhy,0.64547414,Nope
28,bryce,adhy,0.99095356,Nope
29,bryce,adhy,0.7103518,Nope
30,bryce,adhy,0.5907595,Nope
31,bryce,cy,0.99907136,Nope
32,chris,gerald,0.9946631,Nope
33,chris,andy,0.43394336,Nope
34,chris,chris,0.97526395,Match
35,chris,andy,0.8572969,Nope
36,chris,bryce,0.9948165,Nope
37,chris,andy,0.7666143,Nope
38,chris,adhy,0.8487591,Nope
39,chris,adhy,0.94336635,Nope
40,cy,cy,0.9991659,Match
41,cy,cy,0.99843055,Match
42,cy,cy,0.9458315,Match
43,cy,cy,0.99052083,Match
44,cy,cy,0.99790657,Match
45,cy,cy,0.96199226,Match
46,cy,chris,0.98769265,Nope
47,cy,cy,0.9983443,Match
48,gerald,alan,0.76952964,Nope
49,gerald,alan,0.96353656,Nope
50,gerald,alan,0.9998354,Nope
51,gerald,alan,0.99534935,Nope
52,gerald,alan,0.99985373,Nope
53,gerald,alan,0.99880517,Nope
54,gerald,bryce,0.50153154,Nope
55,gerald,alan,0.99992156,Nope
56,jc,adhy,0.9924231,Nope
57,jc,gerald,0.5699302,Nope
58,jc,gerald,0.9892341,Nope
59,jc,alan,0.91091853,Nope
60,jc,chris,0.96804106,Nope
61,jc,alan,0.99860674,Nope
62,jc,gerald,0.99824274,Nope
63,jc,bryce,0.9981311,Nope
64,jonah,adhy,0.6967078,Nope
65,jonah,bryce,0.9828516,Nope
66,jonah,cy,0.99610484,Nope
67,jonah,adhy,0.7416723,Nope
68,jonah,gerald,0.98896116,Nope
69,jonah,cy,0.86807615,Nope
70,jonah,adhy,0.9726115,Nope
71,jonah,adhy,0.9962962,Nope
72,qk,bryce,0.9951159,Nope
73,qk,adhy,0.6210285,Nope
74,qk,chris,0.9556016,Nope
75,qk,gerald,0.6806397,Nope
76,qk,gerald,0.99183077,Nope
77,qk,adhy,0.9460916,Nope
78,qk,gerald,0.9022421,Nope
79,qk,adhy,0.8189565,Nope
