,Actual,Prediction,Accuracy,273/480 (56.875%)
0,adhy,bryce,0.46020784974098206,nope
1,adhy,jonah,0.9758777618408203,nope
2,adhy,adhy,0.9180377125740051,match
3,adhy,adhy,0.41767463088035583,match
4,adhy,qk,0.9949245452880859,nope
5,adhy,bryce,0.7548545598983765,nope
6,adhy,chris,0.7390366792678833,nope
7,adhy,qk,0.7917594313621521,nope
8,adhy,chris,0.9852075576782227,nope
9,adhy,chris,0.9606620669364929,nope
10,adhy,qk,0.9998992681503296,nope
11,adhy,bryce,0.6445590257644653,nope
12,adhy,chris,0.735170304775238,nope
13,adhy,chris,0.9189909100532532,nope
14,adhy,adhy,0.9999125003814697,match
15,adhy,adhy,0.9989423155784607,match
16,adhy,qk,0.8266527056694031,nope
17,adhy,adhy,0.9956384301185608,match
18,adhy,chris,0.7868759036064148,nope
19,adhy,jc,0.7938598990440369,nope
20,adhy,adhy,0.9723186492919922,match
21,adhy,jonah,0.949975311756134,nope
22,adhy,qk,0.8850674033164978,nope
23,adhy,jonah,0.911211371421814,nope
24,adhy,adhy,0.9576920866966248,match
25,adhy,chris,0.9545158743858337,nope
26,adhy,adhy,0.9998756647109985,match
27,adhy,adhy,0.8310201168060303,match
28,adhy,jonah,0.9723906517028809,nope
29,adhy,adhy,0.6339706778526306,match
30,adhy,adhy,0.4342891573905945,match
31,adhy,chris,0.8235093355178833,nope
32,adhy,adhy,0.9999445676803589,match
33,adhy,jonah,0.9890106320381165,nope
34,adhy,qk,0.9992161989212036,nope
35,adhy,chris,0.8499235510826111,nope
36,adhy,qk,0.9982250332832336,nope
37,adhy,qk,0.960117518901825,nope
38,adhy,qk,0.9809049367904663,nope
39,adhy,qk,0.8503699898719788,nope
40,adhy,jonah,0.9896358847618103,nope
41,adhy,qk,0.9880499243736267,nope
42,adhy,bryce,0.8595418334007263,nope
43,adhy,bryce,0.7397330403327942,nope
44,adhy,adhy,0.999190628528595,match
45,adhy,jonah,0.615297794342041,nope
46,adhy,adhy,0.639545738697052,match
47,adhy,chris,0.9634048938751221,nope
48,alan,alan,0.9969859719276428,match
49,alan,alan,0.9997273087501526,match
50,alan,alan,0.9834449291229248,match
51,alan,alan,0.99991774559021,match
52,alan,alan,0.9999384880065918,match
53,alan,alan,0.9998655319213867,match
54,alan,alan,0.993690013885498,match
55,alan,alan,0.9975191354751587,match
56,alan,gerald,0.9830536246299744,nope
57,alan,alan,0.9999139308929443,match
58,alan,alan,0.9999310970306396,match
59,alan,alan,0.9999071359634399,match
60,alan,alan,0.9993914365768433,match
61,alan,alan,0.9894936084747314,match
62,alan,gerald,0.9996516704559326,nope
63,alan,alan,0.992028534412384,match
64,alan,alan,0.9961203932762146,match
65,alan,alan,0.8104111552238464,match
66,alan,alan,0.9997454285621643,match
67,alan,alan,0.9987608194351196,match
68,alan,gerald,0.9922574758529663,nope
69,alan,alan,0.9999175071716309,match
70,alan,alan,0.9999105930328369,match
71,alan,alan,0.9524886012077332,match
72,alan,alan,0.8259039521217346,match
73,alan,gerald,0.9864321351051331,nope
74,alan,gerald,0.9941788911819458,nope
75,alan,gerald,0.99053555727005,nope
76,alan,alan,0.9665644764900208,match
77,alan,alan,0.9614517688751221,match
78,alan,alan,0.9999197721481323,match
79,alan,alan,0.9999200105667114,match
80,alan,alan,0.9979206919670105,match
81,alan,alan,0.9999152421951294,match
82,alan,alan,0.9999047517776489,match
83,alan,alan,0.9999383687973022,match
84,alan,alan,0.9999361038208008,match
85,alan,alan,0.9999111890792847,match
86,alan,alan,0.9902201890945435,match
87,alan,alan,0.999897837638855,match
88,alan,alan,0.9999313354492188,match
89,alan,alan,0.999904990196228,match
90,alan,alan,0.9998996257781982,match
91,alan,alan,0.9999295473098755,match
92,alan,alan,0.9883503913879395,match
93,alan,alan,0.9591993689537048,match
94,alan,alan,0.9749177694320679,match
95,alan,alan,0.9999396800994873,match
96,andy,andy,0.9999680519104004,match
97,andy,andy,0.999987006187439,match
98,andy,andy,0.9999669790267944,match
99,andy,andy,0.999969482421875,match
100,andy,andy,0.9999730587005615,match
101,andy,andy,0.9955182671546936,match
102,andy,andy,0.9988162517547607,match
103,andy,andy,0.9999575614929199,match
104,andy,andy,0.9995231628417969,match
105,andy,andy,0.9999961853027344,match
106,andy,andy,0.9975473284721375,match
107,andy,andy,0.9998795986175537,match
108,andy,andy,0.999946117401123,match
109,andy,andy,0.9995077848434448,match
110,andy,andy,0.9999822378158569,match
111,andy,andy,0.9999756813049316,match
112,andy,andy,0.9999819993972778,match
113,andy,andy,0.9939194917678833,match
114,andy,andy,0.9999845027923584,match
115,andy,andy,0.9999842643737793,match
116,andy,andy,0.9999816417694092,match
117,andy,andy,0.9999674558639526,match
118,andy,andy,0.999984860420227,match
119,andy,andy,0.9997718930244446,match
120,andy,andy,0.9999791383743286,match
121,andy,andy,0.9998899698257446,match
122,andy,andy,0.9999810457229614,match
123,andy,andy,0.9999808073043823,match
124,andy,andy,0.9999778270721436,match
125,andy,andy,0.9965676069259644,match
126,andy,andy,0.9999722242355347,match
127,andy,andy,0.9999958276748657,match
128,andy,andy,0.9999574422836304,match
129,andy,andy,0.9999734163284302,match
130,andy,andy,0.999985933303833,match
131,andy,andy,0.9999886751174927,match
132,andy,andy,0.9999791383743286,match
133,andy,andy,0.9999716281890869,match
134,andy,andy,0.9999732971191406,match
135,andy,andy,0.9999864101409912,match
136,andy,andy,0.9999780654907227,match
137,andy,andy,0.9999876022338867,match
138,andy,andy,0.9939242005348206,match
139,andy,andy,0.9999594688415527,match
140,andy,andy,0.9901120066642761,match
141,andy,andy,0.9964639544487,match
142,andy,andy,0.9995755553245544,match
143,andy,andy,0.9999815225601196,match
144,bryce,cy,0.9880478382110596,nope
145,bryce,qk,0.8955667614936829,nope
146,bryce,cy,0.6001251935958862,nope
147,bryce,cy,0.8769991397857666,nope
148,bryce,cy,0.9943880438804626,nope
149,bryce,cy,0.9993247985839844,nope
150,bryce,cy,0.5478477478027344,nope
151,bryce,adhy,0.5100208520889282,nope
152,bryce,jonah,0.9678281545639038,nope
153,bryce,adhy,0.9814141392707825,nope
154,bryce,cy,0.676691472530365,nope
155,bryce,bryce,0.7451373338699341,match
156,bryce,cy,0.9965016841888428,nope
157,bryce,cy,0.7422112226486206,nope
158,bryce,cy,0.9966959953308105,nope
159,bryce,cy,0.8440654873847961,nope
160,bryce,cy,0.9949605464935303,nope
161,bryce,bryce,0.9907078742980957,match
162,bryce,qk,0.9725989699363708,nope
163,bryce,jonah,0.6787880063056946,nope
164,bryce,jonah,0.9992663264274597,nope
165,bryce,jonah,0.5931908488273621,nope
166,bryce,jonah,0.9494476318359375,nope
167,bryce,bryce,0.6711843013763428,match
168,bryce,qk,0.5486873984336853,nope
169,bryce,jonah,0.9774405360221863,nope
170,bryce,cy,0.9806649684906006,nope
171,bryce,jonah,0.9953956007957458,nope
172,bryce,cy,0.9252720475196838,nope
173,bryce,cy,0.8522878289222717,nope
174,bryce,qk,0.964436411857605,nope
175,bryce,adhy,0.540040135383606,nope
176,bryce,cy,0.9179530143737793,nope
177,bryce,jonah,0.9924389123916626,nope
178,bryce,adhy,0.7668051719665527,nope
179,bryce,bryce,0.5658089518547058,match
180,bryce,cy,0.9697648882865906,nope
181,bryce,adhy,0.5470457077026367,nope
182,bryce,cy,0.9961103796958923,nope
183,bryce,jonah,0.6425225138664246,nope
184,bryce,cy,0.9867039918899536,nope
185,bryce,adhy,0.8548262119293213,nope
186,bryce,cy,0.9952408075332642,nope
187,bryce,bryce,0.787765383720398,match
188,bryce,bryce,0.9989364743232727,match
189,bryce,bryce,0.9335516691207886,match
190,bryce,cy,0.9518976211547852,nope
191,bryce,jc,0.8762937188148499,nope
192,chris,chris,0.7651757001876831,match
193,chris,jonah,0.9696686267852783,nope
194,chris,chris,0.9914007782936096,match
195,chris,jonah,0.9870228171348572,nope
196,chris,chris,0.6783537864685059,match
197,chris,chris,0.9995954632759094,match
198,chris,jonah,0.8371551036834717,nope
199,chris,jonah,0.8847939968109131,nope
200,chris,chris,0.9995967745780945,match
201,chris,jonah,0.6593359112739563,nope
202,chris,jonah,0.9976755976676941,nope
203,chris,chris,0.7597139477729797,match
204,chris,jonah,0.5129299163818359,nope
205,chris,jonah,0.5553641319274902,nope
206,chris,chris,0.9988709092140198,match
207,chris,chris,0.8497295379638672,match
208,chris,jonah,0.8263684511184692,nope
209,chris,chris,0.604993999004364,match
210,chris,jonah,0.9835235476493835,nope
211,chris,jonah,0.6073538661003113,nope
212,chris,chris,0.7757633924484253,match
213,chris,chris,0.6184046864509583,match
214,chris,jonah,0.6084387898445129,nope
215,chris,chris,0.9824772477149963,match
216,chris,chris,0.9740961194038391,match
217,chris,chris,0.9997478127479553,match
218,chris,chris,0.9990098476409912,match
219,chris,chris,0.6256881356239319,match
220,chris,chris,0.9904406070709229,match
221,chris,chris,0.999765932559967,match
222,chris,jonah,0.9643092155456543,nope
223,chris,jonah,0.44487133622169495,nope
224,chris,jonah,0.8451004028320312,nope
225,chris,jonah,0.8283586502075195,nope
226,chris,jonah,0.9629559516906738,nope
227,chris,jonah,0.5078856945037842,nope
228,chris,jonah,0.6311708688735962,nope
229,chris,jonah,0.9876430034637451,nope
230,chris,jonah,0.9122634530067444,nope
231,chris,jonah,0.6811047196388245,nope
232,chris,chris,0.90345299243927,match
233,chris,jonah,0.995200514793396,nope
234,chris,chris,0.9996059536933899,match
235,chris,chris,0.9937366247177124,match
236,chris,jonah,0.7409811615943909,nope
237,chris,chris,0.8107354044914246,match
238,chris,chris,0.9994889497756958,match
239,chris,jonah,0.6450694799423218,nope
240,cy,cy,0.9994598031044006,match
241,cy,cy,0.9998811483383179,match
242,cy,cy,0.9997256398200989,match
243,cy,cy,0.9997760653495789,match
244,cy,cy,0.9998655319213867,match
245,cy,cy,0.9998082518577576,match
246,cy,cy,0.9995120763778687,match
247,cy,cy,0.9994029998779297,match
248,cy,cy,0.9996065497398376,match
249,cy,cy,0.7461957931518555,match
250,cy,cy,0.9997584223747253,match
251,cy,cy,0.9997894167900085,match
252,cy,cy,0.9996476173400879,match
253,cy,cy,0.9803940057754517,match
254,cy,cy,0.9225589632987976,match
255,cy,cy,0.8519721627235413,match
256,cy,cy,0.9984196424484253,match
257,cy,cy,0.9995017051696777,match
258,cy,cy,0.9998645782470703,match
259,cy,cy,0.9996598958969116,match
260,cy,cy,0.999799907207489,match
261,cy,bryce,0.9142792224884033,nope
262,cy,cy,0.9541054964065552,match
263,cy,cy,0.9992468357086182,match
264,cy,cy,0.9997854828834534,match
265,cy,cy,0.9995473027229309,match
266,cy,cy,0.9691256284713745,match
267,cy,cy,0.9998082518577576,match
268,cy,cy,0.9960500597953796,match
269,cy,cy,0.9993164539337158,match
270,cy,cy,0.9998214840888977,match
271,cy,cy,0.9341561198234558,match
272,cy,cy,0.9470734000205994,match
273,cy,bryce,0.5389708876609802,nope
274,cy,bryce,0.8670930862426758,nope
275,cy,cy,0.9859206080436707,match
276,cy,cy,0.9998544454574585,match
277,cy,cy,0.999685525894165,match
278,cy,cy,0.9982925057411194,match
279,cy,cy,0.9986438155174255,match
280,cy,cy,0.9875775575637817,match
281,cy,bryce,0.9939895868301392,nope
282,cy,cy,0.9998334646224976,match
283,cy,cy,0.9998118281364441,match
284,cy,cy,0.9991388320922852,match
285,cy,cy,0.9996786117553711,match
286,cy,cy,0.9985951781272888,match
287,cy,cy,0.9072625041007996,match
288,gerald,jc,0.9654476046562195,nope
289,gerald,gerald,0.9543095231056213,match
290,gerald,jc,0.5342339873313904,nope
291,gerald,gerald,0.9998748302459717,match
292,gerald,gerald,0.9762722849845886,match
293,gerald,gerald,0.9998146891593933,match
294,gerald,gerald,0.5128419399261475,match
295,gerald,alan,0.8448039889335632,nope
296,gerald,alan,0.9872651100158691,nope
297,gerald,gerald,0.9863160252571106,match
298,gerald,alan,0.9997465014457703,nope
299,gerald,alan,0.7270445823669434,nope
300,gerald,gerald,0.9999024868011475,match
301,gerald,alan,0.9763998985290527,nope
302,gerald,alan,0.9710246324539185,nope
303,gerald,gerald,0.999599277973175,match
304,gerald,gerald,0.9184940457344055,match
305,gerald,gerald,0.9795347452163696,match
306,gerald,gerald,0.9992324113845825,match
307,gerald,alan,0.9818861484527588,nope
308,gerald,gerald,0.7605509161949158,match
309,gerald,gerald,0.9999520778656006,match
310,gerald,gerald,0.9888820052146912,match
311,gerald,gerald,0.9998359680175781,match
312,gerald,gerald,0.6898787021636963,match
313,gerald,alan,0.9985405206680298,nope
314,gerald,alan,0.9597672820091248,nope
315,gerald,alan,0.7791657447814941,nope
316,gerald,alan,0.458040714263916,nope
317,gerald,gerald,0.8924177289009094,match
318,gerald,gerald,0.9996134638786316,match
319,gerald,gerald,0.988734245300293,match
320,gerald,gerald,0.9996232986450195,match
321,gerald,gerald,0.9999520778656006,match
322,gerald,gerald,0.9999067783355713,match
323,gerald,gerald,0.9999479055404663,match
324,gerald,gerald,0.9985511898994446,match
325,gerald,alan,0.9997759461402893,nope
326,gerald,gerald,0.8875032663345337,match
327,gerald,gerald,0.9912412166595459,match
328,gerald,alan,0.5947837233543396,nope
329,gerald,gerald,0.9996923208236694,match
330,gerald,gerald,0.9992300271987915,match
331,gerald,alan,0.9101513028144836,nope
332,gerald,gerald,0.9974059462547302,match
333,gerald,gerald,0.9984287619590759,match
334,gerald,gerald,0.8512898087501526,match
335,gerald,gerald,0.9998862743377686,match
336,jc,qk,0.5075905919075012,nope
337,jc,alan,0.999527096748352,nope
338,jc,jonah,0.6769667267799377,nope
339,jc,jc,0.4816173017024994,match
340,jc,qk,0.8971085548400879,nope
341,jc,cy,0.7813486456871033,nope
342,jc,chris,0.7338622808456421,nope
343,jc,alan,0.9999315738677979,nope
344,jc,bryce,0.5761480927467346,nope
345,jc,chris,0.6459785103797913,nope
346,jc,jonah,0.9941784143447876,nope
347,jc,jc,0.7313500642776489,match
348,jc,chris,0.6173086166381836,nope
349,jc,chris,0.6487128138542175,nope
350,jc,qk,0.511065661907196,nope
351,jc,jc,0.8143947720527649,match
352,jc,qk,0.7704110145568848,nope
353,jc,bryce,0.7814480662345886,nope
354,jc,alan,0.9142647981643677,nope
355,jc,alan,0.9999405145645142,nope
356,jc,jc,0.9942541718482971,match
357,jc,jc,0.9984620809555054,match
358,jc,jc,0.8118900060653687,match
359,jc,jc,0.8984244465827942,match
360,jc,jonah,0.6867251992225647,nope
361,jc,bryce,0.787765622138977,nope
362,jc,bryce,0.5452468991279602,nope
363,jc,jc,0.9986993074417114,match
364,jc,qk,0.6800629496574402,nope
365,jc,jc,0.5910077095031738,match
366,jc,jc,0.8693507313728333,match
367,jc,chris,0.665732204914093,nope
368,jc,jc,0.7870203852653503,match
369,jc,jc,0.9302288889884949,match
370,jc,jc,0.9175823926925659,match
371,jc,jc,0.9076765775680542,match
372,jc,qk,0.7310553789138794,nope
373,jc,jc,0.8711883425712585,match
374,jc,qk,0.8614792823791504,nope
375,jc,jc,0.8806222081184387,match
376,jc,qk,0.8866376280784607,nope
377,jc,jc,0.7956335544586182,match
378,jc,jc,0.6494641900062561,match
379,jc,jc,0.5515452027320862,match
380,jc,bryce,0.8109881281852722,nope
381,jc,jc,0.9937292337417603,match
382,jc,jc,0.5574842095375061,match
383,jc,jc,0.8153456449508667,match
384,jonah,jonah,0.9998195767402649,match
385,jonah,jonah,0.9955185651779175,match
386,jonah,jonah,0.9998496770858765,match
387,jonah,jonah,0.5667014122009277,match
388,jonah,chris,0.9993711113929749,nope
389,jonah,adhy,0.9999741315841675,nope
390,jonah,jonah,0.9668319225311279,match
391,jonah,jonah,0.999762237071991,match
392,jonah,jonah,0.9998552799224854,match
393,jonah,bryce,0.824293315410614,nope
394,jonah,chris,0.9996145963668823,nope
395,jonah,adhy,0.8621368408203125,nope
396,jonah,jonah,0.9998210072517395,match
397,jonah,jonah,0.9998218417167664,match
398,jonah,jonah,0.9998459815979004,match
399,jonah,jonah,0.999761164188385,match
400,jonah,jonah,0.9996024966239929,match
401,jonah,adhy,0.6428360939025879,nope
402,jonah,jonah,0.9998661279678345,match
403,jonah,jonah,0.9997407793998718,match
404,jonah,jonah,0.9998642206192017,match
405,jonah,jonah,0.9918668866157532,match
406,jonah,jonah,0.9994783997535706,match
407,jonah,adhy,0.9999455213546753,nope
408,jonah,jonah,0.9998589754104614,match
409,jonah,jonah,0.9998152852058411,match
410,jonah,jonah,0.999854564666748,match
411,jonah,jonah,0.9996719360351562,match
412,jonah,jonah,0.7402492761611938,match
413,jonah,adhy,0.8047201633453369,nope
414,jonah,jonah,0.560862123966217,match
415,jonah,chris,0.44456928968429565,nope
416,jonah,jonah,0.9997113347053528,match
417,jonah,jonah,0.9653510451316833,match
418,jonah,chris,0.9998102784156799,nope
419,jonah,adhy,0.9998894929885864,nope
420,jonah,chris,0.9984477758407593,nope
421,jonah,chris,0.9973248243331909,nope
422,jonah,jonah,0.9994149208068848,match
423,jonah,jonah,0.9637869596481323,match
424,jonah,jonah,0.8964818120002747,match
425,jonah,chris,0.9996809959411621,nope
426,jonah,adhy,0.9999568462371826,nope
427,jonah,adhy,0.9317930936813354,nope
428,jonah,adhy,0.7590516209602356,nope
429,jonah,adhy,0.9999346733093262,nope
430,jonah,jonah,0.5116661190986633,match
431,jonah,adhy,0.9998990297317505,nope
432,qk,jonah,0.8126313090324402,nope
433,qk,jonah,0.5258654356002808,nope
434,qk,chris,0.7460597157478333,nope
435,qk,qk,0.47303032875061035,match
436,qk,jonah,0.9996739625930786,nope
437,qk,bryce,0.6236810088157654,nope
438,qk,adhy,0.5071089267730713,nope
