,Actual,Prediction,Accuracy,306/480 (63.74999999999999%)
0,adhy,andy,0.6653199195861816,nope
1,adhy,adhy,0.6015422344207764,match
2,adhy,adhy,0.996925413608551,match
3,adhy,adhy,0.511086642742157,match
4,adhy,adhy,0.968265950679779,match
5,adhy,adhy,0.9497875571250916,match
6,adhy,cy,0.518498420715332,nope
7,adhy,adhy,0.5470911264419556,match
8,adhy,bryce,0.9986779093742371,nope
9,adhy,chris,0.5273433923721313,nope
10,adhy,chris,0.978941798210144,nope
11,adhy,adhy,0.8288546800613403,match
12,adhy,andy,0.9995529055595398,nope
13,adhy,cy,0.7002261281013489,nope
14,adhy,andy,0.873560905456543,nope
15,adhy,adhy,0.9911667704582214,match
16,adhy,adhy,0.5429181456565857,match
17,adhy,andy,0.7093862295150757,nope
18,adhy,adhy,0.893135130405426,match
19,adhy,bryce,0.7950504422187805,nope
20,adhy,andy,0.8682671189308167,nope
21,adhy,adhy,0.9827429056167603,match
22,adhy,adhy,0.870212733745575,match
23,adhy,adhy,0.9994775652885437,match
24,adhy,jonah,0.6936255693435669,nope
25,adhy,bryce,0.8071774840354919,nope
26,adhy,andy,0.9907055497169495,nope
27,adhy,andy,0.9999622106552124,nope
28,adhy,jonah,0.3825627565383911,nope
29,adhy,adhy,0.6469616889953613,match
30,adhy,chris,0.9533571600914001,nope
31,adhy,chris,0.6042931079864502,nope
32,adhy,adhy,0.9923102855682373,match
33,adhy,adhy,0.7928959131240845,match
34,adhy,adhy,0.9599726796150208,match
35,adhy,adhy,0.9998189806938171,match
36,adhy,adhy,0.9266057014465332,match
37,adhy,chris,0.9880900382995605,nope
38,adhy,andy,0.6476491689682007,nope
39,adhy,andy,0.5063391923904419,nope
40,adhy,andy,0.4285634160041809,nope
41,adhy,adhy,0.9548309445381165,match
42,adhy,adhy,0.8979759812355042,match
43,adhy,adhy,0.6947997212409973,match
44,adhy,adhy,0.9378629326820374,match
45,adhy,adhy,0.8514798283576965,match
46,adhy,adhy,0.9995149374008179,match
47,adhy,adhy,0.9998378753662109,match
48,alan,alan,0.9999293088912964,match
49,alan,alan,0.9999303817749023,match
50,alan,alan,0.9999279975891113,match
51,alan,alan,0.9999231100082397,match
52,alan,alan,0.9999231100082397,match
53,alan,alan,0.9999182224273682,match
54,alan,alan,0.9999264478683472,match
55,alan,alan,0.9999321699142456,match
56,alan,alan,0.9889412522315979,match
57,alan,alan,0.9997839331626892,match
58,alan,alan,0.999742329120636,match
59,alan,alan,0.9999079704284668,match
60,alan,alan,0.9999285936355591,match
61,alan,alan,0.9999212026596069,match
62,alan,alan,0.9999111890792847,match
63,alan,alan,0.9999024868011475,match
64,alan,alan,0.9999340772628784,match
65,alan,alan,0.9999321699142456,match
