,Results,Prediction,Accuracy,,224/480
0,adhy,cy,0.9279216,Nope,
1,adhy,cy,0.786529,Nope,
2,adhy,cy,0.9186772,Nope,
3,adhy,adhy,0.99989915,Match,
4,adhy,cy,0.8993081,Nope,
5,adhy,cy,0.71325094,Nope,
6,adhy,qk,0.77826333,Nope,
7,adhy,cy,0.7792627,Nope,
8,adhy,qk,0.81440234,Nope,
9,adhy,qk,0.9733333,Nope,
10,adhy,qk,0.95368725,Nope,
11,adhy,qk,0.55145955,Nope,
12,adhy,andy,0.99998856,Nope,
13,adhy,andy,0.9995363,Nope,
14,adhy,andy,0.999974,Nope,
15,adhy,andy,0.9482229,Nope,
16,adhy,andy,0.99999034,Nope,
17,adhy,andy,0.9999976,Nope,
18,adhy,adhy,0.9999491,Match,
19,adhy,adhy,0.9996375,Match,
20,adhy,adhy,0.9990375,Match,
21,adhy,adhy,0.99442,Match,
22,adhy,adhy,0.99780184,Match,
23,adhy,adhy,0.99782264,Match,
24,adhy,adhy,0.99997747,Match,
25,adhy,adhy,0.99993443,Match,
26,adhy,adhy,0.9926807,Match,
27,adhy,adhy,0.9962463,Match,
28,adhy,adhy,0.9999639,Match,
29,adhy,adhy,0.99702626,Match,
30,adhy,bryce,0.97386444,Nope,
31,adhy,bryce,0.8898811,Nope,
32,adhy,andy,0.93547195,Nope,
33,adhy,bryce,0.9664531,Nope,
34,adhy,andy,0.85400766,Nope,
35,adhy,andy,0.7999167,Nope,
36,adhy,jonah,0.91796356,Nope,
37,adhy,jonah,0.923516,Nope,
38,adhy,jonah,0.9337953,Nope,
39,adhy,jonah,0.7173939,Nope,
40,adhy,jonah,0.99018574,Nope,
41,adhy,jonah,0.8691726,Nope,
42,adhy,adhy,0.9541884,Match,
43,adhy,adhy,0.9379312,Match,
44,adhy,adhy,0.9953004,Match,
45,adhy,adhy,0.99686974,Match,
46,adhy,adhy,0.8961089,Match,
47,adhy,adhy,0.99994373,Match,
48,alan,alan,0.9999585,Match,
49,alan,alan,0.9999492,Match,
50,alan,alan,0.99990284,Match,
51,alan,alan,0.9999037,Match,
52,alan,alan,0.9999573,Match,
53,alan,alan,0.9992331,Match,
54,alan,alan,0.9998149,Match,
