,Results,Prediction,Accuracy,,236/480
0,adhy,adhy,0.73993343,Match,
1,adhy,jonah,0.9964824,Nope,
2,adhy,qk,0.63182104,Nope,
3,adhy,qk,0.5656822,Nope,
4,adhy,cy,0.8031379,Nope,
5,adhy,adhy,0.9942708,Match,
6,adhy,adhy,0.9833973,Match,
7,adhy,jonah,0.99418205,Nope,
8,adhy,qk,0.8986047,Nope,
9,adhy,qk,0.81249905,Nope,
10,adhy,cy,0.8618117,Nope,
11,adhy,adhy,0.98492473,Match,
12,adhy,qk,0.9980204,Nope,
13,adhy,qk,0.36070237,Nope,
14,adhy,qk,0.51527345,Nope,
15,adhy,jonah,0.92940325,Nope,
16,adhy,cy,0.98527443,Nope,
17,adhy,adhy,0.9975229,Match,
18,adhy,jonah,0.5011122,Nope,
19,adhy,jc,0.84481865,Nope,
20,adhy,qk,0.64344454,Nope,
21,adhy,jonah,0.99969363,Nope,
22,adhy,cy,0.99902093,Nope,
23,adhy,adhy,0.98960096,Match,
24,adhy,qk,0.9967129,Nope,
25,adhy,bryce,0.8819052,Nope,
26,adhy,adhy,0.96050316,Match,
27,adhy,jonah,0.89435077,Nope,
28,adhy,cy,0.99248475,Nope,
29,adhy,adhy,0.99974674,Match,
30,adhy,qk,0.9995617,Nope,
31,adhy,jc,0.45939913,Nope,
32,adhy,adhy,0.99834764,Match,
33,adhy,jonah,0.99856216,Nope,
34,adhy,jonah,0.6681342,Nope,
35,adhy,adhy,0.9992901,Match,
36,adhy,qk,0.9555216,Nope,
37,adhy,gerald,0.5209691,Nope,
38,adhy,adhy,0.79320115,Match,
39,adhy,jonah,0.5742515,Nope,
40,adhy,qk,0.9985259,Nope,
41,adhy,jonah,0.8449578,Nope,
42,adhy,qk,0.99803954,Nope,
43,adhy,jc,0.4990593,Nope,
44,adhy,adhy,0.99969673,Match,
45,adhy,jonah,0.99824035,Nope,
46,adhy,adhy,0.6308626,Match,
47,adhy,qk,0.71054554,Nope,
48,alan,gerald,0.99985135,Nope,
49,alan,alan,0.98978066,Match,
50,alan,alan,0.9998745,Match,
51,alan,alan,0.9901799,Match,
52,alan,alan,0.99997973,Match,
53,alan,alan,0.99984527,Match,
54,alan,gerald,0.99992895,Nope,
55,alan,gerald,0.99981374,Nope,
56,alan,alan,0.9853808,Match,
57,alan,alan,0.606445,Match,
58,alan,alan,0.99997365,Match,
59,alan,alan,0.97342795,Match,
60,alan,alan,0.99437606,Match,
61,alan,gerald,0.99990857,Nope,
62,alan,alan,0.9992805,Match,
63,alan,gerald,0.6748212,Nope,
64,alan,alan,0.9999511,Match,
65,alan,alan,0.794105,Match,
66,alan,alan,0.9999751,Match,
67,alan,gerald,0.949502,Nope,
68,alan,alan,0.9981019,Match,
69,alan,gerald,0.6893138,Nope,
70,alan,alan,0.99997807,Match,
71,alan,alan,0.9987036,Match,
72,alan,alan,0.9999151,Match,
73,alan,alan,0.86047393,Match,
74,alan,gerald,0.99993587,Nope,
75,alan,alan,0.9737378,Match,
76,alan,alan,0.9999651,Match,
77,alan,alan,0.9976605,Match,
78,alan,alan,0.99996173,Match,
79,alan,gerald,0.57844263,Nope,
80,alan,gerald,0.999926,Nope,
81,alan,gerald,0.99123,Nope,
82,alan,alan,0.9999765,Match,
83,alan,alan,0.9989235,Match,
84,alan,alan,0.99997854,Match,
85,alan,alan,0.95498604,Match,
86,alan,gerald,0.9994186,Nope,
87,alan,gerald,0.8127336,Nope,
88,alan,alan,0.9999652,Match,
89,alan,alan,0.8061451,Match,
90,alan,alan,0.9999765,Match,
91,alan,alan,0.979939,Match,
92,alan,gerald,0.99993134,Nope,
93,alan,alan,0.99962914,Match,
94,alan,alan,0.9999765,Match,
95,alan,alan,0.9915159,Match,
96,andy,andy,0.9995166,Match,
97,andy,andy,0.9999933,Match,
98,andy,andy,0.9997445,Match,
99,andy,andy,0.9999945,Match,
100,andy,andy,0.99999285,Match,
101,andy,andy,0.7674554,Match,
102,andy,andy,0.99947554,Match,
103,andy,andy,0.99997985,Match,
104,andy,andy,0.99980074,Match,
105,andy,andy,0.9999943,Match,
106,andy,andy,0.99999344,Match,
107,andy,chris,0.8891349,Nope,
108,andy,andy,0.9999932,Match,
109,andy,andy,0.99998164,Match,
110,andy,andy,0.9818965,Match,
111,andy,andy,0.99998915,Match,
112,andy,andy,0.999972,Match,
113,andy,chris,0.95470023,Nope,
114,andy,andy,0.9999944,Match,
115,andy,andy,0.9999914,Match,
116,andy,andy,0.9992637,Match,
117,andy,andy,0.9999944,Match,
118,andy,andy,0.99999034,Match,
119,andy,andy,0.9029682,Match,
120,andy,andy,0.9999944,Match,
121,andy,andy,0.9999927,Match,
122,andy,andy,0.9999926,Match,
123,andy,andy,0.99999416,Match,
124,andy,andy,0.9999939,Match,
125,andy,andy,0.99681395,Match,
126,andy,andy,0.9999945,Match,
127,andy,andy,0.9999913,Match,
128,andy,andy,0.99997807,Match,
129,andy,andy,0.9999939,Match,
130,andy,andy,0.99999356,Match,
131,andy,andy,0.9893253,Match,
132,andy,andy,0.9999945,Match,
133,andy,andy,0.9999931,Match,
134,andy,andy,0.9999862,Match,
135,andy,andy,0.9999937,Match,
136,andy,andy,0.9998566,Match,
137,andy,andy,0.99999464,Match,
138,andy,andy,0.99999297,Match,
139,andy,andy,0.9999877,Match,
140,andy,andy,0.99980074,Match,
141,andy,andy,0.99998224,Match,
142,andy,andy,0.9015845,Match,
143,andy,andy,0.99999416,Match,
144,bryce,cy,0.9935508,Nope,
145,bryce,jonah,0.74259555,Nope,
146,bryce,cy,0.83244514,Nope,
147,bryce,cy,0.9388469,Nope,
148,bryce,cy,0.9996432,Nope,
149,bryce,cy,0.98155606,Nope,
150,bryce,chris,0.968013,Nope,
151,bryce,jonah,0.5344229,Nope,
152,bryce,cy,0.5187189,Nope,
153,bryce,adhy,0.98826677,Nope,
154,bryce,chris,0.9999497,Nope,
155,bryce,cy,0.9936522,Nope,
156,bryce,cy,0.9730067,Nope,
157,bryce,chris,0.9956418,Nope,
158,bryce,cy,0.7314048,Nope,
159,bryce,andy,0.89905864,Nope,
160,bryce,chris,0.9997507,Nope,
161,bryce,cy,0.92632324,Nope,
162,bryce,cy,0.9974509,Nope,
163,bryce,jonah,0.9377587,Nope,
164,bryce,jonah,0.69647837,Nope,
165,bryce,adhy,0.9713489,Nope,
166,bryce,chris,0.9999635,Nope,
167,bryce,bryce,0.5315343,Match,
168,bryce,cy,0.9001169,Nope,
169,bryce,jonah,0.9994293,Nope,
170,bryce,chris,0.9650092,Nope,
171,bryce,jonah,0.97137475,Nope,
172,bryce,chris,0.989321,Nope,
173,bryce,jc,0.75523907,Nope,
174,bryce,cy,0.986822,Nope,
175,bryce,bryce,0.9919276,Match,
176,bryce,bryce,0.60033154,Match,
177,bryce,bryce,0.70415884,Match,
178,bryce,chris,0.99996305,Nope,
179,bryce,cy,0.9589249,Nope,
180,bryce,cy,0.9909083,Nope,
181,bryce,bryce,0.483566,Match,
182,bryce,chris,0.9924952,Nope,
183,bryce,jonah,0.78922445,Nope,
184,bryce,cy,0.8156981,Nope,
185,bryce,adhy,0.9916312,Nope,
186,bryce,cy,0.97524637,Nope,
187,bryce,bryce,0.81284535,Match,
188,bryce,bryce,0.88777816,Match,
189,bryce,bryce,0.9998679,Match,
190,bryce,cy,0.9948862,Nope,
191,bryce,bryce,0.9563097,Match,
192,chris,qk,0.98414326,Nope,
193,chris,jonah,0.73465127,Nope,
194,chris,qk,0.53551954,Nope,
195,chris,jonah,0.9993057,Nope,
196,chris,chris,0.92133147,Match,
197,chris,qk,0.66139966,Nope,
198,chris,bryce,0.981857,Nope,
199,chris,jonah,0.9723919,Nope,
200,chris,bryce,0.99911517,Nope,
201,chris,jonah,0.9994273,Nope,
202,chris,chris,0.8371039,Match,
203,chris,jonah,0.7185412,Nope,
204,chris,qk,0.9015963,Nope,
205,chris,bryce,0.9970746,Nope,
206,chris,bryce,0.94256383,Nope,
207,chris,jonah,0.9989177,Nope,
208,chris,qk,0.41458112,Nope,
209,chris,qk,0.8984792,Nope,
210,chris,qk,0.9130096,Nope,
211,chris,bryce,0.86291784,Nope,
212,chris,bryce,0.9975674,Nope,
213,chris,jonah,0.99983203,Nope,
214,chris,chris,0.5696784,Match,
215,chris,qk,0.9257392,Nope,
216,chris,chris,0.92918134,Match,
217,chris,bryce,0.99987555,Nope,
218,chris,bryce,0.99644285,Nope,
219,chris,jonah,0.8476568,Nope,
220,chris,bryce,0.7290689,Nope,
221,chris,chris,0.8432287,Match,
222,chris,chris,0.944562,Match,
223,chris,bryce,0.9984981,Nope,
224,chris,bryce,0.7517634,Nope,
225,chris,jonah,0.999683,Nope,
226,chris,andy,0.60033625,Nope,
227,chris,adhy,0.82999575,Nope,
228,chris,chris,0.9744707,Match,
229,chris,bryce,0.9691664,Nope,
230,chris,qk,0.8111175,Nope,
231,chris,jonah,0.7854955,Nope,
232,chris,bryce,0.9987122,Nope,
233,chris,jonah,0.9958146,Nope,
234,chris,chris,0.8337779,Match,
235,chris,jonah,0.5425802,Nope,
236,chris,qk,0.7569182,Nope,
237,chris,jonah,0.9893891,Nope,
238,chris,bryce,0.9520935,Nope,
239,chris,jonah,0.99791986,Nope,
240,cy,cy,0.99987626,Match,
241,cy,cy,0.9998933,Match,
242,cy,cy,0.99962115,Match,
243,cy,cy,0.9998679,Match,
244,cy,cy,0.9998683,Match,
245,cy,cy,0.9998789,Match,
246,cy,cy,0.9998692,Match,
247,cy,cy,0.99988496,Match,
248,cy,cy,0.9951597,Match,
249,cy,cy,0.99978954,Match,
250,cy,cy,0.999869,Match,
251,cy,cy,0.99987984,Match,
252,cy,cy,0.9998685,Match,
253,cy,cy,0.999838,Match,
254,cy,cy,0.99678445,Match,
255,cy,cy,0.781681,Match,
256,cy,cy,0.99982977,Match,
257,cy,cy,0.99986863,Match,
258,cy,cy,0.99988246,Match,
259,cy,cy,0.9998529,Match,
260,cy,cy,0.9996965,Match,
261,cy,cy,0.9998294,Match,
262,cy,cy,0.9997502,Match,
263,cy,cy,0.9998857,Match,
264,cy,cy,0.9998739,Match,
265,cy,cy,0.9994624,Match,
266,cy,cy,0.99985206,Match,
267,cy,cy,0.9998871,Match,
268,cy,cy,0.84625727,Match,
269,cy,cy,0.9998536,Match,
270,cy,cy,0.99986243,Match,
271,cy,cy,0.99978346,Match,
272,cy,cy,0.9995931,Match,
273,cy,cy,0.9998565,Match,
274,cy,bryce,0.8738629,Nope,
275,cy,cy,0.9998259,Match,
276,cy,cy,0.99988174,Match,
277,cy,cy,0.9998211,Match,
278,cy,cy,0.99985874,Match,
279,cy,cy,0.9998913,Match,
280,cy,cy,0.7522264,Match,
281,cy,bryce,0.92061996,Nope,
282,cy,cy,0.9998807,Match,
283,cy,cy,0.9998479,Match,
284,cy,cy,0.9998659,Match,
285,cy,cy,0.999889,Match,
286,cy,cy,0.99248683,Match,
287,cy,cy,0.999742,Match,
288,gerald,alan,0.92975277,Nope,
289,gerald,gerald,0.9999311,Match,
290,gerald,jc,0.56346935,Nope,
