,key,press_time,release_time
0,'y',1653462584.7526193,1653462584.8410695
1,'o',1653462584.9131458,1653462585.0652378
2,'u',1653462585.0012813,1653462585.1211617
3,'r',1653462585.1131458,1653462585.2411466
4,'s',1653462585.2015948,1653462585.3213105
0,'r',1653462587.201672,1653462587.3457909
1,'e',1653462587.273217,1653462587.3618627
2,'s',1653462587.4731796,1653462587.5213594
3,'e',1653462587.6413374,1653462587.7771475
4,'t',1653462587.7376945,1653462587.8494334
0,'o',1653462591.1533363,1653462591.257151
1,'w',1653462591.272801,1653462591.4172444
2,'e',1653462591.3931506,1653462591.4653592
3,'s',1653462591.5611503,1653462591.649348
4,'t',1653462591.6173968,1653462591.7212353
0,'m',1653462593.7380168,1653462593.8971848
1,'i',1653462593.825152,1653462593.9694972
2,'f',1653462594.0338037,1653462594.0891533
3,'f',1653462594.177153,1653462594.2411532
4,'s',1653462594.3371525,1653462594.4492054
0,'g',1653462596.4178762,1653462596.4972336
1,'a',1653462596.5771537,1653462596.6893349
2,'y',1653462596.6811538,1653462596.7934995
3,'e',1653462596.8014836,1653462596.920969
4,'r',1653462596.8817222,1653462596.9853399
0,'s',1653462598.7451127,1653462598.8811638
1,'p',1653462598.8413172,1653462599.0005198
2,'i',1653462598.953614,1653462599.0251918
3,'n',1653462599.1210876,1653462599.2254663
4,'y',1653462599.2333817,1653462599.3054187
0,'b',1653462601.1771576,1653462601.2978432
1,'l',1653462601.4653392,1653462601.6571572
2,'u',1653462601.577157,1653462601.7215075
3,'e',1653462601.6892974,1653462601.8177106
4,'r',1653462601.7851589,1653462601.889076
0,'l',1653462603.9049907,1653462604.0811596
1,'i',1653462604.0332432,1653462604.11316
2,'m',1653462604.2090619,1653462604.3133428
3,'e',1653462604.321177,1653462604.377038
4,'s',1653462604.4731598,1653462604.5531137
0,'p',1653462606.4811652,1653462606.593162
1,'r',1653462606.6015568,1653462606.7451608
2,'a',1653462606.705169,1653462606.8408666
3,'t',1653462606.845885,1653462606.9373612
4,'s',1653462606.9534047,1653462607.0090642
0,'s',1653462609.0971873,1653462609.1771586
1,'q',1653462609.2727523,1653462609.4091642
2,'u',1653462609.4251683,1653462609.5291638
3,'a',1653462609.5532947,1653462609.665295
4,'b',1653462609.6813986,1653462609.7772424
0,'f',1653462611.6018417,1653462611.6571653
1,'i',1653462611.6971653,1653462611.86551
2,'n',1653462611.80134,1653462611.9214547
3,'d',1653462611.9284675,1653462612.0577867
4,'s',1653462612.0091643,1653462612.1291206
0,'p',1653462613.9931667,1653462614.1211722
1,'o',1653462614.2811663,1653462614.4893434
2,'u',1653462614.4331665,1653462614.5534434
3,'f',1653462614.5213602,1653462614.6178257
4,'s',1653462614.633167,1653462614.761336
0,'k',1653462616.9771683,1653462617.1774843
1,'u',1653462617.1134973,1653462617.257544
2,'d',1653462617.2615755,1653462617.345169
3,'o',1653462617.3697314,1653462617.4566128
4,'s',1653462617.4891925,1653462617.5451698
0,'p',1653462619.385412,1653462619.4899154
1,'a',1653462619.5138552,1653462619.6091413
2,'l',1653462619.617244,1653462619.7216187
3,'e',1653462619.7266374,1653462619.8498409
4,'d',1653462619.8092744,1653462619.9131725
0,'s',1653462621.7773032,1653462621.8732958
1,'t',1653462621.8493626,1653462621.9772348
2,'a',1653462621.9689612,1653462622.0890722
3,'p',1653462622.0732038,1653462622.2411723
4,'h',1653462622.18539,1653462622.2970555
0,'m',1653462624.3300402,1653462624.4413521
1,'a',1653462624.5211737,1653462624.633375
2,'s',1653462624.5853074,1653462624.6811752
3,'s',1653462624.7531338,1653462624.8093724
4,'e',1653462624.9452171,1653462625.0095477
0,'r',1653462626.9132974,1653462627.0333629
1,'e',1653462627.00168,1653462627.0733056
2,'b',1653462627.0493608,1653462627.1525316
3,'e',1653462627.160544,1653462627.2331753
4,'l',1653462627.2176924,1653462627.3374817
0,'f',1653462629.4091756,1653462629.513382
1,'a',1653462629.4894338,1653462629.625344
2,'c',1653462629.6173606,1653462629.6892102
3,'i',1653462629.7136233,1653462629.8090796
4,'e',1653462629.814135,1653462629.8898664
0,'p',1653462631.9293952,1653462632.0493371
1,'e',1653462632.0253723,1653462632.0892785
2,'c',1653462632.1530156,1653462632.2332592
3,'k',1653462632.289188,1653462632.3856354
4,'s',1653462632.3926158,1653462632.4972248
0,'h',1653462634.4731808,1653462634.5771894
1,'y',1653462634.6571808,1653462634.7374437
2,'m',1653462634.8811808,1653462634.9771836
3,'n',1653462635.0737586,1653462635.1612084
4,'s',1653462635.2017338,1653462635.3135085
0,'v',1653462637.2013438,1653462637.3054404
1,'i',1653462637.313361,1653462637.4975803
2,'n',1653462637.4092155,1653462637.5365777
3,'e',1653462637.5055583,1653462637.5772161
4,'s',1653462637.6893287,1653462637.7534382
0,'u',1653462639.6737897,1653462639.8255804
1,'n',1653462639.7611845,1653462639.8651845
2,'c',1653462639.881185,1653462639.9452817
3,'u',1653462639.9532602,1653462640.0571883
4,'t',1653462640.0493238,1653462640.129757
0,'r',1653462642.0651858,1653462642.1527867
1,'i',1653462642.2092395,1653462642.4011867
2,'n',1653462642.3214862,1653462642.4493797
3,'d',1653462642.4893115,1653462642.6409357
4,'s',1653462642.601042,1653462642.7367396
0,'t',1653462644.7290547,1653462644.8093648
1,'w',1653462644.9531875,1653462645.105319
2,'e',1653462645.064953,1653462645.1451886
3,'e',1653462645.233402,1653462645.3051631
4,'d',1653462645.4171882,1653462645.4813633
0,'t',1653462647.6091897,1653462647.753417
1,'r',1653462647.6971898,1653462647.8091905
2,'i',1653462647.8251903,1653462647.953807
3,'t',1653462647.9771903,1653462648.136897
4,'e',1653462648.22519,1653462648.4011931
0,'c',1653462650.2176948,1653462650.2890074
1,'l',1653462650.3295105,1653462650.4411976
2,'a',1653462650.465493,1653462650.5933473
3,'s',1653462650.5613706,1653462650.6493917
4,'s',1653462650.7210495,1653462650.8092372
0,'j',1653462652.6900606,1653462652.7771945
1,'i',1653462652.9612374,1653462653.0734646
2,'m',1653462653.1534894,1653462653.2493777
3,'m',1653462653.3134003,1653462653.4093418
4,'y',1653462653.4013228,1653462653.4892986
0,'t',1653462655.7133582,1653462655.8095446
1,'o',1653462655.905432,1653462656.0731955
2,'u',1653462656.0011954,1653462656.1292164
3,'r',1653462656.0781379,1653462656.2334452
4,'s',1653462656.1771963,1653462656.305387
0,'t',1653462658.2654731,1653462658.3693824
1,'r',1653462658.2892468,1653462658.4412498
2,'u',1653462658.4731972,1653462658.593207
3,'e',1653462658.5772429,1653462658.7534256
4,'r',1653462658.697197,1653462658.8496807
0,'t',1653462666.9055834,1653462667.0093477
1,'a',1653462667.1539013,1653462667.313205
2,'x',1653462667.3055167,1653462667.433205
3,'e',1653462667.497203,1653462667.6734643
4,'r',1653462667.6172042,1653462667.7455003
0,'o',1653462670.2172055,1653462670.3698227
1,'u',1653462670.2972054,1653462670.4252055
2,'t',1653462670.3932052,1653462670.4493337
3,'t',1653462670.4972079,1653462670.609108
4,'a',1653462670.6332057,1653462670.785261
0,'m',1653462678.953479,1653462679.0492573
1,'a',1653462679.0734391,1653462679.1852114
2,'r',1653462679.1534376,1653462679.256769
3,'i',1653462679.2492874,1653462679.3533206
4,'a',1653462679.4012365,1653462679.5216396
0,'t',1653462681.449453,1653462681.6093712
1,'r',1653462681.5535944,1653462681.7051594
2,'i',1653462681.6330183,1653462681.7371874
3,'l',1653462681.8332143,1653462681.929214
4,'l',1653462681.9772139,1653462682.065419
0,'t',1653462684.3052938,1653462684.393216
1,'u',1653462684.4415772,1653462684.5375907
2,'r',1653462684.5293927,1653462684.601216
3,'p',1653462684.6172152,1653462684.697216
4,'s',1653462684.7134101,1653462684.8172162
0,'f',1653462686.729436,1653462686.7933586
1,'o',1653462686.7853675,1653462686.8892357
2,'r',1653462686.897041,1653462686.97726
3,'u',1653462687.0092914,1653462687.0897787
4,'m',1653462687.1772177,1653462687.272617
0,'p',1653462689.6569517,1653462689.7529793
1,'s',1653462689.808825,1653462689.873077
2,'o',1653462689.921219,1653462690.02522
3,'a',1653462690.033219,1653462690.2012253
4,'s',1653462690.1452198,1653462690.265397
0,'s',1653462692.1692207,1653462692.2648606
1,'m',1653462692.2658575,1653462692.393396
2,'i',1653462692.3374057,1653462692.4572206
3,'t',1653462692.4172661,1653462692.4972222
4,'h',1653462692.5217183,1653462692.609222
0,'d',1653462695.0578015,1653462695.1692228
1,'e',1653462695.113223,1653462695.2172234
2,'c',1653462695.297224,1653462695.385223
3,'a',1653462695.377224,1653462695.5133944
4,'f',1653462695.514394,1653462695.5852244
0,'j',1653462697.8413894,1653462697.9612255
1,'a',1653462697.9852252,1653462698.097226
2,'m',1653462698.089633,1653462698.1772258
3,'b',1653462698.273465,1653462698.3772256
4,'s',1653462698.3812687,1653462698.4652174
0,'m',1653462700.4092267,1653462700.5132272
1,'a',1653462700.5292494,1653462700.641381
2,'g',1653462700.6173034,1653462700.7214804
3,'i',1653462700.7375257,1653462700.833445
4,'c',1653462700.8414772,1653462700.913232
0,'m',1653462707.466031,1653462707.6012313
1,'i',1653462707.5291338,1653462707.6734912
2,'t',1653462707.6174495,1653462707.7532315
3,'e',1653462707.7052317,1653462707.8172362
4,'s',1653462708.0012317,1653462708.113421
0,'e',1653462710.0654578,1653462710.1292343
1,'s',1653462710.2572334,1653462710.3605294
2,'t',1653462710.3452914,1653462710.433234
3,'e',1653462710.537234,1653462710.6414006
4,'r',1653462710.601235,1653462710.721237
0,'v',1653462714.3452365,1653462714.4334655
1,'o',1653462714.52881,1653462714.6972363
2,'i',1653462714.6414063,1653462714.7612362
3,'d',1653462714.6894948,1653462714.8098357
4,'s',1653462714.777625,1653462714.9052577
0,'d',1653462717.0735934,1653462717.1534605
1,'o',1653462717.2014453,1653462717.369141
2,'i',1653462717.3132384,1653462717.4414184
3,'l',1653462717.4974802,1653462717.6575027
4,'y',1653462717.721565,1653462717.8580687
0,'x',1653462719.9539838,1653462720.065375
1,'e',1653462720.1372616,1653462720.2811646
2,'r',1653462720.2412417,1653462720.3372414
3,'o',1653462720.3852406,1653462720.5055466
4,'x',1653462720.5290334,1653462720.641241
0,'b',1653462722.649267,1653462722.7614272
1,'e',1653462722.7693253,1653462722.8493607
2,'g',1653462722.8093762,1653462722.9132423
3,'o',1653462722.9182909,1653462723.0412903
4,'t',1653462723.0012424,1653462723.089329
0,'n',1653462724.9692433,1653462725.0655513
1,'a',1653462725.0735962,1653462725.1773963
2,'p',1653462725.2013206,1653462725.2571864
3,'p',1653462725.3292444,1653462725.4092765
4,'y',1653462725.417323,1653462725.4972389
0,'w',1653462727.2493713,1653462727.3852448
1,'e',1653462727.3292449,1653462727.4413886
2,'l',1653462727.4654913,1653462727.5373325
3,'l',1653462727.6013398,1653462727.6973026
4,'s',1653462727.6654067,1653462727.7698095
0,'s',1653462729.6495795,1653462729.7454367
1,'h',1653462729.7611136,1653462729.8974178
2,'i',1653462729.8404841,1653462729.9694145
3,'e',1653462729.9134052,1653462729.9934816
4,'s',1653462730.0814283,1653462730.2014027
0,'r',1653462731.9292486,1653462732.0972545
1,'i',1653462732.1134496,1653462732.225031
2,'d',1653462732.2573469,1653462732.3692498
3,'e',1653462732.374315,1653462732.4977934
4,'r',1653462732.4731336,1653462732.5692487
0,'p',1653462734.5212502,1653462734.6814096
1,'u',1653462734.6894171,1653462734.8014219
2,'n',1653462734.8892438,1653462734.9933734
3,'t',1653462734.9372516,1653462735.0893986
4,'s',1653462735.0494435,1653462735.1694243
0,'s',1653462736.87346,1653462736.9774497
1,'m',1653462736.981473,1653462737.1055846
2,'o',1653462737.0414722,1653462737.1613925
3,'t',1653462737.0976195,1653462737.2254624
4,'e',1653462737.2012517,1653462737.2972534
0,'r',1653462739.1209133,1653462739.1927214
1,'o',1653462739.176764,1653462739.2884655
2,'w',1653462739.2904315,1653462739.4333248
