,key,press_time,release_time
0,'a',1653572641.6448362,1653572641.7716641
1,'b',1653572641.7291296,1653572641.8349624
2,'u',1653572641.7829206,1653572641.9159088
3,'z',1653572641.968958,1653572642.0312245
4,'z',1653572642.1334205,1653572642.1960278
0,'u',1653572644.2901225,1653572644.3551242
1,'n',1653572644.3181238,1653572644.397978
2,'m',1653572644.5225968,1653572644.5958283
3,'e',1653572644.5889232,1653572644.7564483
4,'t',1653572644.745447,1653572644.8489504
0,'p',1653572646.5592358,1653572646.641141
1,'a',1653572646.6213617,1653572646.7989242
2,'d',1653572646.7795186,1653572646.8229613
3,'d',1653572646.9283874,1653572646.9584765
4,'y',1653572647.0245092,1653572647.0751245
0,'z',1653572649.0011356,1653572649.2153368
1,'e',1653572649.1743007,1653572649.357418
2,'s',1653572649.43742,1653572649.7319162
3,'t',1653572649.7012968,1653572649.872747
4,'y',1653572649.9108024,1653572649.982836
0,'b',1653572654.0172513,1653572654.163514
1,'u',1653572654.1083245,1653572654.393785
2,'z',1653572654.202989,1653572654.295916
3,'z',1653572654.3827896,1653572654.4747891
4,'y',1653572654.5008197,1653572654.5764587
0,'a',1653572656.4716673,1653572656.5699174
1,'s',1653572656.6509295,1653572656.69893
2,'s',1653572656.7827675,1653572656.90693
3,'a',1653572656.891341,1653572656.9911287
4,'y',1653572656.9691715,1653572657.0783033
0,'s',1653572660.8277311,1653572660.969731
1,'i',1653572660.9227304,1653572660.9967318
2,'n',1653572660.9597297,1653572661.0619671
3,'k',1653572661.1892323,1653572661.2996197
4,'s',1653572661.3286538,1653572661.4499214
0,'m',1653572663.1469333,1653572663.2860253
1,'o',1653572663.2490165,1653572663.4359217
2,'s',1653572663.4169347,1653572663.4689264
3,'s',1653572663.5394018,1653572663.607748
4,'y',1653572663.6259222,1653572663.6888063
0,'a',1653572665.5579016,1653572665.7722783
1,'r',1653572665.7149367,1653572665.8714213
2,'i',1653572665.841421,1653572665.9634254
3,'s',1653572666.050788,1653572666.2127047
4,'e',1653572666.150911,1653572666.2785332
0,'s',1653572674.4009993,1653572674.5359604
1,'l',1653572674.46294,1653572674.5936296
2,'u',1653572674.6341825,1653572674.7009413
3,'m',1653572674.8906112,1653572675.0039396
4,'p',1653572674.956643,1653572675.0599422
0,'e',1653572677.0050397,1653572677.0820644
1,'x',1653572677.2190707,1653572677.3225753
2,'e',1653572677.3665967,1653572677.58393
3,'r',1653572677.5232818,1653572677.6229415
4,'t',1653572677.7064216,1653572677.7975335
0,'s',1653572684.8869474,1653572685.0033185
1,'o',1653572685.077402,1653572685.4689777
2,'u',1653572685.203361,1653572685.4273393
3,'p',1653572685.353936,1653572685.5520346
4,'y',1653572685.6352177,1653572685.7751052
0,'n',1653572688.1596048,1653572688.312658
1,'o',1653572688.2336082,1653572688.389938
2,'s',1653572688.3216932,1653572688.4869297
3,'e',1653572688.411783,1653572688.621058
4,'d',1653572688.56197,1653572688.6681268
0,'g',1653572690.6313932,1653572690.7530074
1,'a',1653572690.7449944,1653572690.8835447
2,'g',1653572690.8795455,1653572690.9675207
3,'e',1653572691.03797,1653572691.227309
4,'s',1653572691.1402934,1653572691.2573056
0,'a',1653572693.0935688,1653572693.218511
1,'m',1653572693.2505066,1653572693.2915082
2,'m',1653572693.3714387,1653572693.4738204
3,'o',1653572693.4958336,1653572693.5989525
4,'s',1653572693.6312969,1653572693.7114387
0,'f',1653572695.8799474,1653572695.986953
1,'r',1653572696.125464,1653572696.2611432
2,'y',1653572696.2281427,1653572696.3451624
3,'e',1653572696.3952034,1653572696.5169544
4,'r',1653572696.491515,1653572696.5759404
0,'x',1653572700.2195046,1653572700.3485048
1,'y',1653572700.3605056,1653572700.4820454
2,'s',1653572700.5730846,1653572700.7360604
3,'t',1653572701.3325915,1653572701.4621763
4,'i',1653572701.4035923,1653572701.4908836
0,'b',1653572703.5754404,1653572703.6484814
1,'e',1653572703.6917486,1653572703.7528315
2,'e',1653572703.823945,1653572703.936534
3,'p',1653572703.9189239,1653572704.0075283
4,'s',1653572704.0145273,1653572704.11715
0,'d',1653572706.4639463,1653572706.5553637
1,'o',1653572706.5563745,1653572706.7359955
2,'v',1653572706.7125807,1653572706.76891
3,'e',1653572706.891947,1653572707.0199127
4,'y',1653572707.093947,1653572707.1709266
0,'u',1653572712.443946,1653572712.5389717
1,'n',1653572712.4849617,1653572712.5967133
2,'p',1653572712.6998687,1653572712.8069618
3,'e',1653572712.8719504,1653572712.9819508
4,'g',1653572713.0584586,1653572713.1784425
0,'p',1653572715.5014215,1653572715.5592346
1,'f',1653572715.5898302,1653572715.6551092
2,'f',1653572715.7312093,1653572715.830321
3,'f',1653572715.8459525,1653572715.943375
4,'t',1653572716.076874,1653572716.1614735
0,'j',1653572721.8105085,1653572721.8719556
1,'u',1653572721.9829671,1653572722.029592
2,'m',1653572722.1909754,1653572722.2819555
3,'b',1653572722.6438625,1653572722.7645965
4,'o',1653572722.724554,1653572722.8069677
0,'f',1653572725.1791925,1653572725.3249705
1,'e',1653572725.2870622,1653572725.4859982
2,'a',1653572725.442998,1653572725.5730016
3,'t',1653572725.5229988,1653572725.6029985
4,'s',1653572725.686711,1653572725.785675
0,'o',1653572727.9385536,1653572727.9980433
1,'g',1653572728.0819256,1653572728.1740396
2,'l',1653572728.1750405,1653572728.2684598
3,'e',1653572728.2839594,1653572728.4490476
4,'r',1653572728.3855276,1653572728.4950988
0,'c',1653572730.2763155,1653572730.3898227
1,'o',1653572730.4009733,1653572730.4889853
2,'a',1653572730.6125197,1653572730.703711
3,'s',1653572730.8152006,1653572731.0158381
4,'t',1653572730.9942486,1653572731.1139612
0,'c',1653572732.921023,1653572733.0014026
1,'r',1653572733.2087348,1653572733.3413396
2,'a',1653572733.362352,1653572733.5309746
3,'t',1653572733.456594,1653572733.600813
4,'e',1653572733.61181,1653572733.7220566
0,'k',1653572736.1982179,1653572736.2742167
1,'a',1653572736.2752163,1653572736.383831
2,'p',1653572736.3758297,1653572736.472505
3,'u',1653572736.5625243,1653572736.632662
4,'t',1653572736.7346623,1653572736.8509784
0,'n',1653572738.8913407,1653572739.005844
1,'o',1653572738.949774,1653572739.0713718
2,'b',1653572739.2023473,1653572739.3431685
3,'l',1653572739.290964,1653572739.4292393
4,'e',1653572739.4132266,1653572739.5113115
0,'v',1653572741.5499675,1653572741.6420116
1,'i',1653572741.6610124,1653572741.7409792
2,'s',1653572741.7699888,1653572741.8399684
3,'a',1653572742.0202289,1653572742.1839678
4,'s',1653572742.1466227,1653572742.2637117
0,'f',1653572744.1616921,1653572744.2718163
1,'i',1653572744.2868142,1653572744.3298502
2,'n',1653572744.3418674,1653572744.50527
3,'i',1653572744.4436455,1653572744.5639694
4,'s',1653572744.5349817,1653572744.615322
0,'c',1653572746.9458802,1653572747.0478795
1,'a',1653572747.3479705,1653572747.5569093
2,'r',1653572747.4643977,1653572747.61047
3,'o',1653572747.7716882,1653572747.8821943
4,'m',1653572747.965485,1653572748.0791612
0,'t',1653572750.0969145,1653572750.2333715
1,'e',1653572750.1943498,1653572750.3534453
2,'a',1653572750.346985,1653572750.4923015
3,'k',1653572750.5293515,1653572750.6422935
4,'s',1653572750.6759598,1653572750.7665007
0,'g',1653572752.8480923,1653572752.9760923
1,'a',1653572752.959094,1653572753.1340957
2,'u',1653572753.0680933,1653572753.181092
3,'d',1653572753.2090929,1653572753.3050923
4,'y',1653572753.312094,1653572753.3750956
0,'w',1653572755.382558,1653572755.5325797
1,'o',1653572755.49158,1653572755.5827718
2,'m',1653572755.6902287,1653572755.7520723
3,'e',1653572755.7964678,1653572755.8906167
4,'n',1653572755.849976,1653572755.9311955
0,'s',1653572757.7649918,1653572757.8805037
1,'a',1653572757.8765037,1653572758.0955858
2,'y',1653572758.011523,1653572758.0845592
3,'e',1653572758.1095839,1653572758.28314
4,'r',1653572758.2389915,1653572758.3590965
0,'b',1653572760.1519785,1653572760.2209926
1,'a',1653572760.199897,1653572760.3418221
2,'k',1653572760.3308072,1653572760.3993478
3,'e',1653572760.4444175,1653572760.623955
4,'s',1653572760.5682778,1653572760.6559784
0,'t',1653572762.663719,1653572762.820385
1,'r',1653572762.758296,1653572762.8724139
2,'y',1653572762.8469925,1653572762.9240637
3,'s',1653572762.9676836,1653572763.1497715
4,'t',1653572763.0996969,1653572763.2301743
0,'t',1653572767.7617462,1653572767.8572445
1,'u',1653572767.8542075,1653572767.9554582
2,'r',1653572767.9734614,1653572768.0809965
3,'p',1653572768.336998,1653572768.397984
4,'s',1653572768.428027,1653572768.5272393
0,'b',1653572770.6173341,1653572770.7649982
1,'o',1653572770.6847308,1653572770.752915
2,'l',1653572770.9093995,1653572770.9574761
3,'l',1653572771.0384758,1653572771.1044765
4,'s',1653572771.0974782,1653572771.203985
0,'c',1653572779.1293263,1653572779.2680967
1,'h',1653572779.201423,1653572779.2751076
2,'i',1653572779.2595327,1653572779.421003
3,'n',1653572779.3673053,1653572779.4984758
4,'s',1653572779.450421,1653572779.5830436
0,'b',1653572781.6879919,1653572781.7727938
1,'o',1653572781.970887,1653572782.149004
2,'w',1653572782.0979195,1653572782.255414
3,'i',1653572782.258414,1653572782.3356655
4,'e',1653572782.2734141,1653572782.3952136
0,'h',1653572790.0735724,1653572790.2647407
1,'o',1653572790.1846867,1653572790.4520233
2,'i',1653572790.3490903,1653572790.5021417
3,'s',1653572790.462042,1653572790.685673
4,'t',1653572790.6626751,1653572790.798383
0,'b',1653572792.696,1653572792.841365
1,'u',1653572792.7905407,1653572792.842364
2,'m',1653572793.0521235,1653572793.143174
3,'p',1653572793.2819986,1653572793.4030108
4,'s',1653572793.424917,1653572793.5190108
0,'t',1653572795.560218,1653572795.6693182
1,'i',1653572795.6582973,1653572795.768364
2,'t',1653572795.7510135,1653572795.8999999
3,'e',1653572795.9070094,1653572796.1300797
4,'r',1653572796.0430434,1653572796.1450968
0,'s',1653572797.926258,1653572798.0797598
1,'a',1653572798.0317616,1653572798.2134953
2,'b',1653572798.175819,1653572798.3360019
3,'l',1653572798.2810142,1653572798.4196424
4,'e',1653572798.4006062,1653572798.5068076
0,'s',1653572800.2481687,1653572800.3533127
1,'t',1653572800.3803306,1653572800.4790154
2,'u',1653572800.5986035,1653572800.7840044
3,'n',1653572800.7238503,1653572800.891554
4,'t',1653572800.8330166,1653572800.931996
0,'s',1653572802.701796,1653572802.7900045
1,'h',1653572802.794016,1653572802.8630154
2,'a',1653572802.904004,1653572803.0754569
3,'r',1653572802.9944592,1653572803.1184566
4,'k',1653572803.1224573,1653572803.2064362
0,'s',1653572805.0379648,1653572805.1490552
1,'n',1653572805.2330213,1653572805.3900936
2,'o',1653572805.3319774,1653572805.4704852
3,'w',1653572805.793087,1653572805.8870192
4,'s',1653572806.03109,1653572806.1361818
0,'r',1653572812.1228006,1653572812.283887
1,'e',1653572812.1918008,1653572812.3782167
2,'s',1653572812.506618,1653572812.6908543
3,'a',1653572812.6235516,1653572812.8176973
4,'y',1653572813.4096773,1653572813.472011
0,'e',1653572818.092104,1653572818.2051036
1,'k',1653572818.187104,1653572818.2750256
2,'i',1653572818.3978724,1653572818.5528054
3,'n',1653572818.4800122,1653572818.623026
4,'g',1653572818.6701102,1653572818.7830265
0,'e',1653572826.4750102,1653572826.5520186
1,'x',1653572826.7525969,1653572826.8696787
2,'c',1653572827.088555,1653572827.1951919
3,'o',1653572827.4144573,1653572827.5710313
4,'n',1653572827.8567245,1653572827.9309886
0,'r',1653572831.9720807,1653572832.1039095
1,'a',1653572832.0820165,1653572832.2198489
2,'c',1653572832.3738494,1653572832.5021515
3,'e',1653572832.476099,1653572832.6082168
4,'d',1653572832.724937,1653572832.8020244
0,'n',1653572834.6600766,1653572834.7666264
1,'o',1653572834.7314231,1653572834.9351451
2,'i',1653572834.8718202,1653572835.0260625
3,'s',1653572834.9960248,1653572835.1746683
4,'e',1653572835.0910358,1653572835.240733
0,'i',1653572837.0380254,1653572837.1974156
1,'n',1653572837.0740263,1653572837.230416
2,'t',1653572837.212416,1653572837.4234078
3,'r',1653572837.3584895,1653572837.4990373
4,'a',1653572837.495039,1653572837.6336153
