,key,press_time,release_time
0,'m',1653463931.438297,1653463931.5208743
1,'u',1653463931.8323114,1653463931.9178946
2,'f',1653463931.9945118,1653463932.1041408
3,'t',1653463932.5692992,1653463932.678309
4,'i',1653463932.8203068,1653463932.915311
0,'s',1653463935.842299,1653463935.925314
1,'o',1653463936.1333048,1653463936.2052994
2,'f',1653463936.3043077,1653463936.3883057
3,'t',1653463936.5413077,1653463936.638312
4,'s',1653463936.8219311,1653463936.9069276
0,'h',1653463940.0183132,1653463940.102331
1,'a',1653463940.1901517,1653463940.28688
2,'z',1653463940.5052006,1653463940.5902197
3,'e',1653463940.7972672,1653463940.9053006
4,'s',1653463941.069313,1653463941.155333
0,'v',1653463943.4813051,1653463943.564897
1,'i',1653463943.664304,1653463943.7363093
2,'p',1653463943.82432,1653463943.9213045
3,'e',1653463943.9759011,1653463944.0739272
4,'r',1653463944.1822708,1653463944.242305
0,'f',1653463946.444304,1653463946.5399172
1,'i',1653463946.650301,1653463946.7223058
2,'x',1653463947.2422519,1653463947.3153272
3,'e',1653463947.4563074,1653463947.5410547
4,'s',1653463947.6833043,1653463947.7683127
0,'w',1653463949.8743021,1653463949.996329
1,'o',1653463949.99833,1653463950.069305
2,'m',1653463950.1683033,1653463950.2659023
3,'a',1653463950.2789044,1653463950.3749084
4,'n',1653463950.3993068,1653463950.4723208
0,'c',1653463952.6682975,1653463952.7773066
1,'o',1653463952.8433058,1653463952.9149313
2,'m',1653463953.0340066,1653463953.1190307
3,'b',1653463953.2489147,1653463953.3463068
4,'s',1653463953.4770658,1653463953.574097
0,'s',1653463955.4043155,1653463955.513068
1,'t',1653463955.6732986,1653463955.7692165
2,'r',1653463955.8683085,1653463955.9653027
3,'a',1653463956.0863054,1653463956.1713166
4,'y',1653463956.2483342,1653463956.3449373
0,'k',1653463958.7010734,1653463958.8482974
1,'n',1653463958.811146,1653463958.9071867
2,'o',1653463959.0470738,1653463959.1563134
3,'p',1653463959.2543385,1653463959.3753078
4,'s',1653463959.431929,1653463959.5289545
0,'r',1653463961.7643025,1653463961.8363113
1,'o',1653463961.9022992,1653463961.9753113
2,'w',1653463962.1063023,1653463962.2149255
3,'e',1653463962.3243043,1653463962.4213028
4,'r',1653463962.5402844,1653463962.6359372
0,'a',1653463964.4692998,1653463964.5663059
1,'m',1653463964.579301,1653463964.6633031
2,'i',1653463964.793453,1653463964.8793116
3,'g',1653463964.9454472,1653463965.0563025
4,'o',1653463965.057303,1653463965.1542087
0,'t',1653463967.1913018,1653463967.2869544
1,'o',1653463967.3419676,1653463967.4153056
2,'u',1653463967.5563116,1653463967.6413305
3,'r',1653463967.7183053,1653463967.8033068
4,'s',1653463967.956939,1653463968.0173004
0,'h',1653463970.083093,1653463970.1549733
1,'a',1653463970.2438293,1653463970.352296
2,'z',1653463971.2363045,1653463971.3329422
3,'e',1653463971.5483108,1653463971.6839528
4,'r',1653463971.6470947,1653463971.7693024
0,'o',1653463978.2713094,1653463978.3549542
1,'i',1653463978.4663165,1653463978.5389602
2,'l',1653463978.6699474,1653463978.7669694
3,'e',1653463978.8459876,1653463978.9811072
4,'r',1653463978.9310067,1653463979.053281
0,'y',1653463982.172319,1653463982.2813
1,'a',1653463982.3373075,1653463982.4703145
2,'w',1653463982.6973023,1653463982.806308
3,'e',1653463982.98029,1653463983.0643075
4,'d',1653463983.2162971,1653463983.3243015
0,'n',1653463985.7383096,1653463985.8097444
1,'o',1653463985.906857,1653463985.978966
2,'o',1653463986.0671191,1653463986.1393042
3,'n',1653463986.2383032,1653463986.3094802
4,'s',1653463986.4293017,1653463986.5153255
0,'h',1653463988.5593047,1653463988.632317
1,'e',1653463988.7523046,1653463988.8493059
2,'f',1653463988.937304,1653463989.0343049
3,'t',1653463989.1632833,1653463989.2723024
4,'s',1653463989.3923054,1653463989.4769766
0,'p',1653463991.4953055,1653463991.566978
1,'u',1653463991.7302976,1653463991.8143024
2,'l',1653463992.0873115,1653463992.1843157
3,'p',1653463992.2491298,1653463992.346306
4,'s',1653463992.509302,1653463992.5953004
0,'i',1653463994.6140037,1653463994.6990228
