Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
azfar,r_u,18_21,18,21,0.159600258,-0.016096115,0.143504143,0.127985239,0.287585497,0.144081354
azfar,u_n,21_14,21,14,0.144081354,-0.063933134,0.08014822,0.095710039,0.239791393,0.159643173
azfar,n_i,14_9,14,9,0.159643173,0.02491641,0.184559584,0.184370041,0.344013214,0.15945363
azfar,i_c,9_3,9,3,0.15945363,0.015663385,0.175117016,0.119544268,0.278997898,0.103880882
azfar,u_n,21_14,21,14,0.200148344,-0.095732689,0.104415655,0.064255476,0.26440382,0.159988165
azfar,n_c,14_3,14,3,0.159988165,0.080254078,0.240242243,0.200314283,0.360302448,0.120060205
azfar,c_u,3_21,3,21,0.120060205,0.103271008,0.223331213,0.239748955,0.35980916,0.136477947
azfar,u_t,21_20,21,20,0.136477947,0.040724039,0.177201986,0.22377634,0.360254288,0.183052301
azfar,b_i,2_9,2,9,0.135727167,0.127390862,0.263118029,0.223862171,0.359589338,0.09647131
azfar,i_k,9_11,9,11,0.09647131,0.103698254,0.200169563,0.223527908,0.319999218,0.119829655
azfar,k_e,11_5,11,5,0.119829655,-0.039045811,0.080783844,0.160480499,0.280310154,0.19952631
azfar,e_s,5_19,5,19,0.19952631,-0.080735207,0.118791103,0.080035925,0.279562235,0.160771132
azfar,w_h,23_8,23,8,0.119719028,0.064786434,0.184505463,0.104684353,0.224403381,0.039897919
azfar,h_o,8_15,8,15,0.039897919,0.144121647,0.184019566,0.264394283,0.304292202,0.120272636
azfar,o_a,15_1,15,1,0.120272636,0.120087624,0.24036026,0.27899456,0.399267197,0.158906937
azfar,a_s,1_19,1,19,0.158906937,-0.023542643,0.135364294,0.120021582,0.278928518,0.143564224
azfar,s_t,19_20,19,20,0.119606495,0.040331602,0.159938097,0.224711895,0.34431839,0.184380293
azfar,t_a,20_1,20,1,0.184380293,0.023701191,0.208081484,0.103330374,0.287710667,0.079629183
azfar,a_n,1_14,1,14,0.079629183,-0.038998127,0.040631056,0.16057682,0.240206003,0.199574947
azfar,n_k,14_11,14,11,0.199574947,0.184723854,0.384298801,0.343698502,0.543273449,0.158974648
azfar,s_c,19_3,19,3,0.208426714,-0.039366961,0.169059753,0.200625896,0.40905261,0.239992857
azfar,c_a,3_1,3,1,0.239992857,-0.08061862,0.159374237,0.119655371,0.359648228,0.200273991
azfar,a_l,1_12,1,12,0.200273991,0.183893919,0.38416791,0.359808683,0.560082674,0.175914764
azfar,l_p,12_16,12,16,0.175914764,0.119639397,0.295554161,0.223943949,0.399858713,0.104304552
azfar,h_u,8_21,8,21,0.183461666,-0.079081059,0.104380608,0.056026936,0.239488602,0.135107994
azfar,u_f,21_6,21,6,0.135107994,0.16009593,0.295203924,0.287876368,0.422984362,0.127780437
azfar,f_f,6_6,6,6,0.127780437,0.097101688,0.224882126,0.256554365,0.384334803,0.159452677
azfar,f_s,6_19,6,19,0.159452677,-0.016386032,0.143066645,0.15976882,0.319221497,0.176154852
azfar,c_u,3_21,3,21,0.159827709,0.143186092,0.303013802,0.280369043,0.440196753,0.137182951
azfar,u_r,21_18,21,18,0.137182951,0.103624344,0.240807295,0.207058668,0.344241619,0.103434324
azfar,r_d,18_4,18,4,0.103434324,0.160995007,0.264429331,0.320188761,0.423623085,0.159193754
azfar,d_y,4_25,4,25,0.159193754,0.016157627,0.175351381,0.07968235,0.238876104,0.063524723
azfar,c_o,3_15,3,15,0.159561634,0.200382233,0.359943867,0.368499041,0.528060675,0.168116808
azfar,o_r,15_18,15,18,0.168116808,-0.02402997,0.144086838,0.135650873,0.303767681,0.159680843
azfar,r_m,18_13,18,13,0.159680843,-0.014955282,0.144725561,0.120085955,0.279766798,0.135041237
azfar,m_s,13_19,13,19,0.135041237,0.02363801,0.158679247,0.184880257,0.319921494,0.161242247
azfar,l_o,12_15,12,15,0.240056992,-0.104236126,0.135820866,0.040153503,0.280210495,0.144389629
azfar,o_s,15_19,15,19,0.144389629,-0.064238071,0.080151558,0.080344439,0.224734068,0.14458251
azfar,s_s,19_19,19,19,0.14458251,0.06332016,0.20790267,0.183618069,0.328200579,0.120297909
azfar,s_y,19_25,19,25,0.120297909,0.136479616,0.256777525,0.296108484,0.416406393,0.159628868
azfar,o_f,15_6,15,6,0.16147089,-0.057015657,0.104455233,0.079945803,0.241416693,0.13696146
azfar,f_f,6_6,6,6,0.13696146,0.079022169,0.215983629,0.182738304,0.319699764,0.103716135
azfar,f_e,6_5,6,5,0.103716135,0.039482117,0.143198252,0.2242167,0.327932835,0.184734583
azfar,e_r,5_18,5,18,0.184734583,-0.023969412,0.160765171,0.136008978,0.320743561,0.15997839
azfar,t_e,20_5,20,5,0.223841667,-0.103805065,0.120036602,0.055884361,0.279726028,0.159689426
azfar,e_m,5_13,5,13,0.159689426,-0.015687704,0.144001722,0.128132105,0.287821531,0.143819809
azfar,m_p,13_16,13,16,0.143819809,0.080083847,0.223903656,0.20015502,0.343974829,0.120071173
azfar,p_t,16_20,16,20,0.120071173,-0.040364504,0.079706669,0.119857073,0.239928246,0.160221577
azfar,p_a,16_1,16,1,0.118562698,0.016432047,0.134994745,0.184185028,0.302747726,0.167752981
azfar,a_e,1_5,1,5,0.167752981,0.096424818,0.264177799,0.256177664,0.423930645,0.159752846
azfar,e_a,5_1,5,1,0.159752846,2.040777445,2.200530291,2.199967623,2.359720469,0.159190178
azfar,a_n,1_14,1,14,0.159190178,0.040953398,0.200143576,0.200641394,0.359831572,0.159687996
azfar,c_l,3_12,3,12,0.175563812,-0.015976429,0.159587383,0.224366903,0.399930716,0.240343332
azfar,l_o,12_15,12,15,0.240343332,-0.079784393,0.160558939,0.103990555,0.344333887,0.183774948
azfar,o_v,15_22,15,22,0.183774948,-0.063859701,0.119915247,0.135788918,0.319563866,0.199648619
azfar,v_e,22_5,22,5,0.199648619,-0.079761505,0.119887114,0.079787731,0.27943635,0.159549236
azfar,m_i,13_9,13,9,0.183979273,-0.023831367,0.160147905,0.183888197,0.36786747,0.207719564
azfar,i_n,9_14,9,14,0.207719564,-0.103567839,0.104151726,0.04006052,0.247780085,0.143628359
azfar,n_e,14_5,14,5,0.143628359,-0.064088821,0.079539537,0.096900225,0.240528584,0.160989046
azfar,e_r,5_18,5,18,0.160989046,-0.055983543,0.105005503,0.119205713,0.280194759,0.175189257
azfar,c_r,3_18,3,18,0.120668173,0.095739365,0.216407537,0.279738188,0.400406361,0.183998823
azfar,r_a,18_1,18,1,0.183998823,-0.063845396,0.120153427,0.10399127,0.287990093,0.167836666
azfar,a_g,1_7,1,7,0.167836666,0.016101122,0.183937788,0.215962648,0.383799314,0.199861526
azfar,g_s,7_19,7,19,0.199861526,0.063289642,0.263151169,0.184047937,0.383909464,0.120758295
azfar,f_e,6_5,6,5,0.200644732,-0.065008879,0.135635853,0.095786572,0.296431303,0.16079545
azfar,e_v,5_22,5,22,0.16079545,0.079741001,0.240536451,0.327655315,0.488450766,0.247914314
azfar,v_e,22_5,22,5,0.247914314,-0.088340998,0.159573317,0.13566947,0.383583784,0.224010468
azfar,e_r,5_18,5,18,0.224010468,-0.119683027,0.10432744,0.080771208,0.304781675,0.200454235
azfar,q_u,17_21,17,21,0.184494734,-0.024668455,0.159826279,0.103604555,0.288099289,0.12827301
azfar,u_a,21_1,21,1,0.12827301,0.239878416,0.368151426,0.400296211,0.528569221,0.160417795
azfar,a_c,1_3,1,3,0.160417795,0.03955698,0.199974775,0.183436632,0.343854427,0.143879652
azfar,c_k,3_11,3,11,0.143879652,0.01626873,0.160148382,0.159865141,0.303744793,0.143596411
azfar,t_e,20_5,20,5,0.26457262,-0.120615482,0.143957138,0.119766951,0.384339571,0.240382433
azfar,e_s,5_19,5,19,0.240382433,-0.095633984,0.144748449,0.06400466,0.304387093,0.159638643
azfar,s_t,19_20,19,20,0.159638643,0.079320192,0.238958836,0.303638458,0.463277102,0.224318266
azfar,t_s,20_19,20,19,0.224318266,-0.047515392,0.176802874,0.160612345,0.384930611,0.208127737
azfar,p_r,16_18,16,18,0.135665894,0.02398777,0.159653664,0.200186491,0.335852385,0.176198721
azfar,r_u,18_21,18,21,0.176198721,0.040146589,0.21634531,0.248197317,0.424396038,0.208050728
azfar,u_n,21_14,21,14,0.208050728,-0.087937355,0.120113373,0.039967537,0.248018265,0.127904892
azfar,n_e,14_5,14,5,0.127904892,-0.024059772,0.103845119,0.119937658,0.24784255,0.143997431
azfar,c_r,3_18,3,18,0.136004448,0.080267668,0.216272116,0.264118195,0.400122643,0.183850527
azfar,r_a,18_1,18,1,0.183850527,-0.015955925,0.167894602,0.144878626,0.328729153,0.160834551
azfar,a_w,1_23,1,23,0.160834551,0.174995661,0.335830212,0.318725348,0.479559898,0.143729687
azfar,w_s,23_19,23,19,0.143729687,0.080463886,0.224193573,0.265213251,0.408942938,0.184749365
azfar,c_l,3_12,3,12,0.144527435,0.096517801,0.241045237,0.279405832,0.423933268,0.182888031
azfar,l_a,12_1,12,1,0.182888031,-0.023794413,0.159093618,0.12029767,0.303185701,0.144092083
azfar,a_i,1_9,1,9,0.144092083,0.017163992,0.161256075,0.223662853,0.367754936,0.206498861
azfar,i_m,9_13,9,13,0.206498861,-0.080156326,0.126342535,0.056112289,0.262611151,0.136268616
azfar,f_a,6_1,6,1,0.200031519,-0.023934603,0.176096916,0.159882069,0.359913588,0.183816671
azfar,a_c,1_3,1,3,0.183816671,0.015569448,0.19938612,0.199996233,0.383812904,0.184426785
azfar,c_e,3_5,3,5,0.184426785,-0.055383682,0.129043102,0.119597435,0.30402422,0.174981117
azfar,e_t,5_20,5,20,0.174981117,0.064393759,0.239374876,0.241477251,0.416458368,0.177083492
azfar,o_r,15_18,15,18,0.1593647,0.015956402,0.175321102,0.119563341,0.278928041,0.103606939
azfar,r_t,18_20,18,20,0.103606939,0.136551857,0.240158796,0.279953957,0.383560896,0.1434021
azfar,t_h,20_8,20,8,0.1434021,0.024461269,0.167863369,0.119661808,0.263063908,0.095200539
azfar,h_o,8_15,8,15,0.095200539,0.064826488,0.160027027,0.20173502,0.296935558,0.136908531
azfar,c_r,3_18,3,18,0.120087862,0.120291471,0.240379333,0.303405285,0.423493147,0.183113813
azfar,r_a,18_1,18,1,0.183113813,0.024380445,0.207494259,0.160561323,0.343675137,0.136180878
azfar,a_w,1_23,1,23,0.136180878,0.103805304,0.239986181,0.303987026,0.440167904,0.200181723
azfar,w_l,23_12,23,12,0.200181723,0.040799856,0.240981579,0.144096851,0.344278574,0.103296995
azfar,r_e,18_5,18,5,0.182682276,-0.038923264,0.143759012,0.056834459,0.239516735,0.095757723
azfar,e_e,5_5,5,5,0.095757723,0.087607622,0.183365345,0.246856451,0.342614174,0.159248829
azfar,e_d,5_4,5,4,0.159248829,0.016700745,0.175949574,0.241485596,0.400734425,0.224784851
azfar,d_s,4_19,4,19,0.224784851,-0.063409567,0.161375284,0.11921072,0.343995571,0.182620287
azfar,s_o,19_15,19,15,0.159226656,0.081001043,0.240227699,0.216509819,0.375736475,0.135508776
azfar,o_c,15_3,15,3,0.135508776,0.040871859,0.176380634,0.183898211,0.319406986,0.143026352
