Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
chris,s_i,19_9,19,9,0.133816242,0.007011414,0.140827656,0.151870251,0.285686493,0.144858837
chris,i_g,9_7,9,7,0.144858837,0.004989386,0.149848223,0.136105299,0.280964136,0.131115913
chris,g_n,7_14,7,14,0.131115913,-0.02166152,0.109454393,0.097597361,0.228713274,0.119258881
chris,n_s,14_19,14,19,0.119258881,0.001991749,0.121250629,0.134156704,0.253415585,0.132164955
chris,s_a,19_1,19,1,0.166821718,-0.039897442,0.126924276,0.103798628,0.270620346,0.14369607
chris,a_v,1_22,1,22,0.14369607,-0.018055439,0.125640631,0.095907927,0.239603996,0.113963366
chris,v_e,22_5,22,5,0.113963366,0.029039621,0.143002987,0.182346344,0.29630971,0.153306723
chris,e_r,5_18,5,18,0.153306723,-0.037388086,0.115918636,0.037984848,0.191291571,0.075372934
chris,d_e,4_5,4,5,0.094629288,0.041853189,0.136482477,0.16027832,0.254907608,0.118425131
chris,e_b,5_2,5,2,0.118425131,0.081156969,0.1995821,0.174235344,0.292660475,0.093078375
chris,b_t,2_20,2,20,0.093078375,0.196622133,0.289700508,0.334905624,0.427983999,0.138283491
chris,t_s,20_19,20,19,0.138283491,-0.009374619,0.128908873,0.120043278,0.258326769,0.129417896
chris,c_o,3_15,3,15,0.145616055,0.082737446,0.2283535,0.184463024,0.330079079,0.101725578
chris,o_a,15_1,15,1,0.101725578,-0.010308266,0.091417313,0.097980499,0.199706078,0.108288765
chris,a_l,1_12,1,12,0.108288765,0.006980896,0.115269661,0.078968287,0.187257051,0.071987391
chris,l_s,12_19,12,19,0.071987391,0.018949509,0.090936899,0.105320454,0.177307844,0.086370945
chris,s_h,19_8,19,8,0.114677191,-0.018945932,0.095731258,0.088407993,0.203085184,0.107353926
chris,h_a,8_1,8,1,0.107353926,-0.009181738,0.098172188,0.118936539,0.226290464,0.128118277
chris,a_r,1_18,1,18,0.128118277,-0.043635607,0.08448267,0.06232214,0.190440416,0.105957747
chris,r_k,18_11,18,11,0.105957747,-0.032195091,0.073762655,0.087661982,0.193619728,0.119857073
chris,h_o,8_15,8,15,0.114086151,-0.003991365,0.110094786,0.060673475,0.174759626,0.064664841
chris,o_o,15_15,15,15,0.064664841,0.082133055,0.146797895,0.157237768,0.221902609,0.075104713
chris,o_k,15_11,15,11,0.075104713,-0.023722649,0.051382065,0.112755537,0.18786025,0.136478186
chris,k_y,11_25,11,25,0.136478186,0.04035902,0.176837206,0.132086992,0.268565178,0.091727972
chris,m_u,13_21,13,21,0.100449324,0.063668489,0.164117813,0.199455261,0.299904585,0.135786772
chris,u_n,21_14,21,14,0.135786772,-0.038591385,0.097195387,0.087969542,0.223756313,0.126560926
chris,n_g,14_7,14,7,0.126560926,-0.026621819,0.099939108,0.075263977,0.201824903,0.101885796
chris,g_s,7_19,7,19,0.101885796,-0.026908398,0.074977398,0.081110239,0.182996035,0.108018637
chris,m_o,13_15,13,15,0.146882296,-0.051732779,0.095149517,0.039981842,0.186864138,0.091714621
chris,o_u,15_21,15,21,0.091714621,0.153167248,0.244881868,0.256563425,0.348278046,0.103396177
chris,u_n,21_14,21,14,0.103396177,-0.039333105,0.064063072,0.078095675,0.181491852,0.11742878
chris,n_t,14_20,14,20,0.11742878,-0.025930643,0.091498137,0.073242664,0.190671444,0.099173307
chris,s_i,19_9,19,9,0.114991426,-0.052943707,0.06204772,0.062867403,0.177858829,0.11581111
chris,i_r,9_18,9,18,0.11581111,0.001003265,0.116814375,0.114130497,0.229941607,0.113127232
chris,r_e,18_5,18,5,0.113127232,0.006870031,0.119997263,0.091084242,0.204211473,0.084214211
chris,e_d,5_4,5,4,0.084214211,0.050181389,0.134395599,0.140108585,0.224322796,0.089927197
chris,c_u,3_21,3,21,0.11593318,-0.033823729,0.082109451,0.077313662,0.193246841,0.11113739
chris,u_r,21_18,21,18,0.11113739,0.042924643,0.154062033,0.127111197,0.238248587,0.084186554
chris,r_i,18_9,18,9,0.084186554,-0.019850254,0.0643363,0.063581705,0.147768259,0.083431959
chris,i_e,9_5,9,5,0.083431959,0.028956175,0.112388134,0.127118349,0.210550308,0.098162174
chris,l_e,12_5,12,5,0.11293745,-0.071359396,0.041578054,0.061962128,0.174899578,0.133321524
chris,e_v,5_22,5,22,0.133321524,-0.022128582,0.111192942,0.125072002,0.258393526,0.147200584
chris,v_e,22_5,22,5,0.147200584,-0.037022591,0.110177994,0.055393457,0.202594042,0.092416048
chris,e_l,5_12,5,12,0.092416048,-0.045300484,0.047115564,0.015495777,0.107911825,0.060796261
chris,m_e,13_5,13,5,0.130309582,-0.06015563,0.070153952,0.041994095,0.172303677,0.102149725
chris,e_d,5_4,5,4,0.102149725,0.052858591,0.155008316,0.175758123,0.277907848,0.122899532
chris,d_a,4_1,4,1,0.122899532,-0.032114506,0.090785027,0.091780424,0.214679956,0.12389493
chris,a_l,1_12,1,12,0.12389493,-0.073004246,0.050890684,-0.003934145,0.119960785,0.069070101
chris,l_a,12_1,12,1,0.093852282,-0.021997213,0.071855068,0.129374504,0.223226786,0.151371717
chris,a_c,1_3,1,3,0.151371717,-0.053120136,0.098251581,0.05387187,0.205243587,0.106992006
chris,c_e,3_5,3,5,0.106992006,0.31993103,0.426923037,0.477939844,0.58493185,0.158008814
chris,e_y,5_25,5,25,0.158008814,-0.049950123,0.108058691,0.054132462,0.212141275,0.104082584
chris,b_e,2_5,2,5,0.120857716,0.00595355,0.126811266,0.174923658,0.295781374,0.168970108
chris,e_g,5_7,5,7,0.168970108,-0.020047426,0.148922682,0.091941833,0.260911942,0.11198926
chris,g_i,7_9,7,9,0.11198926,-0.036902428,0.075086832,0.080971956,0.192961216,0.117874384
chris,i_n,9_14,9,14,0.117874384,-0.056038857,0.061835527,0.055930614,0.173804998,0.111969471
chris,p_a,16_1,16,1,0.109920025,-0.052551746,0.057368279,0.095406294,0.205326319,0.14795804
chris,a_t,1_20,1,20,0.14795804,-0.051704884,0.096253157,0.032729387,0.180687428,0.084434271
chris,t_c,20_3,20,3,0.084434271,0.108071804,0.192506075,0.194658995,0.279093266,0.086587191
chris,c_h,3_8,3,8,0.086587191,-0.05656743,0.03001976,0.046895742,0.133482933,0.103463173
chris,l_o,12_15,12,15,0.091973305,0.12029624,0.212269545,0.201347113,0.293320417,0.081050873
chris,o_t,15_20,15,20,0.081050873,-0.004914045,0.076136827,0.081966162,0.163017035,0.086880207
chris,t_t,20_20,20,20,0.086880207,0.066245317,0.153125525,0.178032398,0.264912605,0.111787081
chris,t_o,20_15,20,15,0.111787081,-0.011969566,0.099817514,0.065827608,0.177614689,0.077797174
chris,r_u,18_21,18,21,0.100081682,0.010997534,0.111079216,0.131052017,0.231133699,0.120054483
chris,u_b,21_2,21,2,0.120054483,0.010185242,0.130239725,0.115914345,0.235968828,0.105729103
chris,b_e,2_5,2,5,0.105729103,0.03703475,0.142763853,0.14428401,0.250013113,0.10724926
chris,e_s,5_19,5,19,0.10724926,0.093748093,0.200997353,0.188660383,0.295909643,0.094912291
chris,s_t,19_20,19,20,0.154603958,0.003908634,0.158512592,0.120350122,0.274954081,0.116441488
chris,t_a,20_1,20,1,0.116441488,0.008975983,0.125417471,0.130979776,0.247421265,0.122003794
chris,a_f,1_6,1,6,0.122003794,-0.00494504,0.117058754,0.073001862,0.195005655,0.077946901
chris,f_f,6_6,6,6,0.077946901,0.070050001,0.147996902,0.167209148,0.24515605,0.097159147
chris,f_o,6_15,6,15,0.126336813,0.107472181,0.233808994,0.208502054,0.334838867,0.101029873
chris,o_r,15_18,15,18,0.101029873,-0.012988329,0.088041544,0.07222724,0.173257113,0.085215569
chris,r_g,18_7,18,7,0.085215569,0.111384153,0.196599722,0.202903748,0.288119316,0.091519594
chris,g_e,7_5,7,5,0.091519594,0.004982233,0.096501827,0.116970778,0.208490372,0.111988544
chris,c_h,3_8,3,8,0.154626369,-0.088602304,0.066024065,0.035769939,0.190396309,0.124372244
chris,h_i,8_9,8,9,0.124372244,-0.054495096,0.069877148,0.079604149,0.203976393,0.134099245
chris,i_n,9_14,9,14,0.134099245,0.022403002,0.156502247,0.163428545,0.29752779,0.141025543
chris,n_k,14_11,14,11,0.141025543,-0.040276051,0.100749493,0.054576874,0.195602417,0.094852924
chris,n_u,14_21,14,21,0.26259613,-0.155220985,0.107375145,0.034882545,0.297478676,0.190103531
chris,u_d,21_4,21,4,0.190103531,-0.028110504,0.161993027,0.094848633,0.284952164,0.122959137
chris,d_i,4_9,4,9,0.122959137,0.025959015,0.148918152,0.097290039,0.220249176,0.071331024
chris,i_e,9_5,9,5,0.071331024,0.062476397,0.133807421,0.157905102,0.229236126,0.095428705
chris,h_o,8_15,8,15,0.167097807,-0.055768967,0.11132884,0.051025629,0.218123436,0.106794596
chris,o_l,15_12,15,12,0.106794596,0.083204508,0.189999104,0.174962282,0.281756878,0.091757774
chris,l_d,12_4,12,4,0.091757774,-0.053836823,0.037920952,0.074591637,0.166349411,0.128428459
chris,d_s,4_19,4,19,0.128428459,-0.036461592,0.091966867,0.066584826,0.195013285,0.103046417
chris,h_o,8_15,8,15,0.210129738,-0.081991911,0.128137827,0.060359001,0.270488739,0.142350912
chris,o_r,15_18,15,18,0.142350912,-0.081406355,0.060944557,0.034022093,0.176373005,0.115428448
chris,r_s,18_19,18,19,0.115428448,0.072777033,0.188205481,0.256873131,0.372301579,0.184096098
chris,s_y,19_25,19,25,0.184096098,-0.006108761,0.177987337,0.116211176,0.300307274,0.122319937
chris,y_o,25_15,25,15,0.136162996,-0.072912931,0.063250065,0.043172836,0.179335833,0.116085768
chris,o_u,15_21,15,21,0.116085768,-0.054003,0.062082767,0.068832874,0.184918642,0.122835875
chris,u_r,21_18,21,18,0.122835875,0.008018255,0.13085413,0.113018036,0.23585391,0.104999781
chris,r_n,18_14,18,14,0.104999781,0.002257586,0.107257366,0.087806225,0.192806005,0.085548639
chris,s_t,19_20,19,20,0.119026423,0.003939629,0.122966051,0.121334791,0.240361214,0.117395163
chris,t_a,20_1,20,1,0.117395163,0.012967587,0.130362749,0.157135487,0.274530649,0.1441679
chris,a_r,1_18,1,18,0.1441679,-0.029767036,0.114400864,0.075267792,0.219435692,0.105034828
chris,r_s,18_19,18,19,0.105034828,0.036111832,0.14114666,0.128954887,0.233989716,0.092843056
chris,d_u,4_21,4,21,0.127090693,-0.047119617,0.079971075,0.030236244,0.157326937,0.077355862
chris,u_m,21_13,21,13,0.077355862,0.119637728,0.196993589,0.203231812,0.280587673,0.083594084
chris,m_m,13_13,13,13,0.083594084,0.080134392,0.163728476,0.164115667,0.247709751,0.083981276
chris,m_y,13_25,13,25,0.083981276,-0.012965679,0.071015596,0.088398457,0.172379732,0.101364136
chris,p_e,16_5,16,5,0.103514433,-0.019705772,0.083808661,0.099781752,0.203296185,0.119487524
chris,e_p,5_16,5,16,0.119487524,0.02368331,0.143170834,0.077994823,0.197482347,0.054311514
chris,p_p,16_16,16,16,0.054311514,0.081242323,0.135553837,0.153922796,0.20823431,0.072680473
chris,p_y,16_25,16,25,0.072680473,-0.007978678,0.064701796,0.096729517,0.16940999,0.104708195
