Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
jc,s_a,19_1,19,1,0.07899093627929688,0.08856749534606934,0.1675584316253662,0.18355560302734375,0.2625465393066406,0.09498810768127441
jc,a_p,1_16,1,16,0.09498810768127441,0.08027982711791992,0.17526793479919434,0.15244221687316895,0.24743032455444336,0.07216238975524902
jc,p_p,16_16,16,16,0.07216238975524902,0.06426000595092773,0.13642239570617676,0.14346742630004883,0.21562981605529785,0.0792074203491211
jc,p_y,16_25,16,25,0.0792074203491211,0.05703020095825195,0.13623762130737305,0.13602566719055176,0.21523308753967285,0.0789954662322998
jc,c_h,3_8,3,8,0.08794927597045898,0.056200504302978516,0.1441497802734375,0.1758592128753662,0.2638084888458252,0.1196587085723877
jc,h_u,8_21,8,21,0.1196587085723877,0.02425861358642578,0.14391732215881348,0.11156773567199707,0.23122644424438477,0.08730912208557129
jc,u_r,21_18,21,18,0.08730912208557129,0.03173065185546875,0.11903977394104004,0.1125788688659668,0.19988799095153809,0.08084821701049805
jc,r_n,18_14,18,14,0.08084821701049805,0.0476374626159668,0.12848567962646484,0.1436295509338379,0.22447776794433594,0.0959920883178711
jc,t_u,20_21,20,21,0.08054113388061523,0.03918051719665527,0.11972165107727051,0.14329051971435547,0.2238316535949707,0.1041100025177002
jc,u_b,21_2,21,2,0.1041100025177002,0.19277334213256836,0.29688334465026855,0.26380395889282227,0.36791396141052246,0.0710306167602539
jc,b_a,2_1,2,1,0.0710306167602539,0.08016705513000488,0.1511976718902588,0.21667098999023438,0.2877016067504883,0.1365039348602295
jc,a_s,1_19,1,19,0.1365039348602295,-0.048027992248535156,0.08847594261169434,0.08804583549499512,0.2245497703552246,0.13607382774353027
jc,l_e,12_5,12,5,0.08800077438354492,0.032000064849853516,0.12000083923339844,0.10400032997131348,0.1920011043548584,0.07200026512145996
jc,e_a,5_1,5,1,0.07200026512145996,0.11229085922241211,0.18429112434387207,0.2082972526550293,0.28029751777648926,0.09600639343261719
jc,a_p,1_16,1,16,0.09600639343261719,0.03174924850463867,0.12775564193725586,0.12781381607055664,0.22382020950317383,0.09606456756591797
jc,p_s,16_19,16,19,0.09606456756591797,0.09625792503356934,0.1923224925994873,0.16749882698059082,0.2635633945465088,0.07124090194702148
jc,w_h,23_8,23,8,0.0798954963684082,0.14470458030700684,0.22460007667541504,0.23169255256652832,0.3115880489349365,0.08698797225952148
jc,h_e,8_5,8,5,0.08698797225952148,0.08073115348815918,0.16771912574768066,0.15976595878601074,0.24675393104553223,0.07903480529785156
jc,e_l,5_12,5,12,0.07903480529785156,0.08133482933044434,0.1603696346282959,0.16814613342285156,0.24718093872070312,0.08681130409240723
jc,l_p,12_16,12,16,0.08681130409240723,0.08842730522155762,0.17523860931396484,0.17643380165100098,0.2632451057434082,0.08800649642944336
jc,d_o,4_15,4,15,0.0804295539855957,0.06477952003479004,0.14520907402038574,0.1998302936553955,0.2802598476409912,0.13505077362060547
jc,o_m,15_13,15,13,0.13505077362060547,-0.05597710609436035,0.07907366752624512,0.06483221054077148,0.19988298416137695,0.12080931663513184
jc,m_e,13_5,13,5,0.12080931663513184,0.039047956466674805,0.15985727310180664,0.10321688652038574,0.22402620315551758,0.06416893005371094
jc,e_s,5_19,5,19,0.06416893005371094,0.11994314193725586,0.1841120719909668,0.1999518871307373,0.26412081718444824,0.08000874519348145
jc,w_h,23_8,23,8,0.08033895492553711,0.08188748359680176,0.16222643852233887,0.16789841651916504,0.24823737144470215,0.08601093292236328
jc,h_a,8_1,8,1,0.08601093292236328,0.08898591995239258,0.17499685287475586,0.17589902877807617,0.26190996170043945,0.0869131088256836
jc,a_l,1_12,1,12,0.0869131088256836,0.06420135498046875,0.15111446380615234,0.13619327545166016,0.22310638427734375,0.0719919204711914
jc,l_e,12_5,12,5,0.0719919204711914,0.09601521492004395,0.16800713539123535,0.1600184440612793,0.2320103645324707,0.06400322914123535
jc,c_o,3_15,3,15,0.12099647521972656,0.06300210952758789,0.18399858474731445,0.13500165939331055,0.2559981346130371,0.07199954986572266
jc,o_l,15_12,15,12,0.07199954986572266,0.1439986228942871,0.21599817276000977,0.2320573329925537,0.30405688285827637,0.0880587100982666
jc,l_o,12_15,12,15,0.0880587100982666,0.13610482215881348,0.22416353225708008,0.2241048812866211,0.3121635913848877,0.08800005912780762
jc,o_n,15_14,15,14,0.08800005912780762,0.09600043296813965,0.18400049209594727,0.20800042152404785,0.29600048065185547,0.1119999885559082
jc,k_a,11_1,11,1,0.07193589210510254,0.07279014587402344,0.14472603797912598,0.1596207618713379,0.23155665397644043,0.08683061599731445
jc,a_r,1_18,1,18,0.08683061599731445,0.13623952865600586,0.2230701446533203,0.2082686424255371,0.29509925842285156,0.07202911376953125
jc,r_a,18_1,18,1,0.07202911376953125,0.08795666694641113,0.15998578071594238,0.18415379524230957,0.2561829090118408,0.09619712829589844
jc,a_t,1_20,1,20,0.09619712829589844,0.12061381340026855,0.216810941696167,0.19998407363891602,0.29618120193481445,0.07937026023864746
