Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
ys,m_u,13_21,13,21,0.082577229,0.31143713,0.394014359,0.39702034,0.479597569,0.08558321
ys,u_f,21_6,21,6,0.08558321,0.076617241,0.162200451,0.186246157,0.271829367,0.109628916
ys,f_t,6_20,6,20,0.109628916,0.465158463,0.574787378,0.574168205,0.683797121,0.109009743
ys,t_i,20_9,20,9,0.109009743,0.141997814,0.251007557,0.237002134,0.346011877,0.09500432
ys,s_o,19_15,19,15,0.083014965,0.207990885,0.29100585,0.279985428,0.363000393,0.071994543
ys,o_f,15_6,15,6,0.071994543,0.099008322,0.171002865,0.183006287,0.25500083,0.083997965
ys,f_t,6_20,6,20,0.083997965,0.153002024,0.236999989,0.250006437,0.334004402,0.097004414
ys,t_s,20_19,20,19,0.097004414,0.183619022,0.280623436,0.268615484,0.365619898,0.084996462
ys,h_a,8_1,8,1,0.084017754,0.087820768,0.171838522,0.184549093,0.268566847,0.096728325
ys,a_z,1_26,1,26,0.096728325,0.218320608,0.315048933,0.30333972,0.400068045,0.085019112
ys,z_e,26_5,26,5,0.085019112,0.207047462,0.292066574,0.315080881,0.400099993,0.108033419
ys,e_s,5_19,5,19,0.108033419,0.164012432,0.272045851,0.250032425,0.358065844,0.086019993
ys,v_i,22_9,22,9,0.083591938,0.099406958,0.182998896,0.17141223,0.255004168,0.072005272
ys,i_p,9_16,9,16,0.072005272,0.088010788,0.16001606,0.184995174,0.257000446,0.096984386
ys,p_e,16_5,16,5,0.096984386,0.054596663,0.151581049,0.1526227,0.249607086,0.098026037
ys,e_r,5_18,5,18,0.098026037,0.108343601,0.206369638,0.168377876,0.266403913,0.060034275
ys,f_i,6_9,6,9,0.095613241,0.110383749,0.20599699,0.182388544,0.278001785,0.072004795
ys,i_x,9_24,9,24,0.072004795,0.519946098,0.591950893,0.593021393,0.665026188,0.073075294
ys,x_e,24_5,24,5,0.073075294,0.140980244,0.214055538,0.225727558,0.298802853,0.084747314
ys,e_s,5_19,5,19,0.084747314,0.142249584,0.226996899,0.227257967,0.312005281,0.085008383
ys,w_o,23_15,23,15,0.12202692,0.002001047,0.124027967,0.072975874,0.195002794,0.070974827
ys,o_m,15_13,15,13,0.070974827,0.098998308,0.169973135,0.196597338,0.267572165,0.09759903
ys,m_a,13_1,13,1,0.09759903,0.013002157,0.110601187,0.109006166,0.206605196,0.096004009
ys,a_n,1_14,1,14,0.096004009,0.024398327,0.120402336,0.097412348,0.193416357,0.073014021
ys,c_o,3_15,3,15,0.109009027,0.065999269,0.175008297,0.137624741,0.246633768,0.071625471
ys,o_m,15_13,15,13,0.071625471,0.119075298,0.190700769,0.204099417,0.275724888,0.085024118
ys,m_b,13_2,13,2,0.085024118,0.129884005,0.214908123,0.227276087,0.312300205,0.097392082
ys,b_s,2_19,2,19,0.097392082,0.130759001,0.228151083,0.227790117,0.325182199,0.097031116
ys,s_t,19_20,19,20,0.108752489,0.160230637,0.268983126,0.256148577,0.364901066,0.09591794
ys,t_r,20_18,20,18,0.09591794,0.099092007,0.195009947,0.196086168,0.292004108,0.096994162
ys,r_a,18_1,18,1,0.096994162,0.121002674,0.217996836,0.206013918,0.30300808,0.085011244
ys,a_y,1_25,1,25,0.085011244,0.077017546,0.16202879,0.173620701,0.258631945,0.096603155
ys,k_n,11_14,11,14,0.147223949,-0.037151337,0.110072613,0.058889389,0.206113338,0.096040726
ys,n_o,14_15,14,15,0.096040726,0.139887094,0.23592782,0.249126673,0.345167398,0.109239578
ys,o_p,15_16,15,16,0.109239578,0.098025084,0.207264662,0.218994379,0.328233957,0.120969296
ys,p_s,16_19,16,19,0.120969296,0.056621313,0.177590609,0.153646708,0.274616003,0.097025394
ys,r_o,18_15,18,15,0.072008848,0.065987825,0.137996674,0.138999939,0.211008787,0.073012114
ys,o_w,15_23,15,23,0.073012114,0.130990982,0.204003096,0.239614248,0.312626362,0.108623266
ys,w_e,23_5,23,5,0.108623266,0.109378815,0.218002081,0.206377268,0.315000534,0.096998453
ys,e_r,5_18,5,18,0.096998453,0.1189816,0.215980053,0.214634418,0.311632872,0.095652819
