,Actual,Prediction,Accuracy,21/80 (26.25%)
0,adhy,hr,0.3187805414199829,nope
1,adhy,chris,0.24748146533966064,nope
2,adhy,chris,0.23954209685325623,nope
3,adhy,jc,0.29615518450737,nope
4,adhy,chris,0.2530824840068817,nope
5,adhy,andy,0.26963287591934204,nope
6,adhy,hr,0.170070081949234,nope
7,adhy,hr,0.3499305844306946,nope
8,adhy,jc,0.19694630801677704,nope
9,adhy,chris,0.24876663088798523,nope
10,andy,chris,0.2523804008960724,nope
11,andy,andy,0.7488007545471191,match
12,andy,andy,0.6920880079269409,match
13,andy,chris,0.20644785463809967,nope
14,andy,andy,0.473181813955307,match
15,andy,andy,0.7487987279891968,match
16,andy,hr,0.4313313364982605,nope
17,andy,bryce,0.22129671275615692,nope
18,andy,andy,0.4879855811595917,match
19,andy,andy,0.4975508153438568,match
20,bryce,cy,0.31904366612434387,nope
21,bryce,bryce,0.23959234356880188,match
22,bryce,chris,0.24684369564056396,nope
23,bryce,hr,0.2286049723625183,nope
24,bryce,cy,0.5469950437545776,nope
25,bryce,hr,0.3595324158668518,nope
26,bryce,hr,0.17322024703025818,nope
27,bryce,hr,0.31533560156822205,nope
28,bryce,hr,0.17275094985961914,nope
29,bryce,cy,0.46224868297576904,nope
30,chris,andy,0.41256189346313477,nope
31,chris,cy,0.586359977722168,nope
32,chris,andy,0.24585460126399994,nope
33,chris,andy,0.5767152309417725,nope
34,chris,hr,0.25166547298431396,nope
35,chris,andy,0.7368729710578918,nope
36,chris,andy,0.2716861963272095,nope
37,chris,andy,0.4393351972103119,nope
38,chris,jc,0.29595428705215454,nope
39,chris,hr,0.25713276863098145,nope
40,cy,chris,0.24768422544002533,nope
41,cy,cy,0.5870871543884277,match
42,cy,cy,0.5849637985229492,match
43,cy,chris,0.23888899385929108,nope
44,cy,cy,0.5917520523071289,match
45,cy,cy,0.5624396204948425,match
46,cy,cy,0.5479544401168823,match
47,cy,cy,0.5898642539978027,match
48,cy,ys,0.37437352538108826,nope
49,cy,cy,0.575103759765625,match
50,hr,chris,0.22196103632450104,nope
51,hr,cy,0.5075798630714417,nope
52,hr,chris,0.23722559213638306,nope
53,hr,hr,0.21711111068725586,match
54,hr,jc,0.32337120175361633,nope
55,hr,chris,0.24541422724723816,nope
56,hr,hr,0.1736985743045807,match
57,hr,bryce,0.24630221724510193,nope
58,hr,jc,0.23675498366355896,nope
59,hr,hr,0.4354110360145569,match
60,jc,ys,0.5739715695381165,nope
61,jc,ys,0.4848390221595764,nope
62,jc,hr,0.22074265778064728,nope
63,jc,jc,0.44714421033859253,match
64,jc,hr,0.24305759370326996,nope
65,jc,ys,0.5738152265548706,nope
66,jc,ys,0.5746304988861084,nope
67,jc,ys,0.5722525119781494,nope
68,jc,ys,0.5747500658035278,nope
69,jc,chris,0.2290942668914795,nope
70,ys,jc,0.2386426478624344,nope
71,ys,ys,0.533974289894104,match
72,ys,ys,0.47953954339027405,match
73,ys,ys,0.572568416595459,match
74,ys,jc,0.19916847348213196,nope
75,ys,chris,0.25259894132614136,nope
76,ys,hr,0.42628371715545654,nope
77,ys,jc,0.43881461024284363,nope
78,ys,cy,0.5083127021789551,nope
79,ys,cy,0.15877395868301392,nope
