,key,press_time,release_time
0,'w',1653466818.4435499,1653466818.595832
1,'e',1653466818.5223966,1653466818.6843112
2,'n',1653466818.7871811,1653466818.9328184
3,'c',1653466818.9556782,1653466819.1074958
4,'h',1653466819.0434263,1653466819.1714206
0,'e',1653466821.611299,1653466821.7232125
1,'a',1653466821.8747149,1653466822.0113485
2,'r',1653466821.9952965,1653466822.1313443
3,'l',1653466822.0510228,1653466822.1875882
4,'y',1653466822.235779,1653466822.331658
0,'r',1653466824.379496,1653466824.5236712
1,'e',1653466824.4350505,1653466824.5551918
2,'l',1653466824.5792315,1653466824.6912608
3,'a',1653466824.610625,1653466824.723677
4,'x',1653466824.8676636,1653466824.987923
0,'q',1653466826.9395196,1653466827.0922961
1,'u',1653466827.0111723,1653466827.1472776
2,'i',1653466827.0675535,1653466827.2194486
3,'c',1653466827.2356079,1653466827.36264
4,'k',1653466827.3081028,1653466827.411205
0,'x',1653466829.3558605,1653466829.426601
1,'e',1653466829.5716283,1653466829.7147932
2,'r',1653466829.699112,1653466829.8278317
3,'u',1653466829.7797089,1653466829.8838518
4,'s',1653466829.867958,1653466829.9796014
0,'r',1653466831.8195958,1653466831.955875
1,'i',1653466831.8677847,1653466831.9791994
2,'n',1653466832.0516624,1653466832.1625721
3,'s',1653466832.2751276,1653466832.4275305
4,'e',1653466832.412439,1653466832.4752452
0,'h',1653466834.2921891,1653466834.394744
1,'e',1653466834.3707445,1653466834.5316622
2,'r',1653466834.450745,1653466834.57085
3,'b',1653466834.6676013,1653466834.763695
4,'s',1653466834.811624,1653466834.931639
0,'f',1653466836.7558932,1653466836.88424
1,'o',1653466836.8516343,1653466836.9788282
2,'a',1653466836.9548316,1653466837.06683
3,'m',1653466837.0428307,1653466837.1068258
4,'y',1653466837.2282553,1653466837.2836149
0,'y',1653466839.1633763,1653466839.2835755
1,'a',1653466839.514959,1653466839.6676896
2,'w',1653466839.6914794,1653466839.8117898
3,'n',1653466839.7956083,1653466839.8835928
4,'s',1653466839.9238868,1653466840.028425
0,'d',1653466841.7634935,1653466841.9395423
1,'i',1653466841.8517118,1653466842.0125175
2,'n',1653466841.963865,1653466842.1319733
3,'g',1653466842.075926,1653466842.202957
4,'o',1653466842.1549606,1653466842.259966
0,'d',1653466844.0515761,1653466844.179709
1,'e',1653466844.2597451,1653466844.3481243
2,'a',1653466844.3641253,1653466844.4989
3,'t',1653466844.4598777,1653466844.59634
4,'h',1653466844.514816,1653466844.6281693
0,'u',1653466846.4355607,1653466846.5238233
1,'n',1653466846.6110487,1653466846.691546
2,'z',1653466846.71553,1653466846.8431256
3,'i',1653466846.7798078,1653466846.9237325
4,'p',1653466846.8746948,1653466846.9877303
0,'d',1653466848.7959397,1653466848.8998306
1,'o',1653466848.8672423,1653466848.9962306
2,'r',1653466848.9640098,1653466849.0919163
3,'k',1653466849.0361412,1653466849.1559272
4,'y',1653466849.2115703,1653466849.2995818
