,key,press_time,release_time
0,'w',1653462192.4088717,1653462192.5290895
1,'e',1653462192.5045342,1653462192.592872
2,'n',1653462192.6088767,1653462192.7212749
3,'c',1653462192.7774422,1653462192.857239
4,'h',1653462192.928877,1653462193.0175204
0,'e',1653462196.200874,1653462196.4328773
1,'a',1653462196.2889442,1653462196.4087012
2,'r',1653462196.376874,1653462196.4964035
3,'l',1653462196.529043,1653462196.6408756
4,'y',1653462196.6568747,1653462196.776875
0,'r',1653462198.880877,1653462199.0168757
1,'e',1653462198.9529607,1653462199.081101
2,'l',1653462199.1051676,1653462199.2494895
3,'a',1653462199.3128765,1653462199.441198
4,'x',1653462199.393031,1653462199.5288768
0,'q',1653462201.5930512,1653462201.7050533
1,'u',1653462201.7373726,1653462201.8810418
2,'i',1653462201.824528,1653462201.9206622
3,'c',1653462201.9529483,1653462202.0328789
4,'k',1653462202.6008785,1653462202.7130392
0,'x',1653462205.2415564,1653462205.3448808
1,'e',1653462205.4093237,1653462205.5769298
2,'r',1653462205.5289261,1653462205.6570811
3,'u',1653462205.6651528,1653462205.8008835
4,'s',1653462205.8490698,1653462205.9848814
0,'r',1653462208.2897642,1653462208.3928843
1,'i',1653462208.4410646,1653462208.6410916
2,'n',1653462208.5768826,1653462208.6967127
3,'s',1653462208.6727953,1653462208.7450662
4,'e',1653462208.8572748,1653462208.9051912
0,'h',1653462211.0808842,1653462211.2167807
1,'e',1653462211.248953,1653462211.3768847
2,'r',1653462211.3288853,1653462211.4408202
3,'b',1653462211.4168184,1653462211.5373137
4,'s',1653462211.6094675,1653462211.7054403
0,'f',1653462213.9049475,1653462213.9768841
1,'o',1653462213.9930189,1653462214.1130621
2,'a',1653462214.145046,1653462214.2410104
3,'m',1653462214.2490196,1653462214.3849843
4,'y',1653462214.4163835,1653462214.5290427
0,'y',1653462217.408722,1653462217.504785
1,'a',1653462217.6008887,1653462217.7767215
2,'w',1653462217.705437,1653462217.83289
3,'n',1653462217.8408742,1653462217.9532974
4,'s',1653462217.976889,1653462218.073571
0,'d',1653462220.496892,1653462220.5928917
1,'i',1653462220.6170547,1653462220.8008914
2,'n',1653462220.729389,1653462220.865228
3,'g',1653462220.8731935,1653462220.9528918
4,'o',1653462220.9688911,1653462221.0732522
0,'d',1653462223.160893,1653462223.2722342
1,'e',1653462223.2489374,1653462223.4650822
2,'a',1653462223.3535306,1653462223.4410212
3,'t',1653462223.4249692,1653462223.5369637
4,'h',1653462223.5529628,1653462223.6650772
0,'u',1653462226.4569502,1653462226.6088953
1,'n',1653462226.5368955,1653462226.6651924
2,'z',1653462226.7208955,1653462226.816896
3,'i',1653462226.9368968,1653462227.1051235
4,'p',1653462227.0328956,1653462227.1849692
0,'d',1653462229.8010733,1653462229.8569582
1,'o',1653462229.9130657,1653462230.033048
2,'r',1653462230.065094,1653462230.192904
3,'k',1653462230.2248976,1653462230.3848991
4,'y',1653462230.5208979,1653462230.6088867
0,'t',1653462233.07306,1653462233.193025
1,'h',1653462233.265109,1653462233.465231
2,'i',1653462233.369058,1653462233.5129006
3,'c',1653462233.5369015,1653462233.6410315
4,'k',1653462233.6809003,1653462233.8169005
0,'n',1653462238.9450257,1653462239.049131
1,'a',1653462239.1689038,1653462239.312905
2,'s',1653462239.2732468,1653462239.4172146
3,'a',1653462239.4009047,1653462239.512464
4,'l',1653462239.680905,1653462239.809158
0,'e',1653462242.168929,1653462242.2572896
1,'m',1653462242.265109,1653462242.376907
2,'a',1653462242.400906,1653462242.496907
3,'i',1653462242.5369787,1653462242.7131507
4,'l',1653462242.632906,1653462242.7688096
0,'g',1653462249.320912,1653462249.4169116
1,'i',1653462249.625404,1653462249.7932212
2,'p',1653462249.705099,1653462249.8491573
3,'s',1653462249.9292052,1653462250.0330796
4,'y',1653462250.0570745,1653462250.1529446
0,'w',1653462252.416988,1653462252.560913
1,'a',1653462252.4969842,1653462252.616914
2,'k',1653462252.6566064,1653462252.7849133
3,'e',1653462252.7449133,1653462252.816914
4,'s',1653462252.9209137,1653462253.0014014
0,'z',1653462254.8734639,1653462254.9769356
1,'i',1653462254.9689157,1653462255.1770134
2,'n',1653462255.1049001,1653462255.2333694
3,'g',1653462255.1850603,1653462255.2575414
4,'s',1653462255.3529158,1653462255.4810236
0,'m',1653462257.4649916,1653462257.6403217
1,'o',1653462257.5849175,1653462257.736918
2,'n',1653462257.7611735,1653462257.920922
3,'k',1653462257.8653162,1653462258.0088277
4,'s',1653462258.0490015,1653462258.1209452
0,'g',1653462260.025178,1653462260.1523874
1,'e',1653462260.1369193,1653462260.264957
2,'n',1653462260.2569213,1653462260.3769186
