,key,press_time,release_time
0,'w',1653452965.9593186,1653452965.99963
1,'e',1653452965.9835358,1653452966.0233154
2,'n',1653452966.095002,1653452966.1757984
3,'c',1653452966.2961802,1653452966.4071746
4,'h',1653452966.4312217,1653452966.503558
0,'e',1653452969.0314984,1653452969.1034982
1,'a',1653452969.2554972,1653452969.3595023
2,'r',1653452969.3994954,1653452969.4954963
3,'l',1653452969.5914955,1653452969.6555474
4,'y',1653452969.8000035,1653452969.8712044
0,'r',1653452971.9839907,1653452972.1435885
1,'e',1653452972.071858,1653452972.2002256
2,'l',1653452972.2472143,1653452972.327612
3,'a',1653452972.7117715,1653452972.8072162
4,'x',1653452972.9438457,1653452973.0159743
0,'q',1653452975.063354,1653452975.199007
1,'u',1653452975.2551062,1653452975.3430843
2,'i',1653452975.455086,1653452975.5270872
3,'c',1653452975.6390953,1653452975.7270894
4,'k',1653452975.7110932,1653452975.791089
0,'x',1653452980.495788,1653452980.5675292
1,'e',1653452980.7197948,1653452980.8074489
2,'r',1653452980.7679677,1653452980.9031732
3,'u',1653452981.0481217,1653452981.1440942
4,'s',1653452981.207835,1653452981.326826
0,'r',1653452983.7999666,1653452983.8799436
1,'i',1653452983.911034,1653452984.0797074
2,'n',1653452984.0074086,1653452984.1351714
3,'s',1653452984.1757798,1653452984.2635834
4,'e',1653452984.3672152,1653452984.4390996
0,'h',1653452986.511274,1653452986.59127
1,'e',1653452986.647268,1653452986.7752707
2,'r',1653452986.743268,1653452986.8552701
3,'b',1653452986.9032707,1653452986.9832702
4,'s',1653452987.0632715,1653452987.1432734
0,'f',1653452989.1593668,1653452989.2393615
1,'o',1653452989.2711785,1653452989.3510752
2,'a',1653452989.3996022,1653452989.4883687
3,'m',1653452989.512036,1653452989.5913427
4,'y',1653452989.7277458,1653452989.8232856
0,'y',1653452991.9435444,1653452992.023809
1,'a',1653452992.087667,1653452992.1749558
2,'w',1653452992.2636447,1653452992.3431747
3,'n',1653452992.3995817,1653452992.479794
4,'s',1653452992.5432358,1653452992.631543
0,'d',1653452994.7677457,1653452994.8401623
1,'i',1653452994.9035456,1653452995.0642664
2,'n',1653452994.9756098,1653452995.1118093
3,'g',1653452995.1437218,1653452995.2311747
4,'o',1653452995.3837574,1653452995.4478576
0,'d',1653452997.7037785,1653452997.7754083
1,'e',1653452997.8955727,1653452997.9518516
2,'a',1653452998.0559428,1653452998.1517112
3,'t',1653452998.2717602,1653452998.3603072
4,'h',1653452998.4073946,1653452998.4882479
0,'u',1653453001.0083368,1653453001.1843379
1,'n',1653453001.1433384,1653453001.2553682
2,'z',1653453001.3433387,1653453001.4233422
3,'i',1653453001.5833442,1653453001.6793406
4,'p',1653453001.848339,1653453001.9273362
0,'d',1653453004.863085,1653453004.9590886
1,'o',1653453005.031553,1653453005.1348655
2,'r',1653453005.1995447,1653453005.288108
3,'k',1653453005.335509,1653453005.423412
4,'y',1653453005.5195017,1653453005.6322556
0,'t',1653453007.5357547,1653453007.6319795
1,'h',1653453007.7597206,1653453007.83163
2,'i',1653453007.887596,1653453007.967578
3,'c',1653453008.0392315,1653453008.1279874
4,'k',1653453008.1997833,1653453008.280021
0,'n',1653453010.439146,1653453010.5190172
1,'a',1653453010.6408653,1653453010.7352679
2,'s',1653453010.6638665,1653453010.8559337
3,'a',1653453010.9035242,1653453011.0155563
4,'l',1653453011.047751,1653453011.1435752
0,'e',1653453013.3827188,1653453013.471583
1,'m',1653453013.5119998,1653453013.599887
2,'a',1653453013.6320581,1653453013.7278056
3,'i',1653453013.7596571,1653453013.8316414
4,'l',1653453013.9679441,1653453014.0392835
0,'g',1653453016.6476283,1653453016.7350209
1,'i',1653453016.8317878,1653453016.9669075
2,'p',1653453016.9908886,1653453017.0872297
3,'s',1653453017.4717185,1653453017.5522816
4,'y',1653453017.736444,1653453017.8234425
0,'w',1653453020.031477,1653453020.1032555
1,'a',1653453020.191232,1653453020.3114936
2,'k',1653453020.2876635,1653453020.375621
3,'e',1653453020.4160407,1653453020.495739
4,'s',1653453020.5909762,1653453020.6805706
0,'z',1653453022.503663,1653453022.6153781
1,'i',1653453022.6479979,1653453022.8072367
2,'n',1653453022.7591698,1653453022.879593
3,'g',1653453022.8554542,1653453022.9438968
4,'s',1653453023.0954535,1653453023.1756482
0,'m',1653453024.9435763,1653453025.0718498
1,'o',1653453025.2234511,1653453025.318998
2,'n',1653453025.2472398,1653453025.359796
3,'k',1653453025.4797325,1653453025.559482
4,'s',1653453025.599815,1653453025.695267
0,'g',1653453027.9673886,1653453028.047728
1,'e',1653453028.1509147,1653453028.2315404
2,'n',1653453028.2633636,1653453028.3432431
3,'r',1653453028.367243,1653453028.478997
4,'e',1653453028.4637825,1653453028.5672436
0,'a',1653453030.4228826,1653453030.4948843
1,'l',1653453030.567886,1653453030.6388814
2,'i',1653453030.7678866,1653453030.8388867
3,'e',1653453030.9028869,1653453030.9748828
4,'n',1653453031.006891,1653453031.0788844
0,'k',1653453033.120089,1653453033.1914804
1,'i',1653453033.303818,1653453033.4396334
2,'n',1653453033.400131,1653453033.5041952
3,'d',1653453033.4883046,1653453033.5756629
4,'a',1653453033.6311488,1653453033.7356682
0,'w',1653453035.6318169,1653453035.702827
1,'r',1653453035.8078628,1653453035.887243
2,'o',1653453035.9276133,1653453036.0166621
3,'t',1653453036.0318189,1653453036.103467
4,'e',1653453036.2007077,1653453036.2796457
0,'g',1653453038.1835268,1653453038.263527
1,'a',1653453038.38353,1653453038.4715304
2,'t',1653453038.5595286,1653453038.6475275
3,'e',1653453038.7195277,1653453038.8005297
4,'d',1653453038.8635268,1653453038.951529
0,'x',1653453041.0002506,1653453041.071536
1,'y',1653453041.311819,1653453041.391884
2,'l',1653453041.647173,1653453041.7192428
3,'e',1653453041.791673,1653453041.8639553
4,'m',1653453041.8955503,1653453041.9679003
0,'i',1653453043.9200776,1653453044.0080895
1,'t',1653453044.0475457,1653453044.1278265
2,'e',1653453044.2239292,1653453044.3111646
3,'m',1653453044.3351865,1653453044.4075394
4,'s',1653453044.4721034,1653453044.5357428
0,'o',1653453046.5846348,1653453046.6550612
1,'a',1653453046.6716144,1653453046.7674654
2,'t',1653453046.8640428,1653453046.9518538
3,'h',1653453046.9921787,1653453047.0798945
4,'s',1653453047.1432288,1653453047.2154567
0,'z',1653453048.9757638,1653453049.0718613
1,'o',1653453049.1439097,1653453049.2876427
2,'n',1653453049.2235436,1653453049.3355358
3,'a',1653453049.383897,1653453049.4552214
4,'l',1653453049.487524,1653453049.5675406
0,'c',1653453051.3833745,1653453051.4632494
1,'h',1653453051.5351005,1653453051.614881
2,'a',1653453051.6397026,1653453051.7195737
3,'n',1653453051.7512512,1653453051.8323753
4,'t',1653453051.8798728,1653453051.967802
