Subject,Sequence,T2-D|0,T2-I|0+1,T2-PF|0+1,T2-RF|0+1,T2-NG|0+1,T2-D|1,T2-I|1+2,T2-PF|1+2,T2-RF|1+2,T2-NG|1+2,T2-D|2,T2-I|2+3,T2-PF|2+3,T2-RF|2+3,T2-NG|2+3,T2-D|3,T2-I|3+4,T2-PF|3+4,T2-RF|3+4,T2-NG|3+4,T2-D|4,T2-D|S,T2-I|S,T2-PF|S,T2-RF|S,T2-NG|S,T2-D|M,T2-I|M,T2-PF|M,T2-RF|M,T2-NG|M,T2-D|VAR,T2-I|VAR,T2-PF|VAR,T2-RF|VAR,T2-NG|VAR,T2-D|SD,T2-I|SD,T2-PF|SD,T2-RF|SD,T2-NG|SD,T3-I|0+2,T3-PF|0+2,T3-RF|0+2,T3-NG|0+2,T3-I|1+3,T3-PF|1+3,T3-RF|1+3,T3-NG|1+3,T3-I|2+4,T3-PF|2+4,T3-RF|2+4,T3-NG|2+4,T3-I|S,T3-PF|S,T3-RF|S,T3-NG|S,T3-I|M,T3-PF|M,T3-RF|M,T3-NG|M,T3-I|VAR,T3-PF|VAR,T3-RF|VAR,T3-NG|VAR,T3-I|SD,T3-PF|SD,T3-RF|SD,T3-NG|SD,T4-I|0+3,T4-PF|0+3,T4-RF|0+3,T4-NG|0+3,T4-I|1+4,T4-PF|1+4,T4-RF|1+4,T4-NG|1+4,T4-I|S,T4-PF|S,T4-RF|S,T4-NG|S,T4-I|M,T4-PF|M,T4-RF|M,T4-NG|M,T4-I|VAR,T4-PF|VAR,T4-RF|VAR,T4-NG|VAR,T4-I|SD,T4-PF|SD,T4-RF|SD,T4-NG|SD,T5-I|0+4,T5-PF|0+4,T5-RF|0+4,T5-NG|0+4
andy,wench,0.104025364,0.087978363,0.192003727,0.207979679,0.312005043,0.120001316,-0.016001701,0.103999615,0.120185375,0.240186691,0.136187077,-0.024021387,0.112165689,0.11999774,0.256184816,0.144019127,-0.056003571,0.088015556,0.023998022,0.168017149,0.080001593,0.584234476,-0.008048296,0.496184587,0.472160816,0.9763937,0.116846895,-0.002012074,0.124046147,0.118040204,0.244098425,0.000661073,0.003897827,0.002153148,0.005647158,0.003520351,0.025711336,0.062432577,0.046402029,0.075147577,0.059332543,0.191977978,0.296003342,0.328165054,0.432190418,0.096163988,0.216165304,0.240183115,0.360184431,0.063994169,0.200181246,0.143995762,0.280182838,0.352136135,0.712349892,0.712343931,1.072557688,0.117378712,0.237449964,0.237447977,0.357519229,0.004432512,0.002635246,0.008485193,0.005781904,0.066577115,0.051334648,0.092115106,0.076038829,0.304143667,0.408169031,0.448162794,0.552188158,0.184179544,0.304180861,0.264181137,0.384182453,0.488323212,0.712349892,0.712343931,0.936370611,0.244161606,0.356174946,0.356171966,0.468185306,0.007195695,0.00540677,0.016924625,0.014112958,0.084827445,0.073530741,0.130094677,0.118797973,0.392159224,0.496184587,0.472160816,0.57618618
andy,early,0.151040077,-0.055599928,0.095440149,0.129196644,0.280236721,0.184796572,-0.089271307,0.095525265,0.046684265,0.231480837,0.135955572,-0.023233652,0.11272192,0.11201787,0.247973442,0.135251522,-0.024025679,0.111225843,0.120497227,0.255748749,0.144522905,0.751566648,-0.192130566,0.414913177,0.408396006,1.015439749,0.15031333,-0.048032641,0.103728294,0.102099001,0.253859937,0.000414039,0.000983072,9.10E-05,0.001413985,0.000411592,0.020347939,0.031353976,0.009540817,0.037602987,0.020287741,0.039925337,0.190965414,0.175880909,0.326920986,0.023450613,0.208247185,0.158702135,0.343498707,0.087992191,0.223947763,0.232515097,0.368470669,0.151368141,0.623160362,0.567098141,1.038890362,0.050456047,0.207720121,0.189032714,0.346296787,0.001124576,0.000272167,0.001491816,0.000437466,0.033534694,0.01649749,0.038624031,0.020915687,0.152647257,0.303687334,0.287898779,0.438938856,0.134676456,0.319473028,0.279199362,0.463995934,0.287323713,0.623160362,0.567098141,0.90293479,0.143661857,0.311580181,0.28354907,0.451467395,0.000161475,0.000124594,3.78E-05,0.000313929,0.012707275,0.011162171,0.006151417,0.017718029,0.2638731,0.414913177,0.408396006,0.559436083
andy,relax,0.192002058,-0.104005098,0.08799696,0.096002102,0.28800416,0.2000072,-0.120005369,0.080001831,0.040004015,0.240011215,0.160009384,-0.056004047,0.104005337,0.039996862,0.200006247,0.09600091,0.128004313,0.224005222,0.249027252,0.345028162,0.12102294,0.769042492,-0.152010202,0.49600935,0.425030231,1.073049784,0.153808498,-0.038002551,0.124002337,0.106257558,0.268262446,0.002012032,0.01298771,0.004544296,0.009756124,0.00391325,0.044855683,0.113963636,0.067411396,0.098773093,0.062555978,-0.024003267,0.167998791,0.136006117,0.328008175,-0.016000032,0.184007168,0.080000877,0.280008078,0.168001175,0.328010559,0.289024115,0.449033499,0.127997875,0.680016518,0.505031109,1.057049751,0.042665958,0.226672173,0.168343703,0.352349917,0.0117977,0.007766168,0.011706968,0.007586789,0.108617219,0.088125867,0.108198743,0.087102173,0.080002069,0.272004128,0.176002979,0.368005037,0.20800519,0.40801239,0.32902813,0.52903533,0.288007259,0.680016518,0.505031109,0.897040367,0.14400363,0.340008259,0.252515554,0.448520184,0.008192399,0.009249124,0.011708348,0.012965378,0.090511874,0.096172365,0.108205121,0.113865612,0.304007292,0.49600935,0.425030231,0.61703229
andy,quick,0.150758982,-0.048022747,0.102736235,0.104141474,0.254900455,0.152164221,-0.072139025,0.080025196,0.039489746,0.191653967,0.111628771,-0.023425341,0.08820343,0.104110956,0.215739727,0.127536297,-0.039766073,0.087770224,0.048370123,0.17590642,0.088136196,0.630224466,-0.183353186,0.358735085,0.296112299,0.838200569,0.126044893,-0.045838296,0.089683771,0.074028075,0.209550142,0.000735031,0.000411904,8.98E-05,0.001221008,0.001182378,0.027111453,0.020295423,0.009478185,0.034942921,0.034385729,0.032002449,0.182761431,0.14363122,0.294390202,0.016064405,0.168228626,0.143600702,0.295764923,0.064344883,0.175973654,0.152481079,0.26410985,0.112411737,0.526963711,0.439713001,0.854264975,0.037470579,0.17565457,0.146571,0.284754992,0.000605176,5.29E-05,2.62E-05,0.000320139,0.024600335,0.007271655,0.005118301,0.017892425,0.120205879,0.270964861,0.247742176,0.398501158,0.103834629,0.25599885,0.191970825,0.344135046,0.224040508,0.526963711,0.439713001,0.742636204,0.112020254,0.263481855,0.219856501,0.371318102,0.000134009,0.000111991,0.001555222,0.001477837,0.011576222,0.010582568,0.0394363,0.038442646,0.207976103,0.358735085,0.296112299,0.446871281
andy,xerus,0.136204004,-0.03999424,0.096209764,0.111807585,0.248011589,0.151801825,-0.080807209,0.070994616,0.063276768,0.215078592,0.144083977,-0.047739029,0.096344948,0.064511776,0.208595753,0.112250805,-0.014997721,0.097253084,0.10416317,0.216413975,0.119160891,0.663501501,-0.183538198,0.360802412,0.343759298,0.888099909,0.1327003,-0.04588455,0.090200603,0.085939825,0.222024977,0.000277057,0.000737241,0.000164157,0.000658002,0.000311795,0.016645042,0.027152183,0.01281237,0.025651554,0.017657705,0.031000376,0.16720438,0.175084352,0.311288357,0.015537739,0.167339563,0.127788544,0.279590368,0.049514055,0.193598032,0.168674946,0.312758923,0.09605217,0.528141975,0.471547842,0.903637648,0.03201739,0.176047325,0.157182614,0.301212549,0.000289373,0.000231025,0.000658279,0.00035118,0.017010975,0.015199508,0.025656942,0.018739788,0.127345324,0.263549328,0.239596128,0.375800133,0.112790823,0.264592648,0.231951714,0.383753538,0.240136147,0.528141975,0.471547842,0.759553671,0.120068073,0.264070988,0.235773921,0.379776835,0.000105917,5.44E-07,2.92E-05,3.16E-05,0.010291586,0.000737738,0.005405418,0.005623907,0.224598408,0.360802412,0.343759298,0.479963303
andy,rinse,0.143730402,-0.055805922,0.08792448,0.080086946,0.223817348,0.135892868,-0.06400156,0.071891308,0.056006193,0.191899061,0.120007753,-0.080052137,0.039955616,0.047993898,0.168001652,0.128046036,-0.023991108,0.104054928,0.064007282,0.192053318,0.08799839,0.615675449,-0.223850727,0.303826332,0.24809432,0.775771379,0.12313509,-0.055962682,0.075956583,0.06202358,0.193942845,0.000463853,0.000555711,0.000748448,0.000187754,0.000524393,0.021537253,0.023573513,0.027357775,0.013702326,0.022899628,0.016085386,0.159815788,0.13609314,0.279823542,-0.024045944,0.111846924,0.104000092,0.23989296,0.02400279,0.144010544,0.112001181,0.232008934,0.016042233,0.415673256,0.352094412,0.751725435,0.005347411,0.138557752,0.117364804,0.250575145,0.000663648,0.000597553,0.000279067,0.000657141,0.025761373,0.024444891,0.016705307,0.025634761,0.056041002,0.199771404,0.184087038,0.32781744,0.080008984,0.215901852,0.168007374,0.303900242,0.136049986,0.415673256,0.352094412,0.631717682,0.068024993,0.207836628,0.176047206,0.315858841,0.000287232,0.000130096,0.000129278,0.000286016,0.016947922,0.011405949,0.01137004,0.016912013,0.16009593,0.303826332,0.24809432,0.391824722
andy,herbs,0.14298892,-0.103999376,0.038989544,0.103997707,0.246986628,0.207997084,-0.06400013,0.143996954,0.064003706,0.27200079,0.128003836,-0.038999796,0.08900404,0.03999877,0.168002605,0.078998566,-0.015999317,0.062999249,0.095997334,0.174995899,0.111996651,0.669985056,-0.222998619,0.334989786,0.303997517,0.861985922,0.133997011,-0.055749655,0.083747447,0.075999379,0.21549648,0.002275407,0.001418918,0.002030464,0.000874588,0.002693444,0.047701227,0.037668524,0.045060672,0.029573437,0.051898399,0.039997578,0.182986498,0.168001413,0.310990334,0.02500391,0.233000994,0.104002476,0.311999559,0.023999453,0.152003288,0.135996103,0.263999939,0.08900094,0.56799078,0.407999992,0.886989832,0.02966698,0.18933026,0.135999997,0.295663277,8.03E-05,0.00167034,0.001023966,0.00075218,0.008960646,0.040869788,0.031999469,0.027425898,0.129001617,0.271990538,0.208000183,0.350989103,0.088003159,0.296000242,0.199999809,0.407996893,0.217004776,0.56799078,0.407999992,0.758985996,0.108502388,0.28399539,0.203999996,0.379492998,0.000840437,0.000288233,3.20E-05,0.001624944,0.028990288,0.016977425,0.005657119,0.040310595,0.192000866,0.334989786,0.303997517,0.446986437
andy,foamy,0.135820389,-0.04064703,0.095173359,0.119556665,0.255377054,0.160203695,-0.079933405,0.08027029,0.080433846,0.240637541,0.16036725,-0.06441927,0.095947981,0.056019545,0.216386795,0.120438814,-0.032016516,0.088422298,0.088115931,0.208554745,0.120132446,0.696962595,-0.21701622,0.359813929,0.344125986,0.920956135,0.139392519,-0.054254055,0.089953482,0.086031497,0.230239034,0.000403999,0.000480807,5.31E-05,0.000686778,0.000467381,0.020099738,0.021927303,0.007286743,0.026206442,0.021618988,0.03962326,0.175443649,0.199990511,0.3358109,0.016014576,0.176218271,0.13645339,0.296657085,0.024003029,0.184370279,0.144135475,0.304502726,0.079640865,0.5360322,0.480579376,0.936970711,0.026546955,0.1786774,0.160193125,0.31232357,0.000144196,2.45E-05,0.001202628,0.00042913,0.012008171,0.004945368,0.034678921,0.020715441,0.135571241,0.27139163,0.256010056,0.391830444,0.104436874,0.26464057,0.224569321,0.384773016,0.240008116,0.5360322,0.480579376,0.77660346,0.120004058,0.2680161,0.240289688,0.38830173,0.000484674,2.28E-05,0.00049426,2.49E-05,0.022015322,0.004773721,0.022231957,0.004990355,0.22399354,0.359813929,0.344125986,0.479946375
andy,yawns,0.160056829,-0.096113682,0.063943148,0.095276594,0.255333424,0.191390276,-0.07200408,0.119386196,0.064694166,0.256084442,0.136698246,-0.024011612,0.112686634,0.079631329,0.216329575,0.103642941,-0.016022205,0.087620735,0.128667116,0.232310057,0.144689322,0.736477613,-0.208151579,0.383636713,0.368269205,0.960057497,0.147295523,-0.052037895,0.095909178,0.092067301,0.240014374,0.00103296,0.001474642,0.00064106,0.000751263,0.000371082,0.032139698,0.038401068,0.025319155,0.027409171,0.019263494,0.023272514,0.183329344,0.15997076,0.32002759,0.040682554,0.23207283,0.144325495,0.335715771,0.063609123,0.200307369,0.208298445,0.344996691,0.127564192,0.615709543,0.5125947,1.000740051,0.042521397,0.205236514,0.1708649,0.333580017,0.000409297,0.000612204,0.001112146,0.000159285,0.020231078,0.024742761,0.033348857,0.012620819,0.135959148,0.296015978,0.239602089,0.399658918,0.128303289,0.319693565,0.272992611,0.464382887,0.264262438,0.615709543,0.5125947,0.864041805,0.132131219,0.307854772,0.25629735,0.432020903,2.93E-05,0.000280314,0.000557463,0.002094596,0.00541351,0.016742583,0.023610665,0.045766757,0.223579884,0.383636713,0.368269205,0.528326035
andy,dingo,0.143316031,-0.048246384,0.095069647,0.071723938,0.215039968,0.119970322,-0.055448294,0.064522028,0.05737257,0.177342892,0.112820864,-0.017124891,0.095695972,0.111068726,0.223889589,0.128193617,-0.048204422,0.079989195,0.04001832,0.168211937,0.088222742,0.592523575,-0.169023991,0.335276842,0.280183554,0.784484386,0.118504715,-0.042255998,0.083819211,0.070045888,0.196121097,0.000415232,0.000292293,0.000218227,0.000915986,0.000753518,0.020377244,0.017096566,0.014772498,0.030265254,0.027450289,0.016275644,0.159591675,0.129096508,0.272412539,0.040247679,0.160218,0.168441296,0.288411617,0.062864304,0.175685167,0.151087046,0.263907909,0.119387627,0.495494843,0.448624849,0.824732065,0.039795876,0.165164948,0.149541616,0.274910688,0.000542779,8.31E-05,0.000388794,0.000154788,0.023297616,0.009116158,0.019717869,0.012441402,0.111971617,0.255287647,0.240165234,0.383481264,0.120236874,0.240207195,0.208459616,0.328429937,0.23220849,0.495494843,0.448624849,0.711911201,0.116104245,0.247747421,0.224312425,0.355955601,3.42E-05,0.00011371,0.000502623,0.001515324,0.005844419,0.01066349,0.022419257,0.038927166,0.191960812,0.335276842,0.280183554,0.423499584
