Subject,Sequence,T2-D|0,T2-I|0+1,T2-PF|0+1,T2-RF|0+1,T2-NG|0+1,T2-D|1,T2-I|1+2,T2-PF|1+2,T2-RF|1+2,T2-NG|1+2,T2-D|2,T2-I|2+3,T2-PF|2+3,T2-RF|2+3,T2-NG|2+3,T2-D|3,T2-I|3+4,T2-PF|3+4,T2-RF|3+4,T2-NG|3+4,T2-D|4,T2-D|S,T2-I|S,T2-PF|S,T2-RF|S,T2-NG|S,T2-D|M,T2-I|M,T2-PF|M,T2-RF|M,T2-DT-M,T2-D|VAR,T2-I|VAR,T2-PF|VAR,T2-RF|VAR,T2-DT-VAR,T2-D|SD,T2-I|SD,T2-PF|SD,T2-RF|SD,T2-NG|SD,T3-I|0+2,T3-PF|0+2,T3-RF|0+2,T3-NG|0+2,T3-I|1+3,T3-PF|1+3,T3-RF|1+3,T3-NG|1+3,T3-I|2+4,T3-PF|2+4,T3-RF|2+4,T3-NG|2+4,T3-I|S,T3-PF|S,T3-RF|S,T3-NG|S,T3-I|M,T3-PF|M,T3-RF|M,T3-NG|M,T3-I|VAR,T3-PF|VAR,T3-RF|VAR,T3-NG|VAR,T3-I|SD,T3-PF|SD,T3-RF|SD,T3-NG|SD,T4-I|0+3,T4-PF|0+3,T4-RF|0+3,T4-NG|0+3,T4-I|1+4,T4-PF|1+4,T4-RF|1+4,T4-NG|1+4,T4-I|S,T4-PF|S,T4-RF|S,T4-NG|S,T4-I|M,T4-PF|M,T4-RF|M,T4-NG|M,T4-I|VAR,T4-PF|VAR,T4-RF|VAR,T4-NG|VAR,T4-I|SD,T4-PF|SD,T4-RF|SD,T4-NG|SD,T5-I|0+4,T5-PF|0+4,T5-RF|0+4,T5-NG|0+4
cy,wench,0.246164799,-0.037053347,0.209111452,0.073118687,0.319283485,0.110172033,0.010961294,0.121133327,0.076090336,0.186262369,0.065129042,0.091980934,0.157109976,0.215755939,0.280884981,0.123775005,-0.032019377,0.091755629,0.038045883,0.161820889,0.07006526,0.615306139,0.033869505,0.579110384,0.403010845,0.948251724,0.123061228,0.008467376,0.144777596,0.100752711,0.237062931,0.00537146,0.003564016,0.002553771,0.006176587,0.005640885,0.073290246,0.059699378,0.05053485,0.078591265,0.075105822,0.084079981,0.33024478,0.149209023,0.395373821,0.16807127,0.278243303,0.291846275,0.402018309,0.183736563,0.248865604,0.253801823,0.318930864,0.435887814,0.857353687,0.694857121,1.116322994,0.145295938,0.285784562,0.23161904,0.372107665,0.002871895,0.001698295,0.005455403,0.002131866,0.053590068,0.041210381,0.073860702,0.046172139,0.241189957,0.487354755,0.364964962,0.611129761,0.259826899,0.369998932,0.329892159,0.440064192,0.501016855,0.857353687,0.694857121,1.051193953,0.250508428,0.428676844,0.34742856,0.525596976,0.000173668,0.006886195,0.000615051,0.014631714,0.013178308,0.082983099,0.024800217,0.120961624,0.332945585,0.579110384,0.403010845,0.649175644
cy,early,0.266869545,-0.153500319,0.113369226,0.05492878,0.321798325,0.208429098,-0.105442524,0.102986574,0.029213905,0.237643003,0.134656429,-0.040769815,0.093886614,0.109276056,0.243932486,0.150045872,0.070069313,0.220115185,0.169224739,0.319270611,0.099155426,0.85915637,-0.229643345,0.530357599,0.36264348,1.122644424,0.171831274,-0.057410836,0.1325894,0.09066087,0.280661106,0.004377506,0.009356115,0.003468137,0.003857106,0.002127504,0.066162726,0.09672701,0.058890891,0.062105605,0.046124879,-0.050513744,0.216355801,0.084142685,0.35101223,-0.01155591,0.196873188,0.138489962,0.34691906,0.179345369,0.314001799,0.278500795,0.413157225,0.117275715,0.727230787,0.501133442,1.111088514,0.039091905,0.242410262,0.167044481,0.370362838,0.015132704,0.003938904,0.010055289,0.001377708,0.123015056,0.062760689,0.100276065,0.037117491,0.043372869,0.310242414,0.193418741,0.460288286,0.208559275,0.416988373,0.307714701,0.516143799,0.251932144,0.727230787,0.501133442,0.976432085,0.125966072,0.363615394,0.250566721,0.488216043,0.013643274,0.00569735,0.006531783,0.001559919,0.116804427,0.075480791,0.080819448,0.039495812,0.263488054,0.530357599,0.36264348,0.629513025
cy,relax,0.129537821,-0.06187582,0.067662001,0.06117034,0.19070816,0.12304616,-0.050046682,0.072999477,0.025660038,0.148706198,0.07570672,0.12831831,0.20402503,0.274643421,0.350350142,0.146325111,0.357948542,0.504273653,0.48252368,0.628848791,0.124575138,0.59919095,0.374344349,0.848960161,0.843997478,1.318613291,0.11983819,0.093586087,0.21224004,0.21099937,0.329653323,0.000693989,0.038630871,0.04188062,0.044858474,0.047331302,0.026343672,0.196547375,0.204647552,0.211798192,0.217557584,0.011123657,0.140661478,0.086830378,0.216368198,0.153978348,0.277024508,0.300303459,0.423349619,0.632591963,0.708298683,0.757167101,0.832873821,0.797693968,1.125984669,1.144300938,1.472591639,0.265897989,0.375328223,0.381433646,0.49086388,0.105950218,0.087800715,0.117274411,0.098438427,0.325499951,0.296311853,0.342453517,0.313748988,0.215148687,0.344686508,0.361473799,0.49101162,0.658252001,0.781298161,0.782827139,0.905873299,0.873400688,1.125984669,1.144300938,1.396884918,0.436700344,0.562992334,0.572150469,0.698442459,0.098170273,0.095314867,0.088769319,0.086055106,0.313321358,0.30873106,0.297941804,0.293351507,0.71942234,0.848960161,0.843997478,0.973535299
cy,quick,0.127998352,-0.011999607,0.115998745,0.138618231,0.266616583,0.150617838,-0.058618307,0.091999531,0.052000523,0.202618361,0.11061883,0.057999134,0.168617964,0.162998676,0.273617506,0.104999542,0.013000965,0.118000507,0.097001791,0.202001333,0.084000826,0.578235388,0.000382185,0.494616747,0.450619221,0.944853783,0.115647078,9.55E-05,0.123654187,0.112654805,0.236213446,0.000628912,0.002370995,0.001038109,0.002377521,0.001540838,0.025078111,0.048692863,0.032219706,0.048759832,0.039253505,0.079999924,0.207998276,0.190618753,0.318617105,0.109999657,0.260617495,0.214999199,0.365617037,0.175999641,0.286618471,0.260000467,0.370619297,0.365999222,0.755234241,0.66561842,1.054853439,0.121999741,0.251744747,0.221872807,0.351617813,0.002411988,0.001604328,0.00123889,0.000823041,0.049111994,0.040054064,0.035197875,0.028688686,0.248617887,0.37661624,0.35361743,0.481615782,0.228000164,0.378618002,0.31200099,0.462618828,0.476618052,0.755234241,0.66561842,0.94423461,0.238309026,0.377617121,0.33280921,0.472117305,0.000212545,2.00E-06,0.000865964,0.000180442,0.014578932,0.00141546,0.029427267,0.013432875,0.366618395,0.494616747,0.450619221,0.578617573
cy,xerus,0.330484629,-0.191012144,0.139472485,0.130988359,0.461472988,0.322000504,-0.13943553,0.182564974,0.056349754,0.378350258,0.195785284,-0.071906805,0.123878479,0.057652473,0.253437757,0.129559278,0.022010088,0.151569366,0.193263054,0.322822332,0.171252966,1.149082661,-0.380344391,0.597485304,0.438253641,1.416083336,0.229816532,-0.095086098,0.149371326,0.10956341,0.354020834,0.008317821,0.008472492,0.000618174,0.004330366,0.007742729,0.091202089,0.092046138,0.024863105,0.065805515,0.08799278,-0.00844717,0.322037458,0.187338114,0.517822742,-0.015557051,0.306443453,0.114002228,0.436002731,0.079662561,0.275447845,0.250915527,0.446700811,0.05565834,0.903928757,0.552255869,1.400526285,0.01855278,0.301309586,0.18408529,0.466842095,0.002813442,0.000562415,0.004694249,0.001977882,0.053041886,0.0237153,0.068514586,0.044473386,0.115431309,0.445915937,0.244990587,0.575475216,0.136012316,0.458012819,0.307265282,0.629265785,0.251443624,0.903928757,0.552255869,1.204741001,0.125721812,0.451964378,0.276127934,0.602370501,0.000211789,7.32E-05,0.001939069,0.001446713,0.01455297,0.008553787,0.044034859,0.038035676,0.267000675,0.597485304,0.438253641,0.76873827
cy,rinse,0.10769248,0.004002333,0.111694813,0.182421207,0.290113688,0.178418875,-0.101145029,0.077273846,0.0520854,0.230504274,0.153230429,0.135698795,0.288929224,0.343800306,0.497030735,0.208101511,-0.072878361,0.13522315,0.070461512,0.278563023,0.143339872,0.790783167,-0.034322262,0.613121033,0.648768425,1.29621172,0.158156633,-0.008580565,0.153280258,0.162192106,0.32405293,0.001423871,0.01122575,0.008744342,0.017976248,0.013964625,0.037734215,0.105951639,0.093511185,0.134075531,0.118172016,0.081276178,0.188968658,0.234506607,0.342199087,0.187784195,0.36620307,0.395885706,0.574304581,0.270921946,0.424152374,0.414261818,0.567492247,0.539982319,0.979324102,1.044654131,1.483995914,0.179994106,0.326441367,0.348218044,0.494665305,0.009036893,0.01501359,0.009782138,0.017446063,0.095062576,0.122529955,0.098904694,0.132083544,0.370205402,0.477897882,0.578306913,0.685999393,0.323007345,0.50142622,0.466347218,0.644766092,0.693212748,0.979324102,1.044654131,1.330765486,0.346606374,0.489662051,0.522327065,0.665382743,0.001113828,0.000276791,0.006267487,0.000850093,0.033374066,0.016637047,0.07916746,0.029156347,0.505428553,0.613121033,0.648768425,0.756460905
cy,herbs,0.074160337,0.036022186,0.110182524,0.290557146,0.364717484,0.25453496,-0.105093956,0.149441004,-0.006002188,0.248532772,0.099091768,0.099285603,0.198377371,0.171434164,0.270525932,0.072148561,0.303761244,0.375909805,0.387853146,0.460001707,0.084091902,0.584027529,0.333975077,0.833910704,0.843842268,1.343777895,0.116805506,0.083493769,0.208477676,0.210960567,0.335944474,0.006041553,0.028862008,0.013760933,0.028753924,0.009379491,0.077727427,0.169888222,0.117307004,0.169569822,0.096847775,0.18546319,0.259623528,0.284554958,0.358715296,0.093283415,0.347818375,0.165431976,0.419966936,0.475195408,0.574287176,0.55928731,0.658379078,0.753942013,1.181729078,1.009274244,1.43706131,0.251314004,0.393909693,0.336424748,0.479020437,0.03971644,0.02634661,0.040798362,0.025065083,0.199289839,0.162316389,0.201986045,0.158319558,0.383840561,0.458000898,0.455989122,0.53014946,0.46919322,0.72372818,0.553285122,0.807820082,0.853033781,1.181729078,1.009274244,1.337969542,0.426516891,0.590864539,0.504637122,0.668984771,0.003642538,0.035305494,0.004733256,0.038550487,0.060353444,0.187897563,0.068798661,0.19634278,0.759750366,0.833910704,0.843842268,0.918002605
cy,foamy,0.10996151,-0.032607079,0.077354431,0.070812464,0.180773973,0.103419542,0.118636847,0.222056389,0.210124969,0.313544512,0.091488123,-0.042400837,0.049087286,0.045083523,0.136571646,0.08748436,0.146742582,0.234226942,0.204379559,0.291863918,0.057636976,0.449990511,0.190371513,0.582725048,0.530400515,0.922754049,0.089998102,0.047592878,0.145681262,0.132600129,0.230688512,0.000408614,0.009802937,0.00922415,0.00754642,0.007318998,0.020214192,0.099009783,0.096042438,0.086870132,0.08555114,0.18944931,0.29941082,0.280937433,0.390898943,0.167724133,0.271143675,0.255208492,0.358628035,0.191826105,0.283314228,0.249463081,0.340951204,0.548999548,0.853868723,0.785609007,1.090478182,0.182999849,0.284622908,0.261869669,0.363492727,0.000176423,0.000201042,0.000280937,0.000641443,0.013282429,0.014178941,0.01676118,0.025326727,0.238536596,0.348498106,0.326020956,0.435982466,0.401951075,0.505370617,0.459588051,0.563007593,0.640487671,0.853868723,0.785609007,0.998990059,0.320243835,0.426934361,0.392804503,0.499495029,0.013352146,0.012304492,0.008920084,0.008067691,0.115551486,0.110925616,0.094446198,0.089820329,0.472763538,0.582725048,0.530400515,0.640362024
cy,yawns,0.078051805,0.047212839,0.125264645,0.233766556,0.311818361,0.186553717,-0.028002262,0.158551455,0.102445126,0.288998842,0.130447388,0.055073977,0.185521364,0.157103539,0.287550926,0.102029562,0.052450657,0.154480219,0.234582901,0.336612463,0.182132244,0.679214716,0.12673521,0.623817682,0.727898121,1.224980593,0.135842943,0.031683803,0.155954421,0.18197453,0.306245148,0.002306639,0.00159398,0.000608328,0.004131182,0.000533381,0.048027477,0.039924678,0.024664309,0.064274274,0.023095046,0.205764294,0.283816099,0.336211681,0.414263487,0.157519102,0.344072819,0.259548664,0.446102381,0.209554195,0.340001583,0.39168644,0.522133827,0.572837591,0.967890501,0.987446785,1.382499695,0.190945864,0.322630167,0.329148928,0.460833232,0.000841602,0.001134043,0.00440251,0.003071751,0.02901038,0.03367555,0.066351411,0.05542338,0.391285658,0.469337463,0.49331522,0.571367025,0.311999321,0.498553038,0.494131565,0.680685282,0.703284979,0.967890501,0.987446785,1.252052307,0.351642489,0.483945251,0.493723392,0.626026154,0.003143162,0.000426775,3.33E-07,0.005975241,0.056063906,0.020658531,0.000577243,0.07729968,0.545765877,0.623817682,0.727898121,0.805949926
cy,dingo,0.118551254,-0.018457651,0.100093603,0.105811596,0.22436285,0.124269247,-0.050575256,0.073693991,0.056086063,0.18035531,0.10666132,0.009336948,0.115998268,0.108939171,0.215600491,0.099602222,-0.014824867,0.084777355,0.054881096,0.154483318,0.069705963,0.518790007,-0.074520826,0.374563217,0.325717926,0.77480197,0.103758001,-0.018630207,0.093640804,0.081429482,0.193700492,0.000456198,0.000605719,0.00033931,0.000899459,0.00104529,0.021358796,0.024611368,0.018420377,0.029990977,0.032330949,0.05523634,0.173787594,0.161897659,0.280448914,0.065423012,0.189692259,0.165025234,0.289294481,0.094114304,0.200775623,0.163820267,0.270481586,0.214773655,0.564255476,0.49074316,0.840224981,0.071591218,0.188085159,0.163581053,0.280074994,0.000406409,0.000184026,2.49E-06,8.86E-05,0.020159591,0.0135656,0.00157745,0.00941202,0.171234608,0.289785862,0.27083683,0.389388084,0.150200367,0.274469614,0.21990633,0.344175577,0.321434975,0.564255476,0.49074316,0.733563662,0.160717487,0.282127738,0.24537158,0.366781831,0.00022122,0.000117294,0.001296958,0.001022085,0.014873454,0.010830223,0.036013302,0.03197007,0.256011963,0.374563217,0.325717926,0.44426918
