,key,press_time,release_time
0,'w',1653450695.8516464,1653450695.9556718
1,'e',1653450696.0436502,1653450696.1636515
2,'n',1653450696.1476498,1653450696.2838368
3,'c',1653450696.2598155,1653450696.4038346
4,'h',1653450696.347831,1653450696.4278326
0,'e',1653450698.2046418,1653450698.355682
1,'a',1653450698.300082,1653450698.4848785
2,'r',1653450698.3956072,1653450698.5315628
3,'l',1653450698.5083292,1653450698.6435807
4,'y',1653450698.619555,1653450698.764078
0,'r',1653450700.3478765,1653450700.5398786
1,'e',1653450700.4358735,1653450700.6358807
2,'l',1653450700.5158753,1653450700.6758847
3,'a',1653450700.6198807,1653450700.7158816
4,'x',1653450700.843886,1653450700.9649088
0,'q',1653450702.5650158,1653450702.7157748
1,'u',1653450702.667752,1653450702.8199162
2,'i',1653450702.7477772,1653450702.859406
3,'c',1653450702.8359807,1653450702.963517
4,'k',1653450702.9237509,1653450703.011887
0,'x',1653450705.0201397,1653450705.1563437
1,'e',1653450705.1163495,1653450705.2681513
2,'r',1653450705.187344,1653450705.331428
3,'u',1653450705.283689,1653450705.3959398
4,'s',1653450705.380942,1653450705.500103
0,'r',1653450902.1591012,1653450902.3028316
1,'i',1653450902.2470257,1653450902.3829186
2,'n',1653450902.318917,1653450902.4389248
3,'s',1653450902.3588727,1653450902.4869187
4,'e',1653450902.4629276,1653450902.550926
0,'h',1653450906.7756813,1653450906.9186702
1,'e',1653450906.8146708,1653450907.022668
2,'r',1653450906.9586678,1653450907.0866716
3,'b',1653450907.0476718,1653450907.1266704
4,'s',1653450907.110671,1653450907.2226677
0,'f',1653450908.8795843,1653450909.0154047
1,'o',1653450908.9747577,1653450909.1349614
2,'a',1653450909.055028,1653450909.2153952
3,'m',1653450909.150976,1653450909.2714148
4,'y',1653450909.2393982,1653450909.3595307
0,'y',1653450913.239419,1653450913.3994758
1,'a',1653450913.3033621,1653450913.4947524
2,'w',1653450913.4227483,1653450913.5594466
3,'n',1653450913.535435,1653450913.639078
4,'s',1653450913.6230557,1653450913.767745
0,'d',1653450915.3757985,1653450915.5191145
1,'i',1653450915.470868,1653450915.5908384
2,'n',1653450915.5353901,1653450915.648211
3,'g',1653450915.631086,1653450915.7592797
4,'o',1653450915.7110753,1653450915.799298
