Subject,Sequence,T2-D|0,T2-I|0+1,T2-PF|0+1,T2-RF|0+1,T2-NG|0+1,T2-D|1,T2-I|1+2,T2-PF|1+2,T2-RF|1+2,T2-NG|1+2,T2-D|2,T2-I|2+3,T2-PF|2+3,T2-RF|2+3,T2-NG|2+3,T2-D|3,T2-I|3+4,T2-PF|3+4,T2-RF|3+4,T2-NG|3+4,T2-D|4,T2-D|S,T2-I|S,T2-PF|S,T2-RF|S,T2-NG|S,T2-D|M,T2-I|M,T2-PF|M,T2-RF|M,T2-DT-M,T2-D|VAR,T2-I|VAR,T2-PF|VAR,T2-RF|VAR,T2-DT-VAR,T2-D|SD,T2-I|SD,T2-PF|SD,T2-RF|SD,T2-NG|SD,T3-I|0+2,T3-PF|0+2,T3-RF|0+2,T3-NG|0+2,T3-I|1+3,T3-PF|1+3,T3-RF|1+3,T3-NG|1+3,T3-I|2+4,T3-PF|2+4,T3-RF|2+4,T3-NG|2+4,T3-I|S,T3-PF|S,T3-RF|S,T3-NG|S,T3-I|M,T3-PF|M,T3-RF|M,T3-NG|M,T3-I|VAR,T3-PF|VAR,T3-RF|VAR,T3-NG|VAR,T3-I|SD,T3-PF|SD,T3-RF|SD,T3-NG|SD,T4-I|0+3,T4-PF|0+3,T4-RF|0+3,T4-NG|0+3,T4-I|1+4,T4-PF|1+4,T4-RF|1+4,T4-NG|1+4,T4-I|S,T4-PF|S,T4-RF|S,T4-NG|S,T4-I|M,T4-PF|M,T4-RF|M,T4-NG|M,T4-I|VAR,T4-PF|VAR,T4-RF|VAR,T4-NG|VAR,T4-I|SD,T4-PF|SD,T4-RF|SD,T4-NG|SD,T5-I|0+4,T5-PF|0+4,T5-RF|0+4,T5-NG|0+4
azfar,wench,0.175775051,-0.079937935,0.095837116,0.145119667,0.320894718,0.225057602,-0.02468276,0.200374842,0.103826523,0.328884125,0.128509283,0.119428873,0.247938156,0.239347219,0.367856503,0.119918346,-0.039960384,0.079957962,0.096742392,0.216660738,0.136702776,0.785963058,-0.025152206,0.624108076,0.585035801,1.234296083,0.157192612,-0.006288052,0.156027019,0.14625895,0.308574021,0.001895725,0.007567081,0.006607904,0.004306375,0.004175588,0.043539929,0.086988968,0.081289016,0.065622974,0.06461879,0.120436907,0.296211958,0.24894619,0.424721241,0.223255396,0.448312998,0.343173742,0.568231344,0.199386835,0.327896118,0.336089611,0.464598894,0.543079138,1.072421074,0.928209543,1.457551479,0.181026379,0.357473691,0.309403181,0.485850493,0.00289574,0.006439806,0.002753832,0.00548751,0.053812082,0.080248403,0.052476967,0.074077731,0.368375063,0.544150114,0.488293409,0.66406846,0.303213358,0.52827096,0.439916134,0.664973736,0.671588421,1.072421074,0.928209543,1.329042196,0.33579421,0.536210537,0.464104772,0.664521098,0.002123024,0.000126074,0.00117018,4.10E-07,0.046076283,0.011228258,0.0342079,0.000640126,0.448333025,0.624108076,0.585035801,0.760810852
azfar,early,0.248275518,-0.087736607,0.160538912,0.079679012,0.327954531,0.167415619,0.056083441,0.22349906,0.19966054,0.367076159,0.143577099,0.176625729,0.320202827,0.344693422,0.488270521,0.168067694,0.015744209,0.183811903,0.159378052,0.327445745,0.143633842,0.870969772,0.160716772,0.888052702,0.783411026,1.510746956,0.174193954,0.040179193,0.222013175,0.195852757,0.377686739,0.001860717,0.011943374,0.004960613,0.012331595,0.005779602,0.043136027,0.109285745,0.070431617,0.111047716,0.076023696,0.135762453,0.384037971,0.279339552,0.52761507,0.376286268,0.543701887,0.544353962,0.711769581,0.360437632,0.50401473,0.504071474,0.647648573,0.872486353,1.431754589,1.327764988,1.887033224,0.290828784,0.47725153,0.442588329,0.629011075,0.01809697,0.006910343,0.020393292,0.008738738,0.13452498,0.083128474,0.142805085,0.093481218,0.455965281,0.704240799,0.624032974,0.872308493,0.560098171,0.72751379,0.703732014,0.871147633,1.016063452,1.431754589,1.327764988,1.743456125,0.508031726,0.715877295,0.663882494,0.871728063,0.005421829,0.000270816,0.003175968,6.74E-07,0.073633073,0.01645649,0.056355731,0.000820852,0.639777184,0.888052702,0.783411026,1.031686544
azfar,relax,0.199926138,-0.104569435,0.095356703,0.06313324,0.263059378,0.167702675,-0.023694754,0.144007921,0.136852503,0.304555178,0.160547256,0.022986889,0.183534145,0.143290758,0.303838015,0.120303869,0.160175085,0.280478954,0.319951296,0.440255165,0.159776211,0.808256149,0.054897785,0.703377724,0.663227797,1.311707735,0.16165123,0.013724446,0.175844431,0.165806949,0.327926934,0.000803982,0.012309074,0.006166451,0.01188257,0.005983982,0.028354573,0.110946265,0.078526753,0.1090072,0.077356203,0.039438486,0.239364624,0.199985743,0.39991188,0.159839392,0.327542067,0.280143261,0.447845936,0.303465843,0.4640131,0.463242054,0.62378931,0.502743721,1.03091979,0.943371058,1.471547127,0.16758124,0.34363993,0.314457019,0.490515709,0.017472563,0.01281109,0.018209047,0.013895808,0.132183825,0.113186087,0.134940901,0.117880482,0.222972631,0.422898769,0.343276501,0.543202639,0.440318346,0.608021021,0.600094557,0.767797232,0.663290977,1.03091979,0.943371058,1.31099987,0.331645489,0.515459895,0.471685529,0.655499935,0.02361958,0.017135124,0.032977757,0.025221366,0.153686629,0.130901199,0.181597789,0.15881236,0.503451586,0.703377724,0.663227797,0.863153934
azfar,quick,0.17669034,0.079268217,0.255958557,0.182723761,0.359414101,0.103455544,0.120235682,0.223691225,0.264783144,0.368238688,0.144547462,0.055441856,0.199989319,0.200340986,0.344888449,0.14489913,-0.025053978,0.119845152,0.079416037,0.224315166,0.104470015,0.67406249,0.229891777,0.799484253,0.727263927,1.296856403,0.134812498,0.057472944,0.199871063,0.181815982,0.324214101,0.000963547,0.003743004,0.003372456,0.005904433,0.004528143,0.031041054,0.061180098,0.05807285,0.076840308,0.06729148,0.302959442,0.479649782,0.447506905,0.624197245,0.320225,0.423680544,0.46512413,0.568579674,0.175287008,0.319834471,0.279757023,0.424304485,0.798471451,1.223164797,1.192388058,1.617081404,0.26615715,0.407721599,0.397462686,0.539027135,0.006267562,0.006576249,0.010468559,0.010644293,0.079167935,0.081094077,0.102315976,0.103171184,0.502948761,0.679639101,0.647847891,0.824538231,0.440070152,0.543525696,0.544540167,0.64799571,0.943018913,1.223164797,1.192388058,1.472533941,0.471509457,0.611582398,0.596194029,0.736266971,0.00197686,0.00926343,0.005336243,0.015583631,0.044461891,0.096246712,0.073049592,0.124834413,0.622793913,0.799484253,0.727263927,0.903954268
azfar,xerus,0.144225597,0.144486189,0.288711786,0.240368843,0.38459444,0.095882654,0.119654179,0.215536833,0.264104128,0.359986782,0.144449949,0.05597806,0.200428009,0.183992863,0.328442812,0.128014803,0.01594305,0.143957853,0.136262894,0.264277697,0.120319843,0.632892847,0.336061478,0.848634481,0.824728727,1.337301731,0.126578569,0.084015369,0.21215862,0.206182182,0.334325433,0.000403569,0.003448925,0.003553584,0.003301584,0.002708923,0.020089036,0.058727552,0.059611943,0.057459413,0.052047314,0.360023022,0.504248619,0.504472971,0.648698568,0.320082188,0.415964842,0.448096991,0.543979645,0.199935913,0.344385862,0.320255756,0.464705706,0.880041122,1.264599323,1.272825718,1.657383919,0.293347041,0.421533108,0.424275239,0.552461306,0.006943047,0.006412279,0.008909602,0.008517297,0.083324946,0.08007671,0.09439069,0.092289205,0.560451031,0.704676628,0.688465834,0.832691431,0.464040041,0.559922695,0.584359884,0.680242538,1.024491072,1.264599323,1.272825718,1.512933969,0.512245536,0.632299662,0.636412859,0.756466985,0.004647539,0.010476851,0.005419024,0.011620332,0.068172865,0.102356488,0.073614023,0.107797646,0.704408884,0.848634481,0.824728727,0.968954325
azfar,rinse,0.159600496,-0.015957594,0.143642902,0.223680019,0.383280516,0.239637613,-0.103597403,0.136040211,0.055767298,0.295404911,0.1593647,-0.039768696,0.119596004,0.208669186,0.368033886,0.248437881,-0.024122953,0.224314928,0.255843163,0.504281044,0.279966116,1.087006807,-0.183446646,0.623594046,0.743959665,1.551000357,0.217401361,-0.045861661,0.155898511,0.185989916,0.387750089,0.003020315,0.001579122,0.002181077,0.0079241,0.007505267,0.05495739,0.039738163,0.046701999,0.089017413,0.086632944,0.120082617,0.279683113,0.279447317,0.439047813,0.015998602,0.255636215,0.264436483,0.504074097,0.184546232,0.343910933,0.464512348,0.623877048,0.320627451,0.879230261,1.008396149,1.566998959,0.106875817,0.293076754,0.33613205,0.522332986,0.007232891,0.002082649,0.012417457,0.008790502,0.085046403,0.045636045,0.111433644,0.093757676,0.239678621,0.399279118,0.488116503,0.647716999,0.24031353,0.479951143,0.520279646,0.759917259,0.479992151,0.879230261,1.008396149,1.407634258,0.239996076,0.43961513,0.504198074,0.703817129,2.02E-07,0.003253988,0.000517234,0.006294449,0.000448948,0.057043736,0.022742777,0.079337565,0.463993549,0.623594046,0.743959665,0.903560162
azfar,herbs,0.120252132,0.024369717,0.144621849,0.159818649,0.280070782,0.135448933,-0.08028245,0.055166483,0.103651524,0.239100456,0.183933973,0.040257931,0.224191904,0.161210775,0.345144749,0.120952845,0.039376259,0.160329103,0.184015751,0.304968596,0.144639492,0.705227375,0.023721457,0.58430934,0.608696699,1.169284582,0.141045475,0.005930364,0.146077335,0.152174175,0.292321146,0.000679935,0.003356556,0.0048573,0.001169477,0.001977601,0.026075556,0.057935794,0.069694333,0.034197621,0.044470231,0.0795362,0.199788332,0.263470173,0.383722305,0.143909454,0.279358387,0.264862299,0.400311232,0.200587034,0.384521008,0.345226526,0.5291605,0.424032688,0.863667727,0.873558998,1.313194036,0.141344229,0.287889242,0.291186333,0.437731345,0.003668261,0.008586122,0.002190741,0.006338266,0.060566174,0.092661329,0.046805356,0.079613226,0.303728104,0.423980236,0.424680948,0.544933081,0.304238558,0.43968749,0.44887805,0.584326982,0.607966661,0.863667727,0.873558998,1.129260063,0.303983331,0.431833863,0.436779499,0.564630032,1.30E-07,0.000123359,0.00029275,0.00077594,0.000360946,0.011106706,0.017109935,0.027855695,0.464057207,0.58430934,0.608696699,0.728948832
azfar,foamy,0.119529724,0.015628576,0.1351583,0.120214462,0.239744186,0.104585886,0.040109873,0.144695759,0.143995762,0.248581648,0.103885889,-0.024230242,0.079655647,0.095752478,0.199638367,0.119982719,0.040015221,0.15999794,0.183659315,0.303642035,0.143644094,0.591628313,0.071523428,0.519507647,0.543622017,0.991606236,0.118325663,0.017880857,0.129876912,0.135905504,0.247901559,0.000260627,0.000920826,0.001225648,0.001401451,0.001834447,0.016143939,0.030345107,0.035009251,0.037435959,0.042830447,0.160324335,0.279854059,0.264210224,0.383739948,0.11976552,0.224351406,0.23974824,0.344334126,0.135767698,0.239653587,0.279411793,0.383297682,0.415857553,0.743859053,0.783370256,1.111371756,0.138619184,0.247953018,0.261123419,0.370457252,0.000417353,0.000821797,0.000400446,0.000511862,0.020429209,0.028666994,0.020011138,0.022624372,0.239979982,0.359509706,0.359962702,0.479492426,0.27976346,0.384349346,0.423407555,0.527993441,0.519743443,0.743859053,0.783370256,1.007485867,0.259871721,0.371929526,0.391685128,0.503742933,0.000791363,0.000308504,0.002012625,0.001176174,0.028131167,0.017564278,0.044862286,0.034295396,0.399977922,0.519507647,0.543622017,0.663151741
azfar,yawns,0.159614086,0.120461702,0.280075788,0.240357876,0.399971962,0.119896173,0.144193649,0.264089823,0.280300856,0.400197029,0.136107206,0.023959398,0.160066605,0.143620968,0.279728174,0.11966157,0.015956402,0.135617971,0.145619392,0.265280962,0.129662991,0.664942026,0.304571152,0.839850187,0.809899092,1.345178127,0.132988405,0.076142788,0.209962547,0.202474773,0.336294532,0.000269681,0.004313531,0.00528745,0.004729444,0.005460341,0.016421961,0.065677477,0.072714853,0.068770956,0.073894123,0.384551525,0.544165611,0.520658731,0.680272818,0.304260254,0.424156427,0.423921824,0.543817997,0.15957737,0.295684576,0.28924036,0.425347567,0.848389149,1.264006615,1.233820915,1.649438381,0.282796383,0.421335538,0.411273638,0.549812794,0.012998866,0.015441674,0.013508598,0.016273674,0.114012569,0.124264533,0.116226495,0.127568311,0.54461813,0.704232216,0.664279699,0.823893785,0.439878225,0.559774399,0.569541216,0.689437389,0.984496355,1.264006615,1.233820915,1.513331175,0.492248178,0.632003307,0.616910458,0.756665587,0.005485224,0.01043403,0.00448769,0.009039261,0.074062297,0.102147102,0.066990224,0.095075029,0.680236101,0.839850187,0.809899092,0.969513178
azfar,dingo,0.103725195,-0.023873568,0.079851627,0.159928322,0.263653517,0.183801889,-0.063527346,0.120274544,0.079802275,0.263604164,0.14332962,-0.023992777,0.119336843,0.096538067,0.239867687,0.120530844,0.024318933,0.144849777,0.143426657,0.2639575,0.119107723,0.670495272,-0.087074757,0.464312792,0.47969532,1.031082869,0.134099054,-0.021768689,0.116078198,0.11992383,0.257770717,0.000971746,0.00129241,0.000722799,0.001436458,0.000142477,0.031172836,0.035950111,0.026884917,0.037900639,0.011936376,0.096400976,0.200126171,0.239730597,0.343455791,0.055809498,0.239611387,0.176340342,0.360142231,0.120857,0.264186621,0.239964724,0.383294344,0.273067474,0.703924179,0.656035662,1.086892366,0.091022491,0.234641393,0.218678554,0.362297455,0.00107949,0.001044461,0.001344407,0.000400261,0.0328556,0.032318121,0.036666154,0.020006532,0.21573782,0.319463015,0.336268663,0.439993858,0.200659275,0.384461164,0.319766998,0.503568888,0.416397095,0.703924179,0.656035662,0.943562746,0.208198547,0.35196209,0.328017831,0.471781373,0.000113681,0.00211238,0.000136152,0.002020892,0.010662141,0.045960633,0.011668439,0.044954334,0.360587597,0.464312792,0.47969532,0.583420515
