Subject,Sequence,T2-D|0,T2-I|0+1,T2-PF|0+1,T2-RF|0+1,T2-NG|0+1,T2-D|1,T2-I|1+2,T2-PF|1+2,T2-RF|1+2,T2-NG|1+2,T2-D|2,T2-I|2+3,T2-PF|2+3,T2-RF|2+3,T2-NG|2+3,T2-D|3,T2-I|3+4,T2-PF|3+4,T2-RF|3+4,T2-NG|3+4,T2-D|4,T2-D|S,T2-I|S,T2-PF|S,T2-RF|S,T2-NG|S,T2-D|M,T2-I|M,T2-PF|M,T2-RF|M,T2-DT-M,T2-D|VAR,T2-I|VAR,T2-PF|VAR,T2-RF|VAR,T2-DT-VAR,T2-D|SD,T2-I|SD,T2-PF|SD,T2-RF|SD,T2-NG|SD,T3-I|0+2,T3-PF|0+2,T3-RF|0+2,T3-NG|0+2,T3-I|1+3,T3-PF|1+3,T3-RF|1+3,T3-NG|1+3,T3-I|2+4,T3-PF|2+4,T3-RF|2+4,T3-NG|2+4,T3-I|S,T3-PF|S,T3-RF|S,T3-NG|S,T3-I|M,T3-PF|M,T3-RF|M,T3-NG|M,T3-I|VAR,T3-PF|VAR,T3-RF|VAR,T3-NG|VAR,T3-I|SD,T3-PF|SD,T3-RF|SD,T3-NG|SD,T4-I|0+3,T4-PF|0+3,T4-RF|0+3,T4-NG|0+3,T4-I|1+4,T4-PF|1+4,T4-RF|1+4,T4-NG|1+4,T4-I|S,T4-PF|S,T4-RF|S,T4-NG|S,T4-I|M,T4-PF|M,T4-RF|M,T4-NG|M,T4-I|VAR,T4-PF|VAR,T4-RF|VAR,T4-NG|VAR,T4-I|SD,T4-PF|SD,T4-RF|SD,T4-NG|SD,T5-I|0+4,T5-PF|0+4,T5-RF|0+4,T5-NG|0+4
hr,wench,0.111214161,-0.031491756,0.079722404,0.064453363,0.175667524,0.09594512,0.0316751,0.12762022,0.14354682,0.23949194,0.111871719,0.016326189,0.128197908,0.112851858,0.224723577,0.096525669,-0.016147852,0.080377817,0.048089981,0.14461565,0.064237833,0.479794502,0.000361681,0.41591835,0.368942022,0.784498692,0.0959589,9.04E-05,0.103979588,0.092235506,0.196124673,0.000373122,0.000840769,0.00076362,0.001926187,0.001923431,0.019316368,0.02899602,0.027633682,0.043888342,0.043856932,0.096128464,0.207342625,0.208000183,0.319214344,0.159873009,0.255818129,0.256398678,0.352343798,0.096704006,0.208575726,0.160941839,0.272813559,0.352705479,0.671736479,0.6253407,0.9443717,0.117568493,0.22391216,0.2084469,0.314790567,0.001342337,0.000763873,0.002278152,0.001595942,0.036637916,0.027638257,0.047729987,0.039949244,0.224326372,0.335540533,0.320852041,0.432066202,0.240250826,0.336195946,0.304488659,0.400433779,0.464577198,0.671736479,0.6253407,0.832499981,0.232288599,0.335868239,0.31267035,0.41624999,0.000126794,2.15E-07,0.00013388,0.000500305,0.011260289,0.000463447,0.011570659,0.022367501,0.304704189,0.41591835,0.368942022,0.480156183
hr,early,0.127178192,-0.031470299,0.095707893,0.128774405,0.255952597,0.160244703,-0.016238213,0.144006491,0.096050739,0.256295443,0.112288952,0.047801495,0.160090446,0.127361059,0.239650011,0.079559565,0.016366005,0.09592557,0.144364357,0.223923922,0.127998352,0.607269764,0.016458988,0.4957304,0.49655056,0.975821972,0.121453953,0.004114747,0.1239326,0.12413764,0.243955493,0.000854864,0.001246388,0.001097126,0.000409961,0.000238669,0.029238055,0.035304219,0.033122896,0.020247503,0.015448904,0.112536192,0.239714384,0.224825144,0.352003336,0.143852234,0.304096937,0.223411798,0.383656502,0.143727064,0.256016016,0.271725416,0.384014368,0.40011549,0.799827337,0.719962358,1.119674206,0.13337183,0.266609112,0.239987453,0.373224735,0.000325597,0.001120439,0.000755973,0.000337793,0.0180443,0.033472953,0.027494965,0.018379142,0.272626638,0.399804831,0.352186203,0.479364395,0.239777803,0.400022507,0.367776155,0.528020859,0.512404442,0.799827337,0.719962358,1.007385254,0.256202221,0.399913669,0.359981179,0.503692627,0.000539523,2.37E-08,0.000121523,0.001183726,0.023227634,0.00015392,0.011023761,0.034405315,0.368552208,0.4957304,0.49655056,0.623728752
hr,relax,0.096160412,-0.048475742,0.047684669,0.063427925,0.159588337,0.111903667,0.016240597,0.128144264,0.144480944,0.256384611,0.128240347,-0.016198874,0.112041473,0.128494263,0.25673461,0.144693136,0.015431643,0.160124779,0.111763477,0.256456614,0.096331835,0.577329397,-0.033002377,0.447995186,0.448166609,0.929164171,0.115465879,-0.008250594,0.111998796,0.112041652,0.232291043,0.00044223,0.000947301,0.002237698,0.001228789,0.002349215,0.021029275,0.030778263,0.047304316,0.035054091,0.048468706,0.079668522,0.175828934,0.207908869,0.304069281,0.12828207,0.240185738,0.272975206,0.384878874,0.143925905,0.272166252,0.24025774,0.368498087,0.351876497,0.688180923,0.721141815,1.057446241,0.117292166,0.229393641,0.240380605,0.35248208,0.001122836,0.002407572,0.001058418,0.001824932,0.03350875,0.049067013,0.032533343,0.042719222,0.191709995,0.287870407,0.336403131,0.432563543,0.288406849,0.400310516,0.384738684,0.496642351,0.480116844,0.688180923,0.721141815,0.929205894,0.240058422,0.344090462,0.360570908,0.464602947,0.004675141,0.006321389,0.001168163,0.002053047,0.068375001,0.079507164,0.034178397,0.04531056,0.351834774,0.447995186,0.448166609,0.544327021
hr,quick,0.096109867,0.015762329,0.111872196,0.159437895,0.255547762,0.143675566,-0.047690153,0.095985413,0.063639879,0.207315445,0.111330032,-0.015402079,0.095927954,0.096375227,0.207705259,0.111777306,0.016288042,0.128065348,0.080252409,0.192029715,0.063964367,0.526857138,-0.031041861,0.43185091,0.39970541,0.862598181,0.105371428,-0.007760465,0.107962728,0.099926353,0.215649545,0.000836017,0.000928142,0.000235897,0.001752669,0.000760778,0.02891396,0.030465427,0.01535894,0.041864887,0.027582198,0.111747742,0.207857609,0.223077774,0.319187641,0.048237801,0.191913366,0.160015106,0.303690672,0.112663269,0.223993301,0.176627636,0.287957668,0.272648811,0.623764277,0.559720516,0.910835981,0.090882937,0.207921426,0.186573505,0.303611994,0.001364165,0.000257284,0.001068415,0.000243832,0.036934608,0.016040063,0.032686622,0.015615135,0.207675695,0.303785563,0.319453001,0.415562868,0.176303148,0.319978714,0.240267515,0.383943081,0.383978844,0.623764277,0.559720516,0.799505949,0.191989422,0.311882138,0.279860258,0.399752975,0.000492118,0.000131109,0.003135171,0.000499905,0.022183741,0.011450287,0.055992594,0.022358566,0.335741043,0.43185091,0.39970541,0.495815277
hr,xerus,0.112949848,0.110986471,0.223936319,0.207614899,0.320564747,0.096628428,0.095808744,0.192437172,0.159576893,0.25620532,0.063768148,0.032312155,0.096080303,0.112215996,0.175984144,0.079903841,0.01624012,0.096143961,0.09637475,0.176278591,0.08013463,0.433384895,0.25534749,0.608597755,0.575782537,0.929032803,0.086676979,0.063836873,0.152149439,0.143945634,0.232258201,0.000350697,0.002168181,0.004352273,0.002522623,0.004890666,0.018726901,0.046563734,0.06597176,0.050225725,0.069933294,0.303423643,0.416373491,0.367191792,0.48014164,0.191889048,0.288517475,0.271792889,0.368421316,0.128456116,0.192224264,0.208590746,0.272358894,0.623768806,0.897115231,0.847575426,1.12092185,0.207922935,0.29903841,0.282525142,0.373640617,0.007846223,0.012643737,0.006374959,0.010813848,0.088578909,0.112444371,0.07984334,0.103989654,0.399503946,0.512453794,0.479407787,0.592357635,0.288033009,0.384661436,0.368167639,0.464796066,0.687536955,0.897115231,0.847575426,1.057153702,0.343768477,0.448557615,0.423787713,0.528576851,0.006212885,0.008165443,0.006187185,0.008135977,0.078821856,0.090362843,0.078658663,0.090199651,0.495647907,0.608597755,0.575782537,0.688732386
hr,rinse,0.079362869,0.01618433,0.095547199,0.112325907,0.191688776,0.096141577,0.111766577,0.207908154,0.207565308,0.303706884,0.095798731,-0.031451225,0.064347506,0.09634304,0.192141771,0.127794266,-0.047698021,0.080096245,0.063767672,0.191561937,0.111465693,0.510563135,0.048801661,0.447899103,0.480001926,0.879099369,0.102112627,0.012200415,0.111974776,0.120000482,0.219774842,0.000335024,0.00514086,0.004252559,0.0038161,0.00313099,0.018303665,0.071699792,0.065211645,0.061774594,0.055955248,0.224092484,0.303455353,0.319891214,0.399254084,0.176114082,0.272255659,0.303908348,0.400049925,0.04864502,0.14444375,0.160110712,0.255909443,0.448851585,0.720154762,0.783910275,1.055213451,0.149617195,0.240051587,0.261303425,0.351737817,0.008222017,0.007098999,0.007743837,0.006887466,0.090675338,0.084255558,0.087999073,0.08299076,0.288439989,0.367802858,0.416234255,0.495597124,0.256210327,0.352351904,0.36767602,0.463817596,0.544650316,0.720154762,0.783910275,0.959414721,0.272325158,0.360077381,0.391955137,0.47970736,0.000519376,0.000119366,0.001178951,0.000504969,0.022789813,0.010925475,0.034335857,0.02247152,0.368536234,0.447899103,0.480001926,0.559364796
hr,herbs,0.112213612,-0.015329361,0.096884251,0.112622738,0.224836349,0.127952099,-0.048597097,0.079355001,0.031389952,0.159342051,0.079987049,0.016213894,0.096200943,0.128202438,0.208189487,0.111988544,0.04774332,0.159731865,0.15984416,0.271832705,0.11210084,0.544242144,3.08E-05,0.43217206,0.432059288,0.864200592,0.108848429,7.69E-06,0.108043015,0.108014822,0.216050148,0.000307423,0.001712994,0.001253164,0.002995475,0.002155496,0.017533485,0.041388331,0.035400057,0.054730929,0.046427324,0.06402564,0.176239252,0.14401269,0.256226301,0.047603846,0.175555944,0.15959239,0.287544489,0.175945759,0.255932808,0.288046598,0.368033648,0.287575245,0.607728004,0.591651678,0.911804438,0.095858415,0.202576001,0.197217226,0.303934813,0.004877906,0.002135328,0.006248163,0.003326703,0.069842006,0.046209613,0.079045322,0.057677575,0.160226583,0.272440195,0.272215128,0.38442874,0.207335711,0.335287809,0.31943655,0.447388649,0.367562294,0.607728004,0.591651678,0.831817389,0.183781147,0.303864002,0.295825839,0.415908694,0.001109635,0.001974911,0.001114931,0.001981975,0.033311183,0.044439974,0.033390588,0.044519379,0.319958448,0.43217206,0.432059288,0.5442729
hr,foamy,0.080450773,0.015514135,0.095964909,0.095196247,0.17564702,0.079682112,0.032474041,0.112156153,0.11177659,0.191458702,0.079302549,0.03249979,0.11180234,0.144264221,0.223566771,0.111764431,0.016103268,0.127867699,0.159815788,0.271580219,0.143712521,0.494912386,0.096591234,0.4477911,0.511052847,0.862252712,0.098982477,0.024147809,0.111947775,0.127763212,0.215563178,0.000816846,9.28E-05,0.000169654,0.000871943,0.001792097,0.028580513,0.00963218,0.013025111,0.029528688,0.04233317,0.127670288,0.208121061,0.206972837,0.287423611,0.144276381,0.223958492,0.256040812,0.335722923,0.160367489,0.239670038,0.304080009,0.383382559,0.432314157,0.671749592,0.767093658,1.006529093,0.144104719,0.223916531,0.255697886,0.335509698,0.000267299,0.000248836,0.002357539,0.002302064,0.016349276,0.01577453,0.048554494,0.047979829,0.239472628,0.319923401,0.351237059,0.431687832,0.272144079,0.351826191,0.4158566,0.495538712,0.511616707,0.671749592,0.767093658,0.927226543,0.255808353,0.335874796,0.383546829,0.463613272,0.000533712,0.000508894,0.002087843,0.002038467,0.023102205,0.022558679,0.045692916,0.04514939,0.367340326,0.4477911,0.511052847,0.59150362
hr,yawns,0.096454859,0.000997543,0.097452402,0.144200087,0.240654945,0.143202543,-0.048633337,0.094569206,0.09512496,0.238327503,0.143758297,0.080299854,0.224058151,0.192158222,0.335916519,0.111858368,0.016382217,0.128240585,0.112797022,0.22465539,0.096414804,0.591688871,0.049046278,0.544320345,0.544280291,1.039554358,0.118337774,0.012261569,0.136080086,0.136070073,0.259888589,0.00056648,0.002827085,0.003672283,0.001810038,0.002618813,0.023800846,0.053170342,0.060599364,0.042544544,0.051174336,0.09556675,0.192021608,0.239325047,0.335779905,0.175424814,0.318627357,0.287283182,0.430485725,0.20854044,0.352298737,0.304955244,0.448713541,0.479532003,0.862947702,0.831563473,1.214979172,0.159844001,0.287649234,0.277187824,0.404993057,0.003372835,0.007141923,0.001153268,0.003675909,0.058076114,0.084509896,0.033959798,0.060629272,0.319624901,0.41607976,0.431483269,0.527938128,0.3036654,0.446867943,0.400080204,0.543282747,0.6232903,0.862947702,0.831563473,1.071220875,0.31164515,0.431473851,0.415781736,0.535610437,0.000127353,0.000473956,0.000493076,0.000117729,0.011285072,0.021770533,0.02220532,0.010850285,0.447865486,0.544320345,0.544280291,0.640735149
hr,dingo,0.112687111,-0.032624722,0.080062389,0.016092062,0.128779173,0.048716784,0.095803261,0.144520044,0.159754515,0.208471298,0.063951254,-0.016289473,0.047661781,0.063943148,0.127894402,0.08023262,0.03211689,0.11234951,0.112116814,0.192349434,0.079999924,0.385587692,0.079005957,0.384593725,0.351906538,0.657494307,0.077117538,0.019751489,0.096148431,0.087976635,0.164373577,0.00056579,0.003326331,0.001737335,0.003826604,0.001774983,0.023786342,0.057674354,0.041681346,0.061859552,0.042130549,0.111895323,0.224582434,0.175846577,0.288533688,0.143465042,0.192181826,0.223697662,0.272414446,0.096060038,0.160011292,0.176059961,0.240011215,0.351420403,0.576775551,0.5756042,0.800959349,0.117140134,0.192258517,0.191868067,0.26698645,0.00058244,0.001042363,0.000759854,0.000610705,0.024133786,0.032285639,0.027565445,0.024712445,0.159557104,0.272244215,0.239789724,0.352476835,0.255814552,0.304531336,0.335814476,0.38453126,0.415371656,0.576775551,0.5756042,0.737008095,0.207685828,0.288387775,0.2878021,0.368504047,0.004632748,0.000521229,0.004610376,0.000513743,0.068064294,0.022830442,0.067899753,0.022665901,0.271906614,0.384593725,0.351906538,0.464593649
