Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
chris,w_e,23_5,23,5,0.141978264,-0.065982342,0.075995922,0.056885719,0.198863983,0.122868061
chris,e_n,5_14,5,14,0.122868061,-0.032369375,0.090498686,0.083981276,0.206849337,0.116350651
chris,n_c,14_3,14,3,0.116350651,0.055122375,0.171473026,0.15507555,0.271426201,0.099953175
chris,c_h,3_8,3,8,0.099953175,-0.010455847,0.089497328,0.084645748,0.184598923,0.095101595
chris,e_a,5_1,5,1,0.228225708,-0.130748987,0.097476721,0.02173543,0.249961138,0.152484417
chris,a_r,1_18,1,18,0.152484417,-0.081698179,0.070786238,0.038007736,0.190492153,0.119705915
chris,r_l,18_12,18,12,0.119705915,-0.047693491,0.072012424,0.043196917,0.162902832,0.090890408
chris,l_y,12_25,12,25,0.090890408,0.097857237,0.188747644,0.214735031,0.305625439,0.116877794
chris,r_e,18_5,18,5,0.157987356,-0.039967299,0.118020058,0.094768286,0.252755642,0.134735584
chris,e_l,5_12,5,12,0.134735584,-0.046897888,0.087837696,0.052044868,0.186780453,0.098942757
chris,l_a,12_1,12,1,0.098942757,0.000997782,0.099940538,0.097670078,0.196612835,0.096672297
chris,a_x,1_24,1,24,0.096672297,0.115004063,0.211676359,0.212641478,0.309313774,0.097637415
chris,q_u,17_21,17,21,0.140930653,-0.033010483,0.10792017,0.10896945,0.249900103,0.141979933
chris,u_i,21_9,21,9,0.141979933,0.113917589,0.255897522,0.20501852,0.346998453,0.091100931
chris,i_c,9_3,9,3,0.091100931,0.028944969,0.1200459,0.152230978,0.243331909,0.123286009
chris,c_k,3_11,3,11,0.123286009,-0.030140877,0.093145132,0.042977333,0.166263342,0.07311821
chris,x_e,24_5,24,5,0.0951581,0.169290543,0.264448643,0.297405005,0.392563105,0.128114462
chris,e_r,5_18,5,18,0.128114462,-0.042038679,0.086075783,0.080366373,0.208480835,0.122405052
chris,r_u,18_21,18,21,0.122405052,0.01064539,0.133050442,0.103829384,0.226234436,0.093183994
chris,u_s,21_19,21,19,0.093183994,0.027835369,0.121019363,0.106744766,0.199928761,0.078909397
chris,r_i,18_9,18,9,0.106896877,-0.0537076,0.053189278,0.090908051,0.197804928,0.14461565
chris,i_n,9_14,9,14,0.14461565,-0.063233852,0.081381798,0.04295969,0.18757534,0.106193542
