Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
hr,w_e,23_5,23,5,0.111214161,-0.031491756,0.079722404,0.064453363,0.175667524,0.09594512
hr,e_n,5_14,5,14,0.09594512,0.0316751,0.12762022,0.14354682,0.23949194,0.111871719
hr,n_c,14_3,14,3,0.111871719,0.016326189,0.128197908,0.112851858,0.224723577,0.096525669
hr,c_h,3_8,3,8,0.096525669,-0.016147852,0.080377817,0.048089981,0.14461565,0.064237833
hr,e_a,5_1,5,1,0.127178192,-0.031470299,0.095707893,0.128774405,0.255952597,0.160244703
hr,a_r,1_18,1,18,0.160244703,-0.016238213,0.144006491,0.096050739,0.256295443,0.112288952
hr,r_l,18_12,18,12,0.112288952,0.047801495,0.160090446,0.127361059,0.239650011,0.079559565
hr,l_y,12_25,12,25,0.079559565,0.016366005,0.09592557,0.144364357,0.223923922,0.127998352
hr,r_e,18_5,18,5,0.096160412,-0.048475742,0.047684669,0.063427925,0.159588337,0.111903667
hr,e_l,5_12,5,12,0.111903667,0.016240597,0.128144264,0.144480944,0.256384611,0.128240347
hr,l_a,12_1,12,1,0.128240347,-0.016198874,0.112041473,0.128494263,0.25673461,0.144693136
hr,a_x,1_24,1,24,0.144693136,0.015431643,0.160124779,0.111763477,0.256456614,0.096331835
hr,q_u,17_21,17,21,0.096109867,0.015762329,0.111872196,0.159437895,0.255547762,0.143675566
hr,u_i,21_9,21,9,0.143675566,-0.047690153,0.095985413,0.063639879,0.207315445,0.111330032
hr,i_c,9_3,9,3,0.111330032,-0.015402079,0.095927954,0.096375227,0.207705259,0.111777306
hr,c_k,3_11,3,11,0.111777306,0.016288042,0.128065348,0.080252409,0.192029715,0.063964367
hr,x_e,24_5,24,5,0.112949848,0.110986471,0.223936319,0.207614899,0.320564747,0.096628428
hr,e_r,5_18,5,18,0.096628428,0.095808744,0.192437172,0.159576893,0.25620532,0.063768148
hr,r_u,18_21,18,21,0.063768148,0.032312155,0.096080303,0.112215996,0.175984144,0.079903841
hr,u_s,21_19,21,19,0.079903841,0.01624012,0.096143961,0.09637475,0.176278591,0.08013463
hr,r_i,18_9,18,9,0.079362869,0.01618433,0.095547199,0.112325907,0.191688776,0.096141577
hr,i_n,9_14,9,14,0.096141577,0.111766577,0.207908154,0.207565308,0.303706884,0.095798731
hr,n_s,14_19,14,19,0.095798731,-0.031451225,0.064347506,0.09634304,0.192141771,0.127794266
hr,s_e,19_5,19,5,0.127794266,-0.047698021,0.080096245,0.063767672,0.191561937,0.111465693
hr,h_e,8_5,8,5,0.112213612,-0.015329361,0.096884251,0.112622738,0.224836349,0.127952099
hr,e_r,5_18,5,18,0.127952099,-0.048597097,0.079355001,0.031389952,0.159342051,0.079987049
hr,r_b,18_2,18,2,0.079987049,0.016213894,0.096200943,0.128202438,0.208189487,0.111988544
hr,b_s,2_19,2,19,0.111988544,0.04774332,0.159731865,0.15984416,0.271832705,0.11210084
hr,f_o,6_15,6,15,0.080450773,0.015514135,0.095964909,0.095196247,0.17564702,0.079682112
hr,o_a,15_1,15,1,0.079682112,0.032474041,0.112156153,0.11177659,0.191458702,0.079302549
hr,a_m,1_13,1,13,0.079302549,0.03249979,0.11180234,0.144264221,0.223566771,0.111764431
hr,m_y,13_25,13,25,0.111764431,0.016103268,0.127867699,0.159815788,0.271580219,0.143712521
hr,y_a,25_1,25,1,0.096454859,0.000997543,0.097452402,0.144200087,0.240654945,0.143202543
hr,a_w,1_23,1,23,0.143202543,-0.048633337,0.094569206,0.09512496,0.238327503,0.143758297
hr,w_n,23_14,23,14,0.143758297,0.080299854,0.224058151,0.192158222,0.335916519,0.111858368
hr,n_s,14_19,14,19,0.111858368,0.016382217,0.128240585,0.112797022,0.22465539,0.096414804
hr,d_i,4_9,4,9,0.112687111,-0.032624722,0.080062389,0.016092062,0.128779173,0.048716784
hr,i_n,9_14,9,14,0.048716784,0.095803261,0.144520044,0.159754515,0.208471298,0.063951254
hr,n_g,14_7,14,7,0.063951254,-0.016289473,0.047661781,0.063943148,0.127894402,0.08023262
hr,g_o,7_15,7,15,0.08023262,0.03211689,0.11234951,0.112116814,0.192349434,0.079999924
hr,d_e,4_5,4,5,0.111995697,0.079613686,0.191609383,0.192256451,0.304252148,0.112642765
hr,e_a,5_1,5,1,0.112642765,-0.032472849,0.080169916,0.063949823,0.176592588,0.096422672
hr,a_t,1_20,1,20,0.096422672,0.031652689,0.128075361,0.12801218,0.224434853,0.096359491
hr,t_h,20_8,20,8,0.096359491,-0.032351732,0.064007759,0.047660112,0.144019604,0.080011845
hr,u_n,21_14,21,14,0.063928366,0.111484766,0.175413132,0.192114353,0.256042719,0.080629587
hr,n_z,14_26,14,26,0.080629587,0.031404734,0.112034321,0.175532341,0.256161928,0.144127607
hr,z_i,26_9,26,9,0.144127607,-0.031511545,0.112616062,0.095828772,0.239956379,0.127340317
hr,i_p,9_16,9,16,0.127340317,0.128177881,0.255518198,0.208203793,0.335544109,0.080025911
hr,d_o,4_15,4,15,0.111818314,0.048210859,0.160029173,0.207888603,0.319706917,0.159677744
hr,o_r,15_18,15,18,0.159677744,0.112118244,0.271795988,0.224252224,0.383929968,0.11213398
hr,r_k,18_11,18,11,0.11213398,0.032305002,0.144438982,0.160442591,0.272576571,0.128137589
hr,k_y,11_25,11,25,0.128137589,0.015973091,0.14411068,0.127271414,0.255409002,0.111298323
hr,t_h,20_8,20,8,0.064110994,0.016582489,0.080693483,0.112410545,0.17652154,0.095828056
hr,h_i,8_9,8,9,0.095828056,0.015874147,0.111702204,0.047635794,0.14346385,0.031761646
hr,i_c,9_3,9,3,0.031761646,0.16036725,0.192128897,0.22463274,0.256394386,0.06426549
hr,c_k,3_11,3,11,0.06426549,0.191704273,0.255969763,0.287239552,0.351505041,0.095535278
hr,n_a,14_1,14,1,0.080000639,0.064119101,0.14411974,0.192028284,0.272028923,0.127909184
hr,a_s,1_19,1,19,0.127909184,-0.032340288,0.095568895,0.128118992,0.256028175,0.16045928
hr,s_a,19_1,19,1,0.16045928,-0.031861305,0.128597975,0.080122948,0.240582228,0.111984253
hr,a_l,1_12,1,12,0.111984253,0.048057318,0.160041571,0.127942085,0.239926338,0.079884768
hr,e_m,5_13,5,13,0.095943213,0.65541482,0.751358032,0.752246857,0.848190069,0.096832037
hr,m_a,13_1,13,1,0.096832037,0.016243458,0.113075495,0.111676931,0.208508968,0.095433474
hr,a_i,1_9,1,9,0.095433474,-0.016263247,0.079170227,0.064002275,0.159435749,0.080265522
hr,i_l,9_12,9,12,0.080265522,0.367810965,0.448076487,0.447649717,0.527915239,0.079838753
hr,g_i,7_9,7,9,0.079360723,0.032468319,0.111829042,0.160327435,0.239688158,0.127859116
hr,i_p,9_16,9,16,0.127859116,-0.047658443,0.080200672,0.079966545,0.207825661,0.127624989
hr,p_s,16_19,16,19,0.127624989,0.016096115,0.143721104,0.112456799,0.240081787,0.096360683
hr,s_y,19_25,19,25,0.096360683,0.095966816,0.192327499,0.176000834,0.272361517,0.080034018
hr,w_a,23_1,23,1,0.175568819,-0.06409955,0.111469269,0.063883781,0.2394526,0.127983332
hr,a_k,1_11,1,11,0.127983332,-0.016131639,0.111851692,0.096364737,0.224348068,0.112496376
hr,k_e,11_5,11,5,0.112496376,-0.047943354,0.064553022,0.047811031,0.160307407,0.095754385
hr,e_s,5_19,5,19,0.095754385,0.031502724,0.127257109,0.128453493,0.224207878,0.096950769
hr,z_i,26_9,26,9,0.14313674,-0.031620026,0.111516714,0.032562971,0.175699711,0.064182997
