,Actual,Prediction,Accuracy,30/80 (37.5%)
0,adhy,ys,0.2741524279117584,nope
1,adhy,andy,0.40991467237472534,nope
2,adhy,hr,0.2239847332239151,nope
3,adhy,adhy,0.2653459906578064,match
4,adhy,ys,0.7076923847198486,nope
5,adhy,bryce,0.2373960018157959,nope
6,adhy,andy,0.6361531615257263,nope
7,adhy,bryce,0.23822355270385742,nope
8,adhy,ys,0.2592495381832123,nope
9,adhy,andy,0.5368603467941284,nope
10,andy,andy,0.6352394223213196,match
11,andy,adhy,0.2771470248699188,nope
12,andy,andy,0.6362589597702026,match
13,andy,andy,0.40979528427124023,match
14,andy,andy,0.6365922093391418,match
15,andy,andy,0.6358229517936707,match
16,andy,andy,0.6368566155433655,match
17,andy,hr,0.5746927261352539,nope
18,andy,andy,0.34785476326942444,match
19,andy,chris,0.21685759723186493,nope
20,bryce,adhy,0.2960353493690491,nope
21,bryce,bryce,0.2359481304883957,match
22,bryce,cy,0.3690148890018463,nope
23,bryce,bryce,0.27248820662498474,match
24,bryce,cy,0.3748045265674591,nope
25,bryce,hr,0.2768412232398987,nope
26,bryce,cy,0.33515483140945435,nope
27,bryce,bryce,0.2271602749824524,match
28,bryce,cy,0.2854737341403961,nope
29,bryce,chris,0.22572042047977448,nope
30,chris,adhy,0.2670110762119293,nope
31,chris,adhy,0.29132574796676636,nope
32,chris,adhy,0.27882254123687744,nope
33,chris,adhy,0.26924964785575867,nope
34,chris,adhy,0.25871390104293823,nope
35,chris,adhy,0.2964555025100708,nope
36,chris,adhy,0.2988910973072052,nope
37,chris,adhy,0.2916752099990845,nope
38,chris,adhy,0.29577043652534485,nope
39,chris,adhy,0.27623677253723145,nope
40,cy,ys,0.261340856552124,nope
41,cy,hr,0.28790566325187683,nope
42,cy,ys,0.459179550409317,nope
43,cy,adhy,0.27348029613494873,nope
44,cy,bryce,0.22918236255645752,nope
45,cy,cy,0.3196221590042114,match
46,cy,bryce,0.23477204144001007,nope
47,cy,jc,0.5992144346237183,nope
48,cy,bryce,0.2413024604320526,nope
49,cy,andy,0.3103940486907959,nope
50,hr,adhy,0.2942330539226532,nope
51,hr,hr,0.3524158000946045,match
52,hr,bryce,0.27722352743148804,nope
53,hr,ys,0.8026054501533508,nope
54,hr,bryce,0.26190614700317383,nope
55,hr,cy,0.3305995464324951,nope
56,hr,adhy,0.2928835451602936,nope
57,hr,jc,0.7136821150779724,nope
58,hr,bryce,0.2635713219642639,nope
59,hr,ys,0.8088480234146118,nope
60,jc,jc,0.7470527291297913,match
61,jc,ys,0.8085117936134338,nope
62,jc,jc,0.7459550499916077,match
63,jc,jc,0.7469730377197266,match
64,jc,jc,0.7417890429496765,match
65,jc,jc,0.7345455884933472,match
66,jc,ys,0.8061449527740479,nope
67,jc,jc,0.7367702126502991,match
68,jc,ys,0.7497057914733887,nope
69,jc,jc,0.5165303945541382,match
70,ys,ys,0.8078042268753052,match
71,ys,ys,0.8096535801887512,match
72,ys,ys,0.8039129972457886,match
73,ys,ys,0.8090986013412476,match
74,ys,ys,0.8072813153266907,match
75,ys,ys,0.8083478808403015,match
76,ys,ys,0.7330292463302612,match
77,ys,ys,0.3149174153804779,match
78,ys,ys,0.8101985454559326,match
79,ys,ys,0.802466094493866,match
