,Actual,Prediction,Accuracy,32/80 (40.0%)
0,adhy,bryce,0.27511125802993774,nope
1,adhy,chris,0.22799387574195862,nope
2,adhy,hr,0.475218266248703,nope
3,adhy,ys,0.8094461560249329,nope
4,adhy,chris,0.21409086883068085,nope
5,adhy,bryce,0.23560956120491028,nope
6,adhy,adhy,0.2581309676170349,match
7,adhy,ys,0.256102591753006,nope
8,adhy,adhy,0.29142993688583374,match
9,adhy,hr,0.4659807085990906,nope
10,andy,adhy,0.2933899462223053,nope
11,andy,adhy,0.29689618945121765,nope
12,andy,chris,0.23672275245189667,nope
13,andy,andy,0.6036454439163208,match
14,andy,andy,0.6199437975883484,match
15,andy,andy,0.6205885410308838,match
16,andy,andy,0.587344765663147,match
17,andy,chris,0.21980707347393036,nope
18,andy,andy,0.6364177465438843,match
19,andy,chris,0.2398427128791809,nope
20,bryce,ys,0.2757289409637451,nope
21,bryce,adhy,0.27523788809776306,nope
22,bryce,bryce,0.2750069200992584,match
23,bryce,jc,0.5971242189407349,nope
24,bryce,andy,0.3792109787464142,nope
25,bryce,bryce,0.244230255484581,match
26,bryce,adhy,0.283627450466156,nope
27,bryce,adhy,0.2675115764141083,nope
28,bryce,cy,0.32575392723083496,nope
29,bryce,hr,0.5761557221412659,nope
30,chris,bryce,0.24490484595298767,nope
31,chris,adhy,0.28076204657554626,nope
32,chris,adhy,0.2872426509857178,nope
33,chris,hr,0.22331799566745758,nope
34,chris,andy,0.6303244829177856,nope
35,chris,bryce,0.24445505440235138,nope
36,chris,adhy,0.2822337746620178,nope
37,chris,andy,0.6043729782104492,nope
38,chris,hr,0.6175524592399597,nope
39,chris,bryce,0.2732132375240326,nope
40,cy,ys,0.22897891700267792,nope
41,cy,ys,0.8053097724914551,nope
42,cy,bryce,0.23734772205352783,nope
43,cy,hr,0.5969974994659424,nope
44,cy,hr,0.6297163963317871,nope
45,cy,bryce,0.23062774538993835,nope
46,cy,adhy,0.2641772925853729,nope
47,cy,jc,0.7386718392372131,nope
48,cy,cy,0.3255295753479004,match
49,cy,bryce,0.24852213263511658,nope
50,hr,ys,0.8102255463600159,nope
51,hr,adhy,0.2694433331489563,nope
52,hr,hr,0.3919127881526947,match
53,hr,hr,0.6299432516098022,match
54,hr,bryce,0.27468904852867126,nope
55,hr,hr,0.5783581733703613,match
56,hr,adhy,0.26953229308128357,nope
57,hr,hr,0.6212262511253357,match
58,hr,cy,0.35068464279174805,nope
59,hr,hr,0.25406572222709656,match
60,jc,ys,0.8090358376502991,nope
61,jc,jc,0.7463040351867676,match
62,jc,jc,0.7463809251785278,match
63,jc,jc,0.7453969717025757,match
64,jc,jc,0.6259203553199768,match
65,jc,jc,0.7468304634094238,match
66,jc,jc,0.74642413854599,match
67,jc,ys,0.6795057058334351,nope
68,jc,jc,0.740035355091095,match
69,jc,bryce,0.25285619497299194,nope
70,ys,ys,0.7760493755340576,match
71,ys,ys,0.7881336808204651,match
72,ys,ys,0.8103362917900085,match
73,ys,ys,0.810161292552948,match
74,ys,ys,0.251333087682724,match
75,ys,ys,0.8086587190628052,match
76,ys,ys,0.6821723580360413,match
77,ys,ys,0.8102267980575562,match
78,ys,ys,0.78102046251297,match
79,ys,ys,0.7940604090690613,match
