,Actual,Prediction,Accuracy,338/720 (46.94444444444444%)
0,adhy,hr,0.9700550436973572,nope
1,adhy,hr,0.6062224507331848,nope
2,adhy,bryce,0.8798146843910217,nope
3,adhy,ys,0.9995895028114319,nope
4,adhy,ys,0.5229755640029907,nope
5,adhy,bryce,0.8843443989753723,nope
6,adhy,jc,0.9883716702461243,nope
7,adhy,bryce,0.41162577271461487,nope
8,adhy,adhy,0.7139166593551636,match
9,adhy,bryce,0.7777301669120789,nope
10,adhy,chris,0.9944568872451782,nope
11,adhy,adhy,0.8357754349708557,match
12,adhy,ys,0.5298540592193604,nope
13,adhy,ys,0.42031848430633545,nope
14,adhy,andy,0.6802265048027039,nope
15,adhy,bryce,0.9479987025260925,nope
16,adhy,chris,0.5802803635597229,nope
17,adhy,adhy,0.9989834427833557,match
18,adhy,bryce,0.8695700168609619,nope
19,adhy,chris,0.9999946355819702,nope
20,adhy,adhy,0.9980807304382324,match
21,adhy,ys,0.9984906911849976,nope
22,adhy,ys,0.8281608819961548,nope
23,adhy,bryce,0.9985685348510742,nope
24,adhy,hr,0.9450364112854004,nope
25,adhy,hr,0.998923122882843,nope
26,adhy,adhy,0.5112947821617126,match
27,adhy,bryce,0.636031985282898,nope
28,adhy,adhy,0.994297206401825,match
29,adhy,adhy,0.9996874332427979,match
30,adhy,hr,0.826344907283783,nope
31,adhy,adhy,0.9903215765953064,match
32,adhy,adhy,0.9999127388000488,match
33,adhy,chris,0.9994890689849854,nope
34,adhy,adhy,0.9661834836006165,match
35,adhy,adhy,0.6853369474411011,match
36,adhy,ys,0.9998513460159302,nope
37,adhy,ys,0.9970552921295166,nope
38,adhy,ys,0.9998464584350586,nope
39,adhy,chris,0.4914529323577881,nope
40,adhy,ys,0.9999971389770508,nope
41,adhy,ys,0.9719007015228271,nope
42,adhy,ys,0.9870844483375549,nope
43,adhy,ys,0.9999878406524658,nope
44,adhy,ys,0.9999922513961792,nope
45,adhy,adhy,0.5737689733505249,match
46,adhy,andy,0.798804521560669,nope
47,adhy,ys,0.9025033712387085,nope
48,adhy,adhy,0.9996895790100098,match
49,adhy,ys,0.9999909400939941,nope
50,adhy,andy,0.9983704686164856,nope
51,adhy,ys,0.5035856366157532,nope
52,adhy,ys,0.9871122241020203,nope
53,adhy,andy,0.9999992847442627,nope
54,adhy,adhy,0.9962873458862305,match
55,adhy,adhy,0.8702932596206665,match
56,adhy,adhy,0.9968814849853516,match
57,adhy,adhy,0.9986781477928162,match
58,adhy,ys,0.4903603494167328,nope
59,adhy,andy,0.5913415551185608,nope
60,adhy,andy,0.9998459815979004,nope
61,adhy,adhy,0.9995139837265015,match
62,adhy,adhy,0.9924588799476624,match
63,adhy,hr,0.8942496180534363,nope
64,adhy,chris,0.8990569710731506,nope
65,adhy,hr,0.7424597144126892,nope
66,adhy,hr,0.78565514087677,nope
67,adhy,jc,0.987873375415802,nope
68,adhy,hr,0.9978165626525879,nope
69,adhy,bryce,0.6839898228645325,nope
70,adhy,hr,0.7575774788856506,nope
71,adhy,bryce,0.7901478409767151,nope
72,adhy,ys,0.7981208562850952,nope
73,adhy,chris,0.7013158798217773,nope
74,adhy,hr,0.9993863105773926,nope
75,adhy,chris,0.6610960364341736,nope
76,adhy,ys,0.999947190284729,nope
77,adhy,ys,0.9832628965377808,nope
78,adhy,adhy,0.8094654083251953,match
79,adhy,jc,0.9930625557899475,nope
80,adhy,adhy,0.9999951124191284,match
81,adhy,adhy,0.9999876022338867,match
82,adhy,adhy,0.9998712539672852,match
83,adhy,adhy,0.9999614953994751,match
84,adhy,adhy,0.9999990463256836,match
85,adhy,ys,0.9562941193580627,nope
86,adhy,andy,0.9840360283851624,nope
87,adhy,adhy,0.9999990463256836,match
88,adhy,andy,0.8980096578598022,nope
89,adhy,adhy,0.9999920129776001,match
90,andy,andy,0.9999268054962158,match
91,andy,andy,0.9999886751174927,match
92,andy,andy,0.9999991655349731,match
93,andy,andy,0.9999994039535522,match
94,andy,andy,0.9999978542327881,match
95,andy,andy,0.9999971389770508,match
96,andy,andy,0.9999947547912598,match
97,andy,andy,0.9999864101409912,match
98,andy,andy,0.9996576309204102,match
99,andy,andy,0.9999986886978149,match
100,andy,andy,0.9999746084213257,match
101,andy,andy,0.9999994039535522,match
102,andy,andy,0.9999765157699585,match
103,andy,andy,0.9978539347648621,match
104,andy,andy,0.9997425675392151,match
105,andy,andy,0.7983043789863586,match
106,andy,andy,0.9999393224716187,match
107,andy,andy,0.9692801833152771,match
108,andy,andy,0.9999990463256836,match
109,andy,andy,0.9974775910377502,match
110,andy,andy,0.9999994039535522,match
111,andy,andy,0.9963862895965576,match
112,andy,andy,0.9999932050704956,match
113,andy,andy,0.8996553421020508,match
114,andy,andy,0.9556467533111572,match
115,andy,andy,0.9999984502792358,match
116,andy,andy,0.9773101806640625,match
117,andy,andy,0.9999994039535522,match
118,andy,andy,0.9999985694885254,match
119,andy,andy,0.9999613761901855,match
120,andy,andy,0.9999992847442627,match
121,andy,andy,0.9999991655349731,match
122,andy,andy,0.99909508228302,match
123,andy,andy,0.9952648878097534,match
124,andy,andy,0.9999974966049194,match
125,andy,andy,0.7901298403739929,match
126,andy,andy,0.9999995231628418,match
127,andy,andy,0.999984860420227,match
128,andy,andy,0.9999121427536011,match
129,andy,andy,0.9999990463256836,match
130,andy,andy,0.9999954700469971,match
131,andy,andy,0.967910885810852,match
132,andy,andy,0.8107553124427795,match
133,andy,andy,0.9999986886978149,match
134,andy,andy,0.9999552965164185,match
135,andy,andy,0.9999990463256836,match
136,andy,andy,0.9989426732063293,match
137,andy,andy,0.9893783926963806,match
138,andy,andy,0.9999979734420776,match
139,andy,andy,0.9999983310699463,match
140,andy,andy,0.9999909400939941,match
141,andy,andy,0.9999988079071045,match
142,andy,andy,0.9999536275863647,match
143,andy,chris,0.6963931918144226,nope
144,andy,andy,0.9999994039535522,match
145,andy,bryce,0.9580134153366089,nope
146,andy,andy,0.8871030807495117,match
147,andy,andy,0.9719269275665283,match
148,andy,bryce,0.9904001355171204,nope
149,andy,andy,0.999992847442627,match
150,andy,bryce,0.9999961853027344,nope
151,andy,bryce,0.6111218333244324,nope
152,andy,bryce,0.9998334646224976,nope
153,andy,andy,0.9999990463256836,match
154,andy,bryce,0.9999935626983643,nope
155,andy,andy,0.9911360740661621,match
156,andy,bryce,0.9920605421066284,nope
157,andy,bryce,0.9991508722305298,nope
158,andy,andy,0.9999994039535522,match
159,andy,bryce,0.9999957084655762,nope
160,andy,bryce,0.9970908164978027,nope
161,andy,hr,0.9953495860099792,nope
162,andy,andy,0.9999984502792358,match
163,andy,bryce,0.6077418327331543,nope
164,andy,andy,0.9997616410255432,match
165,andy,chris,0.9591752290725708,nope
166,andy,andy,0.9999935626983643,match
167,andy,chris,0.9995564818382263,nope
168,andy,bryce,0.982247531414032,nope
169,andy,bryce,0.6297653317451477,nope
170,andy,chris,0.9974445104598999,nope
171,andy,andy,0.9999940395355225,match
172,andy,bryce,0.87714022397995,nope
173,andy,bryce,0.7046785950660706,nope
174,andy,andy,0.7630935907363892,match
175,andy,bryce,0.9997557997703552,nope
176,andy,chris,0.9830526113510132,nope
177,andy,bryce,0.9999743700027466,nope
178,andy,bryce,0.9996700286865234,nope
179,andy,chris,0.9999752044677734,nope
180,bryce,andy,0.9852659106254578,nope
181,bryce,andy,0.9378547668457031,nope
182,bryce,cy,0.9998902082443237,nope
