,Actual,Prediction,Accuracy,390/720 (54.166666666666664%)
0,adhy,adhy,0.9864761829376221,match
1,adhy,chris,0.9999966621398926,nope
2,adhy,ys,0.9581255912780762,nope
3,adhy,chris,0.9999966621398926,nope
4,adhy,chris,0.9997478127479553,nope
5,adhy,chris,0.9999932050704956,nope
6,adhy,chris,0.9999927282333374,nope
7,adhy,chris,0.9999949932098389,nope
8,adhy,chris,0.9999964237213135,nope
9,adhy,adhy,0.9505455493927002,match
10,adhy,chris,0.6388296484947205,nope
11,adhy,adhy,0.9991942048072815,match
12,adhy,andy,0.9356958866119385,nope
13,adhy,chris,0.7222838401794434,nope
14,adhy,adhy,0.529737114906311,match
15,adhy,chris,0.9150767922401428,nope
16,adhy,chris,0.46902376413345337,nope
17,adhy,hr,0.9486662745475769,nope
18,adhy,chris,0.9999946355819702,nope
19,adhy,hr,0.966227650642395,nope
20,adhy,cy,0.9338125586509705,nope
21,adhy,chris,0.9996022582054138,nope
22,adhy,chris,0.9999880790710449,nope
23,adhy,chris,0.9999638795852661,nope
24,adhy,hr,0.7882134318351746,nope
25,adhy,chris,0.9840752482414246,nope
26,adhy,chris,0.9856660962104797,nope
27,adhy,chris,0.7568559050559998,nope
28,adhy,adhy,0.6036512851715088,match
29,adhy,cy,0.4369834065437317,nope
30,adhy,cy,0.8313801884651184,nope
31,adhy,ys,0.5367217063903809,nope
32,adhy,cy,0.5778164267539978,nope
33,adhy,cy,0.44377392530441284,nope
34,adhy,chris,0.3220967948436737,nope
35,adhy,cy,0.5024530291557312,nope
36,adhy,chris,0.9983817338943481,nope
37,adhy,adhy,0.7918059825897217,match
38,adhy,chris,0.9999525547027588,nope
39,adhy,cy,0.9933229088783264,nope
40,adhy,chris,0.9980450868606567,nope
41,adhy,adhy,0.8509688377380371,match
42,adhy,hr,0.9999765157699585,nope
43,adhy,adhy,0.9974155426025391,match
44,adhy,hr,0.9999957084655762,nope
45,adhy,chris,0.9999878406524658,nope
46,adhy,hr,0.8994495272636414,nope
47,adhy,chris,0.999997615814209,nope
48,adhy,ys,0.5567610859870911,nope
49,adhy,chris,0.9999958276748657,nope
50,adhy,chris,0.6362127065658569,nope
51,adhy,adhy,0.9924350380897522,match
52,adhy,chris,0.9999978542327881,nope
53,adhy,chris,0.9999980926513672,nope
54,adhy,adhy,0.9342790842056274,match
55,adhy,andy,0.4700545072555542,nope
56,adhy,chris,0.9999972581863403,nope
57,adhy,cy,0.5310075283050537,nope
58,adhy,chris,0.9999582767486572,nope
59,adhy,chris,0.9997063279151917,nope
60,adhy,chris,0.9997531771659851,nope
61,adhy,chris,0.9995104074478149,nope
62,adhy,chris,0.9995400905609131,nope
63,adhy,adhy,0.7782200574874878,match
64,adhy,adhy,0.6258560419082642,match
65,adhy,chris,0.7939640283584595,nope
66,adhy,cy,0.9209831953048706,nope
67,adhy,hr,0.9551870226860046,nope
68,adhy,adhy,0.9991169571876526,match
69,adhy,adhy,0.9059577584266663,match
70,adhy,adhy,0.9983338713645935,match
71,adhy,adhy,0.8664448261260986,match
72,adhy,chris,0.9999939203262329,nope
73,adhy,adhy,0.9485977292060852,match
74,adhy,chris,0.9998249411582947,nope
75,adhy,cy,0.9995704293251038,nope
76,adhy,adhy,0.9833696484565735,match
77,adhy,chris,0.9999979734420776,nope
78,adhy,adhy,0.9977099895477295,match
79,adhy,adhy,0.999186098575592,match
80,adhy,chris,0.981264591217041,nope
81,adhy,chris,0.9999953508377075,nope
82,adhy,hr,0.822510838508606,nope
83,adhy,chris,0.7687146663665771,nope
84,adhy,ys,0.3430987000465393,nope
85,adhy,hr,0.9999948740005493,nope
86,adhy,chris,0.9999973773956299,nope
87,adhy,adhy,0.885437548160553,match
88,adhy,hr,0.6011254787445068,nope
89,adhy,cy,0.8796894550323486,nope
90,andy,chris,0.9425407648086548,nope
91,andy,andy,0.9975117444992065,match
92,andy,andy,0.7970014214515686,match
93,andy,andy,0.9999699592590332,match
94,andy,andy,0.9998972415924072,match
95,andy,chris,0.99785977602005,nope
96,andy,adhy,0.9999744892120361,nope
97,andy,andy,0.9999978542327881,match
98,andy,andy,0.49971264600753784,match
99,andy,chris,0.9998818635940552,nope
100,andy,andy,0.9996819496154785,match
101,andy,andy,0.7060752511024475,match
102,andy,andy,0.9967488050460815,match
103,andy,bryce,0.6295292377471924,nope
104,andy,andy,0.9772157073020935,match
105,andy,hr,0.6166623830795288,nope
106,andy,andy,0.9371888637542725,match
107,andy,bryce,0.8526821732521057,nope
108,andy,andy,0.9854282736778259,match
109,andy,andy,0.6190642714500427,match
110,andy,andy,0.9997772574424744,match
111,andy,andy,0.9999992847442627,match
112,andy,andy,0.9944649338722229,match
113,andy,andy,0.998914361000061,match
114,andy,hr,0.7911744117736816,nope
115,andy,andy,0.9999994039535522,match
116,andy,andy,0.9583755135536194,match
117,andy,andy,0.9993284940719604,match
118,andy,andy,0.9418087601661682,match
119,andy,andy,0.9999815225601196,match
120,andy,andy,0.9999969005584717,match
121,andy,andy,0.9999988079071045,match
122,andy,andy,0.9998010993003845,match
123,andy,adhy,0.9978117346763611,nope
124,andy,andy,0.9999995231628418,match
125,andy,andy,0.9992715716362,match
126,andy,andy,0.999994158744812,match
127,andy,andy,0.9999847412109375,match
128,andy,andy,0.9999982118606567,match
129,andy,andy,0.9999945163726807,match
130,andy,andy,0.9999985694885254,match
131,andy,andy,0.999705970287323,match
132,andy,andy,0.6363331079483032,match
133,andy,andy,0.999998927116394,match
134,andy,andy,0.9999874830245972,match
135,andy,andy,0.9999886751174927,match
136,andy,bryce,0.7387844920158386,nope
137,andy,andy,0.7699576616287231,match
138,andy,andy,0.9998007416725159,match
139,andy,andy,0.9999650716781616,match
140,andy,andy,0.996849000453949,match
141,andy,adhy,0.99265456199646,nope
142,andy,bryce,0.7973654270172119,nope
143,andy,andy,0.9980092644691467,match
144,andy,chris,0.9922450184822083,nope
145,andy,andy,0.6420816779136658,match
146,andy,andy,0.9982812404632568,match
147,andy,andy,0.9834139943122864,match
148,andy,andy,0.995171844959259,match
149,andy,andy,0.9978533387184143,match
