,key,press_time,release_time
0,'r',1653895583.6511908,1653895583.810791
1,'u',1653895583.794695,1653895583.9387763
2,'n',1653895583.8748431,1653895584.0344863
3,'i',1653895584.0594027,1653895584.2188563
4,'c',1653895584.2345197,1653895584.3384006
0,'u',1653895627.1623094,1653895627.3624578
1,'n',1653895627.266725,1653895627.4267132
2,'c',1653895627.5069673,1653895627.6270275
3,'u',1653895627.7302985,1653895627.8667765
4,'t',1653895627.9075005,1653895628.0905528
0,'b',1653895630.1873193,1653895630.3230464
1,'i',1653895630.4504373,1653895630.5469086
2,'k',1653895630.6506069,1653895630.7704365
3,'e',1653895630.7313907,1653895630.930917
4,'s',1653895630.8501818,1653895631.010953
0,'w',1653895632.8025396,1653895632.9222586
1,'h',1653895632.987045,1653895633.026943
2,'o',1653895633.1710646,1653895633.2913373
3,'a',1653895633.4114249,1653895633.5703318
4,'s',1653895633.5467892,1653895633.6903534
0,'s',1653895635.6427088,1653895635.7623153
1,'t',1653895635.8026469,1653895635.9870272
2,'a',1653895636.0107284,1653895636.0903575
3,'n',1653895636.0513594,1653895636.2509344
4,'k',1653895636.4356582,1653895636.5946329
0,'s',1653895638.5623167,1653895638.7707434
1,'c',1653895638.7313764,1653895638.9713693
2,'a',1653895638.8907506,1653895639.0910246
3,'l',1653895639.2749186,1653895639.4508333
4,'p',1653895639.5704727,1653895639.6747773
0,'h',1653895642.0110059,1653895642.1944675
1,'u',1653895642.1153865,1653895642.2504945
2,'f',1653895642.4105904,1653895642.5383708
3,'f',1653895642.6354725,1653895642.7949252
4,'s',1653895642.7785392,1653895642.954694
0,'c',1653895644.8113234,1653895644.971151
1,'u',1653895645.1143372,1653895645.2515202
2,'r',1653895645.3551445,1653895645.4585788
3,'d',1653895645.6195738,1653895645.7787676
4,'y',1653895645.7949252,1653895645.85845
0,'c',1653895648.154854,1653895648.3144157
1,'o',1653895648.514798,1653895648.6829147
2,'r',1653895648.6588848,1653895648.8185656
3,'m',1653895648.8036103,1653895648.9386516
4,'s',1653895648.9622896,1653895649.1235318
0,'l',1653895651.098587,1653895651.338644
1,'o',1653895651.234408,1653895651.3787975
2,'s',1653895651.3145595,1653895651.459142
3,'s',1653895651.5224621,1653895651.64276
4,'y',1653895651.7792397,1653895651.9388685
0,'o',1653895654.1783667,1653895654.3398376
1,'f',1653895654.282822,1653895654.4197834
2,'f',1653895654.4988055,1653895654.6025217
3,'e',1653895654.6420038,1653895654.8267384
4,'r',1653895654.802769,1653895654.9627473
0,'t',1653895657.1789367,1653895657.4027784
1,'e',1653895657.2989733,1653895657.4586627
2,'m',1653895657.442975,1653895657.5867949
3,'p',1653895657.6668787,1653895657.7869499
4,'t',1653895657.7465854,1653895657.906807
0,'p',1653895660.1236296,1653895660.2421923
1,'a',1653895660.2586243,1653895660.4263773
2,'e',1653895660.522802,1653895660.682555
3,'a',1653895662.7233324,1653895662.8825226
4,'n',1653895662.923476,1653895663.083164
0,'c',1653895666.7307546,1653895666.9063184
1,'l',1653895666.890342,1653895667.1306853
2,'o',1653895667.050901,1653895667.234676
3,'v',1653895667.1708162,1653895667.3704648
4,'e',1653895667.2907033,1653895667.4502525
0,'m',1653895671.1786268,1653895671.362606
1,'i',1653895671.3387747,1653895671.5464942
