Subject,Sequence,T2-D|0,T2-I|0+1,T2-PF|0+1,T2-RF|0+1,T2-NG|0+1,T2-D|1,T2-I|1+2,T2-PF|1+2,T2-RF|1+2,T2-NG|1+2,T2-D|2,T2-I|2+3,T2-PF|2+3,T2-RF|2+3,T2-NG|2+3,T2-D|3,T2-I|3+4,T2-PF|3+4,T2-RF|3+4,T2-NG|3+4,T2-D|4,T2-D|S,T2-I|S,T2-PF|S,T2-RF|S,T2-NG|S,T2-D|M,T2-I|M,T2-PF|M,T2-RF|M,T2-DT-M,T2-D|VAR,T2-I|VAR,T2-PF|VAR,T2-RF|VAR,T2-DT-VAR,T2-D|SD,T2-I|SD,T2-PF|SD,T2-RF|SD,T2-NG|SD,T3-I|0+2,T3-PF|0+2,T3-RF|0+2,T3-NG|0+2,T3-I|1+3,T3-PF|1+3,T3-RF|1+3,T3-NG|1+3,T3-I|2+4,T3-PF|2+4,T3-RF|2+4,T3-NG|2+4,T3-I|S,T3-PF|S,T3-RF|S,T3-NG|S,T3-I|M,T3-PF|M,T3-RF|M,T3-NG|M,T3-I|VAR,T3-PF|VAR,T3-RF|VAR,T3-NG|VAR,T3-I|SD,T3-PF|SD,T3-RF|SD,T3-NG|SD,T4-I|0+3,T4-PF|0+3,T4-RF|0+3,T4-NG|0+3,T4-I|1+4,T4-PF|1+4,T4-RF|1+4,T4-NG|1+4,T4-I|S,T4-PF|S,T4-RF|S,T4-NG|S,T4-I|M,T4-PF|M,T4-RF|M,T4-NG|M,T4-I|VAR,T4-PF|VAR,T4-RF|VAR,T4-NG|VAR,T4-I|SD,T4-PF|SD,T4-RF|SD,T4-NG|SD,T5-I|0+4,T5-PF|0+4,T5-RF|0+4,T5-NG|0+4
adhy,apish,0.176623821,-0.08123517,0.095388651,0.054187536,0.230811357,0.135422707,-0.079057693,0.056365013,0.104668379,0.240091085,0.183726072,-0.039488316,0.144237757,0.07209754,0.255823612,0.111585855,-0.047672987,0.063912868,0.040199995,0.151785851,0.087872982,0.695231438,-0.247454166,0.359904289,0.27115345,0.878511906,0.139046288,-0.061863542,0.089976072,0.067788363,0.219627976,0.001698567,0.00045764,0.001594207,0.000774935,0.002152162,0.041213672,0.021392533,0.039927519,0.027837655,0.046391396,-0.024870157,0.151753664,0.158855915,0.335479736,0.065180063,0.20060277,0.176765919,0.312188625,0.024424553,0.208150625,0.112297535,0.296023607,0.064734459,0.560507059,0.447919369,0.943691969,0.021578153,0.186835686,0.149306456,0.31456399,0.002033337,0.000937304,0.001107437,0.000393428,0.045092539,0.030615417,0.03327818,0.019835027,0.119367599,0.295991421,0.230953455,0.407577276,0.129092932,0.264515638,0.216965914,0.35238862,0.248460531,0.560507059,0.447919369,0.759965897,0.124230266,0.28025353,0.223959684,0.379982948,4.73E-05,0.000495362,9.78E-05,0.001522894,0.006876848,0.022256739,0.009890685,0.039024273,0.183280468,0.359904289,0.27115345,0.447777271
adhy,aargh,0.120374203,0.072112322,0.192486525,0.239214897,0.3595891,0.167102575,-0.032173872,0.134928703,0.088336945,0.25543952,0.120510817,0.152549982,0.273060799,0.296539068,0.417049885,0.143989086,-0.055994272,0.087994814,0.047238111,0.191227198,0.103232384,0.655209064,0.13649416,0.68847084,0.671329021,1.223305702,0.131041813,0.03412354,0.17211771,0.167832255,0.305826426,0.000616519,0.009328179,0.006354693,0.014174459,0.010310969,0.024829794,0.096582498,0.07971633,0.119056537,0.101542941,0.207041025,0.327415228,0.327551842,0.447926044,0.240886927,0.407989502,0.384876013,0.551978588,0.240544796,0.361055613,0.34377718,0.464287996,0.688472748,1.096460342,1.056205034,1.464192629,0.229490916,0.365486781,0.352068345,0.48806421,0.000378027,0.00163778,0.000873073,0.003130714,0.019442928,0.040469493,0.029547804,0.055952785,0.480101824,0.600476027,0.62409091,0.744465113,0.328881741,0.495984316,0.432114124,0.5992167,0.808983564,1.096460342,1.056205034,1.343681812,0.404491782,0.548230171,0.528102517,0.671840906,0.011433757,0.005459259,0.018427543,0.010548551,0.106928746,0.073886797,0.135748087,0.102706138,0.568096638,0.68847084,0.671329021,0.791703224
adhy,terry,0.103402615,-0.015979052,0.087423563,0.152002811,0.255405426,0.167981863,-0.032004356,0.135977507,0.040002346,0.207984209,0.072006702,0.063995838,0.136002541,0.176452398,0.248459101,0.11245656,-0.040055513,0.072401047,0.016071796,0.128528357,0.05612731,0.51197505,-0.024043083,0.431804657,0.384529352,0.840377092,0.10239501,-0.006010771,0.107951164,0.096132338,0.210094273,0.001867009,0.002278334,0.00108585,0.006377696,0.003394137,0.043208896,0.0477319,0.032952232,0.079860479,0.058259224,0.119998455,0.22340107,0.192005157,0.295407772,0.103998184,0.271980047,0.216454744,0.384436607,0.136396885,0.208403587,0.192524195,0.264530897,0.360393524,0.703784704,0.600984097,0.944375277,0.120131175,0.234594901,0.200328032,0.314791759,0.000262432,0.001104468,0.00019512,0.003876149,0.016199758,0.033233537,0.013968553,0.062258727,0.256000996,0.35940361,0.368457556,0.47186017,0.176399231,0.344381094,0.232526541,0.400508404,0.432400227,0.703784704,0.600984097,0.872368574,0.216200113,0.351892352,0.300492048,0.436184287,0.00316822,0.000112838,0.00923862,0.002545537,0.056286948,0.010622523,0.096117742,0.050453318,0.328402042,0.431804657,0.384529352,0.487931967
adhy,decaf,0.095771074,0.079565763,0.175336838,0.175467014,0.271238089,0.095901251,0.121074438,0.216975689,0.225237131,0.321138382,0.104162693,0.054997683,0.159160376,0.167756557,0.27191925,0.112758875,-0.048654318,0.064104557,0.080107927,0.192866802,0.128762245,0.537356138,0.206983566,0.615577459,0.64856863,1.057162523,0.107471228,0.051745892,0.153894365,0.162142158,0.264290631,0.000190743,0.005223723,0.004176325,0.003639888,0.002813164,0.013810965,0.072275327,0.064624489,0.060331484,0.053039272,0.296541452,0.392312527,0.400704145,0.49647522,0.280234814,0.376136065,0.392993689,0.488894939,0.11910224,0.223264933,0.247864485,0.352027178,0.695878506,0.991713524,1.041562319,1.337397337,0.231959502,0.330571175,0.34718744,0.445799112,0.009619048,0.008701392,0.00741365,0.006609247,0.098076745,0.09328125,0.086102554,0.081297275,0.455701828,0.551472902,0.568460703,0.664231777,0.344339371,0.440240622,0.473101616,0.569002867,0.800041199,0.991713524,1.041562319,1.233234644,0.400020599,0.495856762,0.520781159,0.616617322,0.006200798,0.00618631,0.004546678,0.004534273,0.078745149,0.0786531,0.067429057,0.067337008,0.519806385,0.615577459,0.64856863,0.744339705
adhy,muser,0.112793207,0.087803125,0.200596333,0.192013979,0.304807186,0.104210854,0.071961164,0.176172018,0.239965677,0.344176531,0.168004513,-0.111994505,0.056010008,0.05629158,0.224296093,0.168286085,-0.040011883,0.128274202,0.031375647,0.199661732,0.071387529,0.624682188,0.007757902,0.561052561,0.519646883,1.072941542,0.124936438,0.001939476,0.14026314,0.129911721,0.268235385,0.001794636,0.009005491,0.004057289,0.010365949,0.004579187,0.042363146,0.094897263,0.063696851,0.101813304,0.067669692,0.263975143,0.376768351,0.431979656,0.544772863,0.127971172,0.232182026,0.296257257,0.400468111,0.016279697,0.18428421,0.087667227,0.25567174,0.408226013,0.793234587,0.81590414,1.200912714,0.136075338,0.264411529,0.271968047,0.400304238,0.015387517,0.010041592,0.030080237,0.020894885,0.124046429,0.100207743,0.173436549,0.144550632,0.319985151,0.432778358,0.488271236,0.601064444,0.256245375,0.360456228,0.327632904,0.431843758,0.576230526,0.793234587,0.81590414,1.032908201,0.288115263,0.396617293,0.40795207,0.516454101,0.00203138,0.002615245,0.012902337,0.01431782,0.045070828,0.051139469,0.113588454,0.119657095,0.448259354,0.561052561,0.519646883,0.63244009
adhy,whelk,0.120259285,-0.039927006,0.080332279,0.080972672,0.201231956,0.120899677,-0.03299427,0.087905407,0.087002993,0.20790267,0.119997263,-0.01698637,0.103010893,0.112090588,0.232087851,0.129076958,-0.06448102,0.064595938,0.039022923,0.16809988,0.103503942,0.593737125,-0.154388666,0.335844517,0.319089174,0.809322357,0.118747425,-0.038597167,0.083961129,0.079772294,0.202330589,8.69E-05,0.000390054,0.000255543,0.000919569,0.000696497,0.009321253,0.019749779,0.015985723,0.030324398,0.02639123,0.047978401,0.168237686,0.167975664,0.288234949,0.070016623,0.1909163,0.19909358,0.319993258,0.047609568,0.167606831,0.15111351,0.271110773,0.165604591,0.526760817,0.518182755,0.87933898,0.05520153,0.175586939,0.172727585,0.293112993,0.000164649,0.000176341,0.000592457,0.000615221,0.012831571,0.013279363,0.024340447,0.024803645,0.150989294,0.271248579,0.280066252,0.400325537,0.13461256,0.255512238,0.238116503,0.35901618,0.285601854,0.526760817,0.518182755,0.759341717,0.142800927,0.263380408,0.259091377,0.379670858,0.000134099,0.000123816,0.000879891,0.000853231,0.0115801,0.011127274,0.029662952,0.029210126,0.215585232,0.335844517,0.319089174,0.439348459
adhy,khans,0.11987114,0.03976512,0.159636259,0.143553972,0.263425112,0.103788853,0.016000032,0.119788885,0.121629953,0.225418806,0.105629921,-0.03406477,0.071565151,0.046263218,0.151893139,0.080327988,0.031653881,0.111981869,0.104976654,0.185304642,0.073322773,0.482940674,0.053354263,0.462972164,0.416423798,0.826041698,0.096588135,0.013338566,0.115743041,0.104105949,0.206510425,0.000370343,0.001095991,0.001302939,0.001736592,0.002343181,0.019244298,0.033105756,0.036096241,0.041672441,0.04840641,0.159554005,0.279425144,0.265183926,0.385055065,0.087565184,0.191354036,0.167893171,0.271682024,0.077917099,0.18354702,0.151239872,0.256869793,0.325036287,0.6543262,0.584316969,0.913606882,0.108345429,0.218108733,0.194772323,0.304535627,0.00199001,0.002835014,0.003787678,0.004917385,0.044609529,0.05324485,0.061544118,0.070124072,0.231119156,0.350990295,0.311447144,0.431318283,0.199547052,0.303335905,0.272869825,0.376658678,0.430666208,0.6543262,0.584316969,0.807976961,0.215333104,0.3271631,0.292158484,0.403988481,0.000498399,0.00113547,0.000744105,0.001493836,0.022324848,0.033696743,0.027278283,0.038650177,0.343101025,0.462972164,0.416423798,0.536294937
adhy,scald,0.103997707,0.071568251,0.175565958,0.223658085,0.327655792,0.152089834,-0.016026497,0.136063337,0.111526966,0.2636168,0.127553463,-0.048214436,0.079339027,0.031924248,0.159477711,0.080138683,0.024403334,0.104542017,0.120069981,0.200208664,0.095666647,0.559446335,0.031730652,0.49551034,0.487179279,0.950958967,0.111889267,0.007932663,0.123877585,0.12179482,0.237739742,0.000798751,0.002682436,0.001725909,0.006187083,0.005429349,0.028262176,0.051792242,0.041544064,0.078658012,0.073684113,0.207631588,0.311629295,0.335185051,0.439182758,0.063312531,0.215402365,0.143451214,0.295541048,0.056327581,0.183881044,0.151994228,0.279547691,0.3272717,0.710912704,0.630630493,1.014271498,0.109090567,0.236970901,0.210210164,0.338090499,0.007294947,0.004428805,0.011732287,0.007728681,0.085410462,0.066549269,0.108315684,0.087912914,0.286970615,0.390968323,0.367109299,0.471107006,0.167854548,0.319944382,0.263521194,0.415611029,0.454825163,0.710912704,0.630630493,0.886718035,0.227412581,0.355456352,0.315315247,0.443359017,0.007094319,0.0025222,0.005365248,0.001539902,0.084227779,0.05022151,0.073247851,0.039241582,0.391512632,0.49551034,0.487179279,0.591176987
adhy,idiom,0.127634764,0.015995264,0.143630028,0.127894878,0.255529642,0.111899614,-0.064131021,0.047768593,0.055043459,0.166943073,0.11917448,0.129145622,0.248320103,0.264815569,0.383990049,0.135669947,-0.048068047,0.0876019,0.048164129,0.183834076,0.096232176,0.590610981,0.032941818,0.527320623,0.495918036,0.990296841,0.118122196,0.008235455,0.131830156,0.123979509,0.24757421,0.000229353,0.007695491,0.00757721,0.010116759,0.009745585,0.015144416,0.08772395,0.08704717,0.1005821,0.09871973,0.063763857,0.191398621,0.182938337,0.310573101,0.184189081,0.296088696,0.319859028,0.431758642,0.216747522,0.335922003,0.312979698,0.432154179,0.46470046,0.823409319,0.815777063,1.174485922,0.154900153,0.274469773,0.271925688,0.391495307,0.006494381,0.005572285,0.005950893,0.004911342,0.080587725,0.074647742,0.077142029,0.070080965,0.31208396,0.439718723,0.447753906,0.57538867,0.271790981,0.383690596,0.368023157,0.479922771,0.583874941,0.823409319,0.815777063,1.055311441,0.29193747,0.411704659,0.407888532,0.527655721,0.000811762,0.001569576,0.003178496,0.004556869,0.028491438,0.039617869,0.056378153,0.067504584,0.39968586,0.527320623,0.495918036,0.623552799
adhy,honer,0.128284454,-0.024165392,0.104119062,0.127563477,0.255847931,0.151728868,0.040316582,0.19204545,0.135299921,0.28702879,0.094983339,0.02400136,0.118984699,0.144643068,0.239626408,0.120641708,-0.039726257,0.080915451,0.056133986,0.176775694,0.095860243,0.591498613,0.000426292,0.496064663,0.463640451,0.959278822,0.118299723,0.000106573,0.124016166,0.115910113,0.239819705,0.000567468,0.001454529,0.002302289,0.001636845,0.002153395,0.023821584,0.038138294,0.047982169,0.040457936,0.046404692,0.167880058,0.296164513,0.262863398,0.391147852,0.159301281,0.311030149,0.279942989,0.431671858,0.104916811,0.19990015,0.200777054,0.295760393,0.43209815,0.807094812,0.743583441,1.118580103,0.144032717,0.269031604,0.247861147,0.372860034,0.001165939,0.003639615,0.001735612,0.004868815,0.034145855,0.060329224,0.041660677,0.069776893,0.286864758,0.415149212,0.407506466,0.53579092,0.240216732,0.391945601,0.336076975,0.487805843,0.52708149,0.807094812,0.743583441,1.023596764,0.263540745,0.403547406,0.37179172,0.511798382,0.001088019,0.000269204,0.002551086,0.001151284,0.032985135,0.016407431,0.050508277,0.033930573,0.367780209,0.496064663,0.463640451,0.591924906
