Subject,Sequence,T2-D|0,T2-I|0+1,T2-PF|0+1,T2-RF|0+1,T2-NG|0+1,T2-D|1,T2-I|1+2,T2-PF|1+2,T2-RF|1+2,T2-NG|1+2,T2-D|2,T2-I|2+3,T2-PF|2+3,T2-RF|2+3,T2-NG|2+3,T2-D|3,T2-I|3+4,T2-PF|3+4,T2-RF|3+4,T2-NG|3+4,T2-D|4,T2-D|S,T2-I|S,T2-PF|S,T2-RF|S,T2-NG|S,T2-D|M,T2-I|M,T2-PF|M,T2-RF|M,T2-DT-M,T2-D|VAR,T2-I|VAR,T2-PF|VAR,T2-RF|VAR,T2-DT-VAR,T2-D|SD,T2-I|SD,T2-PF|SD,T2-RF|SD,T2-NG|SD,T3-I|0+2,T3-PF|0+2,T3-RF|0+2,T3-NG|0+2,T3-I|1+3,T3-PF|1+3,T3-RF|1+3,T3-NG|1+3,T3-I|2+4,T3-PF|2+4,T3-RF|2+4,T3-NG|2+4,T3-I|S,T3-PF|S,T3-RF|S,T3-NG|S,T3-I|M,T3-PF|M,T3-RF|M,T3-NG|M,T3-I|VAR,T3-PF|VAR,T3-RF|VAR,T3-NG|VAR,T3-I|SD,T3-PF|SD,T3-RF|SD,T3-NG|SD,T4-I|0+3,T4-PF|0+3,T4-RF|0+3,T4-NG|0+3,T4-I|1+4,T4-PF|1+4,T4-RF|1+4,T4-NG|1+4,T4-I|S,T4-PF|S,T4-RF|S,T4-NG|S,T4-I|M,T4-PF|M,T4-RF|M,T4-NG|M,T4-I|VAR,T4-PF|VAR,T4-RF|VAR,T4-NG|VAR,T4-I|SD,T4-PF|SD,T4-RF|SD,T4-NG|SD,T5-I|0+4,T5-PF|0+4,T5-RF|0+4,T5-NG|0+4
cy,abuzz,0.126827955,-0.04253459,0.084293365,0.063298225,0.190126181,0.105832815,-0.052041769,0.053791046,0.080946445,0.186779261,0.132988214,0.053049088,0.186037302,0.115315676,0.24830389,0.062266588,0.102195978,0.164462566,0.164803267,0.227069855,0.062607288,0.490522861,0.060668707,0.48858428,0.424363613,0.852279186,0.098104572,0.015167177,0.12214607,0.106090903,0.213069797,0.001161511,0.005618529,0.003992671,0.001998565,0.000885015,0.034080952,0.074956849,0.063187583,0.044705313,0.0297492,0.011256456,0.138084412,0.144244671,0.271072626,0.133995533,0.239828348,0.196262121,0.302094936,0.217511654,0.350499868,0.280118942,0.413107157,0.362763643,0.728412628,0.620625734,0.986274719,0.120921214,0.242804209,0.206875245,0.32875824,0.010763505,0.011286723,0.004699933,0.005576651,0.103747313,0.106238992,0.068556059,0.074676976,0.197293758,0.324121714,0.259560347,0.386388302,0.298458099,0.404290915,0.361065388,0.466898203,0.495751858,0.728412628,0.620625734,0.853286505,0.247875929,0.364206314,0.310312867,0.426643252,0.005117112,0.00321355,0.005151637,0.003240922,0.071533992,0.056688186,0.071774903,0.056929097,0.361756325,0.48858428,0.424363613,0.551191568
cy,unmet,0.065001726,-0.037000418,0.028001308,0.042853832,0.107855558,0.07985425,0.124618769,0.204473019,0.197850227,0.277704477,0.073231459,-0.006905079,0.06632638,0.160619974,0.233851433,0.167525053,-0.011001348,0.156523705,0.092502117,0.26002717,0.103503466,0.489115953,0.069711924,0.455324411,0.493826151,0.879438639,0.097823191,0.017427981,0.113831103,0.123456538,0.21985966,0.001723875,0.005284213,0.006554022,0.004790171,0.005900047,0.041519573,0.072692595,0.080956917,0.069211064,0.076811762,0.167472601,0.232474327,0.24070406,0.305705786,0.190945148,0.270799398,0.358470201,0.438324451,0.149618626,0.222850084,0.253122091,0.32635355,0.508036375,0.72612381,0.852296352,1.070383787,0.169345458,0.24204127,0.284098784,0.356794596,0.000429601,0.000643429,0.004186883,0.005091921,0.02072682,0.025365902,0.064706125,0.071357695,0.233798981,0.298800707,0.401324034,0.46632576,0.347468853,0.427323103,0.450972319,0.530826569,0.581267834,0.72612381,0.852296352,0.997152328,0.290633917,0.363061905,0.426148176,0.498576164,0.00646042,0.008259003,0.001232476,0.002080177,0.080376738,0.090879058,0.035106639,0.045608959,0.390322685,0.455324411,0.493826151,0.558827877
cy,paddy,0.081905127,-0.019779205,0.062125921,0.15778327,0.239688396,0.177562475,-0.019405603,0.158156872,0.024037123,0.201599598,0.043442726,0.105426073,0.148868799,0.135515213,0.178957939,0.03008914,0.066032648,0.096121788,0.116647959,0.146737099,0.050615311,0.383614779,0.132273912,0.46527338,0.433983564,0.766983032,0.076722956,0.033068478,0.116318345,0.108495891,0.191745758,0.00353984,0.003956222,0.002051571,0.00345301,0.001528301,0.059496553,0.062898503,0.045294275,0.058762316,0.039093488,0.138377666,0.220282793,0.181820393,0.263725519,0.129463196,0.307025671,0.159552336,0.337114811,0.201547861,0.244990587,0.252163172,0.295605898,0.469388723,0.772299051,0.5935359,0.896446228,0.156462908,0.257433017,0.1978453,0.298815409,0.001544357,0.001997192,0.00233679,0.001354223,0.039298304,0.044689957,0.048340356,0.036799766,0.287246466,0.369151592,0.317335606,0.399240732,0.225584984,0.403147459,0.276200294,0.45376277,0.51283145,0.772299051,0.5935359,0.853003502,0.256415725,0.386149526,0.29676795,0.426501751,0.001901069,0.000577859,0.000846057,0.001486326,0.043601252,0.024038708,0.029087057,0.038552902,0.383368254,0.46527338,0.433983564,0.515888691
cy,zesty,0.214201212,-0.041036129,0.173165083,0.142081261,0.356282473,0.18311739,0.080001831,0.263119221,0.374498129,0.557615519,0.294496298,-0.030619383,0.263876915,0.140830755,0.435327053,0.171450138,0.03805542,0.209505558,0.110089064,0.281539202,0.072033644,0.935298681,0.046401739,0.909666777,0.767499208,1.630764246,0.187059736,0.011600435,0.227416694,0.191874802,0.407691061,0.00644237,0.003310579,0.001956021,0.015041693,0.013932742,0.080264373,0.057537634,0.044226931,0.122644579,0.118037036,0.222083092,0.436284304,0.51657939,0.730780602,0.343878746,0.526996136,0.515328884,0.698446274,0.178886175,0.473382473,0.250919819,0.545416117,0.744848013,1.436662912,1.282828093,1.974642992,0.248282671,0.478887637,0.427609364,0.658214331,0.007320451,0.002079889,0.023414788,0.009803955,0.085559632,0.045605803,0.153018912,0.099014923,0.485960007,0.700161219,0.657410145,0.871611357,0.553384304,0.736501694,0.625417948,0.808535337,1.039344311,1.436662912,1.282828093,1.680146694,0.519672155,0.718331456,0.641414046,0.840073347,0.002273018,0.000660315,0.00051175,0.001989292,0.047676178,0.025696596,0.022621899,0.044601481,0.695465565,0.909666777,0.767499208,0.98170042
cy,buzzy,0.146262646,-0.055189371,0.091073275,0.230271101,0.376533747,0.285460472,-0.190795898,0.094664574,-0.097868919,0.187591553,0.092926979,0.086873531,0.17980051,0.178873062,0.271800041,0.091999531,0.02603054,0.118030071,0.10166955,0.193669081,0.075639009,0.692288637,-0.133081198,0.48356843,0.412944794,1.029594421,0.138457727,-0.033270299,0.120892107,0.103236198,0.257398605,0.007462082,0.014415297,0.001685146,0.020768175,0.007778353,0.086383343,0.120063719,0.041050528,0.144111675,0.088194974,0.039475203,0.185737848,0.132402182,0.278664827,-0.010995388,0.274465084,0.081004143,0.366464615,0.204903603,0.297830582,0.280542612,0.373469591,0.233383417,0.758033514,0.493948936,1.018599033,0.077794472,0.252677838,0.164649645,0.339533011,0.012754368,0.003497208,0.010733824,0.002790969,0.11293524,0.059137199,0.103604172,0.052829625,0.219275713,0.365538359,0.311275244,0.457537889,0.107034683,0.392495155,0.182673693,0.468134165,0.326310396,0.758033514,0.493948936,0.925672054,0.163155198,0.379016757,0.246974468,0.462836027,0.006299024,0.000363334,0.008269179,5.61E-05,0.079366393,0.019061334,0.090935029,0.007492698,0.337305784,0.48356843,0.412944794,0.559207439
cy,assay,0.098250151,0.081012011,0.179262161,0.129012585,0.227262735,0.048000574,0.083837509,0.131838083,0.207999945,0.256000519,0.124162436,-0.015588999,0.108573437,0.084198713,0.208361149,0.099787712,-0.021957159,0.077830553,0.087174654,0.186962366,0.109131813,0.479332685,0.127303362,0.497504234,0.508385897,0.878586769,0.095866537,0.03182584,0.124376059,0.127096474,0.219646692,0.000822208,0.003421757,0.001828124,0.003327671,0.000858411,0.028674174,0.058495786,0.042756571,0.057685968,0.029298655,0.212850094,0.311100245,0.337012529,0.43526268,0.192410946,0.24041152,0.292198658,0.340199232,0.062241554,0.18640399,0.171373367,0.295535803,0.467502594,0.737915754,0.800584555,1.070997715,0.155834198,0.245971918,0.266861518,0.356999238,0.006674127,0.003910478,0.007340561,0.00509258,0.08169533,0.062533811,0.085677074,0.071362316,0.321423531,0.419673681,0.421211243,0.519461393,0.270241499,0.318242073,0.379373312,0.427373886,0.59166503,0.737915754,0.800584555,0.946835279,0.295832515,0.368957877,0.400292277,0.47341764,0.0013098,0.005144186,0.000875206,0.004240054,0.036191162,0.071722978,0.029583884,0.065115701,0.399254084,0.497504234,0.508385897,0.606636047
cy,sinks,0.14199996,-0.047000647,0.094999313,0.027000666,0.169000626,0.074001312,-0.037002087,0.036999226,0.065235376,0.139236689,0.102237463,0.127265215,0.229502678,0.23765254,0.339890003,0.110387325,0.029034138,0.139421463,0.150301695,0.26068902,0.121267557,0.549893618,0.072296619,0.50092268,0.480190277,0.908816338,0.109978724,0.018074155,0.12523067,0.120047569,0.227204084,0.000626816,0.006436977,0.006590918,0.008802781,0.008315088,0.025036301,0.080230773,0.081184467,0.093823139,0.091187102,-0.010001421,0.131998539,0.092236042,0.234236002,0.192500591,0.266501904,0.302887917,0.376889229,0.266686678,0.368924141,0.387954235,0.490191698,0.449185848,0.767424583,0.783078194,1.101316929,0.149728616,0.255808194,0.261026065,0.367105643,0.020511157,0.014119202,0.023176623,0.016450119,0.143217169,0.118824247,0.152238705,0.128258015,0.219501257,0.361501217,0.329888582,0.471888542,0.331922054,0.405923367,0.453189611,0.527190924,0.551423311,0.767424583,0.783078194,0.999079466,0.275711656,0.383712292,0.391539097,0.499539733,0.006319218,0.000986664,0.007601572,0.001529177,0.079493508,0.031411203,0.087186994,0.039104689,0.35892272,0.50092268,0.480190277,0.622190237
cy,mossy,0.139091969,-0.037008762,0.102083206,0.149896383,0.288988352,0.186905146,-0.01898694,0.167918205,0.033004761,0.219909906,0.051991701,0.07047534,0.122467041,0.138821602,0.190813303,0.068346262,0.018174171,0.086520433,0.081058264,0.149404526,0.062884092,0.50921917,0.032653809,0.478988886,0.40278101,0.849116087,0.101843834,0.008163452,0.119747221,0.100695252,0.212279022,0.003437009,0.002253553,0.001247959,0.002947328,0.003452177,0.058626006,0.047471601,0.035326468,0.054289298,0.05875523,0.130909443,0.270001411,0.182901144,0.321993113,0.103480101,0.290385246,0.171826363,0.358731508,0.156995773,0.208987474,0.219879866,0.271871567,0.391385317,0.769374132,0.574607372,0.952596188,0.130461772,0.256458044,0.191535791,0.317532063,0.000716132,0.001793966,0.000633203,0.001901088,0.026760645,0.042355241,0.025163518,0.043601469,0.253376484,0.392468452,0.321722746,0.460814714,0.190000534,0.37690568,0.252884626,0.439789772,0.443377018,0.769374132,0.574607372,0.900604486,0.221688509,0.384687066,0.287303686,0.450302243,0.002008256,0.0001211,0.002369343,0.000221024,0.044813564,0.011004542,0.048675901,0.014866879,0.339896917,0.478988886,0.40278101,0.541872978
cy,arise,0.214376688,-0.057341576,0.157035112,0.099143028,0.313519716,0.156484604,-0.030000448,0.126484156,0.092004061,0.248488665,0.122004509,0.087362528,0.209367037,0.249279261,0.37128377,0.161916733,-0.061793566,0.100123167,0.065828562,0.227745295,0.127622128,0.782404661,-0.061773062,0.593009472,0.506254911,1.161037445,0.156480932,-0.015443265,0.148252368,0.126563728,0.290259361,0.00135073,0.00489492,0.002200805,0.006898043,0.004252933,0.036752282,0.069963708,0.046912736,0.083054456,0.065214514,0.06914258,0.283519268,0.191147089,0.405523777,0.179366589,0.335851192,0.341283321,0.497767925,0.187485695,0.309490204,0.315107822,0.437112331,0.435994864,0.928860664,0.847538233,1.340404034,0.145331621,0.309620221,0.282512744,0.446801345,0.004370057,0.00068467,0.006432051,0.002197653,0.06610641,0.026166204,0.080200071,0.046879137,0.278509617,0.492886305,0.44042635,0.654803038,0.279489756,0.43597436,0.407111883,0.563596487,0.557999372,0.928860664,0.847538233,1.218399525,0.278999686,0.464430332,0.423769116,0.609199762,4.80E-07,0.001619485,0.000554927,0.004159317,0.000693063,0.040242822,0.023556885,0.06449277,0.378632784,0.593009472,0.506254911,0.720631599
cy,slump,0.134961128,-0.073020458,0.06194067,0.057669163,0.192630291,0.130689621,0.040552855,0.171242476,0.107311726,0.238001347,0.066758871,0.189669847,0.256428719,0.302998304,0.369757175,0.113328457,-0.047296524,0.066031933,0.056002617,0.169331074,0.103299141,0.549037218,0.10990572,0.555643797,0.52398181,0.969719887,0.109807444,0.02747643,0.138910949,0.130995452,0.242429972,0.000744177,0.014056106,0.008697176,0.013715523,0.008018429,0.027279609,0.118558448,0.093258652,0.117113293,0.08954568,0.098222017,0.233183146,0.164980888,0.299942017,0.296981573,0.427671194,0.41031003,0.540999651,0.25570178,0.322460651,0.359000921,0.425759792,0.650905371,0.983314991,0.93429184,1.26670146,0.216968457,0.327771664,0.311430613,0.42223382,0.011001543,0.009477555,0.016743798,0.01453652,0.104888241,0.097352737,0.129397827,0.120567492,0.354650736,0.489611864,0.467979193,0.602940321,0.363013506,0.493703127,0.466312647,0.597002268,0.717664242,0.983314991,0.93429184,1.199942589,0.358832121,0.491657495,0.46714592,0.599971294,3.50E-05,8.37E-06,1.39E-06,1.76E-05,0.005913371,0.00289296,0.001178426,0.004198838,0.420682669,0.555643797,0.52398181,0.658942938
