,key,press_time,release_time
0,'w',1653567122.864751,1653567122.9759653
1,'e',1653567122.9444735,1653567123.0404186
2,'n',1653567123.0720937,1653567123.1839654
3,'c',1653567123.2002916,1653567123.2968173
4,'h',1653567123.2806695,1653567123.3449073
0,'e',1653567126.0170038,1653567126.144182
1,'a',1653567126.1127117,1653567126.2729564
2,'r',1653567126.2567182,1653567126.369007
3,'l',1653567126.4168086,1653567126.4963682
4,'y',1653567126.5127342,1653567126.6407325
0,'r',1653567128.8803356,1653567128.976496
1,'e',1653567128.9280202,1653567129.039924
2,'l',1653567129.0561645,1653567129.1844049
3,'a',1653567129.168206,1653567129.312899
4,'x',1653567129.3283308,1653567129.4246626
0,'q',1653567131.2489758,1653567131.3450856
1,'u',1653567131.360848,1653567131.5045235
2,'i',1653567131.4568334,1653567131.5681634
3,'c',1653567131.5527613,1653567131.6645386
4,'k',1653567131.6808267,1653567131.744791
0,'x',1653567133.5840974,1653567133.6970472
1,'e',1653567133.8080337,1653567133.9046621
2,'r',1653567134.0004709,1653567134.064239
3,'u',1653567134.0965512,1653567134.176455
4,'s',1653567134.1926951,1653567134.2728298
0,'r',1653567135.9527564,1653567136.0321193
1,'i',1653567136.0483036,1653567136.1444452
2,'n',1653567136.2562118,1653567136.3520105
3,'s',1653567136.3205593,1653567136.4483535
4,'e',1653567136.4006555,1653567136.5121212
0,'h',1653567138.272082,1653567138.3842957
1,'e',1653567138.3689663,1653567138.4969184
2,'r',1653567138.4483213,1653567138.5283084
3,'b',1653567138.5445223,1653567138.6565108
4,'s',1653567138.7042542,1653567138.816355
0,'f',1653567144.4965763,1653567144.577027
1,'o',1653567144.5925412,1653567144.6722233
2,'a',1653567144.7046974,1653567144.784
3,'m',1653567144.8164997,1653567144.9282641
4,'y',1653567144.9443674,1653567145.08808
0,'y',1653567147.2483428,1653567147.3447976
1,'a',1653567147.3457952,1653567147.4889977
2,'w',1653567147.4403644,1653567147.5841227
3,'n',1653567147.6644225,1653567147.7762809
4,'s',1653567147.792663,1653567147.889078
0,'d',1653567150.0480971,1653567150.1607842
1,'i',1653567150.1281595,1653567150.1768763
2,'n',1653567150.2726796,1653567150.3366308
3,'g',1653567150.3203413,1653567150.400574
4,'o',1653567150.4326909,1653567150.5126908
0,'d',1653567152.6884284,1653567152.800424
1,'e',1653567152.8800378,1653567152.9926805
2,'a',1653567152.9602077,1653567153.0566304
3,'t',1653567153.088283,1653567153.1846426
4,'h',1653567153.1522908,1653567153.2323027
0,'u',1653567155.4727135,1653567155.5366418
1,'n',1653567155.6481266,1653567155.7287562
2,'z',1653567155.760161,1653567155.9042885
3,'i',1653567155.872777,1653567156.0001173
4,'p',1653567156.1282952,1653567156.208321
0,'d',1653567158.0965133,1653567158.2083316
1,'o',1653567158.2565424,1653567158.4162202
2,'r',1653567158.5283384,1653567158.6404724
3,'k',1653567158.6727774,1653567158.800915
4,'y',1653567158.816888,1653567158.9281864
0,'t',1653567160.608184,1653567160.672295
1,'h',1653567160.6888776,1653567160.7847056
2,'i',1653567160.8005798,1653567160.8323414
3,'c',1653567160.9927087,1653567161.0569742
4,'k',1653567161.2486784,1653567161.3442137
0,'n',1653567168.0805774,1653567168.160578
1,'a',1653567168.224697,1653567168.3526063
2,'s',1653567168.320266,1653567168.4807253
3,'a',1653567168.448864,1653567168.5608482
4,'l',1653567168.6089056,1653567168.6887903
0,'e',1653567170.624568,1653567170.7205112
1,'m',1653567171.375926,1653567171.472758
2,'a',1653567171.4890015,1653567171.584435
3,'i',1653567171.5681717,1653567171.6484373
4,'l',1653567172.0162482,1653567172.096087
0,'g',1653567174.4807708,1653567174.5601315
1,'i',1653567174.5925999,1653567174.720459
2,'p',1653567174.6728005,1653567174.8004255
3,'s',1653567174.8165216,1653567174.9128823
4,'y',1653567175.0088491,1653567175.0888832
0,'w',1653567176.7368407,1653567176.9124095
