Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
cy,w_e,23_5,23,5,0.246164799,-0.037053347,0.209111452,0.073118687,0.319283485,0.110172033
cy,e_n,5_14,5,14,0.110172033,0.010961294,0.121133327,0.076090336,0.186262369,0.065129042
cy,n_c,14_3,14,3,0.065129042,0.091980934,0.157109976,0.215755939,0.280884981,0.123775005
cy,c_h,3_8,3,8,0.123775005,-0.032019377,0.091755629,0.038045883,0.161820889,0.07006526
cy,e_a,5_1,5,1,0.266869545,-0.153500319,0.113369226,0.05492878,0.321798325,0.208429098
cy,a_r,1_18,1,18,0.208429098,-0.105442524,0.102986574,0.029213905,0.237643003,0.134656429
cy,r_l,18_12,18,12,0.134656429,-0.040769815,0.093886614,0.109276056,0.243932486,0.150045872
cy,l_y,12_25,12,25,0.150045872,0.070069313,0.220115185,0.169224739,0.319270611,0.099155426
cy,r_e,18_5,18,5,0.129537821,-0.06187582,0.067662001,0.06117034,0.19070816,0.12304616
cy,e_l,5_12,5,12,0.12304616,-0.050046682,0.072999477,0.025660038,0.148706198,0.07570672
cy,l_a,12_1,12,1,0.07570672,0.12831831,0.20402503,0.274643421,0.350350142,0.146325111
cy,a_x,1_24,1,24,0.146325111,0.357948542,0.504273653,0.48252368,0.628848791,0.124575138
cy,q_u,17_21,17,21,0.127998352,-0.011999607,0.115998745,0.138618231,0.266616583,0.150617838
cy,u_i,21_9,21,9,0.150617838,-0.058618307,0.091999531,0.052000523,0.202618361,0.11061883
cy,i_c,9_3,9,3,0.11061883,0.057999134,0.168617964,0.162998676,0.273617506,0.104999542
cy,c_k,3_11,3,11,0.104999542,0.013000965,0.118000507,0.097001791,0.202001333,0.084000826
cy,x_e,24_5,24,5,0.330484629,-0.191012144,0.139472485,0.130988359,0.461472988,0.322000504
cy,e_r,5_18,5,18,0.322000504,-0.13943553,0.182564974,0.056349754,0.378350258,0.195785284
cy,r_u,18_21,18,21,0.195785284,-0.071906805,0.123878479,0.057652473,0.253437757,0.129559278
cy,u_s,21_19,21,19,0.129559278,0.022010088,0.151569366,0.193263054,0.322822332,0.171252966
cy,r_i,18_9,18,9,0.10769248,0.004002333,0.111694813,0.182421207,0.290113688,0.178418875
cy,i_n,9_14,9,14,0.178418875,-0.101145029,0.077273846,0.0520854,0.230504274,0.153230429
cy,n_s,14_19,14,19,0.153230429,0.135698795,0.288929224,0.343800306,0.497030735,0.208101511
cy,s_e,19_5,19,5,0.208101511,-0.072878361,0.13522315,0.070461512,0.278563023,0.143339872
cy,h_e,8_5,8,5,0.074160337,0.036022186,0.110182524,0.290557146,0.364717484,0.25453496
cy,e_r,5_18,5,18,0.25453496,-0.105093956,0.149441004,-0.006002188,0.248532772,0.099091768
cy,r_b,18_2,18,2,0.099091768,0.099285603,0.198377371,0.171434164,0.270525932,0.072148561
cy,b_s,2_19,2,19,0.072148561,0.303761244,0.375909805,0.387853146,0.460001707,0.084091902
cy,f_o,6_15,6,15,0.10996151,-0.032607079,0.077354431,0.070812464,0.180773973,0.103419542
cy,o_a,15_1,15,1,0.103419542,0.118636847,0.222056389,0.210124969,0.313544512,0.091488123
cy,a_m,1_13,1,13,0.091488123,-0.042400837,0.049087286,0.045083523,0.136571646,0.08748436
cy,m_y,13_25,13,25,0.08748436,0.146742582,0.234226942,0.204379559,0.291863918,0.057636976
