,key,press_time,release_time
0,'s',1653483496.873811,1653483497.0076272
1,'i',1653483497.0146387,1653483497.1594975
2,'g',1653483497.164487,1653483497.2956028
3,'n',1653483497.2739413,1653483497.3932002
4,'s',1653483497.395192,1653483497.5273569
0,'s',1653483499.4045131,1653483499.5713348
1,'a',1653483499.5314374,1653483499.6751335
2,'v',1653483499.657078,1653483499.7710414
3,'e',1653483499.800081,1653483499.9533877
4,'r',1653483499.9159997,1653483499.9913726
0,'d',1653483501.7184694,1653483501.8130987
1,'e',1653483501.8549519,1653483501.973377
2,'b',1653483502.054534,1653483502.1476123
3,'t',1653483502.3442345,1653483502.482518
4,'s',1653483502.4731433,1653483502.6025612
0,'c',1653483504.356322,1653483504.501938
1,'o',1653483504.5846756,1653483504.6864011
2,'a',1653483504.6760929,1653483504.7843816
3,'l',1653483504.7913625,1653483504.86335
4,'s',1653483504.8822994,1653483504.9686704
0,'s',1653483506.7286842,1653483506.8433614
1,'h',1653483506.8244154,1653483506.9317694
2,'a',1653483506.9225876,1653483507.050706
3,'r',1653483507.0070703,1653483507.113028
4,'k',1653483507.080833,1653483507.20069
0,'h',1653483509.1943872,1653483509.3084733
1,'o',1653483509.304482,1653483509.3691468
2,'o',1653483509.4512799,1653483509.5263846
3,'k',1653483509.502662,1653483509.6391401
4,'y',1653483509.6794991,1653483509.7712271
0,'m',1653483511.506436,1653483511.6068854
1,'u',1653483511.670554,1653483511.8063407
2,'n',1653483511.7677493,1653483511.8943102
3,'g',1653483511.8676884,1653483511.9695742
4,'s',1653483511.9426658,1653483512.0506845
0,'m',1653483513.7506263,1653483513.8975086
1,'o',1653483513.8457758,1653483513.9374905
2,'u',1653483514.0906577,1653483514.194054
3,'n',1653483514.1547208,1653483514.2721496
4,'t',1653483514.246219,1653483514.3453922
0,'s',1653483516.2104921,1653483516.3254836
1,'i',1653483516.2725399,1653483516.388351
2,'r',1653483516.3893542,1653483516.5024815
3,'e',1653483516.5093515,1653483516.5935657
4,'d',1653483516.643747,1653483516.7336743
0,'c',1653483518.5903957,1653483518.7063289
1,'u',1653483518.6725051,1653483518.7836425
2,'r',1653483518.8265672,1653483518.9107537
3,'i',1653483518.8909035,1653483518.9743354
4,'e',1653483519.0032916,1653483519.1014538
0,'l',1653483520.7845728,1653483520.8975103
1,'e',1653483520.826151,1653483520.9594724
2,'v',1653483520.9373438,1653483521.0845444
3,'e',1653483521.0475218,1653483521.1399379
4,'l',1653483521.0946374,1653483521.1554337
0,'m',1653483522.96429,1653483523.0945995
1,'e',1653483523.0344439,1653483523.1365936
2,'d',1653483523.1894522,1653483523.3123517
3,'a',1653483523.2802372,1653483523.4041321
4,'l',1653483523.331128,1653483523.400198
0,'l',1653483525.1575084,1653483525.2513607
1,'a',1653483525.2293634,1653483525.3807352
2,'c',1653483525.327615,1653483525.434607
3,'e',1653483525.754538,1653483525.9125469
4,'y',1653483525.8625968,1653483525.9666793
0,'b',1653483527.7636724,1653483527.88453
1,'e',1653483527.8904836,1653483528.0594537
2,'g',1653483528.0394063,1653483528.1513956
3,'i',1653483528.1144931,1653483528.2323675
4,'n',1653483528.1763287,1653483528.2882981
0,'p',1653483530.021194,1653483530.131114
1,'a',1653483530.0785623,1653483530.2265203
2,'t',1653483530.1748154,1653483530.2592497
3,'c',1653483530.3673215,1653483530.4539087
4,'h',1653483530.3973413,1653483530.5008044
0,'l',1653483532.2541368,1653483532.34611
1,'o',1653483532.4664063,1653483532.5474572
2,'t',1653483532.5425432,1653483532.6294234
3,'t',1653483532.6956687,1653483532.8074558
4,'o',1653483532.7954862,1653483532.8732834
0,'r',1653483534.7003553,1653483534.800437
1,'u',1653483534.8114345,1653483534.931489
2,'b',1653483534.9416742,1653483535.0474033
3,'e',1653483535.084438,1653483535.1916873
4,'s',1653483535.2854354,1653483535.3803477
0,'s',1653483537.0695071,1653483537.224111
1,'t',1653483537.2280197,1653483537.3444612
2,'a',1653483537.3534372,1653483537.475441
3,'f',1653483537.470496,1653483537.5484428
4,'f',1653483537.6184928,1653483537.715652
0,'f',1653483539.3995361,1653483539.525873
1,'o',1653483539.6333451,1653483539.734375
2,'r',1653483539.7213867,1653483539.8066022
3,'g',1653483539.9179864,1653483540.009506
4,'e',1653483540.0144882,1653483540.1264768
0,'c',1653483541.9872746,1653483542.141901
1,'h',1653483542.0532987,1653483542.177671
2,'i',1653483542.1231759,1653483542.257275
3,'n',1653483542.279678,1653483542.4207036
4,'k',1653483542.3804276,1653483542.4752805
0,'n',1653483544.4689236,1653483544.7315197
1,'u',1653483544.5762987,1653483544.7664022
2,'d',1653483544.7382917,1653483544.8612509
3,'i',1653483544.88721,1653483544.958541
4,'e',1653483545.0210173,1653483545.116446
0,'h',1653483546.9389641,1653483547.106062
1,'o',1653483547.050293,1653483547.1570876
2,'l',1653483547.240292,1653483547.3320498
3,'d',1653483547.278213,1653483547.4066415
4,'s',1653483547.37018,1653483547.4732263
0,'h',1653483549.247294,1653483549.4574237
1,'o',1653483549.3754318,1653483549.5177827
2,'r',1653483549.4363763,1653483549.5518048
3,'s',1653483549.6245818,1653483549.808678
4,'y',1653483549.8025692,1653483549.924889
0,'y',1653483551.8511124,1653483551.9872754
1,'o',1653483551.9143624,1653483552.0304482
2,'u',1653483551.9764452,1653483552.099281
3,'r',1653483552.1072993,1653483552.212299
4,'n',1653483552.2145567,1653483552.3001053
0,'s',1653483554.1156082,1653483554.2346346
1,'t',1653483554.2385743,1653483554.3559694
2,'a',1653483554.368937,1653483554.513105
3,'r',1653483554.4833379,1653483554.5883727
4,'s',1653483554.6244845,1653483554.7173276
0,'d',1653483556.439328,1653483556.5664186
1,'u',1653483556.519299,1653483556.596655
2,'m',1653483556.7162926,1653483556.7998867
3,'m',1653483556.880021,1653483556.9640024
4,'y',1653483556.9510367,1653483557.0524008
0,'p',1653483558.822865,1653483558.9263794
1,'e',1653483558.9066737,1653483559.0261612
2,'p',1653483559.0498445,1653483559.104156
3,'p',1653483559.1853983,1653483559.2580788
4,'y',1653483559.2501001,1653483559.3548083
0,'g',1653483561.212407,1653483561.3393734
1,'r',1653483561.4785564,1653483561.593286
2,'a',1653483561.613919,1653483561.7627995
3,'t',1653483561.7275987,1653483561.8674273
4,'e',1653483561.8380978,1653483561.9452674
0,'w',1653483563.6404393,1653483563.7644062
1,'i',1653483563.7273412,1653483563.88641
2,'n',1653483563.828496,1653483563.9406047
3,'c',1653483563.8702598,1653483564.0184367
4,'e',1653483563.9812822,1653483564.0772822
0,'b',1653483566.261464,1653483566.3684723
1,'w',1653483566.4623437,1653483566.6017497
2,'a',1653483566.558339,1653483566.6854284
3,'n',1653483566.6645975,1653483566.7864006
4,'a',1653483566.8204005,1653483566.950406
0,'f',1653483568.7164214,1653483568.820488
1,'a',1653483568.8105085,1653483568.9671645
2,'t',1653483568.944889,1653483569.0997162
3,'e',1653483569.0598702,1653483569.1625075
4,'s',1653483569.2684703,1653483569.3543968
0,'h',1653483571.3238714,1653483571.459001
1,'e',1653483571.370719,1653483571.557703
2,'r',1653483571.518059,1653483571.6360326
3,'d',1653483571.8366222,1653483571.978073
4,'s',1653483571.9507303,1653483572.052415
0,'g',1653483573.874759,1653483573.9637668
1,'r',1653483574.0882823,1653483574.2063782
2,'a',1653483574.1922653,1653483574.3143687
3,'p',1653483574.299356,1653483574.387873
4,'h',1653483574.4219186,1653483574.5293522
0,'b',1653483576.3264663,1653483576.4422987
1,'o',1653483576.3904238,1653483576.4664314
2,'l',1653483576.580384,1653483576.6388383
3,'o',1653483576.7432644,1653483576.8085544
4,'s',1653483576.824546,1653483576.9482903
0,'t',1653483578.77145,1653483578.9081333
1,'h',1653483578.8732781,1653483578.9904587
2,'a',1653483579.0053194,1653483579.1544259
3,'w',1653483579.1127877,1653483579.2108011
4,'s',1653483579.320213,1653483579.4119673
0,'s',1653483581.1632335,1653483581.2793708
1,'q',1653483581.3523967,1653483581.4682105
2,'u',1653483581.4381354,1653483581.5251796
3,'i',1653483581.6080313,1653483581.6993382
4,'d',1653483581.6695137,1653483581.7603922
0,'m',1653483583.5283532,1653483583.689228
1,'e',1653483583.5968387,1653483583.7594028
2,'t',1653483583.7212665,1653483583.8511803
3,'e',1653483583.8634582,1653483583.963384
4,'d',1653483584.0524077,1653483584.1536658
0,'h',1653483586.082189,1653483586.245706
1,'o',1653483586.2375886,1653483586.3275218
2,'o',1653483586.4272504,1653483586.508432
3,'f',1653483586.5094697,1653483586.6375756
4,'s',1653483586.620381,1653483586.7183383
0,'m',1653483588.4104054,1653483588.5403333
1,'e',1653483588.4902616,1653483588.669376
2,'r',1653483588.6313448,1653483588.744139
3,'s',1653483588.794006,1653483588.9303668
4,'e',1653483588.8782682,1653483588.9861622
0,'b',1653483590.8013103,1653483590.9093268
1,'r',1653483591.0213833,1653483591.1321769
2,'i',1653483591.1361692,1653483591.2283316
3,'c',1653483591.2604084,1653483591.3527708
4,'k',1653483591.3328233,1653483591.4046583
0,'s',1653483593.1543248,1653483593.2898555
1,'p',1653483593.2509322,1653483593.3592432
2,'a',1653483593.355233,1653483593.4723012
3,'y',1653483593.5231776,1653483593.6723797
4,'s',1653483593.644466,1653483593.7813742
0,'d',1653483595.4094818,1653483595.5505044
1,'a',1653483595.5103865,1653483595.6480827
2,'n',1653483595.6198096,1653483595.7334032
3,'d',1653483595.6731694,1653483595.773472
4,'y',1653483595.9213796,1653483596.046416
0,'a',1653483597.8402343,1653483597.9996538
1,'b',1653483598.082717,1653483598.2155497
2,'e',1653483598.2165475,1653483598.375922
3,'t',1653483598.372202,1653483598.4796984
4,'s',1653483598.5002406,1653483598.636347
