,Results,Prediction,Accuracy,22/80,27.50%
0,adhy,bryce,0.9872952,Nope,
1,adhy,bryce,0.9974915,Nope,
2,adhy,bryce,0.99958676,Nope,
3,adhy,adhy,0.9995573,Match,
4,adhy,cy,0.61483306,Nope,
5,adhy,chris,0.68990797,Nope,
6,adhy,andy,0.98402643,Nope,
7,adhy,hr,0.9988715,Nope,
8,adhy,hr,0.54259753,Nope,
9,adhy,cy,0.8741484,Nope,
10,andy,adhy,0.8593718,Nope,
11,andy,andy,0.9991229,Match,
12,andy,bryce,0.99036366,Nope,
13,andy,adhy,0.99939466,Nope,
14,andy,andy,0.95717764,Match,
15,andy,andy,0.9994696,Match,
16,andy,adhy,0.98191386,Nope,
17,andy,adhy,0.9958412,Nope,
18,andy,hr,0.9919851,Nope,
19,andy,chris,0.9941268,Nope,
20,bryce,andy,0.95810974,Nope,
21,bryce,hr,0.86307853,Nope,
22,bryce,andy,0.93745416,Nope,
23,bryce,jc,0.99300295,Nope,
24,bryce,andy,0.9975866,Nope,
25,bryce,bryce,0.9979664,Match,
26,bryce,jc,0.9987834,Nope,
27,bryce,chris,0.998588,Nope,
28,bryce,hr,0.76730627,Nope,
29,bryce,ys,0.92308676,Nope,
30,chris,adhy,0.78540564,Nope,
31,chris,andy,0.9764708,Nope,
32,chris,bryce,0.9432209,Nope,
33,chris,andy,0.9991061,Nope,
34,chris,chris,0.99964464,Match,
35,chris,chris,0.99729437,Match,
36,chris,bryce,0.9996861,Nope,
37,chris,adhy,0.6873618,Nope,
38,chris,ys,0.98943627,Nope,
39,chris,chris,0.9984067,Match,
40,cy,chris,0.9991897,Nope,
41,cy,bryce,0.8413195,Nope,
42,cy,cy,0.99942183,Match,
43,cy,adhy,0.844956,Nope,
44,cy,cy,0.9979068,Match,
45,cy,bryce,0.99054027,Nope,
46,cy,jc,0.7046315,Nope,
47,cy,adhy,0.9887438,Nope,
48,cy,ys,0.9979103,Nope,
49,cy,cy,0.825158,Match,
50,hr,chris,0.99531746,Nope,
51,hr,ys,0.9992223,Nope,
52,hr,adhy,0.92623496,Nope,
53,hr,hr,0.99721366,Match,
54,hr,ys,0.48277062,Nope,
55,hr,cy,0.99728847,Nope,
56,hr,andy,0.90495217,Nope,
57,hr,cy,0.9988557,Nope,
58,hr,ys,0.80094194,Nope,
59,hr,hr,0.99771476,Match,
60,jc,ys,0.6749951,Nope,
61,jc,jc,0.82168955,Match,
62,jc,hr,0.9816664,Nope,
63,jc,jc,0.8761324,Match,
64,jc,bryce,0.9992902,Nope,
65,jc,ys,0.9993636,Nope,
66,jc,ys,0.99960357,Nope,
67,jc,ys,0.96226394,Nope,
68,jc,ys,0.93135923,Nope,
69,jc,adhy,0.47638562,Nope,
70,ys,ys,0.99939954,Match,
71,ys,ys,0.9987651,Match,
72,ys,jc,0.99726427,Nope,
73,ys,ys,0.9993704,Match,
74,ys,ys,0.9990331,Match,
75,ys,chris,0.985103,Nope,
76,ys,hr,0.39230803,Nope,
77,ys,ys,0.97414637,Match,
78,ys,ys,0.89158976,Match,
79,ys,ys,0.94996315,Match,
