,Results,Prediction,Accuracy,64/216,29.63%
0,adhy,andy,0.8972151,Nope,
1,adhy,hr,0.9365781,Nope,
2,adhy,hr,0.99064213,Nope,
3,adhy,chris,0.72628343,Nope,
4,adhy,chris,0.55534315,Nope,
5,adhy,chris,0.71987903,Nope,
6,adhy,chris,0.7391317,Nope,
7,adhy,hr,0.9822021,Nope,
8,adhy,hr,0.4231569,Nope,
9,adhy,andy,0.9798044,Nope,
10,adhy,andy,0.99224335,Nope,
11,adhy,andy,0.90901506,Nope,
12,adhy,chris,0.9990048,Nope,
13,adhy,chris,0.52378553,Nope,
14,adhy,chris,0.96769595,Nope,
15,adhy,chris,0.9952636,Nope,
16,adhy,andy,0.9253624,Nope,
17,adhy,chris,0.936266,Nope,
18,adhy,hr,0.8618454,Nope,
19,adhy,hr,0.96429336,Nope,
20,adhy,hr,0.9881229,Nope,
21,adhy,hr,0.38716096,Nope,
22,adhy,hr,0.9681359,Nope,
23,adhy,cy,0.97264177,Nope,
24,adhy,hr,0.83207554,Nope,
25,adhy,hr,0.9995627,Nope,
26,adhy,hr,0.9110537,Nope,
27,andy,chris,0.9797028,Nope,
28,andy,chris,0.6550981,Nope,
29,andy,bryce,0.72009784,Nope,
30,andy,bryce,0.9294049,Nope,
31,andy,bryce,0.99813133,Nope,
32,andy,bryce,0.9477381,Nope,
33,andy,chris,0.74040014,Nope,
34,andy,chris,0.70589083,Nope,
35,andy,chris,0.97753143,Nope,
36,andy,chris,0.99457103,Nope,
37,andy,chris,0.99954826,Nope,
38,andy,chris,0.9991504,Nope,
39,andy,andy,0.9998934,Match,
40,andy,andy,0.99974185,Match,
41,andy,andy,0.99966025,Match,
42,andy,andy,0.99993134,Match,
43,andy,andy,0.99990547,Match,
44,andy,andy,0.9998927,Match,
45,andy,chris,0.9896101,Nope,
46,andy,chris,0.9686715,Nope,
47,andy,chris,0.9973598,Nope,
48,andy,andy,0.99829453,Match,
49,andy,chris,0.5406277,Nope,
50,andy,chris,0.91046256,Nope,
51,andy,andy,0.99986255,Match,
52,andy,andy,0.9995333,Match,
53,andy,andy,0.9996784,Match,
54,bryce,bryce,0.99993694,Match,
55,bryce,bryce,0.8878924,Match,
56,bryce,bryce,0.9996762,Match,
57,bryce,bryce,0.9998857,Match,
58,bryce,chris,0.9988104,Nope,
59,bryce,bryce,0.94420296,Match,
60,bryce,bryce,0.9994276,Match,
61,bryce,adhy,0.9586573,Nope,
62,bryce,bryce,0.94381297,Match,
63,bryce,bryce,0.99575776,Match,
64,bryce,adhy,0.91567224,Nope,
65,bryce,bryce,0.9749531,Match,
66,bryce,bryce,0.98843926,Match,
67,bryce,adhy,0.9911835,Nope,
68,bryce,hr,0.6662388,Nope,
69,bryce,hr,0.6691118,Nope,
70,bryce,adhy,0.931362,Nope,
71,bryce,hr,0.9970203,Nope,
72,bryce,chris,0.99724615,Nope,
73,bryce,chris,0.9994803,Nope,
74,bryce,chris,0.9972785,Nope,
75,bryce,chris,0.9909881,Nope,
76,bryce,chris,0.9998754,Nope,
77,bryce,chris,0.9997199,Nope,
78,bryce,hr,0.82867163,Nope,
79,bryce,chris,0.9998487,Nope,
80,bryce,chris,0.99608934,Nope,
81,chris,adhy,0.99933773,Nope,
82,chris,adhy,0.99979466,Nope,
83,chris,adhy,0.99975544,Nope,
84,chris,adhy,0.8155189,Nope,
85,chris,adhy,0.98037016,Nope,
86,chris,chris,0.9116113,Match,
87,chris,adhy,0.99631137,Nope,
88,chris,adhy,0.99958295,Nope,
89,chris,adhy,0.9992318,Nope,
90,chris,chris,0.99955255,Match,
91,chris,andy,0.92795813,Nope,
92,chris,chris,0.7831335,Match,
93,chris,chris,0.9998646,Match,
94,chris,bryce,0.7224359,Nope,
95,chris,bryce,0.83230245,Nope,
96,chris,chris,0.9993487,Match,
97,chris,andy,0.6619889,Nope,
98,chris,chris,0.7920598,Match,
99,chris,adhy,0.9970829,Nope,
100,chris,adhy,0.8055917,Nope,
101,chris,bryce,0.9658411,Nope,
102,chris,chris,0.92308956,Match,
103,chris,bryce,0.9301239,Nope,
104,chris,bryce,0.99728715,Nope,
105,chris,adhy,0.94773626,Nope,
106,chris,bryce,0.6426114,Nope,
107,chris,bryce,0.9975682,Nope,
108,cy,ys,0.99969244,Nope,
109,cy,bryce,0.99996173,Nope,
110,cy,bryce,0.74517447,Nope,
111,cy,ys,0.9994061,Nope,
112,cy,bryce,0.9974141,Nope,
113,cy,bryce,0.95041126,Nope,
114,cy,ys,0.60929006,Nope,
115,cy,bryce,0.99969745,Nope,
116,cy,chris,0.8858004,Nope,
117,cy,bryce,0.7297967,Nope,
118,cy,bryce,0.99997187,Nope,
119,cy,bryce,0.99963844,Nope,
120,cy,bryce,0.88540745,Nope,
121,cy,bryce,0.99991405,Nope,
122,cy,bryce,0.99914813,Nope,
123,cy,bryce,0.9976597,Nope,
124,cy,bryce,0.9999138,Nope,
125,cy,bryce,0.99233997,Nope,
126,cy,bryce,0.8661228,Nope,
127,cy,andy,0.884445,Nope,
128,cy,cy,0.9962592,Match,
129,cy,bryce,0.98207563,Nope,
130,cy,andy,0.9951957,Nope,
131,cy,cy,0.9977731,Match,
132,cy,bryce,0.7306109,Nope,
133,cy,andy,0.99793494,Nope,
134,cy,cy,0.9995908,Match,
135,hr,hr,0.9929085,Match,
136,hr,hr,0.9974832,Match,
137,hr,chris,0.65809715,Nope,
138,hr,hr,0.9915589,Match,
