Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
ys,w_e,23_5,23,5,0.095889568,0.109122276,0.205011845,0.205000401,0.300889969,0.095878124
ys,e_n,5_14,5,14,0.095878124,0.044111967,0.139990091,0.128120899,0.223999023,0.084008932
ys,n_c,14_3,14,3,0.084008932,0.132069111,0.216078043,0.228996277,0.313005209,0.096927166
ys,c_h,3_8,3,8,0.096927166,0.024004936,0.120932102,0.10824728,0.205174446,0.084242344
ys,e_a,5_1,5,1,0.108023882,0.056182384,0.164206266,0.153225183,0.261249065,0.097042799
ys,a_r,1_18,1,18,0.097042799,0.098997355,0.196040154,0.182975292,0.280018091,0.083977938
ys,r_l,18_12,18,12,0.083977938,0.15427947,0.238257408,0.251389742,0.33536768,0.097110271
ys,l_y,12_25,12,25,0.097110271,0.08719945,0.184309721,0.171639919,0.268750191,0.08444047
ys,r_e,18_5,18,5,0.135982513,-0.061987162,0.073995352,0.05901289,0.194995403,0.121000051
ys,e_l,5_12,5,12,0.121000051,0.013003111,0.134003162,0.096997976,0.217998028,0.083994865
ys,l_a,12_1,12,1,0.083994865,0.068013906,0.152008772,0.175988436,0.259983301,0.107974529
ys,a_x,1_24,1,24,0.107974529,0.304082155,0.412056684,0.404998064,0.512972593,0.100915909
ys,q_u,17_21,17,21,0.096273899,0.044010162,0.140284061,0.167039394,0.263313293,0.123029232
ys,u_i,21_9,21,9,0.123029232,-0.049010515,0.074018717,0.047687054,0.170716286,0.096697569
ys,i_c,9_3,9,3,0.096697569,0.121998072,0.218695641,0.206001043,0.302698612,0.084002972
ys,c_k,3_11,3,11,0.084002972,0.15300703,0.237010002,0.250258207,0.334261179,0.097251177
ys,x_e,24_5,24,5,0.096019983,0.130966187,0.22698617,0.203230858,0.299250841,0.072264671
ys,e_r,5_18,5,18,0.072264671,0.130990744,0.203255415,0.214997768,0.28726244,0.084007025
ys,r_u,18_21,18,21,0.084007025,0.18474102,0.268748045,0.281732321,0.365739346,0.096991301
ys,u_s,21_19,21,19,0.096991301,0.121002674,0.217993975,0.218266487,0.315257788,0.097263813
ys,r_i,18_9,18,9,0.095692158,0.108001232,0.20369339,0.269233227,0.364925385,0.161231995
ys,i_n,9_14,9,14,0.161231995,-0.074232578,0.086999416,0.073773861,0.235005856,0.148006439
ys,n_s,14_19,14,19,0.148006439,0.045265675,0.193272114,0.141997337,0.290003777,0.096731663
ys,s_e,19_5,19,5,0.096731663,0.109011412,0.205743074,0.209191084,0.305922747,0.100179672
ys,h_e,8_5,8,5,0.071762323,0.033808231,0.105570555,0.15481329,0.226575613,0.121005058
ys,e_r,5_18,5,18,0.121005058,0.119280577,0.240285635,0.203003645,0.324008703,0.083723068
ys,r_b,18_2,18,2,0.083723068,0.077000141,0.160723209,0.161216974,0.244940042,0.084216833
ys,b_s,2_19,2,19,0.084216833,0.109140635,0.193357468,0.218791485,0.303008318,0.10965085
ys,f_o,6_15,6,15,0.109993935,0.023005486,0.13299942,0.119273186,0.22926712,0.0962677
ys,o_a,15_1,15,1,0.0962677,0.056999683,0.153267384,0.128723145,0.224990845,0.071723461
ys,a_m,1_13,1,13,0.071723461,0.044002056,0.115725517,0.165285587,0.237009048,0.121283531
ys,m_y,13_25,13,25,0.121283531,0.099989414,0.221272945,0.184009552,0.305293083,0.084020138
ys,y_a,25_1,25,1,0.084270954,0.04500556,0.129276514,0.141722679,0.225993633,0.096717119
ys,a_w,1_23,1,23,0.096717119,0.173012733,0.269729853,0.319288015,0.416005135,0.146275282
ys,w_n,23_14,23,14,0.146275282,0.129974365,0.276249647,0.215719461,0.361994743,0.085745096
ys,n_s,14_19,14,19,0.085745096,0.12099123,0.206736326,0.229009151,0.314754248,0.108017921
ys,d_i,4_9,4,9,0.097055912,0.067018509,0.164074421,0.22723484,0.324290752,0.160216331
ys,i_n,9_14,9,14,0.160216331,-0.061193228,0.099023104,0.073016644,0.233232975,0.134209871
ys,n_g,14_7,14,7,0.134209871,0.01200223,0.146212101,0.135052443,0.269262314,0.123050213
ys,g_o,7_15,7,15,0.123050213,0.035007,0.158057213,0.156033516,0.279083729,0.121026516
ys,d_e,4_5,4,5,0.096997976,0.056051016,0.153048992,0.165129185,0.262127161,0.109078169
ys,e_a,5_1,5,1,0.109078169,0.033589363,0.142667532,0.11888504,0.227963209,0.085295677
ys,a_t,1_20,1,20,0.085295677,0.108993769,0.194289446,0.207989693,0.29328537,0.098995924
ys,t_h,20_8,20,8,0.098995924,0.06601429,0.165010214,0.164439201,0.263435125,0.098424911
