,Results,Prediction,Accuracy,100/120,83.33%
0,adhy,ys,0.56232303,Nope,
1,adhy,chris,0.6374375,Nope,
2,adhy,chris,0.80132556,Nope,
3,adhy,ys,0.9946673,Nope,
4,adhy,adhy,0.8595329,Match,
5,adhy,chris,0.9544039,Nope,
6,adhy,adhy,0.9727577,Match,
7,adhy,adhy,0.98941225,Match,
8,adhy,chris,0.9805033,Nope,
9,adhy,chris,0.98261154,Nope,
10,adhy,adhy,0.99726284,Match,
11,adhy,adhy,0.9084836,Match,
12,adhy,chris,0.9851495,Nope,
13,adhy,adhy,0.98590314,Match,
14,adhy,jc,0.7164354,Nope,
15,adhy,ys,0.9946911,Nope,
16,adhy,andy,0.5909674,Nope,
17,adhy,andy,0.94732004,Nope,
18,adhy,chris,0.9109086,Nope,
19,adhy,andy,0.8478223,Nope,
20,andy,andy,0.99629456,Match,
21,andy,andy,0.99720985,Match,
22,andy,andy,0.9985335,Match,
23,andy,andy,0.9857631,Match,
24,andy,andy,0.9975502,Match,
25,andy,andy,0.9980439,Match,
26,andy,andy,0.9960271,Match,
27,andy,andy,0.99800867,Match,
28,andy,andy,0.9988115,Match,
29,andy,andy,0.9985794,Match,
30,andy,andy,0.9990687,Match,
31,andy,andy,0.99125284,Match,
32,andy,andy,0.998749,Match,
33,andy,chris,0.4907815,Nope,
34,andy,andy,0.99666506,Match,
35,andy,andy,0.99768114,Match,
36,andy,andy,0.9979412,Match,
37,andy,andy,0.99636936,Match,
38,andy,andy,0.99760914,Match,
39,andy,andy,0.9749383,Match,
40,bryce,bryce,0.9678013,Match,
41,bryce,bryce,0.9974573,Match,
42,bryce,bryce,0.9975471,Match,
43,bryce,bryce,0.9971469,Match,
44,bryce,bryce,0.99809855,Match,
45,bryce,bryce,0.9985191,Match,
46,bryce,bryce,0.9941052,Match,
47,bryce,bryce,0.998628,Match,
48,bryce,bryce,0.9980831,Match,
49,bryce,bryce,0.9987509,Match,
50,bryce,bryce,0.9543051,Match,
51,bryce,bryce,0.9982393,Match,
52,bryce,bryce,0.9976126,Match,
53,bryce,bryce,0.9981192,Match,
54,bryce,bryce,0.99623495,Match,
55,bryce,bryce,0.9972938,Match,
56,bryce,bryce,0.9835074,Match,
57,bryce,bryce,0.6374362,Match,
58,bryce,bryce,0.9972391,Match,
59,bryce,chris,0.9231868,Nope,
60,chris,chris,0.8451286,Match,
61,chris,chris,0.9877209,Match,
62,chris,chris,0.9170723,Match,
63,chris,chris,0.99689263,Match,
64,chris,chris,0.9971871,Match,
65,chris,chris,0.78660196,Match,
66,chris,chris,0.96375763,Match,
67,chris,chris,0.97827345,Match,
68,chris,chris,0.99641234,Match,
69,chris,chris,0.99468297,Match,
70,chris,chris,0.92342734,Match,
71,chris,chris,0.9942516,Match,
72,chris,chris,0.99724376,Match,
73,chris,chris,0.996806,Match,
74,chris,chris,0.9855414,Match,
75,chris,chris,0.97141695,Match,
76,chris,bryce,0.611895,Nope,
77,chris,andy,0.50328714,Nope,
78,chris,chris,0.8790383,Match,
79,chris,chris,0.99537295,Match,
80,jc,jc,0.9975661,Match,
81,jc,jc,0.99846715,Match,
82,jc,jc,0.99836475,Match,
83,jc,jc,0.998664,Match,
84,jc,jc,0.99715084,Match,
85,jc,jc,0.9986797,Match,
86,jc,jc,0.9986098,Match,
87,jc,jc,0.9965395,Match,
88,jc,jc,0.9980782,Match,
89,jc,jc,0.9978275,Match,
90,jc,jc,0.9983766,Match,
91,jc,jc,0.99679536,Match,
92,jc,jc,0.9977664,Match,
93,jc,jc,0.99815065,Match,
94,jc,jc,0.99771357,Match,
95,jc,jc,0.9979931,Match,
96,jc,jc,0.98740584,Match,
97,jc,jc,0.9959286,Match,
98,jc,jc,0.9975594,Match,
99,jc,jc,0.9975159,Match,
100,ys,ys,0.99153614,Match,
101,ys,ys,0.98197883,Match,
102,ys,ys,0.9961009,Match,
103,ys,ys,0.99489754,Match,
104,ys,ys,0.9964198,Match,
105,ys,ys,0.9951009,Match,
106,ys,ys,0.9961951,Match,
107,ys,ys,0.99237716,Match,
108,ys,ys,0.9862488,Match,
109,ys,ys,0.9929404,Match,
110,ys,ys,0.9936091,Match,
111,ys,ys,0.995765,Match,
112,ys,ys,0.9914956,Match,
113,ys,ys,0.99602145,Match,
114,ys,ys,0.9971969,Match,
115,ys,ys,0.9945775,Match,
116,ys,jc,0.61768115,Nope,
117,ys,ys,0.997308,Match,
118,ys,jc,0.7729889,Nope,
119,ys,ys,0.9962238,Match,
