,Results,Prediction,Accuracy,387/540,71.67%
0,adhy,chris,0.99998295,Nope,
1,adhy,chris,0.9999887,Nope,
2,adhy,chris,0.99998045,Nope,
3,adhy,chris,0.9999888,Nope,
4,adhy,chris,0.9999888,Nope,
5,adhy,chris,0.9999882,Nope,
6,adhy,chris,0.9999888,Nope,
7,adhy,chris,0.99998856,Nope,
8,adhy,chris,0.9999888,Nope,
9,adhy,jc,0.59940827,Nope,
10,adhy,chris,0.55855614,Nope,
11,adhy,adhy,0.992362,Match,
12,adhy,chris,0.8067644,Nope,
13,adhy,chris,0.97024316,Nope,
14,adhy,chris,0.98216105,Nope,
15,adhy,chris,0.99226534,Nope,
16,adhy,jc,0.60112,Nope,
17,adhy,chris,0.5535932,Nope,
18,adhy,chris,0.97745436,Nope,
19,adhy,chris,0.97284794,Nope,
20,adhy,adhy,0.9677394,Match,
21,adhy,chris,0.99872464,Nope,
22,adhy,chris,0.9989054,Nope,
23,adhy,chris,0.99312073,Nope,
24,adhy,chris,0.99912685,Nope,
25,adhy,chris,0.9897753,Nope,
26,adhy,chris,0.9970999,Nope,
27,adhy,chris,0.9977986,Nope,
28,adhy,chris,0.9952036,Nope,
29,adhy,chris,0.98327047,Nope,
30,adhy,chris,0.99048656,Nope,
31,adhy,chris,0.99910945,Nope,
32,adhy,chris,0.9991097,Nope,
33,adhy,chris,0.999708,Nope,
34,adhy,chris,0.96274155,Nope,
35,adhy,chris,0.995106,Nope,
36,adhy,adhy,0.9999682,Match,
37,adhy,adhy,0.9999863,Match,
38,adhy,adhy,0.99035597,Match,
39,adhy,adhy,0.99998724,Match,
40,adhy,adhy,0.998944,Match,
41,adhy,adhy,0.9999794,Match,
42,adhy,adhy,0.9999502,Match,
43,adhy,adhy,0.88690495,Match,
44,adhy,adhy,0.9914119,Match,
45,adhy,bryce,0.6123449,Nope,
46,adhy,bryce,0.52281797,Nope,
47,adhy,chris,0.9302993,Nope,
48,adhy,adhy,0.9908999,Match,
49,adhy,chris,0.9850395,Nope,
50,adhy,chris,0.9947482,Nope,
51,adhy,chris,0.9610366,Nope,
52,adhy,chris,0.85440654,Nope,
53,adhy,chris,0.9981211,Nope,
54,adhy,adhy,0.871194,Match,
55,adhy,chris,0.9873663,Nope,
56,adhy,adhy,0.8208553,Match,
57,adhy,adhy,0.8974169,Match,
58,adhy,chris,0.8585367,Nope,
59,adhy,chris,0.9990043,Nope,
60,adhy,chris,0.99920744,Nope,
61,adhy,adhy,0.7337017,Match,
62,adhy,chris,0.8767919,Nope,
63,adhy,adhy,0.9999373,Match,
64,adhy,andy,0.99959975,Nope,
65,adhy,adhy,0.9990545,Match,
66,adhy,adhy,0.9999769,Match,
67,adhy,adhy,0.8621822,Match,
68,adhy,adhy,0.9970462,Match,
69,adhy,adhy,0.9983255,Match,
70,adhy,adhy,0.69013023,Match,
71,adhy,adhy,0.992818,Match,
72,adhy,bryce,0.91582227,Nope,
73,adhy,bryce,0.95495504,Nope,
74,adhy,bryce,0.99741817,Nope,
75,adhy,adhy,0.998439,Match,
76,adhy,bryce,0.99856395,Nope,
77,adhy,bryce,0.9962763,Nope,
78,adhy,bryce,0.9902811,Nope,
79,adhy,bryce,0.9961867,Nope,
80,adhy,bryce,0.9988808,Nope,
81,adhy,chris,0.99849236,Nope,
82,adhy,chris,0.87783986,Nope,
83,adhy,chris,0.9999515,Nope,
84,adhy,adhy,0.5971289,Match,
85,adhy,chris,0.9999157,Nope,
86,adhy,chris,0.9999398,Nope,
87,adhy,chris,0.9999329,Nope,
88,adhy,chris,0.99992454,Nope,
89,adhy,chris,0.9999013,Nope,
90,andy,andy,0.9999714,Match,
91,andy,andy,0.9999758,Match,
92,andy,andy,0.9999734,Match,
93,andy,andy,0.9999747,Match,
94,andy,andy,0.9999715,Match,
95,andy,andy,0.99997437,Match,
96,andy,andy,0.99997187,Match,
97,andy,andy,0.9999678,Match,
98,andy,andy,0.9999726,Match,
99,andy,andy,0.99995255,Match,
100,andy,andy,0.99992955,Match,
101,andy,andy,0.9999461,Match,
102,andy,andy,0.9999436,Match,
103,andy,andy,0.999944,Match,
