,Results,Prediction,Accuracy,89/216,41.20%
0,adhy,cy,0.9999976,Nope,
1,adhy,cy,0.9999989,Nope,
2,adhy,cy,0.9999988,Nope,
3,adhy,cy,0.9999105,Nope,
4,adhy,cy,0.99999774,Nope,
5,adhy,cy,0.9999987,Nope,
6,adhy,cy,0.9999678,Nope,
7,adhy,cy,0.9999982,Nope,
8,adhy,cy,0.99999905,Nope,
9,adhy,hr,0.998114,Nope,
10,adhy,hr,0.9996809,Nope,
11,adhy,hr,0.8365209,Nope,
12,adhy,hr,0.99999964,Nope,
13,adhy,hr,0.9999995,Nope,
14,adhy,hr,0.9999995,Nope,
15,adhy,hr,0.99999964,Nope,
16,adhy,hr,0.9999994,Nope,
17,adhy,hr,0.9999995,Nope,
18,adhy,cy,0.9903501,Nope,
19,adhy,cy,0.9999776,Nope,
20,adhy,cy,0.9999851,Nope,
21,adhy,chris,0.9999757,Nope,
22,adhy,chris,0.99998116,Nope,
23,adhy,adhy,0.9899726,Match,
24,adhy,chris,0.9998902,Nope,
25,adhy,chris,0.9999858,Nope,
26,adhy,adhy,0.99994755,Match,
27,andy,adhy,0.6152088,Nope,
28,andy,adhy,0.9968508,Nope,
29,andy,adhy,0.9999591,Nope,
30,andy,andy,0.8052086,Match,
31,andy,chris,0.9982895,Nope,
32,andy,adhy,0.79890317,Nope,
33,andy,andy,0.5485997,Match,
34,andy,adhy,0.8619497,Nope,
35,andy,adhy,0.9998442,Nope,
36,andy,chris,0.7977891,Nope,
37,andy,adhy,0.5539284,Nope,
38,andy,adhy,0.6736005,Nope,
39,andy,chris,0.99902546,Nope,
40,andy,adhy,0.5787643,Nope,
41,andy,chris,0.95854324,Nope,
42,andy,adhy,0.6323699,Nope,
43,andy,adhy,0.9417922,Nope,
44,andy,chris,0.637875,Nope,
45,andy,andy,0.99999833,Match,
46,andy,andy,0.98954856,Match,
47,andy,andy,0.99999857,Match,
48,andy,andy,0.99998975,Match,
49,andy,andy,0.9999869,Match,
50,andy,andy,0.99999654,Match,
51,andy,andy,0.9999968,Match,
52,andy,andy,0.999902,Match,
53,andy,andy,0.99999785,Match,
54,bryce,bryce,0.631153,Match,
55,bryce,bryce,0.63667625,Match,
56,bryce,bryce,0.5227299,Match,
57,bryce,andy,0.8802874,Nope,
58,bryce,chris,0.9783619,Nope,
59,bryce,andy,0.98972124,Nope,
60,bryce,andy,0.9989761,Nope,
61,bryce,andy,0.97768503,Nope,
62,bryce,andy,0.9999068,Nope,
63,bryce,hr,0.5464942,Nope,
64,bryce,hr,0.98910296,Nope,
65,bryce,hr,0.999671,Nope,
66,bryce,adhy,0.99996877,Nope,
67,bryce,hr,0.5299747,Nope,
68,bryce,adhy,0.99969506,Nope,
69,bryce,adhy,0.99998367,Nope,
70,bryce,hr,0.69494873,Nope,
71,bryce,adhy,0.9946109,Nope,
72,bryce,adhy,0.9999968,Nope,
73,bryce,adhy,0.9687815,Nope,
74,bryce,adhy,0.9999957,Nope,
75,bryce,adhy,0.99997807,Nope,
76,bryce,adhy,0.99999905,Nope,
77,bryce,adhy,0.9999981,Nope,
78,bryce,adhy,0.9999994,Nope,
79,bryce,adhy,0.9999993,Nope,
80,bryce,adhy,0.9999994,Nope,
81,chris,cy,0.9964294,Nope,
82,chris,cy,0.9999685,Nope,
83,chris,cy,0.9999882,Nope,
84,chris,cy,0.9999813,Nope,
