,Results,Prediction,Accuracy,adhy alan cy 140/144
0,adhy,adhy,0.9997708,Match
1,adhy,adhy,0.99976844,Match
2,adhy,adhy,0.9997712,Match
3,adhy,adhy,0.99976724,Match
4,adhy,adhy,0.99976295,Match
5,adhy,adhy,0.9997708,Match
6,adhy,adhy,0.99961555,Match
7,adhy,adhy,0.9701553,Match
8,adhy,adhy,0.9997687,Match
9,adhy,adhy,0.6340608,Match
10,adhy,cy,0.90466005,Nope
11,adhy,adhy,0.99864405,Match
12,adhy,adhy,0.9997738,Match
13,adhy,adhy,0.99973184,Match
14,adhy,adhy,0.99977344,Match
15,adhy,adhy,0.99975425,Match
16,adhy,adhy,0.9997615,Match
17,adhy,adhy,0.99977225,Match
18,adhy,adhy,0.99976677,Match
19,adhy,adhy,0.9738776,Match
20,adhy,adhy,0.99977106,Match
21,adhy,adhy,0.9968682,Match
22,adhy,cy,0.6230037,Nope
23,adhy,adhy,0.9997614,Match
24,adhy,adhy,0.99977297,Match
25,adhy,adhy,0.99976844,Match
26,adhy,adhy,0.9997726,Match
27,adhy,adhy,0.9997688,Match
28,adhy,adhy,0.99975485,Match
29,adhy,adhy,0.99977034,Match
30,adhy,adhy,0.9997712,Match
31,adhy,adhy,0.99489695,Match
32,adhy,adhy,0.999757,Match
33,adhy,adhy,0.99971133,Match
34,adhy,adhy,0.9937403,Match
35,adhy,adhy,0.9997657,Match
36,adhy,adhy,0.999701,Match
37,adhy,alan,0.6724489,Nope
38,adhy,adhy,0.95669305,Match
39,adhy,cy,0.94977325,Nope
40,adhy,adhy,0.99976164,Match
41,adhy,adhy,0.7121349,Match
42,adhy,adhy,0.9997718,Match
43,adhy,adhy,0.9996418,Match
44,adhy,adhy,0.9997707,Match
45,adhy,adhy,0.99976367,Match
46,adhy,adhy,0.99977297,Match
47,adhy,adhy,0.99975723,Match
48,alan,alan,0.99990904,Match
49,alan,alan,0.99991,Match
50,alan,alan,0.99990964,Match
51,alan,alan,0.9999099,Match
52,alan,alan,0.9999087,Match
53,alan,alan,0.9999095,Match
54,alan,alan,0.99990916,Match
55,alan,alan,0.99991,Match
56,alan,alan,0.9999088,Match
57,alan,alan,0.9999099,Match
58,alan,alan,0.99990726,Match
59,alan,alan,0.99990857,Match
60,alan,alan,0.99991,Match
61,alan,alan,0.99991,Match
62,alan,alan,0.9999021,Match
63,alan,alan,0.9999101,Match
64,alan,alan,0.99990773,Match
65,alan,alan,0.99990857,Match
66,alan,alan,0.9999101,Match
67,alan,alan,0.99990964,Match
68,alan,alan,0.9999095,Match
69,alan,alan,0.9999101,Match
70,alan,alan,0.9999087,Match
71,alan,alan,0.99990916,Match
72,alan,alan,0.9999095,Match
73,alan,alan,0.99990916,Match
74,alan,alan,0.99990916,Match
75,alan,alan,0.9999095,Match
76,alan,alan,0.9999087,Match
77,alan,alan,0.99990976,Match
78,alan,alan,0.9999101,Match
79,alan,alan,0.99990964,Match
80,alan,alan,0.99990976,Match
81,alan,alan,0.99991024,Match
82,alan,alan,0.99990916,Match
83,alan,alan,0.99990916,Match
84,alan,alan,0.9999095,Match
85,alan,alan,0.9999089,Match
86,alan,alan,0.99990463,Match
87,alan,alan,0.9999095,Match
88,alan,alan,0.9998332,Match
89,alan,alan,0.99990976,Match
90,alan,alan,0.9999087,Match
91,alan,alan,0.99990785,Match
92,alan,alan,0.9999082,Match
93,alan,alan,0.99990857,Match
94,alan,alan,0.9999093,Match
95,alan,alan,0.9999087,Match
96,andy,adhy,0.9997663,Nope
97,andy,adhy,0.9997719,Nope
98,andy,adhy,0.99977416,Nope
99,andy,adhy,0.9997738,Nope
100,andy,adhy,0.9997738,Nope
101,andy,adhy,0.9997665,Nope
102,andy,adhy,0.9997651,Nope
103,andy,adhy,0.9997681,Nope
104,andy,adhy,0.9997676,Nope
105,andy,adhy,0.99976546,Nope
106,andy,adhy,0.99976677,Nope
107,andy,adhy,0.9997631,Nope
108,andy,adhy,0.9997727,Nope
109,andy,adhy,0.9997681,Nope
110,andy,adhy,0.99977356,Nope
111,andy,adhy,0.9997725,Nope
112,andy,adhy,0.9997737,Nope
113,andy,adhy,0.99976987,Nope
114,andy,adhy,0.9997719,Nope
115,andy,adhy,0.999757,Nope
116,andy,adhy,0.9997707,Nope
117,andy,adhy,0.99977106,Nope
118,andy,adhy,0.99977237,Nope
119,andy,adhy,0.99976724,Nope
120,andy,adhy,0.99977165,Nope
121,andy,adhy,0.9997687,Nope
122,andy,adhy,0.99977094,Nope
123,andy,adhy,0.99977285,Nope
124,andy,adhy,0.9997743,Nope
125,andy,adhy,0.99976903,Nope
126,andy,adhy,0.99977344,Nope
127,andy,adhy,0.9997482,Nope
128,andy,adhy,0.99977034,Nope
129,andy,adhy,0.9997714,Nope
130,andy,adhy,0.9997733,Nope
131,andy,adhy,0.999767,Nope
132,andy,adhy,0.99977165,Nope
133,andy,adhy,0.9997694,Nope
134,andy,adhy,0.99977285,Nope
135,andy,adhy,0.9997731,Nope
136,andy,adhy,0.99977213,Nope
137,andy,adhy,0.99977213,Nope
138,andy,adhy,0.99977106,Nope
139,andy,adhy,0.99976295,Nope
140,andy,adhy,0.99977094,Nope
141,andy,adhy,0.9997662,Nope
142,andy,adhy,0.9997688,Nope
143,andy,adhy,0.99976903,Nope
144,bryce,cy,0.9988864,Nope
145,bryce,alan,0.5113733,Nope
146,bryce,cy,0.9922233,Nope
147,bryce,adhy,0.9810275,Nope
148,bryce,cy,0.99316096,Nope
149,bryce,cy,0.9980136,Nope
150,bryce,adhy,0.5344427,Nope
151,bryce,adhy,0.9997123,Nope
152,bryce,adhy,0.92750823,Nope
153,bryce,adhy,0.9997693,Nope
154,bryce,adhy,0.58668405,Nope
155,bryce,cy,0.7476325,Nope
156,bryce,adhy,0.75963634,Nope
157,bryce,cy,0.5085433,Nope
158,bryce,cy,0.9791405,Nope
159,bryce,adhy,0.8298341,Nope
160,bryce,cy,0.99619174,Nope
161,bryce,cy,0.9314033,Nope
162,bryce,adhy,0.9995975,Nope
163,bryce,adhy,0.9992244,Nope
164,bryce,cy,0.93099475,Nope
165,bryce,adhy,0.9997683,Nope
166,bryce,cy,0.60352296,Nope
167,bryce,cy,0.8220573,Nope
168,bryce,cy,0.99039114,Nope
169,bryce,cy,0.56516784,Nope
170,bryce,cy,0.99730206,Nope
171,bryce,cy,0.9079415,Nope
172,bryce,cy,0.99779737,Nope
173,bryce,cy,0.9812455,Nope
174,bryce,adhy,0.99976414,Nope
175,bryce,adhy,0.99976844,Nope
176,bryce,adhy,0.99975306,Nope
177,bryce,adhy,0.9997696,Nope
178,bryce,adhy,0.99974376,Nope
179,bryce,adhy,0.99962616,Nope
180,bryce,adhy,0.99949837,Nope
181,bryce,adhy,0.68191886,Nope
182,bryce,cy,0.9973882,Nope
183,bryce,cy,0.7326733,Nope
184,bryce,cy,0.95995337,Nope
185,bryce,adhy,0.9509083,Nope
186,bryce,cy,0.99494284,Nope
187,bryce,cy,0.99488115,Nope
188,bryce,cy,0.99851507,Nope
189,bryce,cy,0.99719596,Nope
190,bryce,cy,0.99768233,Nope
191,bryce,cy,0.99842143,Nope
192,chris,adhy,0.99951196,Nope
193,chris,adhy,0.9834327,Nope
194,chris,adhy,0.99976057,Nope
195,chris,adhy,0.999765,Nope
196,chris,adhy,0.9997254,Nope
197,chris,adhy,0.99967194,Nope
198,chris,adhy,0.9993431,Nope
199,chris,adhy,0.76265305,Nope
200,chris,adhy,0.99968505,Nope
201,chris,adhy,0.99810636,Nope
202,chris,adhy,0.9996933,Nope
203,chris,adhy,0.95671564,Nope
204,chris,adhy,0.6507248,Nope
205,chris,adhy,0.9991767,Nope
206,chris,adhy,0.52709615,Nope
207,chris,adhy,0.99975413,Nope
208,chris,adhy,0.5535334,Nope
209,chris,adhy,0.78110445,Nope
210,chris,adhy,0.5981601,Nope
211,chris,adhy,0.9574974,Nope
212,chris,adhy,0.8144692,Nope
213,chris,adhy,0.99975175,Nope
214,chris,adhy,0.7680795,Nope
215,chris,alan,0.64627373,Nope
216,chris,adhy,0.9997675,Nope
217,chris,adhy,0.99976045,Nope
218,chris,adhy,0.99973875,Nope
219,chris,adhy,0.9996131,Nope
220,chris,adhy,0.99974984,Nope
221,chris,adhy,0.9997533,Nope
222,chris,adhy,0.9997708,Nope
223,chris,adhy,0.9992305,Nope
224,chris,adhy,0.99976903,Nope
225,chris,adhy,0.9997658,Nope
226,chris,adhy,0.9997677,Nope
227,chris,adhy,0.99974936,Nope
228,chris,adhy,0.99959654,Nope
229,chris,adhy,0.9996184,Nope
230,chris,adhy,0.94045097,Nope
231,chris,adhy,0.85134786,Nope
232,chris,adhy,0.9981756,Nope
233,chris,adhy,0.9997584,Nope
234,chris,adhy,0.99877805,Nope
235,chris,adhy,0.99352264,Nope
236,chris,adhy,0.9968832,Nope
237,chris,adhy,0.6331172,Nope
238,chris,adhy,0.99973863,Nope
239,chris,adhy,0.99976367,Nope
240,cy,cy,0.99972993,Match
241,cy,cy,0.99973243,Match
242,cy,cy,0.9997296,Match
243,cy,cy,0.9997322,Match
244,cy,cy,0.9997323,Match
245,cy,cy,0.99973124,Match
246,cy,cy,0.9996413,Match
247,cy,cy,0.99972934,Match
248,cy,cy,0.9988182,Match
249,cy,cy,0.99971634,Match
250,cy,cy,0.9995946,Match
251,cy,cy,0.99972564,Match
252,cy,cy,0.9997298,Match
253,cy,cy,0.99901927,Match
254,cy,cy,0.9996853,Match
255,cy,cy,0.9996464,Match
256,cy,cy,0.9996643,Match
257,cy,cy,0.99972767,Match
258,cy,cy,0.99973184,Match
259,cy,cy,0.99972826,Match
260,cy,cy,0.9997013,Match
261,cy,cy,0.99973005,Match
262,cy,cy,0.9997311,Match
263,cy,cy,0.9997321,Match
264,cy,cy,0.9997279,Match
265,cy,cy,0.99944144,Match
266,cy,cy,0.998869,Match
267,cy,cy,0.999728,Match
268,cy,cy,0.99950016,Match
269,cy,cy,0.99972385,Match
270,cy,cy,0.9997285,Match
271,cy,cy,0.99883944,Match
272,cy,cy,0.8101677,Match
273,cy,cy,0.99973005,Match
274,cy,cy,0.97580385,Match
275,cy,cy,0.9997286,Match
276,cy,cy,0.99971646,Match
277,cy,cy,0.99952865,Match
278,cy,cy,0.9989655,Match
279,cy,cy,0.99971324,Match
280,cy,cy,0.9946366,Match
281,cy,cy,0.9994991,Match
282,cy,cy,0.9997317,Match
283,cy,cy,0.99971,Match
284,cy,cy,0.9996922,Match
285,cy,cy,0.9997311,Match
286,cy,cy,0.9996081,Match
287,cy,cy,0.99971205,Match
288,gerald,alan,0.99990773,Nope
289,gerald,alan,0.9999095,Nope
290,gerald,alan,0.9999093,Nope
291,gerald,alan,0.9999101,Nope
292,gerald,alan,0.99990964,Nope
293,gerald,alan,0.99990976,Nope
294,gerald,alan,0.99989474,Nope
295,gerald,alan,0.9999075,Nope
296,gerald,alan,0.99990845,Nope
297,gerald,alan,0.9999076,Nope
298,gerald,alan,0.99990654,Nope
299,gerald,alan,0.99990904,Nope
300,gerald,alan,0.9999069,Nope
301,gerald,alan,0.9999064,Nope
302,gerald,alan,0.99990976,Nope
303,gerald,alan,0.9999014,Nope
304,gerald,alan,0.9998988,Nope
305,gerald,alan,0.9999075,Nope
306,gerald,alan,0.99990964,Nope
307,gerald,alan,0.99990857,Nope
308,gerald,alan,0.999908,Nope
309,gerald,alan,0.9999051,Nope
310,gerald,alan,0.9999068,Nope
311,gerald,alan,0.99990916,Nope
312,gerald,alan,0.9999083,Nope
313,gerald,alan,0.9999095,Nope
314,gerald,alan,0.99990773,Nope
315,gerald,alan,0.99990916,Nope
316,gerald,alan,0.9999095,Nope
317,gerald,alan,0.99990964,Nope
318,gerald,alan,0.9999093,Nope
319,gerald,alan,0.9999083,Nope
320,gerald,alan,0.99967515,Nope
321,gerald,alan,0.9999087,Nope
322,gerald,alan,0.9998703,Nope
323,gerald,alan,0.99990845,Nope
324,gerald,alan,0.999905,Nope
325,gerald,alan,0.9999082,Nope
326,gerald,alan,0.99946576,Nope
327,gerald,alan,0.99990785,Nope
328,gerald,alan,0.999902,Nope
329,gerald,alan,0.9994649,Nope
330,gerald,alan,0.9999099,Nope
331,gerald,alan,0.99990916,Nope
332,gerald,alan,0.9999044,Nope
333,gerald,alan,0.9999087,Nope
334,gerald,alan,0.9999101,Nope
335,gerald,alan,0.9999082,Nope
336,jc,adhy,0.99403596,Nope
337,jc,alan,0.99869776,Nope
338,jc,adhy,0.80038637,Nope
339,jc,alan,0.64350563,Nope
340,jc,alan,0.8378106,Nope
341,jc,alan,0.9315551,Nope
342,jc,adhy,0.9745001,Nope
343,jc,alan,0.9985846,Nope
344,jc,adhy,0.9990621,Nope
345,jc,adhy,0.63137376,Nope
346,jc,alan,0.99116,Nope
347,jc,adhy,0.6801178,Nope
348,jc,adhy,0.96212506,Nope
349,jc,adhy,0.9801712,Nope
350,jc,adhy,0.9959715,Nope
351,jc,alan,0.51056516,Nope
352,jc,alan,0.89238966,Nope
353,jc,alan,0.69071865,Nope
354,jc,alan,0.99925166,Nope
355,jc,alan,0.9999049,Nope
356,jc,alan,0.99650025,Nope
357,jc,alan,0.99990475,Nope
358,jc,alan,0.99990594,Nope
359,jc,alan,0.99989724,Nope
360,jc,adhy,0.87453365,Nope
361,jc,adhy,0.99909544,Nope
362,jc,adhy,0.99972016,Nope
363,jc,adhy,0.6036093,Nope
364,jc,cy,0.59225816,Nope
365,jc,adhy,0.9728051,Nope
366,jc,alan,0.6233187,Nope
367,jc,alan,0.64864314,Nope
368,jc,alan,0.69539607,Nope
369,jc,alan,0.9999044,Nope
370,jc,alan,0.9989685,Nope
371,jc,alan,0.99944955,Nope
372,jc,alan,0.9995521,Nope
373,jc,alan,0.99956137,Nope
374,jc,alan,0.99989676,Nope
375,jc,alan,0.99990785,Nope
376,jc,alan,0.8463825,Nope
377,jc,alan,0.9998977,Nope
378,jc,alan,0.99895525,Nope
379,jc,alan,0.99832135,Nope
380,jc,alan,0.99924254,Nope
381,jc,alan,0.9999026,Nope
382,jc,alan,0.7526056,Nope
383,jc,alan,0.99971503,Nope
384,jonah,cy,0.9896346,Nope
385,jonah,adhy,0.9947731,Nope
386,jonah,cy,0.6840191,Nope
387,jonah,adhy,0.9995328,Nope
388,jonah,adhy,0.9981628,Nope
389,jonah,adhy,0.9997582,Nope
390,jonah,cy,0.9926967,Nope
391,jonah,adhy,0.93472475,Nope
392,jonah,cy,0.8820986,Nope
393,jonah,adhy,0.98616135,Nope
394,jonah,adhy,0.86583585,Nope
395,jonah,adhy,0.99974483,Nope
396,jonah,cy,0.9625946,Nope
397,jonah,cy,0.9726864,Nope
398,jonah,cy,0.9747395,Nope
399,jonah,cy,0.8294014,Nope
400,jonah,cy,0.9936293,Nope
401,jonah,adhy,0.9993131,Nope
402,jonah,adhy,0.9991966,Nope
403,jonah,adhy,0.99598926,Nope
404,jonah,cy,0.8979325,Nope
405,jonah,adhy,0.9981383,Nope
406,jonah,adhy,0.9913958,Nope
407,jonah,adhy,0.99973863,Nope
408,jonah,cy,0.9371585,Nope
409,jonah,cy,0.9877688,Nope
410,jonah,cy,0.99760026,Nope
411,jonah,cy,0.97134405,Nope
412,jonah,cy,0.96443886,Nope
413,jonah,adhy,0.99634355,Nope
414,jonah,adhy,0.9996872,Nope
415,jonah,adhy,0.9929974,Nope
416,jonah,adhy,0.84407794,Nope
417,jonah,adhy,0.98793864,Nope
418,jonah,adhy,0.9997038,Nope
419,jonah,adhy,0.99977106,Nope
420,jonah,adhy,0.9974074,Nope
421,jonah,adhy,0.9779775,Nope
422,jonah,cy,0.9847056,Nope
423,jonah,adhy,0.98064274,Nope
424,jonah,cy,0.7712619,Nope
425,jonah,adhy,0.9992686,Nope
426,jonah,adhy,0.99973124,Nope
427,jonah,adhy,0.9995956,Nope
428,jonah,adhy,0.9292404,Nope
429,jonah,adhy,0.99915314,Nope
430,jonah,adhy,0.9939021,Nope
431,jonah,adhy,0.9997589,Nope
432,qk,adhy,0.9984913,Nope
433,qk,adhy,0.99974376,Nope
