,Results,Prediction,Accuracy,"adhy, alan, cy 108/140"
0,adhy,andy,0.9997583,Nope
1,adhy,bryce,0.7256427,Nope
2,adhy,bryce,0.99952877,Nope
3,adhy,bryce,0.9455286,Nope
4,adhy,bryce,0.9996082,Nope
5,adhy,bryce,0.66577953,Nope
6,adhy,bryce,0.9996915,Nope
7,adhy,cy,0.9970938,Nope
8,adhy,bryce,0.6237051,Nope
9,adhy,bryce,0.539125,Nope
10,adhy,bryce,0.6122121,Nope
11,adhy,andy,0.9058871,Nope
12,adhy,bryce,0.99977165,Nope
13,adhy,bryce,0.9996482,Nope
14,adhy,bryce,0.8871783,Nope
15,adhy,bryce,0.9363525,Nope
16,adhy,bryce,0.99950445,Nope
17,adhy,andy,0.9027125,Nope
18,adhy,bryce,0.7027898,Nope
19,adhy,bryce,0.94831663,Nope
20,adhy,andy,0.6989356,Nope
21,adhy,andy,0.8774859,Nope
22,adhy,cy,0.98106706,Nope
23,adhy,andy,0.9982096,Nope
24,adhy,bryce,0.9985605,Nope
25,adhy,bryce,0.9943663,Nope
26,adhy,bryce,0.99840975,Nope
27,adhy,bryce,0.98541325,Nope
28,adhy,bryce,0.9997634,Nope
29,adhy,andy,0.99818546,Nope
30,adhy,bryce,0.9997837,Nope
31,adhy,bryce,0.9994543,Nope
32,adhy,bryce,0.9996455,Nope
33,adhy,cy,0.6040365,Nope
34,adhy,cy,0.5263833,Nope
35,adhy,andy,0.9847779,Nope
36,adhy,bryce,0.9997681,Nope
37,adhy,bryce,0.99977094,Nope
38,adhy,bryce,0.99976677,Nope
39,adhy,cy,0.97197515,Nope
40,adhy,bryce,0.99977475,Nope
41,adhy,bryce,0.99773335,Nope
42,adhy,andy,0.8798564,Nope
43,adhy,bryce,0.6127034,Nope
44,adhy,andy,0.8922183,Nope
45,adhy,bryce,0.62966794,Nope
46,adhy,andy,0.998621,Nope
47,adhy,andy,0.9969657,Nope
48,alan,bryce,0.9997824,Nope
49,alan,bryce,0.62805265,Nope
50,alan,andy,0.7169412,Nope
51,alan,bryce,0.9605049,Nope
52,alan,bryce,0.6514959,Nope
53,alan,cy,0.73853546,Nope
54,alan,bryce,0.99978095,Nope
55,alan,bryce,0.9983999,Nope
56,alan,cy,0.84461415,Nope
57,alan,bryce,0.99893373,Nope
58,alan,bryce,0.9838001,Nope
59,alan,cy,0.98873526,Nope
60,alan,bryce,0.9997962,Nope
61,alan,bryce,0.99978536,Nope
62,alan,bryce,0.9997577,Nope
63,alan,bryce,0.99979466,Nope
64,alan,bryce,0.999783,Nope
65,alan,bryce,0.99975187,Nope
66,alan,bryce,0.9894247,Nope
67,alan,bryce,0.9997317,Nope
68,alan,bryce,0.9630713,Nope
69,alan,bryce,0.9994104,Nope
70,alan,bryce,0.9987185,Nope
71,alan,bryce,0.86890656,Nope
72,alan,andy,0.7041154,Nope
73,alan,bryce,0.9980292,Nope
74,alan,bryce,0.99977905,Nope
75,alan,bryce,0.63239104,Nope
76,alan,andy,0.6002718,Nope
77,alan,cy,0.9961618,Nope
78,alan,bryce,0.6360433,Nope
79,alan,bryce,0.9993931,Nope
80,alan,bryce,0.99979347,Nope
81,alan,bryce,0.9967244,Nope
82,alan,bryce,0.9950655,Nope
83,alan,bryce,0.9878956,Nope
