,Results,Prediction,Accuracy,andy azfar cy 133/140
0,andy,andy,0.99999714,Match
1,andy,andy,0.9999976,Match
2,andy,andy,0.9999976,Match
3,andy,andy,0.9999975,Match
4,andy,andy,0.9999974,Match
5,andy,andy,0.9999975,Match
6,andy,andy,0.9999962,Match
7,andy,andy,0.9999968,Match
8,andy,andy,0.9999968,Match
9,andy,andy,0.9999968,Match
10,andy,andy,0.99999535,Match
11,andy,andy,0.9999964,Match
12,andy,andy,0.99999714,Match
13,andy,andy,0.9999962,Match
14,andy,andy,0.999997,Match
15,andy,andy,0.999997,Match
16,andy,andy,0.9999962,Match
17,andy,andy,0.9999968,Match
18,andy,andy,0.9999976,Match
19,andy,andy,0.9999968,Match
20,andy,andy,0.9999975,Match
21,andy,andy,0.9999975,Match
22,andy,andy,0.99999726,Match
23,andy,andy,0.9999975,Match
24,andy,andy,0.9999976,Match
25,andy,andy,0.9999968,Match
26,andy,andy,0.999997,Match
27,andy,andy,0.9999975,Match
28,andy,andy,0.99999726,Match
29,andy,andy,0.9999975,Match
30,andy,andy,0.9999976,Match
31,andy,andy,0.9999969,Match
32,andy,andy,0.999997,Match
33,andy,andy,0.9999975,Match
34,andy,andy,0.99999726,Match
35,andy,andy,0.9999975,Match
36,andy,andy,0.9999975,Match
37,andy,andy,0.9999956,Match
38,andy,andy,0.9999962,Match
39,andy,andy,0.9999974,Match
40,andy,andy,0.9999974,Match
41,andy,andy,0.99999726,Match
42,andy,andy,0.9999975,Match
43,andy,andy,0.9999963,Match
44,andy,andy,0.99999654,Match
45,andy,andy,0.9999975,Match
46,andy,andy,0.9999975,Match
47,andy,andy,0.99999726,Match
48,azfar,azfar,0.8571999,Match
49,azfar,azfar,0.84049875,Match
50,azfar,cy,0.99825054,Nope
51,azfar,azfar,0.9991948,Match
52,azfar,cy,0.530447,Nope
53,azfar,cy,0.97919595,Nope
54,azfar,azfar,0.990958,Match
55,azfar,azfar,0.99782217,Match
56,azfar,azfar,0.9760464,Match
57,azfar,azfar,0.9991948,Match
58,azfar,azfar,0.9972914,Match
59,azfar,azfar,0.9873625,Match
60,azfar,azfar,0.92260766,Match
61,azfar,azfar,0.9758245,Match
62,azfar,cy,0.78540975,Nope
63,azfar,azfar,0.9991948,Match
64,azfar,azfar,0.9216014,Match
65,azfar,azfar,0.6475446,Match
66,azfar,azfar,0.7251242,Match
