,Results,Prediction,Accuracy,"cy, jonah, zen, 90/144"
0,andy,cy,0.7762731,Nope
1,andy,jonah,0.9797792,Nope
2,andy,jonah,0.9977609,Nope
3,andy,cy,0.83376825,Nope
4,andy,cy,0.83467585,Nope
5,andy,cy,0.7472824,Nope
6,andy,cy,0.9133256,Nope
7,andy,jonah,0.92967397,Nope
8,andy,jonah,0.98610187,Nope
9,andy,cy,0.97005355,Nope
10,andy,cy,0.9827586,Nope
11,andy,cy,0.9887583,Nope
12,andy,cy,0.9362433,Nope
13,andy,cy,0.9923488,Nope
14,andy,jonah,0.951344,Nope
15,andy,cy,0.99612623,Nope
16,andy,cy,0.9965306,Nope
17,andy,cy,0.99598676,Nope
18,andy,jonah,0.8956951,Nope
19,andy,cy,0.7981377,Nope
20,andy,jonah,0.99680054,Nope
21,andy,cy,0.5091536,Nope
22,andy,cy,0.85306215,Nope
23,andy,cy,0.80730194,Nope
24,andy,jonah,0.99646616,Nope
25,andy,jonah,0.98955274,Nope
26,andy,jonah,0.99090916,Nope
27,andy,jonah,0.9970084,Nope
28,andy,jonah,0.9934267,Nope
29,andy,jonah,0.906075,Nope
30,andy,cy,0.7352109,Nope
31,andy,cy,0.97267115,Nope
32,andy,cy,0.9123035,Nope
33,andy,jonah,0.926332,Nope
34,andy,cy,0.985277,Nope
35,andy,cy,0.9928478,Nope
36,andy,cy,0.8210001,Nope
37,andy,cy,0.98528546,Nope
38,andy,cy,0.93846685,Nope
39,andy,jonah,0.91018784,Nope
40,andy,jonah,0.9784492,Nope
41,andy,cy,0.9770636,Nope
42,andy,jonah,0.8026672,Nope
43,andy,cy,0.96715254,Nope
44,andy,cy,0.92589706,Nope
45,andy,jonah,0.95187026,Nope
46,andy,jonah,0.99375266,Nope
47,andy,cy,0.9567694,Nope
48,azfar,zen,0.990511,Nope
49,azfar,jonah,0.98712015,Nope
50,azfar,zen,0.99669695,Nope
51,azfar,zen,0.9996985,Nope
52,azfar,cy,0.51214606,Nope
53,azfar,zen,0.9996723,Nope
54,azfar,cy,0.92984587,Nope
55,azfar,jonah,0.8010134,Nope
56,azfar,zen,0.7841066,Nope
57,azfar,zen,0.9997974,Nope
58,azfar,cy,0.99964154,Nope
59,azfar,cy,0.6338596,Nope
60,azfar,zen,0.92854536,Nope
61,azfar,cy,0.8509105,Nope
62,azfar,zen,0.9931178,Nope
63,azfar,zen,0.99936706,Nope
64,azfar,cy,0.9951704,Nope
65,azfar,zen,0.64248204,Nope
66,azfar,zen,0.69060564,Nope
67,azfar,cy,0.83409554,Nope
68,azfar,zen,0.7205265,Nope
69,azfar,zen,0.99969923,Nope
70,azfar,cy,0.9850702,Nope
71,azfar,cy,0.9568733,Nope
72,azfar,zen,0.96934503,Nope
73,azfar,zen,0.9726221,Nope
74,azfar,zen,0.99930775,Nope
75,azfar,zen,0.85448486,Nope
76,azfar,cy,0.4970415,Nope
77,azfar,zen,0.9994566,Nope
78,azfar,zen,0.9976368,Nope
79,azfar,zen,0.9985672,Nope
80,azfar,zen,0.9951603,Nope
81,azfar,zen,0.99709177,Nope
82,azfar,zen,0.99904233,Nope
83,azfar,zen,0.9981927,Nope
84,azfar,zen,0.8284653,Nope
85,azfar,cy,0.9947078,Nope
86,azfar,cy,0.91496474,Nope
87,azfar,cy,0.9910349,Nope
88,azfar,cy,0.75211704,Nope
89,azfar,zen,0.99976605,Nope
90,azfar,zen,0.645512,Nope
91,azfar,cy,0.99837214,Nope
92,azfar,cy,0.9257534,Nope
93,azfar,cy,0.997867,Nope
94,azfar,cy,0.95128006,Nope
95,azfar,zen,0.9996221,Nope
96,ch,jonah,0.9998746,Nope
97,ch,jonah,0.99940026,Nope
98,ch,jonah,0.9923872,Nope
99,ch,jonah,0.9822744,Nope
100,ch,jonah,0.9941759,Nope
101,ch,jonah,0.9998634,Nope
102,ch,jonah,0.9998777,Nope
103,ch,jonah,0.9989801,Nope
104,ch,jonah,0.9967583,Nope
105,ch,jonah,0.99918467,Nope
106,ch,jonah,0.9998702,Nope
107,ch,jonah,0.9998779,Nope
108,ch,jonah,0.9802547,Nope
109,ch,jonah,0.9996879,Nope
110,ch,jonah,0.9998481,Nope
111,ch,jonah,0.9998702,Nope
112,ch,jonah,0.99987686,Nope
113,ch,jonah,0.9998784,Nope
114,ch,jonah,0.8218796,Nope
115,ch,jonah,0.991763,Nope
116,ch,jonah,0.997519,Nope
117,ch,jonah,0.9997663,Nope
118,ch,jonah,0.9998727,Nope
119,ch,jonah,0.9998784,Nope
120,ch,zen,0.52304894,Nope
121,ch,jonah,0.9997315,Nope
122,ch,jonah,0.99987805,Nope
123,ch,jonah,0.99969697,Nope
124,ch,jonah,0.99986184,Nope
125,ch,jonah,0.9998783,Nope
126,ch,jonah,0.6268237,Nope
127,ch,jonah,0.9863312,Nope
128,ch,jonah,0.99987733,Nope
129,ch,jonah,0.99808913,Nope
130,ch,jonah,0.9998684,Nope
