,key,press_time,release_time
0,'w',1654844438.8234923,1654844439.1344898
1,'a',1654844439.013568,1654844439.4164016
2,'n',1654844439.18755,1654844439.3144188
3,'g',1654844439.3723652,1654844439.5295475
4,'1',1654844439.9573958,1654844440.1803749
5,'2',1654844440.0673401,1654844440.2890391
6,'3',1654844440.232041,1654844440.403069
7,'4',1654844440.560465,1654844440.6745045
0,'w',1654844444.2252445,1654844444.4813862
1,'a',1654844444.3861125,1654844444.7083845
2,'n',1654844444.5103812,1654844444.660382
3,'g',1654844444.6613827,1654844444.792385
4,'1',1654844445.026383,1654844445.2094166
5,'2',1654844445.1433816,1654844445.3583848
6,'3',1654844445.2714615,1654844445.3994036
7,'4',1654844445.4944012,1654844445.6184008
0,'w',1654844447.9325762,1654844448.1817117
1,'a',1654844448.0396302,1654844448.4407241
2,'n',1654844448.2607152,1654844448.4197254
3,'g',1654844448.404726,1654844448.5287247
4,'1',1654844448.7703614,1654844448.9570699
5,'2',1654844448.8803606,1654844449.1066635
6,'3',1654844448.9896572,1654844449.1346636
7,'4',1654844449.2318327,1654844449.3816562
0,'w',1654844452.0369015,1654844452.3295135
1,'a',1654844452.1935706,1654844452.6324065
2,'n',1654844452.4055696,1654844452.5203812
3,'g',1654844452.5473955,1654844452.6804206
4,'1',1654844453.1494353,1654844453.387544
5,'2',1654844453.2876656,1654844453.547506
6,'3',1654844453.4605043,1654844453.6393797
7,'4',1654844453.8093688,1654844453.9434216
0,'w',1654844455.6903858,1654844455.9545097
1,'a',1654844455.862481,1654844456.199401
2,'n',1654844456.0295873,1654844456.1454499
3,'g',1654844456.1633768,1654844456.2794628
4,'1',1654844456.5693994,1654844456.7624633
5,'2',1654844456.6824632,1654844456.8603978
6,'3',1654844456.801462,1654844456.9384153
7,'4',1654844457.0433986,1654844457.1944127
0,'w',1654844458.8297257,1654844459.0851462
1,'a',1654844458.987155,1654844459.4294465
2,'n',1654844459.1941683,1654844459.2913983
3,'g',1654844459.3516235,1654844459.4804616
4,'1',1654844459.802434,1654844459.9884531
5,'2',1654844459.9234533,1654844460.1503716
6,'3',1654844460.0764625,1654844460.2183714
7,'4',1654844460.321237,1654844460.4602337
0,'w',1654844461.9713767,1654844462.2012358
1,'a',1654844462.12151,1654844462.4829857
2,'n',1654844462.303496,1654844462.4239647
3,'g',1654844462.4719818,1654844462.59505
4,'1',1654844462.8962898,1654844463.0663443
5,'2',1654844462.998304,1654844463.1623418
6,'3',1654844463.1123426,1654844463.2543564
7,'4',1654844463.3793988,1654844463.521464
0,'w',1654844464.9294086,1654844465.163577
1,'a',1654844465.0242321,1654844465.4854708
2,'n',1654844465.235577,1654844465.3432379
3,'g',1654844465.393488,1654844465.5395007
4,'1',1654844465.8523998,1654844466.026429
5,'2',1654844465.902421,1654844466.1205206
6,'3',1654844466.0494328,1654844466.2064877
7,'4',1654844466.3234963,1654844466.4794958
0,'w',1654844468.2394836,1654844468.4835362
1,'a',1654844468.3931856,1654844468.8100886
2,'n',1654844468.5454857,1654844468.6795888
3,'g',1654844468.7325897,1654844468.8796525
4,'1',1654844469.2377725,1654844469.4463747
5,'2',1654844469.3445122,1654844469.538838
6,'3',1654844469.4933734,1654844469.6424897
7,'4',1654844469.7461982,1654844469.9032326
0,'w',1654844471.4184022,1654844471.7074876
1,'a',1654844471.57547,1654844472.0028112
2,'n',1654844471.7613752,1654844471.8684125
3,'g',1654844471.9264822,1654844472.0438213
4,'1',1654844472.3224185,1654844472.49347
5,'2',1654844472.4574735,1654844472.6654859
6,'3',1654844472.5991368,1654844472.73464
7,'4',1654844472.833515,1654844473.0381536
0,'w',1654844474.417484,1654844474.6912045
1,'a',1654844474.5995672,1654844475.0274494
2,'n',1654844474.8013773,1654844474.8958204
3,'g',1654844474.9583943,1654844475.0872304
4,'1',1654844475.386373,1654844475.5801497
5,'2',1654844475.5271463,1654844475.795588
6,'3',1654844475.7365851,1654844475.8802633
7,'4',1654844475.9714184,1654844476.1430008
0,'w',1654844477.8354774,1654844478.0814738
1,'a',1654844478.0004723,1654844478.410388
2,'n',1654844478.181541,1654844478.2834792
3,'g',1654844478.3375013,1654844478.4574363
4,'1',1654844478.743391,1654844478.8903942
5,'2',1654844478.839483,1654844479.0867932
6,'3',1654844479.0154104,1654844479.1430182
7,'4',1654844479.2708533,1654844479.465395
0,'w',1654844480.846427,1654844481.0744627
1,'a',1654844481.0184617,1654844481.3894968
2,'n',1654844481.168377,1654844481.2634375
3,'g',1654844481.7614279,1654844481.8724823
4,'1',1654844482.0734072,1654844482.2570813
5,'2',1654844482.191485,1654844482.4204736
6,'3',1654844482.3574564,1654844482.4854965
7,'4',1654844482.5883763,1654844482.7563903
0,'w',1654844484.3844335,1654844484.617033
1,'a',1654844484.5084684,1654844484.877135
2,'n',1654844484.6800525,1654844484.779458
3,'g',1654844484.8491223,1654844484.9763722
4,'1',1654844485.2434628,1654844485.4344552
5,'2',1654844485.4002244,1654844485.6072273
6,'3',1654844485.55438,1654844485.6893144
7,'4',1654844485.792223,1654844485.9564571
0,'w',1654844506.5053914,1654844506.7838228
1,'a',1654844506.6878037,1654844507.0512488
2,'n',1654844506.8608198,1654844506.9702342
3,'g',1654844507.0182521,1654844507.1242483
4,'1',1654844507.39105,1654844507.587867
5,'2',1654844507.5258296,1654844507.7348251
6,'3',1654844507.683159,1654844507.813456
7,'4',1654844507.9393313,1654844508.0713327
0,'w',1654844509.32583,1654844509.5885458
1,'a',1654844509.4832149,1654844509.7511802
2,'n',1654844509.7019298,1654844509.7861814
3,'g',1654844510.1121833,1654844510.229183
4,'1',1654844510.4301813,1654844510.5941796
5,'2',1654844510.5361814,1654844510.7041802
6,'3',1654844510.6571858,1654844510.7921808
7,'4',1654844510.8931832,1654844511.0081828
0,'w',1654844512.3169398,1654844512.5505805
1,'a',1654844512.4819384,1654844512.927584
2,'n',1654844512.6965826,1654844512.795582
3,'g',1654844512.887584,1654844513.000581
4,'1',1654844513.355581,1654844513.5212123
5,'2',1654844513.468583,1654844513.738587
6,'3',1654844513.6315932,1654844513.81323
7,'4',1654844513.9382274,1654844514.08423
0,'w',1654844515.3336215,1654844515.5717323
