,key,press_time,release_time
0,'a',1655080152.2077258,1655080152.3175893
1,'n',1655080152.2763865,1655080152.3804944
2,'d',1655080152.3778071,1655080152.5022845
3,'y',1655080152.5047493,1655080152.5625968
4,'1',1655080152.7414055,1655080152.8831913
5,'2',1655080152.8522742,1655080153.0058632
6,'3',1655080152.944031,1655080153.0457568
7,'4',1655080153.1225505,1655080153.2352502
0,'a',1655080155.883933,1655080155.9856617
1,'n',1655080155.9886534,1655080156.0804079
2,'d',1655080156.0764198,1655080156.1951008
3,'y',1655080156.2150474,1655080156.276883
4,'1',1655080156.448423,1655080156.639912
5,'2',1655080156.582066,1655080156.7715595
6,'3',1655080156.7745507,1655080156.8533404
7,'4',1655080157.0657716,1655080157.1834574
0,'a',1655080163.8291764,1655080163.9618683
1,'n',1655080163.981779,1655080164.0833912
2,'d',1655080164.1237175,1655080164.2633324
3,'y',1655080164.266361,1655080164.313575
4,'1',1655080164.5271926,1655080164.6803246
5,'2',1655080164.6179945,1655080164.7991338
6,'3',1655080164.7309036,1655080164.8401575
7,'4',1655080164.9107573,1655080165.0228846
0,'a',1655080166.4965005,1655080166.6282477
1,'n',1655080166.6312397,1655080166.7120235
2,'d',1655080166.751917,1655080166.870598
3,'y',1655080166.87359,1655080166.9204671
4,'1',1655080167.113948,1655080167.2775104
5,'2',1655080167.2256489,1655080167.3852222
6,'3',1655080167.3233876,1655080167.4560332
7,'4',1655080167.5158732,1655080167.5876808
0,'a',1655080169.0766962,1655080169.1893952
1,'n',1655080169.218318,1655080169.3110707
2,'d',1655080169.3360033,1655080169.4487019
3,'y',1655080169.4686477,1655080169.5504293
4,'1',1655080169.682079,1655080169.8037517
5,'2',1655080169.7528887,1655080169.9423802
6,'3',1655080169.90149,1655080170.0032191
7,'4',1655080170.0740285,1655080170.1857302
0,'a',1655080172.0834572,1655080172.1758976
1,'n',1655080172.1788893,1655080172.2707171
2,'d',1655080172.266965,1655080172.3752134
3,'y',1655080172.3947036,1655080172.4464548
4,'1',1655080172.5873866,1655080172.730051
5,'2',1655080172.6690404,1655080172.8235412
6,'3',1655080172.7819123,1655080172.9002025
7,'4',1655080172.9809866,1655080173.0832353
0,'a',1655080179.7091656,1655080179.7806334
1,'n',1655080179.7596881,1655080179.8833582
2,'d',1655080179.913002,1655080180.0314345
3,'y',1655080180.0104914,1655080180.0815053
4,'1',1655080180.314393,1655080180.47751
5,'2',1655080180.4058244,1655080180.6053574
6,'3',1655080180.5554898,1655080180.6562202
7,'4',1655080180.7370057,1655080180.8287601
0,'a',1655080183.533639,1655080183.6416054
1,'n',1655080183.6108394,1655080183.712416
2,'d',1655080183.8847163,1655080184.0172884
3,'y',1655080184.0202808,1655080184.1149707
