,key,press_time,release_time
0,'m',1655306746,1655306746
1,'e',1655306746,1655306747
2,'m',1655306747,1655306747
3,'o',1655306747,1655306747
4,'r',1655306747,1655306747
5,'i',1655306747,1655306747
6,'e',1655306747,1655306747
7,'s',1655306747,1655306747
0,'m',1655306749,1655306749
1,'e',1655306749,1655306749
2,'m',1655306749,1655306749
3,'o',1655306749,1655306749
4,'r',1655306749,1655306749
5,'i',1655306749,1655306749
6,'e',1655306749,1655306749
7,'s',1655306749,1655306750
0,'m',1655306752,1655306752
1,'e',1655306752,1655306752
2,'m',1655306752,1655306752
3,'o',1655306752,1655306752
4,'r',1655306752,1655306752
5,'i',1655306752,1655306753
6,'e',1655306753,1655306753
7,'s',1655306753,1655306753
0,'m',1655306758,1655306758
1,'e',1655306758,1655306758
2,'m',1655306758,1655306758
3,'o',1655306758,1655306758
4,'r',1655306758,1655306758
5,'i',1655306758,1655306759
6,'e',1655306759,1655306759
7,'s',1655306759,1655306759
0,'m',1655306760,1655306760
1,'e',1655306760,1655306760
2,'m',1655306760,1655306761
3,'o',1655306760,1655306761
4,'r',1655306761,1655306761
5,'i',1655306761,1655306761
6,'e',1655306761,1655306761
7,'s',1655306761,1655306761
0,'m',1655306796,1655306796
1,'e',1655306796,1655306796
2,'m',1655306796,1655306796
3,'o',1655306796,1655306797
4,'r',1655306797,1655306797
5,'i',1655306797,1655306797
6,'e',1655306797,1655306797
7,'s',1655306797,1655306797
0,'m',1655306798,1655306798
1,'e',1655306798,1655306798
2,'m',1655306798,1655306799
3,'o',1655306798,1655306799
4,'r',1655306799,1655306799
5,'i',1655306799,1655306799
6,'e',1655306799,1655306799
7,'s',1655306799,1655306799
0,'m',1655306801,1655306801
1,'e',1655306801,1655306801
2,'m',1655306801,1655306801
3,'o',1655306801,1655306801
4,'r',1655306801,1655306801
5,'i',1655306801,1655306801
6,'e',1655306801,1655306801
7,'s',1655306801,1655306801
0,'m',1655306803,1655306803
1,'e',1655306803,1655306803
2,'m',1655306803,1655306803
3,'o',1655306803,1655306803
4,'r',1655306803,1655306803
5,'i',1655306803,1655306803
6,'e',1655306803,1655306803
7,'s',1655306804,1655306804
0,'m',1655306805,1655306805
1,'e',1655306805,1655306805
2,'m',1655306805,1655306805
3,'o',1655306805,1655306805
4,'r',1655306805,1655306805
5,'i',1655306805,1655306806
6,'e',1655306806,1655306806
7,'s',1655306806,1655306806
0,'m',1655306815,1655306815
1,'e',1655306815,1655306815
2,'m',1655306815,1655306815
3,'o',1655306815,1655306815
4,'r',1655306815,1655306815
5,'i',1655306815,1655306815
6,'e',1655306815,1655306815
7,'s',1655306815,1655306816
0,'m',1655306817,1655306817
1,'e',1655306817,1655306817
2,'m',1655306818,1655306818
3,'o',1655306818,1655306818
4,'r',1655306818,1655306818
5,'i',1655306818,1655306818
6,'e',1655306818,1655306818
7,'s',1655306818,1655306818
0,'m',1655306819,1655306820
1,'e',1655306820,1655306820
2,'m',1655306820,1655306820
3,'o',1655306820,1655306820
4,'r',1655306820,1655306820
5,'i',1655306820,1655306820
6,'e',1655306820,1655306820
7,'s',1655306820,1655306820
0,'m',1655306822,1655306822
1,'e',1655306822,1655306822
2,'m',1655306822,1655306822
3,'o',1655306822,1655306822
4,'r',1655306822,1655306822
5,'i',1655306822,1655306822
6,'e',1655306822,1655306822
