,key,press_time,release_time
0,'h',1655302799.6452389,1655302799.7202413
1,'i',1655302800.7366288,1655302800.8094037
2,'a',1655302801.2132509,1655302801.2801063
3,'n',1655302801.7369218,1655302801.796688
4,'d',1655302801.928382,1655302801.9931853
5,'y',1655302802.277403,1655302802.3932152
6,'1',1655302802.4798975,1655302802.5606487
7,'2',1655302802.680326,1655302802.752133
0,'h',1655302809.328655,1655302809.4092362
1,'i',1655302809.7327938,1655302809.8003647
2,'a',1655302810.3053787,1655302810.355916
3,'n',1655302810.7651823,1655302810.8124783
4,'d',1655302810.981207,1655302811.0360599
5,'y',1655302811.3771753,1655302811.4679413
6,'1',1655302811.717237,1655302811.7810698
7,'2',1655302811.9287412,1655302811.9971879
0,'h',1655302821.4013426,1655302821.4811358
1,'i',1655302821.7085178,1655302821.7853208
2,'a',1655302823.1653275,1655302823.216558
3,'n',1655302823.500724,1655302823.5692039
4,'d',1655302823.7859678,1655302823.852784
5,'y',1655302824.0323026,1655302824.108099
6,'1',1655302824.4244776,1655302824.492072
7,'2',1655302824.6089728,1655302824.6807027
0,'h',1655302827.6125102,1655302827.6812449
1,'i',1655302827.8531604,1655302827.92864
2,'a',1655302828.4811602,1655302828.5452075
3,'n',1655302828.7723844,1655302828.849265
4,'d',1655302828.95689,1655302829.0167286
5,'y',1655302829.1571891,1655302829.229232
6,'1',1655302829.3651497,1655302829.4326167
7,'2',1655302829.528397,1655302829.6001685
0,'h',1655302862.1971474,1655302862.2768698
1,'i',1655302862.7011662,1655302862.796473
2,'a',1655302863.4370902,1655302863.51247
3,'n',1655302863.7608056,1655302863.8246386
4,'d',1655302863.9084659,1655302863.9563105
5,'y',1655302864.1049223,1655302864.180683
6,'1',1655302864.2931101,1655302864.356213
7,'2',1655302864.444015,1655302864.521137
0,'h',1655302867.2245421,1655302867.2884836
1,'i',1655302867.5011497,1655302867.5611804
2,'a',1655302868.2408257,1655302868.300664
3,'n',1655302868.4971747,1655302868.5609674
4,'d',1655302868.6492198,1655302868.6972017
5,'y',1655302868.8332417,1655302868.8971589
6,'1',1655302868.9609675,1655302869.0197406
7,'2',1655302869.096537,1655302869.164354
0,'h',1655302871.4846616,1655302871.544501
1,'i',1655302872.0850575,1655302872.1568651
2,'a',1655302872.8210936,1655302872.8809292
3,'n',1655302873.0604475,1655302873.1083193
4,'d',1655302873.2409673,1655302873.2964804
5,'y',1655302873.4051187,1655302873.464409
6,'1',1655302873.5931246,1655302873.644885
7,'2',1655302873.7291508,1655302873.805058
0,'h',1655302876.3725896,1655302876.4372678
1,'i',1655302876.657142,1655302876.7206635
2,'a',1655302877.3260524,1655302877.3808925
3,'n',1655302877.5412486,1655302877.6010706
4,'d',1655302877.7090166,1655302877.7691507
5,'y',1655302877.853201,1655302877.9164805
6,'1',1655302878.0242097,1655302878.089008
7,'2',1655302878.173193,1655302878.2525628
0,'h',1655302881.0291574,1655302881.0931382
1,'i',1655302881.2764747,1655302881.345294
2,'a',1655302881.6125784,1655302881.6844215
3,'n',1655302881.7811255,1655302881.8449914
4,'d',1655302881.9845815,1655302882.0365589
5,'y',1655302882.1083326,1655302882.169088
6,'1',1655302882.3037274,1655302882.376534
7,'2',1655302882.45265,1655302882.5291488
0,'h',1655302884.42912,1655302884.4769385
1,'i',1655302884.6444666,1655302884.705198
2,'a',1655302885.068444,1655302885.1281729
3,'n',1655302885.3051507,1655302885.3531811
4,'d',1655302885.4205031,1655302885.4804163
5,'y',1655302885.575978,1655302885.6452115
6,'1',1655302885.7605286,1655302885.824313
7,'2',1655302885.908125,1655302885.9971077
0,'h',1655302888.4244547,1655302888.4933324
1,'i',1655302888.7125897,1655302888.7726493
2,'a',1655302889.133298,1655302889.1893163
3,'n',1655302889.328941,1655302889.3891177
4,'d',1655302889.5245008,1655302889.5813663
5,'y',1655302889.6693022,1655302889.7375925
6,'1',1655302889.8691225,1655302889.9413037
7,'2',1655302890.0250783,1655302890.092902
0,'h',1655302891.965098,1655302892.0165942
1,'i',1655302892.1810396,1655302892.2538376
2,'a',1655302892.6332438,1655302892.6853411
3,'n',1655302892.8691359,1655302892.9203818
4,'d',1655302893.0088706,1655302893.0646157
5,'y',1655302893.1483903,1655302893.2011292
6,'1',1655302893.3289084,1655302893.4037488
7,'2',1655302893.4965858,1655302893.5723228
0,'h',1655302896.1204576,1655302896.19683
1,'i',1655302896.4326086,1655302896.4965076
2,'a',1655302896.8724773,1655302896.9173126
3,'n',1655302897.0728948,1655302897.125169
4,'d',1655302897.268372,1655302897.3123813
5,'y',1655302897.393039,1655302897.4571228
6,'1',1655302897.6284564,1655302897.7046692
7,'2',1655302897.7949686,1655302897.8637803
0,'h',1655302899.6410258,1655302899.6928885
1,'i',1655302899.8646789,1655302899.937295
2,'a',1655302900.2334442,1655302900.2932825
3,'n',1655302900.4728005,1655302900.528724
4,'d',1655302900.6174214,1655302900.6722677
5,'y',1655302900.7450745,1655302900.8131194
6,'1',1655302900.917232,1655302900.9804437
7,'2',1655302901.0642202,1655302901.1410165
0,'h',1655302903.1975183,1655302903.253372
1,'i',1655302903.5450745,1655302903.600441
2,'a',1655302903.960481,1655302904.0168178
3,'n',1655302904.6805491,1655302904.7364614
4,'d',1655302905.0452535,1655302905.1014235
5,'y',1655302905.2331083,1655302905.3128586
6,'1',1655302905.4285855,1655302905.492416
7,'2',1655302905.5881598,1655302905.6639197
0,'h',1655302907.6367044,1655302907.7004735
1,'i',1655302907.9248743,1655302907.9931953
2,'a',1655302908.2609768,1655302908.3291404
3,'n',1655302908.4883964,1655302908.5364416
4,'d',1655302909.1891372,1655302909.273268
5,'y',1655302909.4491026,1655302909.5285857
6,'1',1655302909.8367643,1655302909.8886218
7,'2',1655302909.997146,1655302910.0691714
0,'h',1655302917.0485706,1655302917.1204398
1,'i',1655302917.337106,1655302917.4045227
2,'a',1655302917.6771083,1655302917.736633
3,'n',1655302917.876304,1655302917.929155
4,'d',1655302918.0198748,1655302918.0811484
5,'y',1655302918.1325753,1655302918.200435
6,'1',1655302918.2861629,1655302918.3559763
7,'2',1655302918.4452333,1655302918.5325081
0,'h',1655302920.189127,1655302920.2651386
1,'i',1655302920.760684,1655302920.8290389
2,'a',1655302921.3545318,1655302921.4248235
3,'n',1655302922.0212307,1655302922.0730996
4,'d',1655302922.2446423,1655302922.296493
5,'y',1655302922.38044,1655302922.457081
6,'1',1655302922.5488577,1655302922.6206307
7,'2',1655302922.7086556,1655302922.800143
0,'h',1655302925.680445,1655302925.7764585
1,'i',1655302926.193005,1655302926.2850947
2,'a',1655302926.7051148,1655302926.773518
3,'n',1655302926.9450593,1655302927.0170798
4,'d',1655302927.140537,1655302927.1924772
5,'y',1655302927.29313,1655302927.3651056
6,'1',1655302927.4487133,1655302927.5212042
7,'2',1655302927.5967176,1655302927.68508
0,'h',1655302929.3725686,1655302929.4363966
1,'i',1655302929.7410696,1655302929.8133907
2,'a',1655302930.1405213,1655302930.1967692
3,'n',1655302930.3649187,1655302930.4127865
4,'d',1655302930.5244863,1655302930.5763857
5,'y',1655302930.6731431,1655302930.756866
6,'1',1655302930.812717,1655302930.8805737
7,'2',1655302930.968651,1655302931.0571017
0,'h',1655302932.9300938,1655302932.9889355
1,'i',1655302933.24924,1655302933.3290267
2,'a',1655302934.1131072,1655302934.1767597
3,'n',1655302934.3892188,1655302934.4372318
4,'d',1655302934.5447755,1655302934.593153
5,'y',1655302934.720305,1655302934.7851305
6,'1',1655302934.912789,1655302934.9845986
7,'2',1655302935.092405,1655302935.1691048
0,'h',1655302937.3373058,1655302937.4011364
1,'i',1655302937.473217,1655302937.5487406
2,'a',1655302937.785109,1655302937.8452158
3,'n',1655302937.95719,1655302938.0015562
4,'d',1655302938.1364303,1655302938.1810486
5,'y',1655302938.2521749,1655302938.3051398
6,'1',1655302938.4443498,1655302938.5091703
7,'2',1655302938.5919507,1655302938.663795
0,'h',1655302941.1531487,1655302941.2129397
1,'i',1655302941.3246424,1655302941.4051428
2,'a',1655302941.672713,1655302941.7290738
3,'n',1655302941.8691897,1655302941.9131112
4,'d',1655302942.0167923,1655302942.0566835
5,'y',1655302942.112673,1655302942.1564167
6,'1',1655302942.2531598,1655302942.3249664
7,'2',1655302942.4084775,1655302942.4845767
0,'h',1655302947.616919,1655302947.6727865
1,'i',1655302948.3731449,1655302948.4406805
2,'a',1655302948.765043,1655302948.813115
3,'n',1655302948.9811664,1655302949.0411072
4,'d',1655302949.1287775,1655302949.1816287
5,'y',1655302949.245458,1655302949.3094451
6,'1',1655302949.412797,1655302949.4772265
7,'2',1655302949.552608,1655302949.6410875
0,'h',1655302951.7691634,1655302951.8248208
1,'i',1655302951.9854019,1655302952.0605793
2,'a',1655302952.5010812,1655302952.5531428
3,'n',1655302952.6964877,1655302952.752342
4,'d',1655302952.8572981,1655302952.9089208
5,'y',1655302952.9690518,1655302953.0246103
6,'1',1655302953.2530003,1655302953.3211515
7,'2',1655302953.4107034,1655302953.4684274
0,'h',1655302965.8331137,1655302965.8886106
1,'i',1655302966.6466198,1655302966.725373
2,'a',1655302967.352698,1655302967.4166052
3,'n',1655302967.6251974,1655302967.6808178
4,'d',1655302967.8084795,1655302967.8623464
5,'y',1655302969.4203787,1655302969.5131125
6,'1',1655302969.8332863,1655302969.9058685
7,'2',1655302970.0090237,1655302970.0804024
0,'h',1655302972.014585,1655302972.0764055
1,'i',1655302972.445138,1655302972.5211265
2,'a',1655302972.937013,1655302972.997081
3,'n',1655302973.206293,1655302973.2723677
4,'d',1655302973.3718498,1655302973.4317274
5,'y',1655302973.5886395,1655302973.6725957
6,'1',1655302973.7649198,1655302973.836995
7,'2',1655302973.9164188,1655302974.009039
0,'h',1655302976.1884243,1655302976.2490602
1,'i',1655302976.5124505,1655302976.5892503
2,'a',1655302976.8726578,1655302976.9364126
3,'n',1655302977.144764,1655302977.205453
4,'d',1655302977.3173013,1655302977.369384
5,'y',1655302977.904807,1655302977.9964845
6,'1',1655302978.148086,1655302978.2258716
7,'2',1655302978.3210917,1655302978.4004061
0,'h',1655302985.488996,1655302985.5421677
1,'i',1655302985.7606783,1655302985.8284113
2,'a',1655302986.4291568,1655302986.4806583
3,'n',1655302986.7170258,1655302986.7888331
4,'d',1655302986.8651364,1655302986.92447
5,'y',1655302987.1844773,1655302987.2771258
6,'1',1655302987.4090612,1655302987.4725957
7,'2',1655302987.5763724,1655302987.6523848
0,'h',1655302990.0210814,1655302990.0885994
