Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
azfar,p_l,16_12,16,12,0.247338057,-0.139616013,0.107722044,0.056847572,0.304185629,0.196463585
azfar,l_a,12_1,12,1,0.196463585,-0.132645369,0.063818216,0.051880121,0.248343706,0.18452549
azfar,a_y,1_25,1,25,0.18452549,-0.046875238,0.137650251,0.103703737,0.288229227,0.150578976
azfar,y_4,25_94,25,94,0.150578976,1.108584642,1.259163618,1.287728548,1.438307524,0.179143906
azfar,4_p,94_16,94,16,0.179143906,0.15999341,0.339137316,0.312122107,0.491266012,0.152128696
azfar,p_a,16_1,16,1,0.152128696,-0.018958569,0.133170128,0.176497459,0.328626156,0.195456028
azfar,a_y,1_25,1,25,0.195456028,-0.019947052,0.175508976,0.183512926,0.378968954,0.203459978
azfar,p_l,16_12,16,12,0.211434603,-0.119679451,0.091755152,0.067818642,0.279253244,0.187498093
azfar,l_a,12_1,12,1,0.187498093,-0.064820051,0.122678041,0.152592182,0.340090275,0.217412233
azfar,a_y,1_25,1,25,0.217412233,0.00897789,0.226390123,0.099738121,0.317150354,0.090760231
azfar,y_4,25_94,25,94,0.090760231,1.124376535,1.215136766,1.287649155,1.378409386,0.163272619
azfar,4_p,94_16,94,16,0.163272619,0.155616283,0.318888903,0.300199032,0.463471651,0.144582748
azfar,p_a,16_1,16,1,0.144582748,0.084775448,0.229358196,0.288227081,0.43280983,0.203451633
azfar,a_y,1_25,1,25,0.203451633,-0.006967545,0.196484089,0.188516617,0.39196825,0.195484161
azfar,p_l,16_12,16,12,0.199507713,-0.127657413,0.0718503,0.072809696,0.27231741,0.20046711
azfar,l_a,12_1,12,1,0.20046711,-0.044852018,0.155615091,0.147601366,0.348068476,0.192453384
azfar,a_y,1_25,1,25,0.192453384,0.307188749,0.499642134,0.44381094,0.636264324,0.13662219
azfar,y_4,25_94,25,94,0.13662219,0.355766773,0.492388964,0.52341795,0.66004014,0.167651176
azfar,4_p,94_16,94,16,0.167651176,0.096740246,0.264391422,0.240355492,0.408006668,0.143615246
azfar,p_a,16_1,16,1,0.143615246,-0.031913996,0.11170125,0.220009804,0.36362505,0.2519238
azfar,a_y,1_25,1,25,0.2519238,-0.060100794,0.191823006,0.127952337,0.379876137,0.188053131
azfar,p_l,16_12,16,12,0.220707893,-0.104715347,0.115992546,0.062827587,0.28353548,0.167542934
azfar,l_a,12_1,12,1,0.167542934,-0.003965855,0.16357708,0.188497066,0.356040001,0.192462921
azfar,a_y,1_25,1,25,0.192462921,-0.039892435,0.152570486,0.112730265,0.305193186,0.1526227
azfar,y_4,25_94,25,94,0.1526227,0.555216074,0.707838774,0.727759123,0.880381823,0.172543049
azfar,4_p,94_16,94,16,0.172543049,0.067815781,0.240358829,0.263288498,0.435831547,0.195472717
azfar,p_a,16_1,16,1,0.195472717,0.247931242,0.443403959,0.464327335,0.659800053,0.216396093
azfar,a_y,1_25,1,25,0.216396093,0.002015352,0.218411446,0.179535389,0.395931482,0.177520037
azfar,p_l,16_12,16,12,0.232223511,-0.111726999,0.120496511,0.071807384,0.304030895,0.183534384
azfar,l_a,12_1,12,1,0.183534384,-0.103753328,0.079781055,0.104859114,0.288393497,0.208612442
azfar,a_y,1_25,1,25,0.208612442,-0.020944357,0.187668085,0.058849096,0.267461538,0.079793453
azfar,y_4,25_94,25,94,0.079793453,0.508771896,0.58856535,0.66439271,0.744186163,0.155620813
azfar,4_p,94_16,94,16,0.155620813,0.048896074,0.204516888,0.183509111,0.339129925,0.134613037
azfar,p_a,16_1,16,1,0.134613037,0.024936676,0.159549713,0.220410585,0.355023623,0.195473909
