Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
chris,a_1,1_91,1,91,0.12094855308532715,0.557072639465332,0.6780211925506592,0.6692311763763428,0.7901797294616699,0.11215853691101074
chris,1_r,91_18,91,18,0.11215853691101074,0.199951171875,0.31210970878601074,0.3175182342529297,0.42967677116394043,0.11756706237792969
chris,r_c,18_3,18,3,0.11756706237792969,5.305511236190796,5.423078298568726,5.461236953735352,5.578804016113281,0.15572571754455566
chris,c_r,3_18,3,18,0.15572571754455566,0.47316956520080566,0.6288952827453613,0.5856935977935791,0.7414193153381348,0.11252403259277344
chris,r_2,18_92,18,92,0.11252403259277344,0.10115885734558105,0.2136828899383545,0.2346663475036621,0.34719038009643555,0.13350749015808105
chris,2_f,92_6,92,6,0.13350749015808105,0.10567283630371094,0.239180326461792,0.20520901679992676,0.3387165069580078,0.09953618049621582
chris,f_t,6_20,6,20,0.09953618049621582,0.10096907615661621,0.20050525665283203,0.20920968055725098,0.3087458610534668,0.10824060440063477
chris,a_1,1_91,1,91,0.09821891784667969,0.8350093364715576,0.9332282543182373,0.9877092838287354,1.085928201675415,0.15269994735717773
chris,1_r,91_18,91,18,0.15269994735717773,0.1947309970855713,0.347430944442749,0.3293190002441406,0.48201894760131836,0.13458800315856934
chris,r_c,18_3,18,3,0.13458800315856934,0.185927152633667,0.32051515579223633,0.28456854820251465,0.419156551361084,0.09864139556884766
chris,c_r,3_18,3,18,0.09864139556884766,0.3903768062591553,0.48901820182800293,0.5073232650756836,0.6059646606445312,0.11694645881652832
chris,r_2,18_92,18,92,0.11694645881652832,0.10661077499389648,0.2235572338104248,0.23387956619262695,0.3508260250091553,0.12726879119873047
chris,2_f,92_6,92,6,0.12726879119873047,0.06199455261230469,0.18926334381103516,0.18491101264953613,0.3121798038482666,0.12291646003723145
chris,f_t,6_20,6,20,0.12291646003723145,0.1350998878479004,0.25801634788513184,0.23801851272583008,0.3609349727630615,0.10291862487792969
chris,a_1,1_91,1,91,0.11426687240600586,0.14418292045593262,0.2584497928619385,0.2722957134246826,0.3865625858306885,0.12811279296875
chris,1_r,91_18,91,18,0.12811279296875,0.2606065273284912,0.3887193202972412,0.3739290237426758,0.5020418167114258,0.11332249641418457
chris,r_c,18_3,18,3,0.11332249641418457,0.1591184139251709,0.27244091033935547,0.2622687816619873,0.3755912780761719,0.1031503677368164
